test_name,language,corpus_codebleu,corpus_ngram_match_score,corpus_weighted_ngram_match_score,corpus_syntax_match_score,corpus_dataflow_match_score
adapted_12b_core-auto-long-one,python,33.91,12.95,27.76,43.56,51.38
adapted_12b_core-auto-long-one,java,36.93,4.32,33.55,49.76,60.09
adapted_12b_core-auto-long-one,cpp,39.33,3.23,22.36,55.11,76.62
adapted_12b_core-auto-long-one,c,39.90,12.23,41.93,45.64,59.82
adapted_12b_core-auto-long-one,average,37.52,8.18,31.40,48.52,61.98
adapted_12b_core-auto-long-one-rci,python,33.89,10.29,27.96,43.76,53.56
adapted_12b_core-auto-long-one-rci,java,30.38,3.95,24.77,38.82,53.97
adapted_12b_core-auto-long-one-rci,cpp,39.52,1.80,22.36,55.44,78.46
adapted_12b_core-auto-long-one-rci,c,38.26,5.57,41.56,44.73,61.19
adapted_12b_core-auto-long-one-rci,average,35.51,5.40,29.16,45.69,61.79
