test_name,language,corpus_codebleu,corpus_ngram_match_score,corpus_weighted_ngram_match_score,corpus_syntax_match_score,corpus_dataflow_match_score
adapted_12b_core-auto-long-three,python,33.95,5.27,29.55,45.85,55.14
adapted_12b_core-auto-long-three,java,37.97,5.75,35.34,50.48,60.32
adapted_12b_core-auto-long-three,cpp,38.23,3.43,21.86,55.95,71.69
adapted_12b_core-auto-long-three,c,43.20,19.00,46.15,50.10,57.53
adapted_12b_core-auto-long-three,average,38.34,8.36,33.23,50.60,61.17
adapted_12b_core-auto-long-three-rci,python,33.30,3.09,26.06,44.36,59.68
adapted_12b_core-auto-long-three-rci,java,35.70,5.28,33.26,47.12,57.14
adapted_12b_core-auto-long-three-rci,cpp,37.70,1.58,21.31,52.85,75.08
adapted_12b_core-auto-long-three-rci,c,44.46,26.06,44.96,48.38,58.45
adapted_12b_core-auto-long-three-rci,average,37.79,9.00,31.40,48.17,62.59
