test_name,language,corpus_codebleu,corpus_ngram_match_score,corpus_weighted_ngram_match_score,corpus_syntax_match_score,corpus_dataflow_match_score
adapted_12b_core-auto-short-three,python,33.85,4.01,29.62,43.66,58.10
adapted_12b_core-auto-short-three,java,28.22,4.41,28.13,35.22,45.12
adapted_12b_core-auto-short-three,cpp,40.16,2.89,23.13,54.02,80.62
adapted_12b_core-auto-short-three,c,40.39,9.00,42.19,48.48,61.87
adapted_12b_core-auto-short-three,average,35.65,5.08,30.77,45.34,61.43
adapted_12b_core-auto-short-three-rci,python,34.04,4.98,27.57,42.56,61.07
adapted_12b_core-auto-short-three-rci,java,25.84,4.96,23.95,31.37,43.08
adapted_12b_core-auto-short-three-rci,cpp,39.77,1.55,22.04,53.35,82.15
adapted_12b_core-auto-short-three-rci,c,39.15,6.57,41.14,47.26,61.64
adapted_12b_core-auto-short-three-rci,average,34.70,4.52,28.67,43.63,61.99
