test_name,language,corpus_codebleu,corpus_ngram_match_score,corpus_weighted_ngram_match_score,corpus_syntax_match_score,corpus_dataflow_match_score
adapted_12b_core-xl-long-one,python,36.30,18.77,28.31,44.76,53.36
adapted_12b_core-xl-long-one,java,35.97,2.66,28.18,46.15,66.89
adapted_12b_core-xl-long-one,cpp,38.11,2.18,20.73,52.93,76.62
adapted_12b_core-xl-long-one,c,33.18,4.04,29.23,39.86,59.59
adapted_12b_core-xl-long-one,average,35.89,6.91,26.61,45.92,64.11
adapted_12b_core-xl-long-one-rci,python,34.39,10.74,28.40,45.05,53.36
adapted_12b_core-xl-long-one-rci,java,25.00,1.42,12.70,28.97,56.92
adapted_12b_core-xl-long-one-rci,cpp,31.04,1.49,13.31,35.51,73.85
adapted_12b_core-xl-long-one-rci,c,31.14,3.43,26.65,35.80,58.68
adapted_12b_core-xl-long-one-rci,average,30.39,4.27,20.27,36.33,60.70
