test_name,language,corpus_codebleu,corpus_ngram_match_score,corpus_weighted_ngram_match_score,corpus_syntax_match_score,corpus_dataflow_match_score
adapted_12b_core-xl-short-one,python,32.56,12.92,26.36,40.16,50.79
adapted_12b_core-xl-short-one,java,29.27,2.62,25.48,31.61,57.37
adapted_12b_core-xl-short-one,cpp,37.56,2.48,21.73,48.49,77.54
adapted_12b_core-xl-short-one,c,28.85,3.52,23.08,36.31,52.51
adapted_12b_core-xl-short-one,average,32.06,5.39,24.16,39.14,59.55
adapted_12b_core-xl-short-one-rci,python,32.96,12.16,26.86,40.86,51.98
adapted_12b_core-xl-short-one-rci,java,13.38,0.59,4.19,5.89,42.86
adapted_12b_core-xl-short-one-rci,cpp,28.85,1.02,10.73,21.19,82.46
adapted_12b_core-xl-short-one-rci,c,27.22,2.54,18.79,29.31,58.22
adapted_12b_core-xl-short-one-rci,average,25.60,4.08,15.14,24.31,58.88
