test_name,language,corpus_codebleu,corpus_ngram_match_score,corpus_weighted_ngram_match_score,corpus_syntax_match_score,corpus_dataflow_match_score
adapted_12b_core-short-zero,python,31.47,21.58,26.13,36.26,41.90
adapted_12b_core-short-zero,java,25.82,9.56,23.32,33.65,36.73
adapted_12b_core-short-zero,cpp,34.46,2.40,20.95,46.48,68.00
adapted_12b_core-short-zero,c,12.97,4.82,16.75,22.31,7.99
adapted_12b_core-short-zero,average,26.18,9.59,21.79,34.68,38.66
adapted_12b_core-short-zero-rci,python,32.00,21.29,26.46,37.16,43.08
adapted_12b_core-short-zero-rci,java,23.98,6.02,20.72,32.21,36.96
adapted_12b_core-short-zero-rci,cpp,34.59,1.88,20.95,46.31,69.23
adapted_12b_core-short-zero-rci,c,12.97,4.82,16.75,22.31,7.99
adapted_12b_core-short-zero-rci,average,25.88,8.50,21.22,34.50,39.32
