test_name,bleu_score,corpus_rouge1,corpus_rouge2,corpus_rougeL,corpus_bertscore_f1
adapted_12b_core-auto-long-one,20.01,52.93,25.23,42.75,74.23
adapted_12b_core-auto-long-one-rci,19.78,52.73,25.59,42.46,74.04
adapted_12b_core-auto-long-three,18.90,52.36,25.12,42.63,73.39
adapted_12b_core-auto-long-three-rci,18.59,51.92,25.40,42.45,73.19
adapted_12b_core-auto-short-one,13.87,50.29,25.82,43.80,75.98
adapted_12b_core-auto-short-one-rci,13.61,49.71,26.07,43.53,75.80
adapted_12b_core-auto-short-three,15.97,51.04,27.89,44.74,74.72
adapted_12b_core-auto-short-three-rci,14.91,49.56,26.87,43.05,74.21
adapted_12b_core-xl-long-one,11.50,47.88,20.03,37.25,72.04
adapted_12b_core-xl-long-one-rci,12.39,48.58,20.56,37.56,72.43
adapted_12b_core-xl-long-three,10.35,46.26,18.31,35.96,70.45
adapted_12b_core-xl-long-three-rci,11.27,47.27,18.85,36.34,71.02
adapted_12b_core-xl-short-one,11.95,47.89,23.08,42.19,75.29
adapted_12b_core-xl-short-one-rci,11.01,46.76,22.32,40.22,74.65
adapted_12b_core-xl-short-three,10.36,42.88,19.07,37.86,72.71
adapted_12b_core-xl-short-three-rci,11.33,42.99,19.04,37.52,72.92
adapted_12b_core-long-zero,12.16,46.57,19.08,37.02,71.68
adapted_12b_core-long-zero-rci,12.04,46.39,18.56,36.63,71.63
adapted_12b_core-short-zero,8.31,43.46,19.14,37.16,73.22
adapted_12b_core-short-zero-rci,6.99,44.48,18.96,37.91,73.48
