id,language,reference,generated,generated_rci,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score
2,python,"def is_datatype(cls, value: Any, datatype: str) -> bool:
    t = cls.get_type(datatype)
    if t is None:
        raise DatatypesException(f""Unsupported datatype: {datatype}"")
    return t[1](value)","from typing import Any

def is_datatype(cls, value: Any, datatype: str) -> bool:
    if datatype == ""int"":
        return isinstance(value, int)
    elif datatype == ""float"":
        return isinstance(value, float)
    elif datatype == ""str"":
        return isinstance(value, str)
    elif datatype == ""bool"":
        return isinstance(value, bool)
    elif datatype == ""list"":
        return isinstance(value, list)
    elif datatype == ""tuple"":
        return isinstance(value, tuple)
    elif datatype == ""dict"":
        return isinstance(value, dict)
    elif datatype == ""set"":
        return isinstance(value, set)
    else:
        return False","from typing import Any

def is_datatype(cls, value: Any, datatype: str) -> bool:
    if datatype == ""int"":
        return isinstance(value, int)
    elif datatype == ""float"":
        return isinstance(value, float)
    elif datatype == ""str"":
        return isinstance(value, str)
    elif datatype == ""bool"":
        return isinstance(value, bool)
    elif datatype == ""list"":
        return isinstance(value, list)
    elif datatype == ""tuple"":
        return isinstance(value, tuple)
    elif datatype == ""dict"":
        return isinstance(value, dict)
    elif datatype == ""set"":
        return isinstance(value, set)
    else:
        return False",37.1611529750151,9.74150876536819,35.826180057769115,23.076923076923077,80.0
3,python,"def is_xintx(value: Any, signed: bool, bits: int):
    values = [value]
    if isinstance(value, list):
        values = value

    for v in values:
        if not isinstance(v, int):
            return False
        if not signed and v < 0:
            return False
        max = 2**bits - 1
        min = 0
        if signed:
            max = 2 ** (bits - 1) - 1
            min = -(2 ** (bits - 1))
        if not (v <= max and v >= min):
            return False
    return True","from typing import Any

def is_xintx(value: Any, signed: bool, bits: int):
    if isinstance(value, list):
        for v in value:
            if not is_xintx(v, signed, bits):
                return False
        return True
    if isinstance(value, int):
        if signed:
            if bits == 0:
                return False
            return -2**(bits - 1) <= value < 2**(bits - 1)
        else:
            return 0 <= value < 2**bits
    return False","from typing import Any

def is_xintx(value: Any, signed: bool, bits: int):
    if isinstance(value, list):
        for v in value:
            if not is_xintx(v, signed, bits):
                return False
        return True
    if isinstance(value, int):
        if signed:
            if bits == 0:
                return False
            return -2**(bits - 1) <= value < 2**(bits - 1)
        else:
            return 0 <= value < 2**bits
    return False",29.42527567320826,18.312602768093743,20.280820817060192,41.269841269841265,37.83783783783784
4,python,"def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
        for t in cls.types:
            if datatype == t[0]:
                return t
        return None","def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
    for type_name, type_func, type_args in cls:
        if type_name == datatype:
            return type_name, type_func, type_args
    return None","def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
    for type_name, type_func, type_args in cls:
        if type_name == datatype:
            return type_name, type_func, type_args
    return None",59.939848420206964,44.012943788324186,54.669008815062604,59.25925925925925,81.81818181818183
5,python,"def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    if not fqn:
        return {}
    fqn_namespaced_datatypes = {}
    for t in dynamic_datatypes:
        if fqn.startswith(t):
            continue

        if fqn.startswith(""."".join(t.split(""."")[:-1])):
            fqn_namespaced_datatypes[(t.split(""."")[-1])] = t

    if fqn_namespaced_datatypes:
        log.debug(f""Namespaced datatypes, {fqn=}, {fqn_namespaced_datatypes=}"")
    return fqn_namespaced_datatypes","```python
def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    if fqn is None:
        return {}

    fqn_parts = fqn.split(""."")
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.","```python
def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    if fqn is None:
        return {}

    fqn_parts = fqn.split(""."")
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.pop()
    fqn_parts.",29.41483781327754,10.110522773583652,27.745587738785773,39.0625,40.74074074074074
7,python,"def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    is_array = False
    apigear_type = None
    if t.endswith(""[]""):
        is_array = True
        t = t[0:-2]

    if t in [""int8"", ""int16"", ""int32"", ""uint8"", ""uint16"", ""uint32""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT32.value)
    elif t in [""int64"", ""uint64""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT64.value)
    elif t == ""float"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT32.value)
    elif t == ""double"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT64.value)
    elif t == ""boolean"":
        apigear_type = ApiGearType(ApiGearBasicType.BOOL.value)
    elif t == ""string"":
        apigear_type = ApiGearType(ApiGearBasicType.STRING.value)
    else:
        apigear_type = ApiGearType(t.replace(""."", ""_""))

    if is_array and apigear_type is not None:
        apigear_type.is_array = True

    return apigear_type","def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    if t == ""string"":
        return ApiGearType.STRING
    elif t == ""integer"":
        return ApiGearType.INTEGER
    elif t == ""float"":
        return ApiGearType.FLOAT
    elif t == ""boolean"":
        return ApiGearType.BOOLEAN
    elif t == ""array"":
        return ApiGearType.ARRAY
    elif t == ""object"":
        return ApiGearType.OBJECT
    elif t == ""enum"":
        return ApiGearType.ENUM
    elif t == ""date"":
        return ApiGearType.DATE
    elif t == ""datetime"":
        return ApiGearType.DATETIME
    elif t == ""timestamp"":
        return ApiGearType.TIMESTAMP
    elif t == ""binary"":
        return ApiGearType.BINARY
    elif t == ""json"":
        return ApiGearType.JSON
    elif t == ""uuid"":
        return ApiGearType.UUID
    elif t == ""email"":
        return ApiGearType.EMAIL
    elif t == ""url"":
        return ApiGearType.URL
    elif t == ""ip_address"":
        return ApiGearType.IP_ADDRESS
    elif t == ""mac_address"":
        return ApiGearType.MAC_ADDRESS
    elif t == ""hex_color"":
        return ApiGearType.HEX_COLOR
    elif t == ""rgb_color"":
        return ApiGearType.RGB_COLOR
    elif t == ""rgba_color"":
        return ApiGearType.RGBA_COLOR
    elif t == ""rgba_image"":
        return ApiGearType.RGBA_IMAGE
    elif t == ""jpeg_image"":
        return ApiGearType.JPEG_IMAGE
    elif t == ""png_image"":
        return ApiGearType.PNG_IMAGE
    elif t == ""gif_image"":
        return ApiGearType.GIF_IMAGE
    elif t == ""svg_image"":
        return ApiGearType.SVG_IMAGE
    elif t == ""webp_image"":
        return ApiGearType.WEBP_IMAGE
    elif t == ""mp4_video"":
        return ApiGearType.MP4_VIDEO
    elif t == ""mp3_audio"":
        return ApiGearType.MP3_AUDIO
    elif t == ""wav_audio"":
        return ApiGearType.WAV_AUDIO
    elif t == ""pdf_document"":
        return ApiGearType.PDF_DOCUMENT
    elif t == ""csv_document"":
        return ApiGearType.CSV_DOCUMENT
    elif t == ""xml_document"":
        return ApiGearType.XML_DOCUMENT
    elif t == ""html_document"":
        return ApiGearType.HTML_DOCUMENT
    elif t == ""markdown_document"":
        return ApiGearType.MARKDOWN_DOCUMENT
    elif t == ""text_document"":
        return ApiGearType.TEXT_DOCUMENT
    elif t == ""zip_archive"":
        return ApiGearType.ZIP_ARCHIVE
    elif t == ""tar_archive"":
        return ApiGearType.TAR_ARCHIVE
    elif t == ""tar_gz_archive"":
        return ApiGearType.TAR_GZ_ARCHIVE
    elif t == ""tar_bz2_archive"":
        return ApiGearType.TAR_BZ2_ARCHIVE
    elif t == ""tar_xz_archive"":
        return ApiGearType.TAR_XZ_ARCHIVE
    elif t == ""tar_lz","def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    if t == ""string"":
        return ApiGearType.STRING
    elif t == ""integer"":
        return ApiGearType.INTEGER
    elif t == ""float"":
        return ApiGearType.FLOAT
    elif t == ""boolean"":
        return ApiGearType.BOOLEAN
    elif t == ""array"":
        return ApiGearType.ARRAY
    elif t == ""object"":
        return ApiGearType.OBJECT
    elif t == ""enum"":
        return ApiGearType.ENUM
    elif t == ""date"":
        return ApiGearType.DATE
    elif t == ""datetime"":
        return ApiGearType.DATETIME
    elif t == ""timestamp"":
        return ApiGearType.TIMESTAMP
    elif t == ""binary"":
        return ApiGearType.BINARY
    elif t == ""json"":
        return ApiGearType.JSON
    elif t == ""uuid"":
        return ApiGearType.UUID
    elif t == ""email"":
        return ApiGearType.EMAIL
    elif t == ""url"":
        return ApiGearType.URL
    elif t == ""ip_address"":
        return ApiGearType.IP_ADDRESS
    elif t == ""mac_address"":
        return ApiGearType.MAC_ADDRESS
    elif t == ""hex_color"":
        return ApiGearType.HEX_COLOR
    elif t == ""rgb_color"":
        return ApiGearType.RGB_COLOR
    elif t == ""rgba_color"":
        return ApiGearType.RGBA_COLOR
    elif t == ""rgba_image"":
        return ApiGearType.RGBA_IMAGE
    elif t == ""jpeg_image"":
        return ApiGearType.JPEG_IMAGE
    elif t == ""png_image"":
        return ApiGearType.PNG_IMAGE
    elif t == ""gif_image"":
        return ApiGearType.GIF_IMAGE
    elif t == ""svg_image"":
        return ApiGearType.SVG_IMAGE
    elif t == ""webp_image"":
        return ApiGearType.WEBP_IMAGE
    elif t == ""mp4_video"":
        return ApiGearType.MP4_VIDEO
    elif t == ""mp3_audio"":
        return ApiGearType.MP3_AUDIO
    elif t == ""wav_audio"":
        return ApiGearType.WAV_AUDIO
    elif t == ""pdf_document"":
        return ApiGearType.PDF_DOCUMENT
    elif t == ""csv_document"":
        return ApiGearType.CSV_DOCUMENT
    elif t == ""xml_document"":
        return ApiGearType.XML_DOCUMENT
    elif t == ""html_document"":
        return ApiGearType.HTML_DOCUMENT
    elif t == ""markdown_document"":
        return ApiGearType.MARKDOWN_DOCUMENT
    elif t == ""text_document"":
        return ApiGearType.TEXT_DOCUMENT
    elif t == ""zip_archive"":
        return ApiGearType.ZIP_ARCHIVE
    elif t == ""tar_archive"":
        return ApiGearType.TAR_ARCHIVE
    elif t == ""tar_gz_archive"":
        return ApiGearType.TAR_GZ_ARCHIVE
    elif t == ""tar_bz2_archive"":
        return ApiGearType.TAR_BZ2_ARCHIVE
    elif t == ""tar_xz_archive"":
        return ApiGearType.TAR_XZ_ARCHIVE
    elif t == ""tar_lz",19.69932361847074,4.659075981473023,14.541526195877214,30.08849557522124,29.508196721311474
8,python,"def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    apigear_type = get_apigear_datatype(datatype)
    data = node.get_vss_data()

    if apigear_type is None:
        log.warning(f""Datatype {datatype} of node {node.name} currently not supported"")
        return None

    property = ApiGearProperty(apigear_type)
    if data.description != """":
        property.description = data.description
    return property","```python
def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    if not isinstance(node, VSSNode):
        raise TypeError(""node must be a VSSNode"")

    if not isinstance(datatype, str):
        raise TypeError(""datatype must be a string"")

    if not node.is_property():
        return None

    if not node.is_valid():
        return None

    if not node.has_property():
        return None

    if not node.property.has_datatype():
        return None

    if not node.property.datatype.is_valid():
        return None

    if not node.property.datatype.is_primitive():
        return None

    if not node.property.datatype.is_builtin():
        return None

    if not node.property.datatype.is_base_type():
        return None

    if not node.property.datatype.is_base_type_supported():
        return None

    if not node.property.datatype.is_base_type_supported(datatype):
        return None

    if not node.property.datatype.is_base_type_supported(datatype, ""base""):
        return None

    if not node.property.datatype.is_base_type_supported(datatype, ""base"", ""base""):
        return None

    if not node.property.datatype.is_base_type_supported(datatype, ""base"", ""base"", ""base""):
        return None

    if not node.property.datatype.is_base_type_supported(datatype, ""base"", ""base"", ""base"", ""base""):
        return None

    if not node.property.datatype.is_base_type_supported(datatype, ""base"", ""base"", ""base"", ""base"", ""base""):
        return None

    if not node.property.datatype.is_base_type_supported(datatype, ""base"", ""base"", ""base"", ""base"", ""base"", ""base""):
        return None

    if not node.property.datatype.is_base_type_supported(datatype, ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base""):
        return None

    if not node.property.datatype.is_base_type_supported(datatype, ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base""):
        return None

    if not node.property.datatype.is_base_type_supported(datatype, ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base""):
        return None

    if not node.property.datatype.is_base_type_supported(datatype, ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base""):
        return None

    if not node.property.datatype.is_base_type_supported(datatype, ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base""):
        return None

    if not node.property.datatype.is_base_type_supported(datatype, ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base""):
        return None

    if not node.property.datatype.is_base_type_supported(datatype, ""base"", ""base"", ""base"",","```python
def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    if not isinstance(node, VSSNode):
        raise TypeError(""node must be a VSSNode"")

    if not isinstance(datatype, str):
        raise TypeError(""datatype must be a string"")

    if not node.is_property():
        return None

    if not node.is_valid():
        return None

    if not node.property.has_datatype():
        return None

    if not node.property.datatype.is_valid():
        return None

    if not node.property.datatype.is_primitive():
        return None

    if not node.property.datatype.is_builtin():
        return None

    if not node.property.datatype.is_base_type():
        return None

    if not node.property.datatype.is_base_type_supported():
        return None

    if not node.property.datatype.is_base_type_supported(datatype):
        return None

    if not node.property.datatype.is_base_type_supported(datatype, ""base""):
        return None

    if not node.property.datatype.is_base_type_supported(datatype, ""base"", ""base""):
        return None

    if not node.property.datatype.is_base_type_supported(datatype, ""base"", ""base"", ""base""):
        return None

    if not node.property.datatype.is_base_type_supported(datatype, ""base"", ""base"", ""base"", ""base""):
        return None

    if not node.property.datatype.is_base_type_supported(datatype, ""base"", ""base"", ""base"", ""base"", ""base""):
        return None

    if not node.property.datatype.is_base_type_supported(datatype, ""base"", ""base"", ""base"", ""base"", ""base"", ""base""):
        return None

    if not node.property.datatype.is_base_type_supported(datatype, ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base""):
        return None

    if not node.property.datatype.is_base_type_supported(datatype, ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base""):
        return None

    if not node.property.datatype.is_base_type_supported(datatype, ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base""):
        return None

    if not node.property.datatype.is_base_type_supported(datatype, ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base""):
        return None

    if not node.property.datatype.is_base_type_supported(datatype, ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base""):
        return None

    if not node.property.datatype.is_base_type_supported(datatype, ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base""):
        return None

    if not node.property.datatype.is_base_type_supported(datatype, ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base"", ""base",33.96959645233517,3.900059496344722,24.75610409077372,42.22222222222222,65.0
10,python,"def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    spec = None
    vspecs: list[VSpec] = []
    for s in specs:
        includes = [s.parent] + include_dirs
        vspecs.extend(get_vspecs(includes, s))
    pre = ""VSpecs""
    if identifier:
        pre += f"" ({identifier})""
    log.info(f""{pre} loaded, amount={len(vspecs)}"")
    for vspec in vspecs:
        log.debug(vspec)
        if spec is None:
            spec = vspec
        else:
            spec.update(vspec)
    if not spec:
        msg = f""Weird behavior. Could not load any spec: {specs}""
        log.error(msg)
        raise SpecException(msg)
    return spec","from pathlib import Path
from vspec.vspec import VSpec
from vspec.vspec_file import VSpecFile


def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    vspec = VSpec(identifier)
    for include_dir in include_dirs:
        vspec.add_include_dir(include_dir)
    for spec in specs:
        vspec.add_spec(VSpecFile(spec))
    return vspec","from pathlib import Path
from vspec.vspec import VSpec
from vspec.vspec_file import VSpecFile


def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    vspec = VSpec(identifier)
    for include_dir in include_dirs:
        vspec.add_include_dir(include_dir)
    for spec in specs:
        vspec.add_spec(VSpecFile(spec))
    return vspec",28.305182978103886,14.587498249757491,19.305068287981065,44.44444444444444,34.883720930232556
11,python,"def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for key, value in update.items():
        if isinstance(value, dict):
            if key in base and isinstance(base[key], dict):
                deep_update(base[key], value)
            else:
                base[key] = value
        else:
            base[key] = value","def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for k, v in update.items():
        if isinstance(v, dict):
            base[k] = deep_update(base.get(k, {}), v)
        else:
            base[k] = v","def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for k, v in update.items():
        if isinstance(v, dict):
            if k not in base:
                base[k] = {}
            base[k] = deep_update(base[k], v)
        else:
            base[k] = v",56.130344934049624,33.738183311874394,35.574863090990796,77.08333333333334,78.125
12,python,"def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return v
    pattern = r""^0x[0-9A-Fa-f]{8}$""
    assert bool(re.match(pattern, v)), f""'{v}' is not a valid 'constUID'""
    return v","def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return None
    if not isinstance(v, str):
        return None
    if len(v) != 8:
        return None
    try:
        int(v, 16)
    except ValueError:
        return None
    return v","def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return None
    if not isinstance(v, str):
        return None
    if len(v) != 8:
        return None
    try:
        int(v, 16)
    except ValueError:
        return None
    return v",50.55735832975432,40.37469867061998,51.8547346483973,40.0,70.0
13,python,"def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    model = VSSRaw(fqn=fqn, **data)
    try:
        model = resolve_vss_raw(model)
    except (ValidationError, ModelException):
        log.debug(f""'{fqn}', incomplete, initialized as '{model.__class__.__name__}'"")
        return model
    return model","def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    vss_raw = VSSRaw(data)
    if not vss_raw.resolve(fqn):
        return vss_raw
    return None","def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    vss_raw = VSSRaw(data)
    if not vss_raw.resolve(fqn):
        return vss_raw
    return None",44.11516152867524,29.55084986581822,32.7431295822161,47.5,66.66666666666666
