id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,"Raises an exception if the specified 'datatype' is unsupported, otherwise retrieves that type's validation function and returns the boolean result of calling it with the provided 'value'","Validates that the provided 'datatype' is supported, then returns true if the 'value' is an instance of the specified 'datatype' using its associated type constructor.","Validates that the provided 'datatype' is supported, then returns true if the 'value' is an instance of the specified 'datatype' according to its associated type constructor.",9.200468434138067,52.83018867924528,19.607843137254903,26.41509433962264,70.85071802139282
3,python,"Validates that a given value, or each value in a list, is an integer that fits within the numerical range defined by a specified bit-width and signedness","Checks if a given value or list of values are all integers within a specified range, considering whether the integer is signed or unsigned and the number of bits.","Checks if a given value or list of values are all integers within a specified range, considering whether the integer is signed or unsigned and the number of bits, returning True if all values satisfy these conditions.",7.261813302549419,45.6140350877193,14.545454545454545,31.578947368421055,79.57611083984375
4,python,"Returns the type definition tuple from a class-level list of types that matches the provided 'datatype' name, or returns None if no match is found","Retrieves a tuple containing the datatype name, a callable, and a list of subtypes from a predefined list of datatypes if the provided 'datatype' matches a known name, otherwise returns None.","Searches a predefined list of datatypes for a match to the provided 'datatype' and returns a tuple containing the datatype name, a callable, and a list of subtypes if found, otherwise returns None.",7.735714064829008,49.12280701754386,21.81818181818182,38.59649122807018,69.596928358078
5,python,Returns a dictionary mapping the short name to the full FQN for all dynamic datatypes that exist in the same namespace as the provided FQN,Extracts a dictionary of namespaced datatypes from a fully qualified name (fqn) by iterating through a list of dynamic datatypes and returning a dictionary where keys are the last segment of the fqn and values are the full fqn of the matching datatype.,"Extracts a dictionary of namespaced datatypes from a fully qualified name (fqn) by iterating through a list of dynamic datatypes and returning a dictionary where keys are the last segment of the fqn and values are the full fqn of the matching datatype, logging the result if found.",3.128131110780681,35.29411764705881,12.121212121212123,26.47058823529412,63.27474117279053
7,python,"Parses a type string to create an `ApiGearType` object, mapping common primitive types to their ApiGear equivalents, sanitizing custom type names by replacing dots with underscores, and setting an array flag based on a ""[]"" suffix","Converts a string representation of a data type (e.g., 'int32', 'string', 'double[]') into an ApiGearType object, handling basic types, floating-point types, booleans, strings, and arrays.","Converts a string representation of a data type (e.g., 'int32', 'string', 'double[]') into an ApiGearType object, handling basic types, floating-point types, booleans, strings, and array types.",3.5650834481646116,29.03225806451613,6.666666666666667,25.806451612903224,63.38643431663513
8,python,"Creates an `ApiGearProperty` by converting the VSS node's datatype to a supported ApiGear type and copying its description, returning `None` and logging a warning if the datatype is not supported","Generates an `ApiGearProperty` object from a `VSSNode` and a specified datatype, using the `get_apigear_datatype` function to map the datatype to an `ApiGear` type, and populating the property's description if available in the node's VSS data.","Generates an `ApiGearProperty` object from a `VSSNode` and a specified datatype, returning `None` if the datatype is not supported, and populating the property's description if available in the node's VSS data.",8.313323616313555,51.42857142857144,17.647058823529413,31.428571428571427,69.56487894058228
10,python,"Loads and parses multiple VSpec files from specified paths, using a list of include directories, then merges them into a single composite VSpec object and returns it, raising an exception if no files are successfully loaded","Loads and merges multiple VSpec files from a list of paths, optionally including specified include directories, and returns a single combined VSpec object after logging the process and raising an exception if no specs are loaded.","Loads and merges multiple VSpec files from a list of paths, optionally including specified include directories, and returns a single combined VSpec object after logging the process and raising an exception if no specs are loaded, or if any of the specified paths are invalid.",26.50612316778205,75.0,40.00000000000001,63.888888888888886,86.58523559570312
11,python,"Recursively updates a 'base' dictionary with an 'update' dictionary, merging nested dictionaries for common keys and overwriting or adding all other key-value pairs","Recursively updates a dictionary 'base' with the contents of another dictionary 'update', merging nested dictionaries and overwriting non-dictionary values.","Recursively updates a dictionary 'base' with the contents of another dictionary 'update', merging nested dictionaries and overwriting non-dictionary values in the 'base' dictionary.",17.741454314600237,59.09090909090908,23.809523809523807,50.0,76.34402513504028
12,python,"Asserts that the input value, if not None, is a valid 'constUID' formatted as an 8-digit hexadecimal string prefixed with '0x', returning the value if the check passes","Validates that the input 'v' is a hexadecimal string matching the pattern '0x[0-9A-Fa-f]{8}' and returns the input if valid, otherwise raises an assertion error.","Validates that the input 'v' is a hexadecimal string matching the pattern '0x[0-9A-Fa-f]{8}' and returns the input if valid, otherwise raises an assertion error.",6.990006728332349,48.275862068965516,14.285714285714285,34.48275862068966,69.651198387146
13,python,"Initializes a VSSRaw model and attempts to resolve it, returning the successfully resolved model or the original unresolved model if resolution fails due to a validation or model error","Creates a VSSRaw object from a dictionary and attempts to resolve it, returning the object (potentially an incomplete version) if resolution fails.","Creates a VSSRaw object from a dictionary, attempts to resolve it, and returns the object, logging a debug message if resolution fails.",29.31037505761833,50.98039215686274,36.734693877551024,47.05882352941176,78.17764282226562
14,python,"Asserts that each string in the input list is a valid datatype by checking against a master list, returning the original list if all values are valid","Validates that all provided 'values' are valid datatypes by checking if each value exists within a predefined list of known datatypes, raising an assertion error if an invalid datatype is found.","Validates that all provided 'values' are valid datatypes by checking if each value exists within a predefined list of known datatypes, raising an assertion error if an invalid datatype is found and returning the original list if all values are valid.",4.265148175184352,44.827586206896555,10.714285714285714,24.137931034482758,70.18848657608032
15,python,"Traverses a VSSNode tree to generate a formatted string, displaying each node's name followed by the values of any specified attributes found on it","Recursively traverses a VSSNode tree, extracting specified attributes from each node and formatting them into a string representation suitable for rendering as a tree structure.","Recursively traverses a VSSNode tree, extracting specified attributes from each node and formatting them into a string representation suitable for rendering as a tree structure, including attribute names and values.",7.52421768074461,40.00000000000001,20.833333333333336,24.0,77.33373641967773
16,python,"Recursively traverses up the parent hierarchy to find and return the first non-instance ancestor node and the traversal depth, raising an exception if the starting node is not a branch or if no root is found","Recursively traverses up the parent chain of a VSSNode to find the root instance node, incrementing the depth counter with each level of recursion, and raising a NoInstanceRootException if the root is not found.","Recursively traverses up the parent chain of a VSSNode to find the root instance node, incrementing the depth counter with each level of recursion, and raising a NoInstanceRootException if the root is not found or if the current node is not an instance.",15.880067220586465,59.154929577464785,23.18840579710145,50.70422535211269,73.5783338546753
17,python,Recursively calculates the depth of the first-found branch of children where each node is a `VSSDataBranch` with its `is_instance` flag set,"Recursively counts the depth of instance children within a VSSDataBranch object, returning 1 if an instance child is found and 0 otherwise.","Recursively counts the depth of instance children within a VSSDataBranch object, returning 1 plus the depth of the instance child if found, and 0 otherwise.",6.80187354789676,44.44444444444445,13.95348837209302,35.55555555555555,67.01799631118774
18,python,Returns a list of node IDs from an input list whose expected parent's name matches the provided `name`,Returns a list of node IDs from the input list that have a parent node with the specified name.,Returns a list of node IDs from the input list whose expected parent node has the specified name.,33.92375549949802,63.1578947368421,38.88888888888889,63.1578947368421,81.1025321483612
19,python,"Retrieves an attribute from an object, returning a specified default value if the attribute is missing or its value is `None`","Retrieves the value of an attribute from an object, returning a default value if the attribute is not found or is None.","Retrieves the value of an attribute from an object, returning a default value if the attribute is not found or is None.",51.71433509033386,83.72093023255815,58.536585365853654,79.06976744186046,88.43938112258911
20,python,Generates a `proto3` file from a VSS tree by first writing import statements for complex data types and then converting each branch in the tree into a corresponding protobuf message,"Traverses a VSS signal tree, extracts and writes proto imports for nested data types, and then generates proto messages for each branch node, including optional fields if specified.","Traverses a VSS signal tree, extracts and writes proto imports for nested data types, and then generates proto messages for each branch node, optionally including optional fields.",4.906081629292278,37.93103448275862,17.857142857142858,34.48275862068965,69.83910799026489
21,python,"Traverses a VSS tree to find all terminal instance branches, grouping their relative names into a dictionary where each key is the fully qualified name of the original branch they instantiate","Traverses a VSS tree to identify and collect the fully qualified names of all instance nodes (nodes with the 'is_instance' flag set) that are not themselves parents of other instance nodes, grouping them by their instance root node.","Traverses a VSS tree to identify and collect the fully qualified names of all instance nodes (nodes with the 'is_instance' flag set) that are not themselves parents of other instance nodes, grouping them by their instance root node.",12.87770382828437,45.714285714285715,17.647058823529413,28.57142857142857,68.40541958808899
22,python,Checks if a given VSSNode is a leaf by verifying its 'data' attribute is an instance of VSSDataDatatype,"Returns true if the given VSSNode's data is a VSSDataDatatype, otherwise returns false.","Returns true if the given VSSNode's data is a VSSDataDatatype, otherwise returns false.",5.4109701071446015,43.75000000000001,13.333333333333334,37.5,73.7329363822937
23,python,Returns `True` if the given `VSSNode`'s data is a `VSSDataBranch` and its `is_instance` attribute is `False`,"Checks if a VSSNode's data is a VSSDataBranch and if that branch is not an instance, returning True if so, otherwise returning False.","Checks if a VSSNode's data is a VSSDataBranch and if that branch is not an instance, returning True if so, otherwise returning False.",6.4740491123143835,57.14285714285715,35.0,52.38095238095239,70.4962968826294
24,python,Returns True if the node's data is a VSSDataBranch and its 'is_instance' attribute is True,"Checks if a given VSSNode's data is a VSSDataBranch and if that branch is marked as an instance, returning True if both conditions are met, otherwise False.","Checks if a given VSSNode's data is a VSSDataBranch and if that branch is marked as an instance, returning True if both conditions are met, otherwise False.",13.821098063724328,44.44444444444445,27.906976744186046,44.44444444444445,71.72794938087463
25,python,"Calculates a 32-bit FNV-1 hash for a given byte string by iterating through each byte, multiplying the current hash by the FNV prime, and then performing a bitwise XOR with the byte",Calculates a 32-bit FNV-1a hash value for a given byte string using a specified prime number and bitwise operations.,"Calculates a 32-bit FNV-1a hash value for a given byte string by iterating through each byte, multiplying the hash by a prime number, applying a bitwise AND operation, and XORing with the current byte.",18.93967459841451,54.545454545454554,30.188679245283023,50.90909090909091,76.21504664421082
28,java,"Inflates the `card_fragment` layout, finds and assigns the card's title and icon views, and returns the resulting root view","Inflates the card fragment layout, finds the card title and icon views, and returns the root view.","Inflates the card fragment layout, finds the card title and icon views, and returns the root view.",38.479855491262214,89.47368421052632,72.22222222222223,89.47368421052632,84.44019556045532
29,java,"Updates an `ImageButton`'s icon and click listener from a content object and makes it visible, or hides the button if the content is null","Updates the visibility and content of an `ImageButton` based on the provided `DescriptiveTextWithControlsView.Control` object, setting its icon and click listener if the control is not null, otherwise hiding the button.","Updates the visibility and content of an `ImageButton` based on the provided `DescriptiveTextWithControlsView.Control` object, setting its icon and click listener if the control is not null, otherwise hiding the button.",15.754161260335207,57.14285714285714,22.222222222222225,39.28571428571428,74.12725687026978
30,java,"Lazily inflates a `ViewStub` to create a descriptive text layout, caches references to its child views (title, subtitle, image), and returns the inflated layout","Lazily initializes and returns a `View` representing a descriptive text-only layout, inflating it from a `ViewStub` and retrieving references to its title, subtitle, optional image, and tap-for-more text elements.","Lazily initializes and returns a `View` representing a descriptive text-only layout, inflating it from a `ViewStub` and retrieving references to its title, subtitle, optional image, and tap-for-more text elements.",19.42053406068837,53.57142857142857,29.629629629629626,46.42857142857142,76.00961327552795
31,java,Updates the header view on the main UI thread by making its root view visible and setting the card's title and icon from the provided `CardHeader` object,"Updates the header view of a card by setting its visibility, title, and icon within the main thread of the activity.","Updates the header view of a card by setting its visibility, title, and icon within the main thread of the activity, ensuring UI updates are performed safely.",12.42821416656705,61.224489795918366,25.531914893617024,40.816326530612244,78.36544513702393
32,java,"Lazily inflates a `ViewStub` to create and return the text block layout view, while also finding and caching references to its child text views on the first call","Lazily initializes and returns a `View` representing a text block layout, inflating it from a `ViewStub` and retrieving references to its `text_block` and `tap_for_more_text` child views.","Lazily initializes and returns a `View` representing a text block layout, inflating it from a `ViewStub` and retrieving references to its `text_block` and `tap_for_more_text` child views if it hasn't been initialized already.",10.994188234916312,51.724137931034484,17.857142857142858,37.93103448275862,76.27290487289429
