id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,"Raises an exception if the specified 'datatype' is unsupported, otherwise retrieves that type's validation function and returns the boolean result of calling it with the provided 'value'","Validates that the provided 'datatype' is supported, then returns true if the 'value' is an instance of the specified 'datatype' using its associated type constructor.","Validates that the provided 'datatype' is supported, then returns true if the 'value' is an instance of the specified 'datatype' according to its associated type constructor.",9.186672262412122,51.85185185185186,19.23076923076923,25.92592592592593,70.14484405517578
3,python,"Validates that a given value, or each value in a list, is an integer that fits within the numerical range defined by a specified bit-width and signedness","Checks if a given value or list of values are all integers within a specified range, considering whether the integer is signed or unsigned and the number of bits.","Checks if a given value or list of values are all integers within a specified range, considering whether the integer is signed or unsigned and the number of bits, returning True if all values satisfy these conditions.",5.659370801014103,40.0,12.698412698412698,27.692307692307693,74.20713305473328
4,python,"Returns the type definition tuple from a class-level list of types that matches the provided 'datatype' name, or returns None if no match is found","Retrieves a tuple containing the datatype name, a callable, and a list of subtypes from a predefined list of datatypes if the provided 'datatype' matches a known name, otherwise returns None.","Searches a predefined list of datatypes for a match to the provided 'datatype' and returns a tuple containing the datatype name, a callable, and a list of subtypes if found, otherwise returns None.",6.974210001998854,50.84745762711863,17.543859649122805,30.508474576271187,70.944344997406
5,python,Returns a dictionary mapping the short name to the full FQN for all dynamic datatypes that exist in the same namespace as the provided FQN,Extracts a dictionary of namespaced datatypes from a fully qualified name (fqn) by iterating through a list of dynamic datatypes and returning a dictionary where keys are the last segment of the fqn and values are the full fqn of the matching datatype.,"Extracts a dictionary of namespaced datatypes from a fully qualified name (fqn) by iterating through a list of dynamic datatypes and returning a dictionary where keys are the last segment of the fqn and values are the full fqn of the matching datatype, logging the result if found.",2.7562773478122273,32.87671232876712,11.267605633802818,24.657534246575345,63.01106810569763
7,python,"Parses a type string to create an `ApiGearType` object, mapping common primitive types to their ApiGear equivalents, sanitizing custom type names by replacing dots with underscores, and setting an array flag based on a ""[]"" suffix","Converts a string representation of a data type (e.g., 'int32', 'string', 'double[]') into an ApiGearType object, handling basic types, floating-point types, booleans, strings, and arrays.","Converts a string representation of a data type (e.g., 'int32', 'string', 'double[]') into an ApiGearType object, handling basic types, floating-point types, booleans, strings, and array types.",3.6269399194517673,31.74603174603175,6.557377049180327,28.57142857142857,63.35681080818176
8,python,"Creates an `ApiGearProperty` by converting the VSS node's datatype to a supported ApiGear type and copying its description, returning `None` and logging a warning if the datatype is not supported","Generates an `ApiGearProperty` object from a `VSSNode` and a specified datatype, using the `get_apigear_datatype` function to map the datatype to an `ApiGear` type, and populating the property's description if available in the node's VSS data.","Generates an `ApiGearProperty` object from a `VSSNode` and a specified datatype, returning `None` if the datatype is not supported, and populating the property's description if available in the node's VSS data.",29.60462802866364,62.5,25.80645161290323,37.50000000000001,74.58668947219849
10,python,"Loads and parses multiple VSpec files from specified paths, using a list of include directories, then merges them into a single composite VSpec object and returns it, raising an exception if no files are successfully loaded","Loads and merges multiple VSpec files from a list of paths, optionally including specified include directories, and returns a single combined VSpec object after logging the process and raising an exception if no specs are loaded.","Loads and merges multiple VSpec files from a list of paths, optionally including specified include directories, and returns a single combined VSpec object after logging the process and raising an exception if no specs are loaded, or if any of the specified paths are invalid.",21.422695555819317,66.66666666666666,37.9746835443038,56.79012345679012,81.70166015625
11,python,"Recursively updates a 'base' dictionary with an 'update' dictionary, merging nested dictionaries for common keys and overwriting or adding all other key-value pairs","Recursively updates a dictionary 'base' with the contents of another dictionary 'update', merging nested dictionaries and overwriting non-dictionary values.","Recursively updates a dictionary 'base' with the contents of another dictionary 'update', merging nested dictionaries and overwriting non-dictionary values in the 'base' dictionary.",17.640520319198945,54.166666666666664,26.08695652173913,45.83333333333333,74.91333484649658
12,python,"Asserts that the input value, if not None, is a valid 'constUID' formatted as an 8-digit hexadecimal string prefixed with '0x', returning the value if the check passes","Validates that the input 'v' is a hexadecimal string matching the pattern '0x[0-9A-Fa-f]{8}' and returns the input if valid, otherwise raises an assertion error.","Validates that the input 'v' is a hexadecimal string matching the pattern '0x[0-9A-Fa-f]{8}' and returns the input if valid, otherwise raises an assertion error.",6.990006728332349,48.275862068965516,14.285714285714285,34.48275862068966,69.651198387146
13,python,"Initializes a VSSRaw model and attempts to resolve it, returning the successfully resolved model or the original unresolved model if resolution fails due to a validation or model error","Creates a VSSRaw object from a dictionary and attempts to resolve it, returning the object (potentially an incomplete version) if resolution fails.","Creates a VSSRaw object from a dictionary, attempts to resolve it, and returns the object, logging a debug message if resolution fails.",18.197226491613037,47.05882352941176,24.489795918367342,39.21568627450981,76.55664086341858
14,python,"Asserts that each string in the input list is a valid datatype by checking against a master list, returning the original list if all values are valid","Validates that all provided 'values' are valid datatypes by checking if each value exists within a predefined list of known datatypes, raising an assertion error if an invalid datatype is found.","Validates that all provided 'values' are valid datatypes by checking if each value exists within a predefined list of known datatypes, raising an assertion error if an invalid datatype is found and returning the original list if all values are valid.",22.190697421386083,52.94117647058824,27.272727272727277,44.11764705882353,75.60346722602844
15,python,"Traverses a VSSNode tree to generate a formatted string, displaying each node's name followed by the values of any specified attributes found on it","Recursively traverses a VSSNode tree, extracting specified attributes from each node and formatting them into a string representation suitable for rendering as a tree structure.","Recursively traverses a VSSNode tree, extracting specified attributes from each node and formatting them into a string representation suitable for rendering as a tree structure, including attribute names and values.",6.251526810911487,40.0,18.867924528301888,25.454545454545453,77.28656530380249
16,python,"Recursively traverses up the parent hierarchy to find and return the first non-instance ancestor node and the traversal depth, raising an exception if the starting node is not a branch or if no root is found","Recursively traverses up the parent chain of a VSSNode to find the root instance node, incrementing the depth counter with each level of recursion, and raising a NoInstanceRootException if the root is not found.","Recursively traverses up the parent chain of a VSSNode to find the root instance node, incrementing the depth counter with each level of recursion, and raising a NoInstanceRootException if the root is not found or if the current node is not an instance.",15.180740775154492,64.99999999999999,25.641025641025646,50.0,74.67337250709534
17,python,Recursively calculates the depth of the first-found branch of children where each node is a `VSSDataBranch` with its `is_instance` flag set,"Recursively counts the depth of instance children within a VSSDataBranch object, returning 1 if an instance child is found and 0 otherwise.","Recursively counts the depth of instance children within a VSSDataBranch object, returning 1 plus the depth of the instance child if found, and 0 otherwise.",10.511846841633776,45.83333333333333,17.391304347826086,33.33333333333333,66.98812246322632
18,python,Returns a list of node IDs from an input list whose expected parent's name matches the provided `name`,Returns a list of node IDs from the input list that have a parent node with the specified name.,Returns a list of node IDs from the input list whose expected parent node has the specified name.,43.456737599576506,75.67567567567566,57.14285714285715,75.67567567567566,85.64872741699219
19,python,"Retrieves an attribute from an object, returning a specified default value if the attribute is missing or its value is `None`","Retrieves the value of an attribute from an object, returning a default value if the attribute is not found or is None.","Retrieves the value of an attribute from an object, returning a default value if the attribute is not found or is None.",51.71433509033386,83.72093023255815,58.536585365853654,79.06976744186046,88.43938112258911
20,python,Generates a `proto3` file from a VSS tree by first writing import statements for complex data types and then converting each branch in the tree into a corresponding protobuf message,"Traverses a VSS signal tree, extracts and writes proto imports for nested data types, and then generates proto messages for each branch node, including optional fields if specified.","Traverses a VSS signal tree, extracts and writes proto imports for nested data types, and then generates proto messages for each branch node, optionally including optional fields.",4.911603014245042,38.59649122807017,18.181818181818183,35.08771929824561,69.98286843299866
