id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,Checks if a value is of a specified datatype”,Checks if a value conforms to a specified datatype”,14.448814886766836,57.14285714285715,21.05263157894737,47.61904761904762,83.37322473526001
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,Checks if a value or list of values is a signed or unsigned integer within a specified bit range.,Checks if a value or list of values is a signed or unsigned integer within a specified bit range.,50.9568718854327,73.68421052631578,61.111111111111114,73.68421052631578,90.04219174385071
4,python,Looks up a type definition tuple by its string name from a list of types,"Retrieves a tuple containing the type name, constructor, and subtypes for a given datatype string.","Retrieves type information (name, constructor, and subtypes) for a given datatype string, or None if not found.",3.3613183938332405,40.00000000000001,0.0,26.666666666666668,70.50344944000244
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,Returns a dictionary of namespaced datatypes matching a given fully qualified name prefix.,Returns a dictionary of namespaced datatypes that match a given fully qualified name prefix.,6.2886892772573475,28.571428571428577,7.692307692307692,21.428571428571427,64.70392346382141
7,python,Converts a string-based data type definition into an ApiGearType object,"Converts a string representation of a data type to an ApiGearType object, handling arrays and basic types.","Converts a string representation of a data type to an ApiGearType object, handling arrays and basic types.",11.076007888812258,57.14285714285714,38.46153846153847,57.14285714285714,82.52004384994507
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,"Generates an ApiGearProperty object from a VSSNode and its datatype, handling unsupported datatypes.","Generates an ApiGearProperty object from a VSSNode and its datatype, returning None if the datatype is unsupported.",7.432998184513635,33.333333333333336,18.18181818181818,33.333333333333336,69.79456543922424
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,"Loads and merges multiple VSpec files, handling include directories and identifiers, and raising an exception if no specs are loaded.”","Loads and merges multiple VSpec files, handling include directories and identifiers, and raising an exception if no specs are loaded.”",19.38341802345665,35.29411764705882,31.25,35.29411764705882,73.27661514282227
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively updates a dictionary with another dictionary, merging nested dictionaries.”","Recursively updates a dictionary with another dictionary, merging nested dictionaries.",49.73567356124545,85.71428571428572,63.1578947368421,85.71428571428572,87.05369830131531
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,"Validates if a given string matches the format of a constant UID (e.g., '0x12345678').","Validates if a given string matches the format of a constant UID (e.g., '0x12345678').",4.968018039415939,37.03703703703704,8.0,22.222222222222225,61.871927976608276
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","Creates and resolves a VSSRaw object from a dictionary, handling potential validation or model errors.","Creates and resolves a VSSRaw object from a dictionary, returning it even if validation or model resolution fails.",3.234245292096216,20.000000000000004,0.0,20.000000000000004,72.30203151702881
14,python,Validates that a list of strings are all known datatypes,Validates that a list of strings contains only valid data types.,Validates that a list of strings contains only valid data types.,41.72261448611506,57.14285714285713,52.63157894736842,57.14285714285713,79.31047081947327
15,python,"Renders a VSS tree into a string, displaying specified attributes for each node","Generates a string representation of a VSSNode tree, including specified attributes and their values.”","Generates a formatted string representation of a VSSNode tree, including specified attributes and their values.”",7.439820585622744,44.44444444444445,16.0,29.629629629629633,79.36881184577942
16,python,Finds the root of a VSS instance by recursively traversing up the parent hierarchy,Recursively traverses up the tree to find the root instance of a VSSDataBranch.,Recursively finds the root instance of a VSSDataBranch by traversing up the tree.,10.224003680109194,59.25925925925927,24.000000000000004,29.629629629629633,78.96084785461426
17,python,Counts the depth of a chain of instance branches,Recursively counts the depth of instance children within a VSSDataBranch.,Recursively counts the depth of instance children within a VSSDataBranch.,17.542198478193427,63.1578947368421,47.05882352941176,52.63157894736842,70.86728811264038
18,python,Finds all child node IDs that belong to a specific parent name,Finds the IDs of nodes whose expected parent is a specified name.,Finds the IDs of nodes whose expected parent is a specified name.,4.6192151051305474,41.66666666666667,0.0,33.33333333333333,82.37687945365906
19,python,"Gets an attribute, returning a default value if the attribute is missing or its value is None","Safely retrieves an attribute from an object, returning a default value if the attribute is missing.","Safely retrieves an attribute from an object, returning a default value if the attribute is missing or None.",54.9995519064483,66.66666666666667,58.06451612903225,66.66666666666667,81.93355202674866
20,python,Generates a Protobuf schema from a Vehicle Signal Specification (VSS) tree,"Generates a protobuf message definition from a VSS signal tree, including imports and message fields.","Generates a protobuf message definition from a VSS signal tree, including imports and message fields.",7.158561577277536,61.53846153846153,25.0,53.846153846153854,75.66422820091248
21,python,Groups all leaf VSS branch instances by the fully qualified name of their original branch definition,"Collects the names of all instances of a VSSDataBranch node and its children, grouped by their instance root.","Collects the names of all instances of VSSDataBranch nodes, grouped by their instance root.",2.996515740268936,35.294117647058826,0.0,23.52941176470588,70.05916237831116
22,python,Determines if a VSS node is a leaf based on its data type,Checks if a VSS node is a leaf node by verifying if its data is a VSSDataDatatype.,Checks if a VSS node is a leaf node by checking if its data is a VSSDataDatatype.,36.19174049405417,59.999999999999986,50.0,59.999999999999986,79.93664741516113
23,python,Checks if a VSS node is a branch that is not an instance,Checks if a VSS node represents a branch with no instance.,Checks if a VSS node is a branch and does not represent an instance.,34.68626146171916,66.66666666666667,45.45454545454545,66.66666666666667,83.92263054847717
24,python,Checks if a VSS node represents a branch instance,Checks if a VSSNode represents an instance of a VSSDataBranch.,Checks if a VSSNode's data is an instance of a VSSDataBranch.,16.59038701421971,63.1578947368421,23.52941176470588,52.63157894736842,81.00436329841614
25,python,FNV-1 32-bit hashing algorithm for a byte sequence,Calculates the FNV-1a 32-bit hash of a byte string.,Calculates the FNV-1a 32-bit hash of a byte string.,15.851165692617155,47.61904761904761,21.05263157894737,47.61904761904761,82.46756792068481
28,java,Inflates a card fragment's layout and initializes its view components,Inflates a layout for a card fragment and initializes its view elements.,Inflates a card fragment layout and initializes its view elements (title and icon).,26.130226596777135,78.26086956521738,57.14285714285713,69.56521739130434,92.85838603973389
29,java,"Sets a button's icon and click listener to make it visible, or hides it if no content is provided",Updates the visibility and content of an image button based on the provided descriptive text with controls.”,Updates the visibility and content of an image button based on the provided descriptive text with controls.”,2.527719992092097,21.62162162162162,0.0,16.216216216216214,65.90086817741394
