id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,Checks if a value is of a specified datatype”,Checks if a value conforms to a specified datatype”,43.742343691381734,76.1904761904762,52.63157894736842,66.66666666666666,87.26145029067993
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,Checks if a value or list of values is a signed or unsigned integer within a specified bit range.,Checks if a value or list of values is a signed or unsigned integer within a specified bit range.,50.9568718854327,73.68421052631578,61.111111111111114,73.68421052631578,90.04218578338623
4,python,Looks up a type definition tuple by its string name from a list of types,"Retrieves a tuple containing the type name, constructor, and subtypes for a given datatype string.","Retrieves type information (name, constructor, and subtypes) for a given datatype string, or None if not found.",2.328734903585348,25.0,0.0,18.750000000000004,65.30287861824036
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,Returns a dictionary of namespaced datatypes matching a given fully qualified name prefix.,Returns a dictionary of namespaced datatypes that match a given fully qualified name prefix.,6.250381527944883,27.58620689655172,7.407407407407408,20.689655172413797,64.4432008266449
7,python,Converts a string-based data type definition into an ApiGearType object,"Converts a string representation of a data type to an ApiGearType object, handling arrays and basic types.","Converts a string representation of a data type to an ApiGearType object, handling arrays and basic types.",11.076007888812258,57.14285714285714,38.46153846153847,57.14285714285714,82.52005577087402
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,"Generates an ApiGearProperty object from a VSSNode and its datatype, handling unsupported datatypes.","Generates an ApiGearProperty object from a VSSNode and its datatype, returning None if the datatype is unsupported.",5.7259987315337755,28.57142857142857,15.384615384615385,28.57142857142857,67.3349380493164
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,"Loads and merges multiple VSpec files, handling include directories and identifiers, and raising an exception if no specs are loaded.”","Loads and merges multiple VSpec files, handling include directories and identifiers, and raising an exception if no specs are loaded.”",19.38341802345665,35.29411764705882,31.25,35.29411764705882,73.27661514282227
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively updates a dictionary with another dictionary, merging nested dictionaries.”","Recursively updates a dictionary with another dictionary, merging nested dictionaries.",54.52469119630863,85.71428571428572,63.1578947368421,85.71428571428572,90.10640382766724
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,"Validates if a given string matches the format of a constant UID (e.g., '0x12345678').","Validates if a given string matches the format of a constant UID (e.g., '0x12345678').",4.968018039415939,37.03703703703704,8.0,22.222222222222225,61.871927976608276
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","Creates and resolves a VSSRaw object from a dictionary, handling potential validation or model errors.","Creates and resolves a VSSRaw object from a dictionary, returning it even if validation or model resolution fails.",4.814971807094068,24.24242424242424,0.0,24.24242424242424,76.2843370437622
14,python,Validates that a list of strings are all known datatypes,Validates that a list of strings contains only valid data types.,Validates that a list of strings contains only valid data types.,41.72261448611506,57.14285714285713,52.63157894736842,57.14285714285713,79.31047081947327
