id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,Checks if a value matches a specified datatype”,Checks if a value is of a specified datatype”,14.166675290415533,60.0,22.22222222222222,50.0,82.70342350006104
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,Checks if a value or list of values is a valid signed or unsigned integer within a specified bit range”,"Checks if a value or list of values is a valid integer within a specified bit range, optionally considering signedness”",55.56957157837259,76.92307692307692,64.86486486486486,76.92307692307692,89.25014734268188
4,python,Looks up a type definition tuple by its string name from a list of types,Retrieves a type definition from a list of types based on a given datatype string”,"Retrieves a type definition (including name, constructor, and subtypes) from a list of types based on a given datatype string”",32.90385879986622,60.0,42.857142857142854,53.333333333333336,76.91945433616638
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,Identifies and returns a dictionary of namespaced datatypes that match a given fully qualified name prefix”,Identifies and returns a dictionary of namespaced datatypes that match a given fully qualified name prefix.”,6.150343144231885,32.25806451612903,6.89655172413793,25.80645161290323,63.46118450164795
7,python,Converts a string-based data type definition into an ApiGearType object,"Converts a string representation of a data type into an ApiGearType object, handling basic types and arrays”","Converts a string representation of a data type into an ApiGearType object, handling basic types and arrays.”",18.16725573641283,64.28571428571428,46.15384615384615,64.28571428571428,82.46683478355408
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,Creates an ApiGearProperty object from a VSS node and a specified datatype”,"Creates an ApiGearProperty object from a VSS node and a specified datatype, populating its description if available.”",13.177929630227897,43.47826086956522,19.04761904761905,43.47826086956522,73.58201742172241
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,Loads and merges multiple VSpec files and their include dependencies into a single VSpec object”,"Loads and merges multiple VSpec files and their include dependencies into a single VSpec object, logging the process.”",49.2027451538551,75.86206896551724,66.66666666666666,75.86206896551724,89.48692679405212
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively updates a dictionary with another dictionary, merging nested dictionaries”","Recursively updates a dictionary with another dictionary, merging nested dictionaries and overwriting non-dictionary values”",44.12739850976206,85.71428571428572,63.1578947368421,85.71428571428572,88.06465864181519
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,"Validates that a given string matches the format of a constant UID (e.g., '0x12345678') and returns the original string if valid.”","Validates that a given string matches the format of a constant UID (e.g., '0x12345678') and returns the original string if valid or None if invalid.”",3.5198870526684183,29.411764705882355,6.25,23.529411764705884,57.253628969192505
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","Creates and attempts to resolve a VSSRaw object, logging a debug message if resolution fails”","Creates and attempts to resolve a VSSRaw object, returning it or a partially initialized version if resolution fails”",23.961829057131983,33.33333333333333,28.57142857142857,33.33333333333333,79.95805740356445
14,python,Validates that a list of strings are all known datatypes,Validates that a list of values contains only valid data types”,Validates that a list of values contains only valid data types.”,35.08439695638686,47.61904761904761,42.10526315789474,47.61904761904761,72.9052186012268
15,python,"Renders a VSS tree into a string, displaying specified attributes for each node","Generates a string representation of a VSS tree, including specified attributes for each node”","Generates a formatted string representation of a VSS tree, including specified attributes for each node”",27.22589423069702,74.07407407407408,55.99999999999999,59.25925925925927,86.13831996917725
16,python,Finds the root of a VSS instance by recursively traversing up the parent hierarchy,"Recursively traverses up the VSS tree to find the root instance node, raising an exception if no instance root is found”","Recursively traverses up the VSS tree to find the root instance node, raising an exception if no instance root is found or if the current node is not an instance.”",5.406502668979586,40.0,12.121212121212123,17.142857142857142,71.72142267227173
17,python,Counts the depth of a chain of instance branches,Recursively counts the depth of instance children within a VSSDataBranch”,Recursively counts the depth of instance children within a VSSDataBranch”,19.64073254502565,63.1578947368421,47.05882352941176,52.63157894736842,68.73961091041565
18,python,Finds all child node IDs that belong to a specific parent name,Finds the IDs of all nodes whose expected parent is a given name”,Finds the IDs of all nodes whose expected parent is a given name”,4.6192151051305474,48.00000000000001,0.0,32.0,79.93607521057129
19,python,"Gets an attribute, returning a default value if the attribute is missing or its value is None","Safely retrieves an attribute from an object, returning a default value if the attribute is missing”","Safely retrieves an attribute from an object, returning a default value if the attribute is not found”",48.97532620381685,66.66666666666667,58.06451612903225,66.66666666666667,78.60730290412903
