id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,Checks if a value matches a specified datatype”,Checks if a value is of a specified datatype”,14.448814886766836,57.14285714285715,21.05263157894737,47.61904761904762,83.37322473526001
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,Checks if a value or list of values is a valid signed or unsigned integer within a specified bit range”,"Checks if a value or list of values is a valid integer within a specified bit range, optionally considering signedness”",56.959884327614716,82.05128205128204,70.27027027027027,82.05128205128204,88.18416595458984
4,python,Looks up a type definition tuple by its string name from a list of types,Retrieves a type definition from a list of types based on a given datatype string”,"Retrieves a type definition (including name, constructor, and subtypes) from a list of types based on a given datatype string”",20.287366424876,57.14285714285715,36.36363636363637,51.42857142857144,73.18403720855713
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,Identifies and returns a dictionary of namespaced datatypes that match a given fully qualified name prefix”,Identifies and returns a dictionary of namespaced datatypes that match a given fully qualified name prefix.”,5.401157445454033,32.25806451612903,6.89655172413793,25.80645161290323,64.62846994400024
7,python,Converts a string-based data type definition into an ApiGearType object,"Converts a string representation of a data type into an ApiGearType object, handling basic types and arrays”","Converts a string representation of a data type into an ApiGearType object, handling basic types and arrays.”",16.19557012853241,64.28571428571428,46.15384615384615,64.28571428571428,82.20068216323853
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,Creates an ApiGearProperty object from a VSS node and a specified datatype”,"Creates an ApiGearProperty object from a VSS node and a specified datatype, populating its description if available.”",8.097785064266205,35.714285714285715,15.384615384615385,35.714285714285715,69.27646398544312
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,Loads and merges multiple VSpec files and their include dependencies into a single VSpec object”,"Loads and merges multiple VSpec files and their include dependencies into a single VSpec object, logging the process.”",39.41004770986059,68.75000000000001,59.999999999999986,68.75000000000001,84.24420356750488
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively updates a dictionary with another dictionary, merging nested dictionaries”","Recursively updates a dictionary with another dictionary, merging nested dictionaries and overwriting non-dictionary values”",42.311785416105785,76.92307692307692,50.0,69.23076923076923,80.40898442268372
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,"Validates that a given string matches the format of a constant UID (e.g., '0x12345678') and returns the original string if valid.”","Validates that a given string matches the format of a constant UID (e.g., '0x12345678') and returns the original string if valid or None if invalid.”",3.072311854373273,26.31578947368421,5.555555555555555,21.052631578947366,56.40106201171875
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","Creates and attempts to resolve a VSSRaw object, logging a debug message if resolution fails”","Creates and attempts to resolve a VSSRaw object, returning it or a partially initialized version if resolution fails”",21.797469124036954,36.36363636363636,25.80645161290323,36.36363636363636,80.79259395599365
14,python,Validates that a list of strings are all known datatypes,Validates that a list of values contains only valid data types”,Validates that a list of values contains only valid data types.”,28.917849332325716,47.61904761904761,42.10526315789474,47.61904761904761,72.1393883228302
