id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,"Raises an exception if the specified 'datatype' is unsupported, otherwise retrieves that type's validation function and returns the boolean result of calling it with the provided 'value'",Checks if a given value conforms to a specified datatype by retrieving the corresponding type object and applying it to the value.,Validates if a value matches a specified datatype by retrieving the type object associated with the datatype and checking if the value is an instance of that type.,4.686621581836457,50.0,14.814814814814813,25.0,64.51553106307983
3,python,"Validates that a given value, or each value in a list, is an integer that fits within the numerical range defined by a specified bit-width and signedness","Checks if a given integer or list of integers falls within a specified range, considering whether the integers are signed or unsigned and the number of bits used to represent them.","Checks if a given integer or list of integers falls within a specified range, considering whether the integers are signed or unsigned and the number of bits used to represent them.",4.180647946097227,37.28813559322034,7.017543859649124,27.11864406779661,75.63621997833252
4,python,"Returns the type definition tuple from a class-level list of types that matches the provided 'datatype' name, or returns None if no match is found","Retrieves a type definition (name, constructor, and arguments) from a class's types dictionary based on a given datatype string, or returns None if not found.","Retrieves a type definition (name, constructor, and arguments) from a class's types dictionary based on a given datatype string, returning None if not found.",5.250881761853935,43.13725490196078,16.3265306122449,39.21568627450981,75.738126039505
5,python,Returns a dictionary mapping the short name to the full FQN for all dynamic datatypes that exist in the same namespace as the provided FQN,"Extracts a dictionary of namespaced datatypes from a list of dynamic datatypes, filtering based on a provided fully qualified name prefix.","Extracts a dictionary of namespaced datatypes from a list of dynamic datatypes, filtering based on a provided fully qualified name prefix and logging the result.",4.514788618484022,28.000000000000004,8.333333333333332,20.000000000000004,63.35222125053406
7,python,"Parses a type string to create an `ApiGearType` object, mapping common primitive types to their ApiGear equivalents, sanitizing custom type names by replacing dots with underscores, and setting an array flag based on a ""[]"" suffix","Converts a string representation of a data type (e.g., 'int32', 'float', 'string', or 'uint64[]') into an ApiGearType object, handling basic types, floating-point types, booleans, strings, and arrays.","Converts a string representation of a data type (e.g., 'int32', 'float', 'string', or 'uint64[]') into an ApiGearType object, handling basic types, floating-point types, booleans, strings, and array types.",3.4618461427530622,30.769230769230766,6.349206349206351,27.69230769230769,62.351930141448975
8,python,"Creates an `ApiGearProperty` by converting the VSS node's datatype to a supported ApiGear type and copying its description, returning `None` and logging a warning if the datatype is not supported","Creates an ApiGearProperty object from a VSSNode and a specified datatype, populating its type and description if available.","Creates an ApiGearProperty object from a VSSNode and a specified datatype, populating its type and description if available, or returning None if the datatype is unsupported.",10.839039780352158,59.64912280701755,25.454545454545453,45.614035087719294,75.01023411750793
10,python,"Loads and parses multiple VSpec files from specified paths, using a list of include directories, then merges them into a single composite VSpec object and returns it, raising an exception if no files are successfully loaded","Loads and merges multiple VSpec files from specified paths, logging the process and raising an exception if no specifications are found.","Loads and merges multiple VSpec files from specified paths and include directories, logging the process and raising an exception if no specifications are found.",24.218004749908683,60.0,37.93103448275862,56.666666666666664,80.29037117958069
11,python,"Recursively updates a 'base' dictionary with an 'update' dictionary, merging nested dictionaries for common keys and overwriting or adding all other key-value pairs","Recursively updates a dictionary with another dictionary, merging nested dictionaries while overwriting non-dictionary values.","Recursively updates a dictionary with another dictionary, merging nested dictionaries and overwriting non-dictionary values.",22.086271505868933,56.41025641025641,37.83783783783784,56.41025641025641,74.25061464309692
12,python,"Asserts that the input value, if not None, is a valid 'constUID' formatted as an 8-digit hexadecimal string prefixed with '0x', returning the value if the check passes","Validates if a given string is a valid hexadecimal constant UID (format: 0x followed by 8 hexadecimal characters) and returns the input string if valid, otherwise returns None.","Validates if a given string is a valid hexadecimal constant UID (format: 0x followed by 8 hexadecimal characters) and returns the input string if valid, otherwise returns None.",6.5430676351518295,42.10526315789473,10.909090909090908,28.070175438596497,73.90053868293762
13,python,"Initializes a VSSRaw model and attempts to resolve it, returning the successfully resolved model or the original unresolved model if resolution fails due to a validation or model error","Creates a VSSRaw object from a dictionary, attempts to resolve it, and returns the object (or the initialized incomplete object if resolution fails).","Creates a VSSRaw object from a dictionary, attempts to resolve it, and returns the object or an initialized incomplete object if resolution fails.",18.537508851172575,49.999999999999986,23.999999999999996,42.30769230769231,80.4979145526886
14,python,"Asserts that each string in the input list is a valid datatype by checking against a master list, returning the original list if all values are valid","Validates a list of datatypes against a predefined set of allowed datatypes, raising an assertion error if any invalid datatypes are found.","Validates a list of datatypes against a predefined set of allowed datatypes, raising an assertion error if any invalid datatypes are encountered.",3.6431272114063575,24.489795918367346,4.25531914893617,20.408163265306122,65.98536372184753
15,python,"Traverses a VSSNode tree to generate a formatted string, displaying each node's name followed by the values of any specified attributes found on it","Generates a string representation of a VSSNode tree, including specified attributes, by recursively traversing the tree and formatting each node's name and attribute values.","Generates a formatted string representation of a VSSNode tree, including specified attributes, by recursively traversing the tree and formatting each node's name and attribute values.",13.597796343834895,62.745098039215684,32.6530612244898,31.372549019607842,79.2239248752594
16,python,"Recursively traverses up the parent hierarchy to find and return the first non-instance ancestor node and the traversal depth, raising an exception if the starting node is not a branch or if no root is found","Recursively traverses up the tree to find the root node of an instance, raising an exception if no instance root is found or if the current node is not an instance.","Recursively traverses up the tree to find the root node of an instance, incrementing the depth with each level, and raising an exception if no instance root is found or if the current node is not an instance.",20.58958743480881,69.33333333333334,38.35616438356164,47.99999999999999,77.4344265460968
17,python,Recursively calculates the depth of the first-found branch of children where each node is a `VSSDataBranch` with its `is_instance` flag set,Recursively counts the depth of instance children within a VSSDataBranch tree structure.,"Recursively counts the depth of instance children within a VSSDataBranch tree structure, returning 1 if an instance child is found and 0 otherwise.",6.811482215007801,43.47826086956522,13.636363636363635,34.78260869565217,66.7679488658905
18,python,Returns a list of node IDs from an input list whose expected parent's name matches the provided `name`,Identifies the IDs of nodes whose expected parent is a specified name within a list of node IDs.,Identifies the IDs of nodes whose expected parent is a specified name within a list of node IDs.,22.020875635137585,54.05405405405405,34.285714285714285,27.027027027027025,69.80645656585693
19,python,"Retrieves an attribute from an object, returning a specified default value if the attribute is missing or its value is `None`","Safely retrieves an attribute from an object, returning a default value if the attribute is not found or is None.","Safely retrieves an attribute from an object, returning a default value if the attribute is not found or is None.",50.41877957337027,82.92682926829269,66.66666666666667,82.92682926829269,87.01887726783752
20,python,Generates a `proto3` file from a VSS tree by first writing import statements for complex data types and then converting each branch in the tree into a corresponding protobuf message,"Generates a Protocol Buffer definition from a VSS signal tree by recursively traversing the tree, extracting data types, writing imports, and creating message definitions for each branch.","Generates a Protocol Buffer definition from a VSS signal tree by recursively traversing the tree, extracting data types, writing imports, and creating message definitions for each branch, optionally including static UIDs and optional fields.",7.409538079287735,53.125,22.58064516129032,37.50000000000001,71.8622624874115
21,python,"Traverses a VSS tree to find all terminal instance branches, grouping their relative names into a dictionary where each key is the fully qualified name of the original branch they instantiate","Collects the fully qualified names of all instances (non-branching data objects) that are children of a given VSS node, grouping them by their instance root node.","Collects the fully qualified names of all instances (non-branching data objects) that are children of a given VSS node, grouping them by their instance root node and returning a dictionary mapping instance root FQNs to lists of instance names.",5.641439241984128,39.43661971830986,8.695652173913043,19.71830985915493,63.89243006706238
22,python,Checks if a given VSSNode is a leaf by verifying its 'data' attribute is an instance of VSSDataDatatype,Checks if a given VSSNode is a leaf node by verifying if its data attribute is an instance of the VSSDataDatatype class.,Determines if a VSSNode is a leaf node by checking if its data attribute is an instance of the VSSDataDatatype class.,31.27670021100431,76.92307692307692,54.05405405405405,76.92307692307692,89.60420489311218
23,python,Returns `True` if the given `VSSNode`'s data is a `VSSDataBranch` and its `is_instance` attribute is `False`,"Checks if a VSSNode represents a branch with a non-instance VSSDataBranch, indicating a VSS branch.",Determines if a VSSNode represents a branch with a non-instance VSSDataBranch.,1.1614897408688967,33.333333333333336,0.0,26.666666666666668,65.99013805389404
24,python,Returns True if the node's data is a VSSDataBranch and its 'is_instance' attribute is True,Checks if a VSSNode represents an instance of a VSSDataBranch by verifying if the node's data is a VSSDataBranch and if that branch is marked as an instance.,Determines if a VSSNode represents an instance of a VSSDataBranch by checking if its data is a VSSDataBranch and if that branch's 'is_instance' attribute is True.,29.113216578145625,57.77777777777777,37.2093023255814,48.88888888888888,73.74972701072693
25,python,"Calculates a 32-bit FNV-1 hash for a given byte string by iterating through each byte, multiplying the current hash by the FNV prime, and then performing a bitwise XOR with the byte",Calculates a 32-bit FNV-1a hash value for a given byte string by iteratively multiplying the hash by a prime number and XORing it with each byte of the input.,"Calculates a 32-bit FNV-1a hash value for a given byte string by iteratively multiplying the hash by a prime number and XORing it with each byte of the input, ensuring the result remains within 32 bits.",26.303881842623145,66.66666666666667,34.285714285714285,55.55555555555555,79.33286428451538
28,java,"Inflates the `card_fragment` layout, finds and assigns the card's title and icon views, and returns the resulting root view","Inflates a layout for a card-like fragment, retrieving references to the title and icon views within the layout.","Inflates a layout for a card-like fragment, retrieving references to the title and icon views within the layout to be used for displaying card data.",11.188294598960788,46.80851063829788,13.33333333333333,38.297872340425535,70.67445516586304
29,java,"Updates an `ImageButton`'s icon and click listener from a content object and makes it visible, or hides the button if the content is null","Updates the visibility and content of an ImageButton based on the provided DescriptiveTextWithControlsView, setting its icon and click listener if the content is not null, otherwise hiding it.","Updates an ImageButton's visibility and content (icon and click listener) based on a DescriptiveTextWithControlsView, showing it with the content if available, otherwise hiding it.",12.518685342845677,60.0,29.166666666666668,48.0,71.92292809486389
30,java,"Lazily inflates a `ViewStub` to create a descriptive text layout, caches references to its child views (title, subtitle, image), and returns the inflated layout","Lazily inflates and caches a ViewStub to obtain a layout for displaying descriptive text and optional elements, along with their associated text and image views, for reuse.","Lazily inflates and caches a ViewStub to obtain a layout for displaying descriptive text and optional elements, along with their associated text and image views, for reuse.",4.571351217182704,50.98039215686274,16.3265306122449,35.294117647058826,74.73942637443542
31,java,Updates the header view on the main UI thread by making its root view visible and setting the card's title and icon from the provided `CardHeader` object,Updates the UI elements of a card header view (title and icon) on the main thread using the provided header data.,Updates the card header view's title and icon on the main thread using the provided header data.,9.603903191672295,65.21739130434783,40.9090909090909,43.47826086956522,79.88806366920471
32,java,"Lazily inflates a `ViewStub` to create and return the text block layout view, while also finding and caching references to its child text views on the first call","Retrieves a View representing a text block layout, inflating it from a ViewStub if it hasn't been created yet and caching it for future use.","Retrieves or lazily inflates a View representing a text block layout, caching it for future use and obtaining references to its child views.",13.10683544348954,54.90196078431373,28.57142857142857,47.05882352941176,75.58123469352722
33,java,"Queries the `PackageManager` for a `MediaBrowserService` within a given package and returns a `ComponentName` for the first one found, or `null` if none exist",Retrieves the default media browsing service component name for a given package by querying the package manager for services that implement the MediaBrowserService interface.,"Retrieves the default media browsing service component name for a given package by querying the package manager for services that implement the MediaBrowserService interface, returning null if no such service is found.",6.3414999593821015,39.285714285714285,14.814814814814813,32.142857142857146,72.11775779724121
