id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,"Raises an exception if the specified 'datatype' is unsupported, otherwise retrieves that type's validation function and returns the boolean result of calling it with the provided 'value'",Checks if a given value conforms to a specified datatype by retrieving the corresponding type object and applying it to the value.”,Validates if a given value matches a specified datatype by retrieving the corresponding type object and checking if the value is an instance of that type.”,3.889818545474848,44.44444444444445,11.538461538461538,25.92592592592593,64.78978991508484
3,python,"Validates that a given value, or each value in a list, is an integer that fits within the numerical range defined by a specified bit-width and signedness",Checks if a given value or list of values are within the specified range for a signed or unsigned integer of a given bit size.”,Checks if a given value or list of values are valid integers within the specified range for a signed or unsigned integer of a given bit size.”,7.496263447644965,47.27272727272727,15.09433962264151,36.36363636363637,78.87302041053772
4,python,"Returns the type definition tuple from a class-level list of types that matches the provided 'datatype' name, or returns None if no match is found","Retrieves a tuple containing the type name, constructor, and list of valid values for a given datatype from a class's `types` attribute, or returns `None` if the datatype is not found.”","Retrieves a tuple containing the type name, constructor, and list of valid values for a given datatype from a class's `types` attribute, returning `None` if the datatype is not found.”",4.414964427731763,56.14035087719298,18.18181818181818,35.08771929824561,69.33220028877258
5,python,Returns a dictionary mapping the short name to the full FQN for all dynamic datatypes that exist in the same namespace as the provided FQN,"Identifies and returns a dictionary of namespaced datatypes that match a given fully qualified name (FQN) prefix, excluding the FQN itself.”",Identifies and returns a dictionary of namespaced datatypes that match a given fully qualified name (FQN) prefix.”,4.698737757693878,33.33333333333333,15.0,28.571428571428566,67.0136570930481
7,python,"Parses a type string to create an `ApiGearType` object, mapping common primitive types to their ApiGear equivalents, sanitizing custom type names by replacing dots with underscores, and setting an array flag based on a ""[]"" suffix","Converts a string representation of a data type (e.g., 'int32', 'string[]') into an `ApiGearType` object, handling basic types, floating-point types, booleans, strings, and arrays.”","Converts a string representation of a data type (e.g., 'int32', 'string[]') into an `ApiGearType` object, handling basic types, floating-point types, booleans, strings, and array types.”",14.469165429481388,32.25806451612903,6.666666666666667,29.03225806451613,64.38124179840088
8,python,"Creates an `ApiGearProperty` by converting the VSS node's datatype to a supported ApiGear type and copying its description, returning `None` and logging a warning if the datatype is not supported","Creates an `ApiGearProperty` object from a `VSSNode`'s data and a specified datatype, setting the property's type and description if available.”","Creates an `ApiGearProperty` object from a `VSSNode`'s data and a specified datatype, setting the property's type and description if available, or returning `None` if the datatype is unsupported.”",24.20500865184436,59.01639344262295,23.728813559322038,45.90163934426229,75.2878487110138
10,python,"Loads and parses multiple VSpec files from specified paths, using a list of include directories, then merges them into a single composite VSpec object and returns it, raising an exception if no files are successfully loaded","Loads and merges multiple VSpec files (and their included files) into a single VSpec object, logging the process and raising an exception if no specs are loaded.”","Loads and merges multiple VSpec files (and their included files) into a single VSpec object, logging the process and raising an exception if no specs are loaded or if there are any errors during the process.”",17.14477581914667,55.55555555555556,28.57142857142857,50.0,77.18988060951233
11,python,"Recursively updates a 'base' dictionary with an 'update' dictionary, merging nested dictionaries for common keys and overwriting or adding all other key-value pairs","Recursively updates a dictionary `base` with the contents of another dictionary `update`, merging nested dictionaries while overwriting non-dictionary values.”","Recursively updates a dictionary `base` with the contents of another dictionary `update`, merging nested dictionaries and overwriting non-dictionary values.”",15.663915411954296,59.09090909090908,23.809523809523807,50.0,76.34090781211853
12,python,"Asserts that the input value, if not None, is a valid 'constUID' formatted as an 8-digit hexadecimal string prefixed with '0x', returning the value if the check passes","Validates if a given string `v` is a valid constant UID (hexadecimal string starting with '0x' and containing 8 hexadecimal characters) and returns the string if valid, otherwise returns None.”","Validates if a given string `v` is a valid constant UID (hexadecimal string starting with '0x' and containing 8 hexadecimal characters) and returns the string if valid, otherwise returns None.”",6.364005413961753,40.67796610169491,14.035087719298248,33.898305084745765,73.00352454185486
13,python,"Initializes a VSSRaw model and attempts to resolve it, returning the successfully resolved model or the original unresolved model if resolution fails due to a validation or model error","Creates a `VSSRaw` object from a dictionary, attempts to resolve it, and returns the object (or the initialized incomplete object if resolution fails).","Creates a `VSSRaw` object from a dictionary, attempts to resolve it, and returns the object, logging a debug message if resolution fails.",17.575849493881,47.05882352941176,24.489795918367342,39.21568627450981,74.36293363571167
14,python,"Asserts that each string in the input list is a valid datatype by checking against a master list, returning the original list if all values are valid","Validates a list of datatypes against a predefined set of allowed datatypes, raising an assertion error if an invalid datatype is encountered.”","Validates a list of datatypes against a predefined set of allowed datatypes, raising an assertion error if an invalid datatype is encountered.”",3.7784112039641315,28.57142857142857,4.25531914893617,16.3265306122449,64.35303092002869
15,python,"Traverses a VSSNode tree to generate a formatted string, displaying each node's name followed by the values of any specified attributes found on it","Generates a string representation of a VSSNode tree, including specified attributes, by recursively traversing the tree and formatting each node's name and attribute values.”","Generates a formatted string representation of a VSSNode tree, including specified attributes, by recursively traversing the tree and formatting each node's name and attribute values.”",13.102495978815188,62.745098039215684,32.6530612244898,31.372549019607842,77.45264768600464
16,python,"Recursively traverses up the parent hierarchy to find and return the first non-instance ancestor node and the traversal depth, raising an exception if the starting node is not a branch or if no root is found","Recursively traverses up the tree to find the root node of an instance, raising an exception if no instance root is found.”","Recursively traverses up the tree to find the root node of an instance, returning the root node and its depth, or raising an exception if no instance root is found.”",20.204808943094505,65.67164179104478,33.84615384615385,56.716417910447745,76.62402391433716
17,python,Recursively calculates the depth of the first-found branch of children where each node is a `VSSDataBranch` with its `is_instance` flag set,Recursively counts the depth of instance children within a VSSDataBranch tree structure.”,Recursively counts the depth of instance children within a VSSDataBranch tree structure.,5.005430390732844,45.71428571428571,18.18181818181818,40.0,75.09048581123352
18,python,Returns a list of node IDs from an input list whose expected parent's name matches the provided `name`,Identifies the IDs of all nodes whose expected parent is a specified name by iterating through a list of node IDs and filtering based on the `get_expected_parent` function.”,Identifies the IDs of all nodes whose expected parent is a specified name by iterating through a list of node IDs and filtering based on the `get_expected_parent` function.”,12.360545410216945,40.81632653061224,25.53191489361702,28.57142857142857,65.78128337860107
19,python,"Retrieves an attribute from an object, returning a specified default value if the attribute is missing or its value is `None`","Retrieves an attribute from an object, returning a default value if the attribute is not found or is None.”","Retrieves an attribute from an object, returning a default value if the attribute is not found or is None.”",55.03323637808925,85.00000000000001,68.42105263157895,85.00000000000001,87.7367615699768
