id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,Checks if a value is of a specified datatype.,Validates if a value conforms to a specified datatype.,15.20797122409784,57.14285714285715,21.05263157894737,47.61904761904762,85.5933666229248
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,Checks if a value or list of values are within the range of a signed or unsigned integer of a specified bit width.,Checks if a value or list of values are within the range of a signed or unsigned integer of a specified bit width.,33.25778988272398,66.66666666666666,50.0,66.66666666666666,87.03191876411438
4,python,Looks up a type definition tuple by its string name from a list of types,"Returns a tuple containing the type, conversion function, and validation rules for a given datatype if it exists within the class's defined types.","Returns a tuple containing the type, conversion function, and validation rules for a given datatype if it exists within the class's defined types, or None otherwise.",2.1601524349994397,25.641025641025646,0.0,20.51282051282051,65.84070324897766
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,Returns a dictionary of namespaced datatypes matching a given fully qualified name.,"Returns a dictionary of namespaced datatypes matching a given fully qualified name, if any exist.",6.299392144493405,29.629629629629626,8.0,22.222222222222225,64.23771977424622
7,python,Converts a string-based data type definition into an ApiGearType object,"Converts a string representation of a data type to an ApiGearType object, handling basic types and arrays.","Converts a string representation of a data type to an ApiGearType object, handling basic types and arrays.",11.076007888812258,57.14285714285714,38.46153846153847,57.14285714285714,82.29517936706543
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,Creates an ApiGearProperty object from a VSSNode and a specified datatype.,"Creates an ApiGearProperty object from a VSSNode and a specified datatype, handling unsupported datatypes.",6.896242107716467,27.27272727272727,10.000000000000002,27.27272727272727,76.1154294013977
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,"Loads and merges VSpec objects from specified files and directories, logging the process and raising an exception if no specs are found.","Loads and merges VSpec objects from specified files and directories, logging the process and raising an exception if no specs are found.",8.010360497032464,38.88888888888889,17.647058823529413,33.33333333333333,73.72220158576965
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively updates a dictionary with another dictionary, merging nested dictionaries.","Recursively updates a dictionary with another dictionary, merging nested dictionaries.",54.52469119630863,85.71428571428572,63.1578947368421,85.71428571428572,90.10640382766724
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,"Validates if a given string is a valid hexadecimal constant UID (e.g., 0x12345678).","Validates if a given string is a valid hexadecimal constant UID (e.g., 0x12345678).",5.577144216540393,53.84615384615385,8.333333333333334,38.46153846153846,64.01749849319458
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","Creates and resolves a VSSRaw object from a dictionary, handling potential validation or model errors.","Creates and resolves a VSSRaw object from a dictionary, returning it even if validation or model errors occur.",3.234245292096216,20.000000000000004,0.0,20.000000000000004,72.30203151702881
