id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,Check if a value is of a specified datatype”,Validate if a value matches a specified datatype”,14.448814886766836,57.14285714285715,21.05263157894737,47.61904761904762,82.26420283317566
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,Check if a value or list of values is within a specified range for a signed or unsigned integer”,Check if a value or list of values is a valid signed or unsigned integer within a specified bit range”,43.200373340115924,68.42105263157895,50.0,57.89473684210527,80.638188123703
4,python,Looks up a type definition tuple by its string name from a list of types,Retrieve type information based on a given datatype string”,"Retrieve type information (type, constructor, and attributes) based on a given datatype string”",2.910967817713898,25.0,0.0,16.666666666666668,69.3263053894043
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,Extract namespaced datatypes from a fully qualified name”,Extract namespaced datatypes from a fully qualified name”,2.7376474102577797,17.39130434782609,0.0,17.39130434782609,60.07601618766785
7,python,Converts a string-based data type definition into an ApiGearType object,Convert a string representation of a data type to an ApiGearType object”,"Convert a string representation of a data type to an ApiGearType object, handling arrays”",10.127993013562818,60.86956521739131,38.0952380952381,60.86956521739131,88.53408694267273
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,Create an ApiGearProperty object from a VSSNode and datatype”,"Create an ApiGearProperty object from a VSSNode and datatype, handling unsupported datatypes”",6.7661652521453,30.0,11.111111111111112,30.0,72.47783541679382
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,Load and merge VSpec objects from specified files and directories”,"Load and merge VSpec objects from specified files and directories, handling potential errors”",7.073666451977357,41.666666666666664,9.090909090909092,33.33333333333333,77.39750146865845
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively update a dictionary with another dictionary, merging nested dictionaries”","Recursively update a dictionary with another dictionary, merging nested dictionaries”",23.021036988792517,76.1904761904762,42.10526315789474,76.1904761904762,86.83115839958191
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,Validate a constant UID string format”,Validate a constant UID string format”,4.008579202215618,33.33333333333333,12.500000000000004,33.33333333333333,64.94594216346741
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","Create and resolve a VSSRaw object from a dictionary, handling potential validation errors.”","Create and resolve a VSSRaw object from a dictionary, returning it even if validation fails.”",5.816635421147515,21.428571428571427,7.692307692307692,21.428571428571427,69.97278928756714
14,python,Validates that a list of strings are all known datatypes,Validate a list of datatypes against a predefined set of valid datatypes”,Validate a list of datatypes against a predefined set of valid datatypes”,13.545994273378144,36.36363636363636,20.0,36.36363636363636,63.85490894317627
15,python,"Renders a VSS tree into a string, displaying specified attributes for each node",Render a VSSNode tree with specified attributes as a string”,"Render a VSSNode tree to a string, including specified attributes”",7.073666451977357,52.17391304347826,19.04761904761905,34.78260869565217,79.65205311775208
16,python,Finds the root of a VSS instance by recursively traversing up the parent hierarchy,Find the root node of an instance branch in a VSS tree”,Traverse up the VSS tree to find the root node of an instance branch”,8.972971553870872,46.15384615384615,16.666666666666668,38.46153846153846,72.21372723579407
17,python,Counts the depth of a chain of instance branches,Recursively count the depth of instance children in a VSSDataBranch tree”,Recursively count the depth of instance children within a VSSDataBranch tree”,17.542198478193427,50.0,33.33333333333333,40.0,69.5729911327362
18,python,Finds all child node IDs that belong to a specific parent name,Find children node IDs given a list of node IDs and a parent name”,Find children node IDs given a list of node IDs and a parent name”,6.754312828675709,38.46153846153846,16.666666666666668,38.46153846153846,73.50620031356812
19,python,"Gets an attribute, returning a default value if the attribute is missing or its value is None","Safely retrieve an attribute from an object, returning a default value if the attribute is missing”","Safely retrieve an attribute from an object, returning a default value if the attribute is missing or None”",48.97532620381685,66.66666666666667,58.06451612903225,66.66666666666667,78.60754132270813
20,python,Generates a Protobuf schema from a Vehicle Signal Specification (VSS) tree,Generate a protobuf message definition from a VSS signal tree”,Generate a protobuf message definition from a VSS signal tree”,7.39343948260436,66.66666666666666,21.05263157894737,57.14285714285713,78.0416488647461
21,python,Groups all leaf VSS branch instances by the fully qualified name of their original branch definition,Collect instances of VSSDataBranch nodes under a given root node”,Collect instance names of VSSDataBranch nodes under a given root node”,2.7385973411104616,15.384615384615385,0.0,15.384615384615385,63.71921896934509
22,python,Determines if a VSS node is a leaf based on its data type,Check if a node is a leaf node in a VSS tree”,Check if a node is a leaf node in a VSS tree,25.490549227474283,55.99999999999999,43.47826086956522,48.00000000000001,76.48860216140747
23,python,Checks if a VSS node is a branch that is not an instance,Check if a node is a VSS branch with non-instance data”,Check if a node represents a VSS branch with non-instance data”,17.095746935849984,64.0,34.78260869565217,55.99999999999999,80.6580662727356
24,python,Checks if a VSS node represents a branch instance,Check if a VSSNode represents an instance of a VSSDataBranch”,Check if a VSSNode's data is an instance of a VSSDataBranch”,10.552670315936318,52.63157894736842,11.76470588235294,42.10526315789474,75.51721334457397
25,python,FNV-1 32-bit hashing algorithm for a byte sequence,Compute the FNV-1a 32-bit hash of a byte string”,Compute the FNV-1a 32-bit hash of a byte string”,17.542198478193427,47.61904761904761,21.05263157894737,47.61904761904761,80.65991401672363
28,java,Inflates a card fragment's layout and initializes its view components,Inflate a layout and find view elements for a card-like UI element”,Inflate a layout and find view elements for a card-like UI element”,8.054496384843702,41.666666666666664,18.18181818181818,33.333333333333336,72.43380546569824
29,java,"Sets a button's icon and click listener to make it visible, or hides it if no content is provided",Update the visibility and content of an ImageButton based on a DescriptiveTextWithControlsView.”,Update an ImageButton's visibility and icon based on a DescriptiveTextWithControlsView.”,2.4347130516557893,18.749999999999996,0.0,12.5,61.632364988327026
30,java,Lazily inflates and initializes a descriptive text layout view on first access,Retrieve or inflate a view for displaying descriptive text only.”,"Retrieve or inflate a view for displaying descriptive text only, caching it for reuse.”",8.054496384843702,36.36363636363636,10.0,27.27272727272727,65.13164639472961
31,java,Updates and displays a card header view with a new title and icon,Updates the header view of a card with the provided card header information.,Updates the card header view with the card title and icon.,9.837489905577815,46.15384615384615,25.0,30.76923076923077,70.74573040008545
32,java,Lazily inflates and returns a text block layout view from a ViewStub,Retrieve or inflate a text block layout view”,Retrieve or inflate a text block layout view”,20.96902555852457,50.0,44.44444444444444,50.0,74.27629232406616
33,java,Gets the media browser service component from a given package,Retrieve the default media browser service component name for a given package”,Retrieve the default media browser service component name for a given package”,26.20251007173262,72.72727272727272,50.0,72.72727272727272,82.64938592910767
34,java,Determines if an app component should be launchable by filtering against a hide list and de-duplicating media services,Determine if a component should be added to the launchables list based on app type and custom media component settings”,"Determine if a component should be added to the launchables list based on app type, custom media component settings, and apps to hide”",9.379601158083608,46.15384615384615,10.81081081081081,35.8974358974359,74.77004528045654
35,java,Sets the media source and finishes the current activity,Selects a media source and finishes the activity if it is one.”,Selects a media source and finishes the activity if it is one.”,27.824623288353134,57.14285714285715,42.10526315789474,57.14285714285715,76.01439356803894
36,java,"Safely checks if a given activity is distraction-optimized, handling potential connection errors",Check if an activity is distraction optimized via the CarPackageManager”,Check if an activity is distraction optimized using the CarPackageManager”,6.8803707079889325,43.47826086956522,28.571428571428577,43.47826086956522,67.98501014709473
38,java,"Retrieves a specific, configured Intent for the default maps app, falling back to a generic one",Determine the preferred map application to launch from a list of configured activities.”,"Determine the preferred map application to launch from a list of configured activities, falling back to the default if none are found.”",3.042812100617061,27.586206896551722,0.0,20.689655172413794,59.108948707580566
39,java,Dynamically instantiates and displays home card modules defined in a configuration resource,Dynamically instantiate and add HomeCardModule classes to a FragmentTransaction”,Dynamically instantiate and add HomeCardModule classes to a FragmentTransaction for display”,4.4959869933858485,28.571428571428577,0.0,28.571428571428577,75.27850866317749
40,java,Removes dangling tasks that are in multi-window mode,Remove dangling multi-window tasks from the ActivityTaskManager.,Remove dangling multi-window tasks from the ActivityTaskManager.,7.267884212102741,47.05882352941176,13.333333333333334,35.294117647058826,78.86000275611877
41,java,Updates the mode from the intent and sets the UI title accordingly,Update the application mode based on intent data and update the title accordingly”,Update the application mode and title based on intent data”,4.834632845440431,55.99999999999999,8.695652173913043,55.99999999999999,80.28947114944458
42,java,Lazily initializes and returns the Chronometer view on first access,"Retrieve a Chronometer view from the layout, creating it if it doesn't exist.”",Retrieve or create a Chronometer view from the layout.”,5.412989186545265,25.0,9.090909090909092,16.666666666666664,57.638782262802124
43,java,Blurs and scales an image to set as a card's visible background,Inflate and initialize the media layout view with controls and text fields.”,"Inflate and initialize the media layout view, including controls and text fields.”",2.8398387225677895,8.0,0.0,8.0,62.32600212097168
44,java,Blurs and scales an image to set as a card's visible background,Blur and set a background image for a card view”,"Blur and set a background image for a card view, scaling it to the card's dimensions”",5.137253268075483,52.17391304347826,9.523809523809526,34.78260869565217,76.70451998710632
45,java,Makes the media view visible and sets its title and subtitle,Update the media view with a title and subtitle”,Update the media view's title and subtitle”,17.86940056814559,60.0,44.44444444444445,60.0,74.27691221237183
46,java,"Starts and shows a chronometer if a start time is positive; otherwise, hides it",Update the chronometer visibility and start/stop it based on the audio duration.”,Update chronometer visibility and start/stop it based on audio start time.”,3.4585921141027365,29.629629629629633,0.0,22.222222222222225,62.166035175323486
47,java,Registers a callback on a newly added call,Register a callback for a newly added call object,Register a callback to handle a newly added call object,35.49481056010054,70.58823529411765,53.333333333333336,70.58823529411765,82.67795443534851
48,java,Resets state and unregisters the callback when a call is removed,Remove a call and update the presenter with the new state”,Remove a call and update the presenter with the new state”,8.913765521398126,45.45454545454545,10.000000000000002,18.181818181818183,63.19115161895752
49,java,Updates the ongoing call view model with a formatted phone number and UI controls,Updates the call model with a formatted phone number and notifies the presenter.,Updates the call model with a formatted phone number and notifies the presenter of the update.,49.132705481444226,74.07407407407408,55.99999999999999,74.07407407407408,78.09949517250061
50,java,"Initializes the Mute, End Call, and Dialpad buttons for an in-call user interface","Initialize audio controls (mute, end call, dialpad) for an in-call UI.","Initialize audio controls (mute, end call, dialpad) for an in-call UI.",10.343603005129705,61.53846153846153,41.666666666666664,61.53846153846153,84.61253643035889
53,cpp,Notifies a newly added listener if the D-Bus connection is already available,Notify listener of connection status if connected”,Notify listener of connection status if connected”,4.231118166423695,30.0,0.0,20.0,68.37859749794006
54,cpp,"For an active connection, adds a thread to a list to be joined on exit, avoiding duplicates",Register a thread to be joined on exit”,Register a thread to be joined on exit”,12.164055536768956,56.00000000000001,52.17391304347825,56.00000000000001,71.63455486297607
56,cpp,A callback to stop monitoring a D-Bus watch and clean up its associated data,Remove a DBus watch and stop watching if ready”,Remove a DBus watch and stop watching if it was previously ready”,6.506124089578341,33.333333333333336,9.090909090909092,25.0,66.0190761089325
57,cpp,"A libdbus callback that creates, starts, or stops a D-Bus watch based on its readiness status",Toggle DBus watch state based on a libdbus event.”,Toggle DBus watch state based on a libdbus event and context.”,4.987920159185045,38.46153846153846,16.666666666666664,23.076923076923077,71.15029692649841
58,cpp,Thread-safely gets or creates a singleton DBusObjectManager instance using double-checked locking,Lazy initialization of a shared pointer to a DBusObjectManager”,Lazy initialization of a shared pointer to a DBusObjectManager”,3.817681337429047,18.181818181818183,0.0,18.181818181818183,68.95008683204651
59,cpp,Performs a reference-counted release of a D-Bus service name,"Release a service name from the DBus connection, decrementing its count if necessary.”","Release a service name from the DBus connection, decrementing its count if necessary and handling errors.”",5.412989186545265,33.333333333333336,9.09090909090909,33.333333333333336,67.37481355667114
60,cpp,Steals the reply from a pending D-Bus call and wraps it in a DBusMessage object,Convert a libdbus pending call to a DBusMessage object”,Convert a libdbus pending call to a DBusMessage object”,6.155947438501932,48.00000000000001,17.39130434782609,48.00000000000001,74.40349459648132
61,cpp,Safely deletes all pending asynchronous handlers from a shared list,Delete all pending asynchronous message handlers”,Delete all pending asynchronous message handlers,15.512258520268645,50.0,28.57142857142857,50.0,77.5713562965393
62,cpp,Reports a success status to all registered signal handlers for their associated tags,Iterate through signal handlers and call onSpecificError for each signal state.”,Iterate through signal handlers and call onSpecificError for each signal state.”,6.837203339116283,24.999999999999993,9.09090909090909,24.999999999999993,57.06348419189453
63,cpp,Thread-safely removes a connection from a collection if it exists,Remove a connection from the connection map”,Remove a connection from the connection map,15.925177647011354,33.33333333333333,25.0,33.33333333333333,63.43015432357788
64,cpp,Dispatches D-Bus signals for interface addition or removal to specific handlers,Handle DBus signals indicating interface availability changes.,Handle DBus signals for interface addition and removal events.,4.513617516969122,21.05263157894737,0.0,21.05263157894737,75.17753839492798
65,cpp,Retrieves the addresses of available service instances from a D-Bus registry,Retrieve available service instances from a DBus proxy”,Retrieve available DBus service instances”,35.53101061375182,50.0,44.44444444444444,50.0,78.97335290908813
66,cpp,Queries a D-Bus registry to determine if a specific service instance is available,Check if a DBus service instance is available and set the status accordingly”,Check if a DBus service instance is available and set the status accordingly”,22.997519112894437,44.44444444444445,32.0,44.44444444444445,78.58433723449707
67,cpp,Notifies that a service is unavailable when its corresponding D-Bus interface is removed,Remove interfaces from a DBus proxy when notified of their removal.,Remove interfaces from a DBus proxy when notified of their removal.,3.7052472057637615,16.0,0.0,16.0,69.55774426460266
68,cpp,Notifies CommonAPI listeners of a D-Bus interface's availability status change,Notify listeners of a change in the availability status of a DBus interface.,Notify listeners of a change in the availability status of a DBus interface.,13.912311644176565,55.99999999999999,26.08695652173913,40.0,88.85728716850281
69,cpp,Schedules an asynchronous notification of the current proxy status for a newly added listener,Add a listener to a DBus proxy to receive specific events.,Add a listener to a DBus proxy to receive specific events via a main loop thread.,3.7726698069117854,23.999999999999996,0.0,16.0,65.59185981750488
70,cpp,Removes all listener entries that match a given subscription in a thread-safe manner,Remove a listener from the list of listeners for a given subscription”,Remove a listener from the list of listeners for a given subscription,7.410494411527525,38.46153846153846,16.666666666666668,30.769230769230766,65.05448818206787
71,cpp,Forwards the addition of a D-Bus signal state handler to the underlying connection object,Add a signal handler to the DBus proxy connection”,Add a signal handler to the DBus proxy connection,11.56970650765539,50.0,18.181818181818183,50.0,75.52371621131897
72,cpp,Callback to translate available D-Bus service instance addresses to strings and forward the result,Asynchronously retrieves available instances of a DBus proxy and calls a callback with the status and instances.,Asynchronously retrieves available instances of a DBus proxy and invokes a callback with the status and a vector of instance addresses.,2.8265205879007453,25.0,0.0,18.750000000000004,70.53388953208923
73,cpp,Routes a D-Bus message to a registered handler or handles standard introspection requests,Handles incoming DBus messages by routing them to the appropriate interface handler or handling introspection requests.”,Routes and handles incoming DBus messages to interface handlers or handles introspection requests.”,6.423094863383858,40.0,14.285714285714288,33.33333333333333,82.2050929069519
74,cpp,"Adds a D-Bus interface handler to a path, preventing duplicate registration except for standard interfaces","Add a DBus interface handler to a table, checking for duplicates and special cases.”","Add a DBus interface handler to a table, handling duplicates and special object manager interfaces.”",16.467029855845897,40.0,21.428571428571427,40.0,76.08994245529175
75,cpp,"Registers a D-Bus handler for a specific path, preventing duplicates","Adds a DBusInterfaceHandler to a table of registered objects, preventing duplicates.”","Adds a DBusInterfaceHandler to a table of registered objects, ensuring no duplicates.”",12.011055432195764,36.36363636363637,10.000000000000002,36.36363636363637,78.82635593414307
