id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,This function checks if a given value conforms to a specified datatype using a type checker.,This function validates if a value matches a specified datatype by using a type checker.,11.633270842295028,66.66666666666666,23.999999999999996,59.25925925925925,78.79504561424255
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,"This function checks if a given integer or list of integers falls within a specified range, considering whether it's signed or unsigned.","This function validates if an integer or a list of integers is within a specified range, accounting for signed or unsigned representation.",5.730439214693396,48.78048780487805,10.256410256410255,34.14634146341463,80.68053126335144
4,python,Looks up a type definition tuple by its string name from a list of types,"This function retrieves a type definition (name, constructor, and properties) from a class's type list based on a given datatype string.","This function retrieves a type definition (name, constructor, and properties) from a class's `types` attribute based on a given datatype string.",7.02969566273961,43.24324324324324,17.142857142857142,37.83783783783784,68.8203752040863
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,This function extracts namespaced datatypes from a list based on a given fully qualified name prefix.,This function identifies and returns a dictionary of namespaced datatypes that match a given fully qualified name prefix.,5.0912128230977505,30.303030303030297,6.451612903225808,24.24242424242424,64.18202519416809
7,python,Converts a string-based data type definition into an ApiGearType object,"The function converts a string representation of a data type (e.g., ""int32"", ""float"", ""string"", ""int64[]"") into an `ApiGearType` object, handling basic types and arrays.","The function converts a string representation of a data type (e.g., ""int32"", ""float"", ""string"", ""int64[]"") into an `ApiGearType` object, handling basic types and arrays.",2.528595101106113,50.0,35.294117647058826,50.0,68.3146595954895
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,"This function generates an `ApiGearProperty` object from a `VSSNode` and a specified datatype, handling unsupported datatypes and populating the property's description if available.","This function generates an `ApiGearProperty` object from a `VSSNode` and a specified datatype, returning `None` if the datatype is unsupported.",2.955622941561161,25.806451612903224,13.793103448275861,25.806451612903224,65.0652825832367
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,"This function loads and merges multiple VSpec files, handling include directories and logging the process.","This function loads and merges multiple VSpec files, handling include directories and logging the process, returning a single combined VSpec.",18.331704949485054,52.94117647058824,37.49999999999999,52.94117647058824,81.00380897521973
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively updates a dictionary with another dictionary, merging nested dictionaries.","Recursively merges a dictionary into another, updating nested dictionaries.",12.320255516768906,60.0,22.222222222222225,60.0,84.070485830307
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,"This function validates if a given string is a valid hexadecimal constant UID (e.g., ""0x12345678"") and returns the input string if valid, otherwise None.","This function validates if a given string is a valid hexadecimal constant UID (e.g., ""0x12345678"") and returns the input string if valid, otherwise raises an assertion error.",2.8182998883818935,35.0,5.263157894736842,30.0,58.52139592170715
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","This function creates and attempts to resolve a `VSSRaw` object from a dictionary, returning it even if resolution fails.","This function creates a `VSSRaw` object from a dictionary and attempts to resolve it, returning the object even if resolution fails.",14.100024578768863,38.88888888888889,23.52941176470588,33.33333333333333,77.03816890716553
14,python,Validates that a list of strings are all known datatypes,"This function validates a list of datatypes against a predefined set of valid datatypes, raising an assertion error if any are invalid.","This function validates a list of datatypes, raising an assertion error if any are invalid.",9.672649511413097,48.0,17.391304347826086,40.0,64.48770761489868
15,python,"Renders a VSS tree into a string, displaying specified attributes for each node","This function recursively traverses a tree structure and formats it into a string representation, including specified attributes of each node.","This function recursively traverses a tree structure and formats it into a string representation, including specified attributes of each node.",10.331208012220435,54.545454545454554,25.80645161290323,54.545454545454554,80.47676682472229
16,python,Finds the root of a VSS instance by recursively traversing up the parent hierarchy,"Recursively traverses up the VSS tree to find the root instance node, handling cases where the current node is not an instance or has no parent.","Recursively traverses up the VSS tree to find the root instance node, raising an exception if the current node is not an instance or has no parent.",4.1858747270392405,39.02439024390244,10.256410256410257,24.390243902439025,70.06876468658447
17,python,Counts the depth of a chain of instance branches,Recursively counts the depth of instance children within a VSSDataBranch object.,Recursively counts the depth of instance children within a VSSDataBranch.,17.542198478193427,63.1578947368421,47.05882352941176,52.63157894736842,70.86728811264038
18,python,Finds all child node IDs that belong to a specific parent name,This function identifies node IDs whose expected parent is a given name.,This function returns a list of node IDs that have a specified name as their expected parent.,9.507244120026236,41.37931034482759,14.814814814814813,34.48275862068966,75.32418966293335
19,python,"Gets an attribute, returning a default value if the attribute is missing or its value is None","Safely retrieves an attribute from an object, returning a default value if the attribute is missing.","Safely retrieves an attribute from an object, returning a default value if the attribute is not found.",45.98036015897535,58.82352941176471,50.0,58.82352941176471,79.91119027137756
20,python,Generates a Protobuf schema from a Vehicle Signal Specification (VSS) tree,"This code generates a Protobuf definition from a VSS signal tree, including necessary imports and message structures.","This code generates a Protobuf definition from a VSS signal tree, including necessary imports and message structures for specified signal types.",5.154337627145953,50.0,20.0,43.74999999999999,70.49255967140198
21,python,Groups all leaf VSS branch instances by the fully qualified name of their original branch definition,"This function extracts the fully qualified names of all instances (non-branching) from a VSS tree, grouped by their root instance.","This function extracts the fully qualified names of all instances (non-branching) from a VSS tree, grouped by their root instance.",7.707532488755378,48.64864864864864,11.428571428571429,27.027027027027025,71.27276659011841
22,python,Determines if a VSS node is a leaf based on its data type,This function checks if a VSS node is a leaf node by verifying if its data is a VSSDataDatatype.,This function determines if a VSS node represents a leaf node by checking if its data is of type VSSDataDatatype.,16.24355752882385,66.66666666666667,38.70967741935484,60.60606060606061,77.66814827919006
23,python,Checks if a VSS node is a branch that is not an instance,This function checks if a VSS node represents a branch with a non-instance data type.,This function determines if a VSS node's data is a branch and not an instance.,20.751552684616424,68.96551724137932,51.85185185185186,68.96551724137932,85.64981818199158
24,python,Checks if a VSS node represents a branch instance,Checks if a VSS node's data is an instance of a VSS data branch.,Checks if a VSS node's data is an instance of a VSS data branch and is marked as an instance.,13.076558875109015,53.333333333333336,28.571428571428577,53.333333333333336,76.31756067276001
25,python,FNV-1 32-bit hashing algorithm for a byte sequence,This function calculates a 32-bit FNV-1a hash value for a given byte string.,This function computes a 32-bit FNV-1a hash of a byte string.,13.292417883329383,43.47826086956522,19.04761904761905,34.78260869565217,80.25685548782349
28,java,Inflates a card fragment's layout and initializes its view components,"This code inflates a layout for a card-like fragment, finding its title and icon views.",This code inflates a layout for a card-like fragment and initializes its title and icon views.,9.672649511413097,57.14285714285714,30.76923076923077,50.0,79.56425547599792
29,java,"Sets a button's icon and click listener to make it visible, or hides it if no content is provided",This method updates the visibility and content of an ImageButton based on the provided DescriptiveTextWithControlsView.Control object.,This method updates an ImageButton's visibility and icon based on a DescriptiveTextWithControlsView.Control object.,2.5066346703158198,22.857142857142858,0.0,11.428571428571429,61.47837042808533
30,java,Lazily inflates and initializes a descriptive text layout view on first access,"This method lazily initializes and returns a view containing descriptive text elements (title, subtitle, optional image, and tap-for-more text) if it hasn't been created yet.","This method lazily initializes and returns a view containing descriptive text elements (title, subtitle, optional image, and tap-for-more text) from a ViewStub if it hasn't been created yet.",2.865096034594708,32.558139534883715,4.878048780487805,23.25581395348837,62.1390163898468
31,java,Updates and displays a card header view with a new title and icon,Updates the UI elements of a card header view with the provided card title and icon.,Updates the card header view's title and icon within the main thread.,15.133218633429316,53.84615384615385,33.33333333333333,53.84615384615385,82.90295004844666
32,java,Lazily inflates and returns a text block layout view from a ViewStub,"This method lazily initializes and returns a `View` representing a text block layout, including its text and ""tap for more"" elements.","This method lazily initializes and returns a `View` representing a text block layout, including its text and ""tap for more"" elements, if it hasn't been initialized already.",9.855330488836241,45.00000000000001,26.31578947368421,35.0,65.12523889541626
33,java,Gets the media browser service component from a given package,This code retrieves the default media browsing service component name for a given package name using the PackageManager.,This code retrieves the default media browsing service component name for a given package name using the PackageManager.,10.307386760781874,50.0,23.076923076923077,50.0,78.14050912857056
34,java,Determines if an app component should be launchable by filtering against a hide list and de-duplicating media services,"This method determines whether a component should be added to the launchables list based on its package name, type, and custom media component status.","This method determines whether a component should be added to the launchables list based on its package name, type, and custom media component status.",6.3848752955077925,37.2093023255814,9.75609756097561,32.55813953488372,72.3393201828003
35,java,Sets the media source and finishes the current activity,Sets the media source to browse mode and finishes the activity if it's an activity.,"Sets the media source to browse mode and finishes the activity if it's an activity, handling potential connection errors.",17.00107809840423,55.17241379310346,37.03703703703704,55.17241379310346,75.21911263465881
36,java,"Safely checks if a given activity is distraction-optimized, handling potential connection errors",Checks if a specified activity within a given package is optimized for distraction-free operation using the CarPackageManager.,"Checks if a specified activity within a given package is optimized for distraction-free operation, handling potential CarNotConnectedException.",11.451997463067551,64.51612903225806,27.586206896551722,51.61290322580646,77.80221700668335
38,java,"Retrieves a specific, configured Intent for the default maps app, falling back to a generic one","This method retrieves the preferred map application intent, prioritizing user-defined preferences over the default system map application.","This method retrieves the preferred map application intent, prioritizing user-defined preferences or the default system map application if no preferred app is found.",3.5823421191287177,25.0,5.2631578947368425,25.0,57.64492750167847
39,java,Dynamically instantiates and displays home card modules defined in a configuration resource,"This code initializes and adds HomeCardModule instances to a set, then replaces fragments in the activity's layout with the views provided by these modules.","This code initializes and adds HomeCardModule instances to a set, then replaces fragments in the activity's layout with the views provided by these modules, using reflection to instantiate the modules.",1.5883027492953543,18.6046511627907,0.0,9.30232558139535,63.503724336624146
40,java,Removes dangling tasks that are in multi-window mode,Removes multi-window tasks from the ActivityTaskManager if they are found in a list of task appeared information.,Removes dangling multi-window tasks from the ActivityTaskManager.,13.134549472120788,58.82352941176471,26.666666666666668,47.05882352941176,81.39579892158508
41,java,Updates the mode from the intent and sets the UI title accordingly,Updates the application's mode and title based on the intent data.,Updates the application's mode and title based on the intent data and updates the toolbar title accordingly.,8.23351492792295,60.0,21.428571428571427,60.0,82.02773332595825
42,java,Lazily initializes and returns the Chronometer view on first access,"This code retrieves a Chronometer view from a layout, caching it for later use.",This code lazily retrieves and caches a Chronometer view from a layout.,6.837203339116283,36.36363636363636,10.0,36.36363636363636,70.83831429481506
43,java,Blurs and scales an image to set as a card's visible background,"This method lazily initializes and returns a view for displaying media information and controls, inflating it from a ViewStub if it doesn't already exist.","This method lazily initializes and returns a view for displaying media information and controls, inflating it from a ViewStub if it doesn't already exist and setting up the presenter.",1.4262733286728255,9.30232558139535,0.0,9.30232558139535,58.713895082473755
44,java,Blurs and scales an image to set as a card's visible background,"This method updates the card's background image by scaling, blurring, and setting it to a blurred bitmap.","This method updates the card's background image by scaling, blurring, and setting it to a blurred bitmap, ensuring the image is visible.",2.3497215931088395,44.44444444444444,5.882352941176471,22.22222222222222,73.09605479240417
45,java,Makes the media view visible and sets its title and subtitle,This method updates the visibility and text content of a media layout view with a given title and subtitle.,This method updates the visibility and text content of a media layout view with a given title and subtitle.,8.808424865565325,46.666666666666664,14.285714285714285,40.0,70.64707279205322
46,java,"Starts and shows a chronometer if a start time is positive; otherwise, hides it",This method updates the visibility and state of a chronometer and separator based on the start time of an audio content.,This method controls the visibility of a chronometer and separator based on the start time of an audio content.,5.7259987315337755,30.303030303030305,12.903225806451616,24.242424242424242,61.05414628982544
47,java,Registers a callback on a newly added call,Registers a callback to a newly added call object if the call object is not null.,Registers a callback for a newly added call object.,37.99178428257963,82.3529411764706,66.66666666666666,82.3529411764706,86.86439394950867
48,java,Resets state and unregisters the callback when a call is removed,"This method handles the removal of a call, clearing related data and notifying the presenter.","This method handles the removal of a call, clearing associated data and notifying the presenter of the update.",4.553719184146073,27.586206896551722,7.407407407407408,20.689655172413794,63.85079026222229
49,java,Updates the ongoing call view model with a formatted phone number and UI controls,Formats a phone number and updates the UI model with the formatted number and associated call controls.,Formats a phone number and updates the UI model with the formatted number and call controls.,13.036888055421322,80.0,28.571428571428577,53.333333333333336,76.16591453552246
50,java,"Initializes the Mute, End Call, and Dialpad buttons for an in-call user interface","Initializes audio controls (mute, end call, and dialpad) with associated actions.","Initializes mute, end call, and dialpad buttons with associated actions.",6.660796230730557,58.333333333333336,45.45454545454546,58.333333333333336,80.00864386558533
53,cpp,Notifies a newly added listener if the D-Bus connection is already available,This function notifies a listener of the availability status (available) if the DBus connection is connected.,"This function notifies a listener of the availability status (available) if the DBus connection is connected, ignoring the subscription.",5.356850921756574,50.0,20.0,43.75,70.69085836410522
54,cpp,"For an active connection, adds a thread to a list to be joined on exit, avoiding duplicates","This function associates a connection with a thread, adding the thread to a list if it's not already present.","This function associates a connection with a thread, adding the thread to a list of associated threads if it's not already present.",12.173115521158184,30.0,21.05263157894737,30.0,63.79010081291199
56,cpp,A callback to stop monitoring a D-Bus watch and clean up its associated data,This function handles the removal of a DBus watch by stopping its monitoring and clearing its associated data.,"This function handles the removal of a DBus watch, stopping its monitoring and clearing its associated data.",9.313775329024091,43.74999999999999,13.333333333333334,37.50000000000001,80.96914887428284
57,cpp,"A libdbus callback that creates, starts, or stops a D-Bus watch based on its readiness status","This function manages a DBus watch object, starting or stopping its monitoring based on its readiness and the provided context.","This function manages a DBus watch object, starting or stopping its monitoring based on its readiness and the provided context, and creating a new watch if one doesn't exist.",8.893868599300616,34.04255319148936,13.333333333333334,25.531914893617024,67.532479763031
58,cpp,Thread-safely gets or creates a singleton DBusObjectManager instance using double-checked locking,"This code lazily initializes and returns a shared pointer to a `DBusObjectManager` object, ensuring thread-safe creation.","This code lazily initializes and returns a shared pointer to a `DBusObjectManager` object, ensuring thread-safe creation via a mutex.",1.9582248325011242,18.181818181818183,0.0,12.121212121212123,73.08273911476135
59,cpp,Performs a reference-counted release of a D-Bus service name,"Releases a service name from the DBus connection, decrementing its count or removing it if it was the last reference.","Releases a service name from the DBus connection, decrementing its count or removing it if it was the last reference, and returns whether the release was successful.",2.952787808378777,26.31578947368421,5.555555555555555,15.789473684210526,64.51421976089478
60,cpp,Steals the reply from a pending D-Bus call and wraps it in a DBusMessage object,Converts a libdbus pending call to a DBusMessage object.,"Converts a libdbus pending call to a DBusMessage object, handling null pointers.",11.704569597597914,42.857142857142854,15.384615384615383,42.857142857142854,75.0292718410492
