test_name,language,corpus_codebleu,corpus_ngram_match_score,corpus_weighted_ngram_match_score,corpus_syntax_match_score,corpus_dataflow_match_score
adapted_12b_core-auto-short-three,python,34.96,20.05,27.50,43.86,48.42
adapted_12b_core-auto-short-three,java,31.81,25.38,27.08,37.38,37.41
adapted_12b_core-auto-short-three,cpp,39.81,19.68,21.42,53.52,64.62
adapted_12b_core-auto-short-three,c,45.69,40.32,41.79,47.46,53.20
adapted_12b_core-auto-short-three,average,38.07,26.36,29.45,45.55,50.91
adapted_12b_core-auto-short-three-rci,python,35.48,19.89,27.67,44.36,50.00
adapted_12b_core-auto-short-three-rci,java,32.11,25.63,27.28,38.10,37.41
adapted_12b_core-auto-short-three-rci,cpp,38.99,19.80,21.33,51.42,63.38
adapted_12b_core-auto-short-three-rci,c,45.69,40.30,41.78,47.46,53.20
adapted_12b_core-auto-short-three-rci,average,38.06,26.41,29.52,45.34,51.00
