test_name,language,corpus_codebleu,corpus_ngram_match_score,corpus_weighted_ngram_match_score,corpus_syntax_match_score,corpus_dataflow_match_score
adapted_12b_core-xl-long-one,python,36.03,22.03,28.12,45.95,48.02
adapted_12b_core-xl-long-one,java,35.94,26.09,27.19,41.71,48.75
adapted_12b_core-xl-long-one,cpp,35.00,19.17,20.18,49.58,51.08
adapted_12b_core-xl-long-one,c,35.90,26.65,29.04,36.31,51.60
adapted_12b_core-xl-long-one,average,35.72,23.49,26.13,43.39,49.86
adapted_12b_core-xl-long-one-rci,python,35.85,22.61,28.20,46.15,46.44
adapted_12b_core-xl-long-one-rci,java,36.22,25.84,27.09,41.83,50.11
adapted_12b_core-xl-long-one-rci,cpp,34.73,19.27,20.42,49.08,50.15
adapted_12b_core-xl-long-one-rci,c,35.86,27.06,29.01,36.00,51.37
adapted_12b_core-xl-long-one-rci,average,35.67,23.70,26.18,43.27,49.52
