test_name,language,corpus_codebleu,corpus_ngram_match_score,corpus_weighted_ngram_match_score,corpus_syntax_match_score,corpus_dataflow_match_score
adapted_12b_core-xl-short-one,python,32.91,18.23,25.95,38.66,48.81
adapted_12b_core-xl-short-one,java,28.25,21.16,23.44,34.86,33.56
adapted_12b_core-xl-short-one,cpp,32.48,18.31,19.19,46.57,45.85
adapted_12b_core-xl-short-one,c,30.10,20.35,21.89,33.87,44.29
adapted_12b_core-xl-short-one,average,30.94,19.51,22.62,38.49,43.13
adapted_12b_core-xl-short-one-rci,python,33.39,18.37,26.14,39.86,49.21
adapted_12b_core-xl-short-one-rci,java,28.70,21.34,23.54,35.46,34.47
adapted_12b_core-xl-short-one-rci,cpp,32.22,18.19,19.07,45.48,46.15
adapted_12b_core-xl-short-one-rci,c,30.16,20.34,21.89,33.67,44.75
adapted_12b_core-xl-short-one-rci,average,31.12,19.56,22.66,38.62,43.64
