test_name,bleu_score,corpus_rouge1,corpus_rouge2,corpus_rougeL,corpus_bertscore_f1
adapted_12b_core-auto-long-one,18.99,52.58,24.52,42.19,74.27
adapted_12b_core-auto-long-one-rci,18.47,52.98,25.28,42.94,74.64
adapted_12b_core-auto-long-three,18.57,52.47,24.26,41.48,73.72
adapted_12b_core-auto-long-three-rci,18.65,52.23,24.74,41.53,73.67
adapted_12b_core-auto-short-one,12.35,49.38,24.21,42.54,75.87
adapted_12b_core-auto-short-one-rci,10.89,47.80,23.08,41.24,75.32
adapted_12b_core-auto-short-three,15.78,51.32,27.35,44.86,74.87
adapted_12b_core-auto-short-three-rci,13.36,48.01,23.88,41.81,74.31
adapted_12b_core-xl-long-one,10.13,46.74,18.79,37.05,72.34
adapted_12b_core-xl-long-one-rci,10.54,48.08,19.29,37.23,72.54
adapted_12b_core-xl-long-three,9.89,45.67,17.56,35.99,70.96
adapted_12b_core-xl-long-three-rci,10.86,47.49,18.66,37.01,71.70
adapted_12b_core-xl-short-one,13.97,48.25,22.98,42.56,76.53
adapted_12b_core-xl-short-one-rci,11.85,46.04,21.54,40.38,75.55
adapted_12b_core-xl-short-three,12.15,44.09,19.96,39.12,74.12
adapted_12b_core-xl-short-three-rci,11.71,43.89,18.75,37.54,73.99
adapted_12b_core-long-zero,11.55,46.12,18.30,36.44,71.73
adapted_12b_core-long-zero-rci,11.54,46.10,17.95,36.08,71.99
adapted_12b_core-short-zero,8.97,43.51,19.48,37.63,73.73
adapted_12b_core-short-zero-rci,8.06,44.57,19.61,38.09,73.87
