id,language,reference,generated,generated_rci,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score
2,python,"def is_datatype(cls, value: Any, datatype: str) -> bool:
    t = cls.get_type(datatype)
    if t is None:
        raise DatatypesException(f""Unsupported datatype: {datatype}"")
    return t[1](value)","from typing import Any

def is_datatype(cls, value: Any, datatype: str) -> bool:
    if datatype not in cls.__dict__:
        raise ValueError(f""Unsupported datatype: {datatype}"")
    return cls.__dict__[datatype](value)","from typing import Any

def is_datatype(cls, value: Any, datatype: str) -> bool:
    if datatype not in cls.__dict__:
        raise ValueError(f""Unsupported datatype: {datatype}"")
    return cls.__dict__[datatype](value)",54.35824614312639,37.25748409395151,42.48319278624633,57.692307692307686,80.0
3,python,"def is_xintx(value: Any, signed: bool, bits: int):
    values = [value]
    if isinstance(value, list):
        values = value

    for v in values:
        if not isinstance(v, int):
            return False
        if not signed and v < 0:
            return False
        max = 2**bits - 1
        min = 0
        if signed:
            max = 2 ** (bits - 1) - 1
            min = -(2 ** (bits - 1))
        if not (v <= max and v >= min):
            return False
    return True","from typing import Any

def is_xintx(value: Any, signed: bool, bits: int):
    if isinstance(value, int):
        if signed:
            min_val = -(2**(bits - 1))
            max_val = 2**(bits - 1) - 1
            return min_val <= value <= max_val
        else:
            max_val = 2**bits - 1
            return 0 <= value <= max_val
    elif isinstance(value, list):
        for val in value:
            if not is_xintx(val, signed, bits):
                return False
        return True
    else:
        return False","from typing import Any

def is_xintx(value: Any, signed: bool, bits: int):
    if isinstance(value, int):
        if signed:
            min_val = -(2**(bits - 1))
            max_val = 2**(bits - 1) - 1
            return min_val <= value <= max_val
        else:
            max_val = 2**bits - 1
            return 0 <= value <= max_val
    elif isinstance(value, list):
        for val in value:
            if not is_xintx(val, signed, bits):
                return False
        return True
    else:
        return False",37.13225060158478,21.7322244729645,22.592573729170432,55.55555555555556,48.64864864864865
4,python,"def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
        for t in cls.types:
            if datatype == t[0]:
                return t
        return None","def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
    for type_def in cls.type_definitions:
        if type_def[0] == datatype:
            return type_def
    return None","def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
    for type_def in cls.type_definitions:
        if type_def[0] == datatype:
            return type_def
    return None",70.34186997887033,52.624397026344624,54.669008815062604,74.07407407407408,100.0
5,python,"def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    if not fqn:
        return {}
    fqn_namespaced_datatypes = {}
    for t in dynamic_datatypes:
        if fqn.startswith(t):
            continue

        if fqn.startswith(""."".join(t.split(""."")[:-1])):
            fqn_namespaced_datatypes[(t.split(""."")[-1])] = t

    if fqn_namespaced_datatypes:
        log.debug(f""Namespaced datatypes, {fqn=}, {fqn_namespaced_datatypes=}"")
    return fqn_namespaced_datatypes","def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    """"""Returns a dictionary mapping the short name to the full FQN for all dynamic datatypes that exist in the same namespace as the provided FQN""""""
    if fqn is None:
        return {}

    namespace = fqn.split('.')[0]
    datatypes = {}
    for datatype_fqn in get_fqn_datatypes():
        if datatype_fqn.split('.')[0] == namespace:
            datatypes[datatype_fqn.split('.')[1]] = datatype_fqn
    return datatypes","def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    """"""Returns a dictionary mapping the short name to the full FQN for all dynamic datatypes that exist in the same namespace as the provided FQN""""""
    if fqn is None:
        return {}

    namespace = fqn.split('.')[0]
    datatypes = {}
    for datatype_fqn in get_fqn_datatypes():
        if datatype_fqn.split('.')[0] == namespace:
            datatypes[datatype_fqn.split('.')[1]] = datatype_fqn
    return datatypes",34.655217088888165,18.95882509406645,31.467598817041758,43.75,44.44444444444444
7,python,"def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    is_array = False
    apigear_type = None
    if t.endswith(""[]""):
        is_array = True
        t = t[0:-2]

    if t in [""int8"", ""int16"", ""int32"", ""uint8"", ""uint16"", ""uint32""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT32.value)
    elif t in [""int64"", ""uint64""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT64.value)
    elif t == ""float"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT32.value)
    elif t == ""double"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT64.value)
    elif t == ""boolean"":
        apigear_type = ApiGearType(ApiGearBasicType.BOOL.value)
    elif t == ""string"":
        apigear_type = ApiGearType(ApiGearBasicType.STRING.value)
    else:
        apigear_type = ApiGearType(t.replace(""."", ""_""))

    if is_array and apigear_type is not None:
        apigear_type.is_array = True

    return apigear_type","import typing
from dataclasses import dataclass
from enum import Enum

@dataclass
class ApiGearType:
    name: str
    array: bool = False

class ApiGearPrimitiveType(Enum):
    STRING = ""string""
    INTEGER = ""integer""
    NUMBER = ""number""
    BOOLEAN = ""boolean""
    DATE = ""date""
    DATETIME = ""datetime""
    TIMESTAMP = ""timestamp""
    BYTE = ""byte""
    BINARY = ""binary""

def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    t = t.strip()
    if t in (""string"", ""str""):
        return ApiGearType(name=""string"")
    elif t in (""int"", ""integer""):
        return ApiGearType(name=""integer"")
    elif t in (""float"", ""number""):
        return ApiGearType(name=""number"")
    elif t in (""bool"", ""boolean""):
        return ApiGearType(name=""boolean"")
    elif t in (""date""):
        return ApiGearType(name=""date"")
    elif t in (""datetime""):
        return ApiGearType(name=""datetime"")
    elif t in (""timestamp""):
        return ApiGearType(name=""timestamp"")
    elif t in (""byte""):
        return ApiGearType(name=""byte"")
    elif t in (""binary""):
        return ApiGearType(name=""binary"")
    elif t.endswith(""[]""):
        t = t[:-2]
        apigear_type = get_apigear_datatype(t)
        if apigear_type is not None:
            return ApiGearType(name=apigear_type.name, array=True)
    elif ""."" in t:
        t = t.replace(""."", ""_"")
        return ApiGearType(name=t)
    return None","import typing
from dataclasses import dataclass
from enum import Enum

@dataclass
class ApiGearType:
    name: str
    array: bool = False

class ApiGearPrimitiveType(Enum):
    STRING = ""string""
    INTEGER = ""integer""
    NUMBER = ""number""
    BOOLEAN = ""boolean""
    DATE = ""date""
    DATETIME = ""datetime""
    TIMESTAMP = ""timestamp""
    BYTE = ""byte""
    BINARY = ""binary""

def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    t = t.strip()
    if t in (""string"", ""str""):
        return ApiGearType(name=""string"")
    elif t in (""int"", ""integer""):
        return ApiGearType(name=""integer"")
    elif t in (""float"", ""number""):
        return ApiGearType(name=""number"")
    elif t in (""bool"", ""boolean""):
        return ApiGearType(name=""boolean"")
    elif t in (""date""):
        return ApiGearType(name=""date"")
    elif t in (""datetime""):
        return ApiGearType(name=""datetime"")
    elif t in (""timestamp""):
        return ApiGearType(name=""timestamp"")
    elif t in (""byte""):
        return ApiGearType(name=""byte"")
    elif t in (""binary""):
        return ApiGearType(name=""binary"")
    elif t.endswith(""[]""):
        t = t[:-2]
        apigear_type = get_apigear_datatype(t)
        if apigear_type is not None:
            return ApiGearType(name=apigear_type.name, array=True)
    elif ""."" in t:
        t = t.replace(""."", ""_"")
        return ApiGearType(name=t)
    return None",20.134205452045663,7.989556996790313,14.459349535024993,31.858407079646017,26.229508196721312
8,python,"def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    apigear_type = get_apigear_datatype(datatype)
    data = node.get_vss_data()

    if apigear_type is None:
        log.warning(f""Datatype {datatype} of node {node.name} currently not supported"")
        return None

    property = ApiGearProperty(apigear_type)
    if data.description != """":
        property.description = data.description
    return property","def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    """"""Creates an `ApiGearProperty` by converting the VSS node's datatype to a supported ApiGear type and copying its description, returning `None` and logging a warning if the datatype is not supported""""""
    if datatype == ""string"":
        api_gear_type = ""string""
    elif datatype == ""integer"":
        api_gear_type = ""integer""
    elif datatype == ""float"":
        api_gear_type = ""float""
    elif datatype == ""boolean"":
        api_gear_type = ""boolean""
    elif datatype == ""array"":
        api_gear_type = ""array""
    elif datatype == ""object"":
        api_gear_type = ""object""
    else:
        api_gear_type = None
        logging.warning(f""Unsupported datatype: {datatype}"")
        return None

    if api_gear_type is not None:
        return ApiGearProperty(
            name=node.name,
            description=node.description,
            type=api_gear_type,
        )
    else:
        return None","def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    """"""Creates an `ApiGearProperty` by converting the VSS node's datatype to a supported ApiGear type and copying its description, returning `None` and logging a warning if the datatype is not supported""""""
    if datatype == ""string"":
        api_gear_type = ""string""
    elif datatype == ""integer"":
        api_gear_type = ""integer""
    elif datatype == ""float"":
        api_gear_type = ""float""
    elif datatype == ""boolean"":
        api_gear_type = ""boolean""
    elif datatype == ""array"":
        api_gear_type = ""array""
    elif datatype == ""object"":
        api_gear_type = ""object""
    else:
        api_gear_type = None
        logging.warning(f""Unsupported datatype: {datatype}"")
        return None

    if api_gear_type is not None:
        return ApiGearProperty(
            name=node.name,
            description=node.description,
            type=api_gear_type,
        )
    else:
        return None",31.46238004206527,9.209366278779298,26.084598333926223,35.55555555555556,55.00000000000001
10,python,"def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    spec = None
    vspecs: list[VSpec] = []
    for s in specs:
        includes = [s.parent] + include_dirs
        vspecs.extend(get_vspecs(includes, s))
    pre = ""VSpecs""
    if identifier:
        pre += f"" ({identifier})""
    log.info(f""{pre} loaded, amount={len(vspecs)}"")
    for vspec in vspecs:
        log.debug(vspec)
        if spec is None:
            spec = vspec
        else:
            spec.update(vspec)
    if not spec:
        msg = f""Weird behavior. Could not load any spec: {specs}""
        log.error(msg)
        raise SpecException(msg)
    return spec","from pathlib import Path
from vspec.vspec import VSpec
from vspec.parser import parse_vspec
from vspec.exceptions import VSpecError


def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    """"""Loads and parses multiple VSpec files from specified paths, using a list of include directories,
    then merges them into a single composite VSpec object and returns it, raising an exception if no
    files are successfully loaded""""""
    loaded_specs = []
    for spec_path in specs:
        try:
            loaded_specs.append(parse_vspec(spec_path, include_dirs))
        except VSpecError as e:
            raise VSpecError(f""Failed to load VSpec file {spec_path}: {e}"")
    if not loaded_specs:
        raise VSpecError(""No VSpec files were successfully loaded"")
    return VSpec(loaded_specs, identifier)","from pathlib import Path
from vspec.vspec import VSpec
from vspec.parser import parse_vspec
from vspec.exceptions import VSpecError


def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    """"""Loads and parses multiple VSpec files from specified paths, using a list of include directories,
    then merges them into a single composite VSpec object and returns it, raising an exception if no
    files are successfully loaded""""""
    loaded_specs = []
    for spec_path in specs:
        try:
            loaded_specs.append(parse_vspec(spec_path, include_dirs))
        except VSpecError as e:
            raise VSpecError(f""Failed to load VSpec file {spec_path}: {e}"")
    if not loaded_specs:
        raise VSpecError(""No VSpec files were successfully loaded"")
    return VSpec(loaded_specs, identifier)",28.431816984203685,14.875441572039913,21.64252403919342,40.0,37.2093023255814
11,python,"def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for key, value in update.items():
        if isinstance(value, dict):
            if key in base and isinstance(base[key], dict):
                deep_update(base[key], value)
            else:
                base[key] = value
        else:
            base[key] = value","from typing import Any

def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for key, value in update.items():
        if key in base and isinstance(base[key], dict) and isinstance(value, dict):
            deep_update(base[key], value)
        else:
            base[key] = value","from typing import Any

def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for key, value in update.items():
        if isinstance(value, dict):
            if key in base and isinstance(base[key], dict):
                deep_update(base[key], value)
            else:
                base[key] = value
        else:
            base[key] = value",93.61170727919288,89.03016245010491,100.0,97.91666666666666,87.5
12,python,"def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return v
    pattern = r""^0x[0-9A-Fa-f]{8}$""
    assert bool(re.match(pattern, v)), f""'{v}' is not a valid 'constUID'""
    return v","def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is not None:
        if isinstance(v, str) and len(v) == 10 and v.startswith(""0x"") and all(c in ""0123456789abcdef"" for c in v[2:]):
            return v
    return None","def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is not None:
        if isinstance(v, str) and len(v) == 10 and v.startswith(""0x"") and all(c in ""0123456789abcdefABCDEF"" for c in v[2:]):
            return v
    return None",51.53136287460034,37.420316460821255,46.705135037580135,52.0,70.0
13,python,"def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    model = VSSRaw(fqn=fqn, **data)
    try:
        model = resolve_vss_raw(model)
    except (ValidationError, ModelException):
        log.debug(f""'{fqn}', incomplete, initialized as '{model.__class__.__name__}'"")
        return model
    return model","from vss.raw import VSSRaw

def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    vss_raw = VSSRaw(data)
    if fqn:
        try:
            vss_raw.resolve(fqn)
        except Exception:
            pass
    return vss_raw","from vss.raw import VSSRaw

def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    vss_raw = VSSRaw(data)
    if fqn:
        try:
            vss_raw.resolve(fqn)
        except Exception:
            pass
    return vss_raw",44.83508369808264,32.10790717598868,33.065760949675244,47.5,66.66666666666666
