id,language,reference,generated,generated_rci,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score
2,python,"def is_datatype(cls, value: Any, datatype: str) -> bool:
    t = cls.get_type(datatype)
    if t is None:
        raise DatatypesException(f""Unsupported datatype: {datatype}"")
    return t[1](value)","from typing import Any

def is_datatype(cls, value: Any, datatype: str) -> bool:
    if datatype == ""int"":
        return isinstance(value, int)
    elif datatype == ""float"":
        return isinstance(value, float)
    elif datatype == ""str"":
        return isinstance(value, str)
    elif datatype == ""bool"":
        return isinstance(value, bool)
    elif datatype == ""list"":
        return isinstance(value, list)
    elif datatype == ""tuple"":
        return isinstance(value, tuple)
    elif datatype == ""dict"":
        return isinstance(value, dict)
    elif datatype == ""set"":
        return isinstance(value, set)
    else:
        return False","from typing import Any

def is_datatype(cls, value: Any, datatype: str) -> bool:
    if datatype == ""int"":
        return isinstance(value, int)
    elif datatype == ""float"":
        return isinstance(value, float)
    elif datatype == ""str"":
        return isinstance(value, str)
    elif datatype == ""bool"":
        return isinstance(value, bool)
    elif datatype == ""list"":
        return isinstance(value, list)
    elif datatype == ""tuple"":
        return isinstance(value, tuple)
    elif datatype == ""dict"":
        return isinstance(value, dict)
    elif datatype == ""set"":
        return isinstance(value, set)
    else:
        return False",37.1611529750151,9.74150876536819,35.826180057769115,23.076923076923077,80.0
3,python,"def is_xintx(value: Any, signed: bool, bits: int):
    values = [value]
    if isinstance(value, list):
        values = value

    for v in values:
        if not isinstance(v, int):
            return False
        if not signed and v < 0:
            return False
        max = 2**bits - 1
        min = 0
        if signed:
            max = 2 ** (bits - 1) - 1
            min = -(2 ** (bits - 1))
        if not (v <= max and v >= min):
            return False
    return True","from typing import Any

def is_xintx(value: Any, signed: bool, bits: int):
    if isinstance(value, list):
        return all(is_xintx(x, signed, bits) for x in value)
    if isinstance(value, int):
        if signed:
            return -2**(bits - 1) <= value < 2**(bits - 1)
        else:
            return 0 <= value < 2**bits
    return False","from typing import Any

def is_xintx(value: Any, signed: bool, bits: int):
    if isinstance(value, list):
        return all(is_xintx(x, signed, bits) for x in value)
    if isinstance(value, int):
        if signed:
            return -2**(bits - 1) <= value < 2**(bits - 1)
        else:
            return 0 <= value < 2**bits
    return False",24.01425061913618,11.439958497790622,13.445872807582933,33.33333333333333,37.83783783783784
4,python,"def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
        for t in cls.types:
            if datatype == t[0]:
                return t
        return None","def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
    for type_ in cls.__dict__:
        if isinstance(type_, tuple) and len(type_) == 3:
            name, func, args = type_
            if name == datatype:
                return name, func, args
    return None","def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
    for type_ in cls.__dict__:
        if isinstance(type_, tuple) and len(type_) == 3:
            name, func, args = type_
            if name == datatype:
                return name, func, args
    return None",57.67238824135249,31.23939936920256,54.669008815062604,62.96296296296296,81.81818181818183
5,python,"def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    if not fqn:
        return {}
    fqn_namespaced_datatypes = {}
    for t in dynamic_datatypes:
        if fqn.startswith(t):
            continue

        if fqn.startswith(""."".join(t.split(""."")[:-1])):
            fqn_namespaced_datatypes[(t.split(""."")[-1])] = t

    if fqn_namespaced_datatypes:
        log.debug(f""Namespaced datatypes, {fqn=}, {fqn_namespaced_datatypes=}"")
    return fqn_namespaced_datatypes","```python
def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    """"""Finds all datatypes within the current namespace and any parent namespaces of a given FQN""""""
    from py4j.java_gateway import java_import

    java_import(java.util.ArrayList)
    java_import(java.util.HashMap)
    java_import(java.util.HashSet)
    java_import(java.util.List)
    java_import(java.util.Map)
    java_import(java.util.Set)
    java_import(java.util.stream.Stream)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.Collectors)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java","```python
def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    """"""Finds all datatypes within the current namespace and any parent namespaces of a given FQN""""""
    from py4j.java_gateway import java_import

    java_import(java.util.ArrayList)
    java_import(java.util.HashMap)
    java_import(java.util.HashSet)
    java_import(java.util.List)
    java_import(java.util.Map)
    java_import(java.util.Set)
    java_import(java.util.stream.Stream)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.Collectors)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java_import(java.util.stream.StreamSupport)
    java",26.53410656400559,10.599453139020259,21.81012126515026,21.875,51.85185185185185
7,python,"def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    is_array = False
    apigear_type = None
    if t.endswith(""[]""):
        is_array = True
        t = t[0:-2]

    if t in [""int8"", ""int16"", ""int32"", ""uint8"", ""uint16"", ""uint32""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT32.value)
    elif t in [""int64"", ""uint64""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT64.value)
    elif t == ""float"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT32.value)
    elif t == ""double"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT64.value)
    elif t == ""boolean"":
        apigear_type = ApiGearType(ApiGearBasicType.BOOL.value)
    elif t == ""string"":
        apigear_type = ApiGearType(ApiGearBasicType.STRING.value)
    else:
        apigear_type = ApiGearType(t.replace(""."", ""_""))

    if is_array and apigear_type is not None:
        apigear_type.is_array = True

    return apigear_type","def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    if t == ""string"":
        return ApiGearType.STRING
    elif t == ""integer"":
        return ApiGearType.INTEGER
    elif t == ""float"":
        return ApiGearType.FLOAT
    elif t == ""boolean"":
        return ApiGearType.BOOLEAN
    elif t == ""date"":
        return ApiGearType.DATE
    elif t == ""datetime"":
        return ApiGearType.DATETIME
    elif t == ""timestamp"":
        return ApiGearType.TIMESTAMP
    elif t == ""binary"":
        return ApiGearType.BINARY
    elif t == ""json"":
        return ApiGearType.JSON
    elif t == ""array"":
        return ApiGearType.ARRAY
    elif t == ""object"":
        return ApiGearType.OBJECT
    elif t == ""enum"":
        return ApiGearType.ENUM
    elif t == ""map"":
        return ApiGearType.MAP
    elif t == ""null"":
        return ApiGearType.NULL
    else:
        return None","def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    if t == ""string"":
        return ApiGearType.STRING
    elif t == ""integer"":
        return ApiGearType.INTEGER
    elif t == ""float"":
        return ApiGearType.FLOAT
    elif t == ""boolean"":
        return ApiGearType.BOOLEAN
    elif t == ""date"":
        return ApiGearType.DATE
    elif t == ""datetime"":
        return ApiGearType.DATETIME
    elif t == ""timestamp"":
        return ApiGearType.TIMESTAMP
    elif t == ""binary"":
        return ApiGearType.BINARY
    elif t == ""json"":
        return ApiGearType.JSON
    elif t == ""array"":
        return ApiGearType.ARRAY
    elif t == ""object"":
        return ApiGearType.OBJECT
    elif t == ""enum"":
        return ApiGearType.ENUM
    elif t == ""map"":
        return ApiGearType.MAP
    elif t == ""null"":
        return ApiGearType.NULL
    else:
        return None",21.870330236006637,12.980795320535284,14.903833326958555,30.08849557522124,29.508196721311474
8,python,"def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    apigear_type = get_apigear_datatype(datatype)
    data = node.get_vss_data()

    if apigear_type is None:
        log.warning(f""Datatype {datatype} of node {node.name} currently not supported"")
        return None

    property = ApiGearProperty(apigear_type)
    if data.description != """":
        property.description = data.description
    return property","```python
def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    if not node:
        return None

    property_name = node.name
    property_type = datatype
    property_description = node.description
    property_unit = node.unit
    property_range = node.range
    property_offset = node.offset
    property_scale = node.scale
    property_is_array = node.is_array
    property_array_size = node.array_size
    property_is_multidimensional = node.is_multidimensional
    property_multidimensional_size = node.multidimensional_size
    property_is_bitfield = node.is_bitfield
    property_bitfield_size = node.bitfield_size
    property_bitfield_offset = node.bitfield_offset
    property_bitfield_mask = node.bitfield_mask
    property_is_enum = node.is_enum
    property_enum_values = node.enum_values
    property_is_constant = node.is_constant
    property_constant_value = node.constant_value
    property_is_optional = node.is_optional
    property_optional_value = node.optional_value
    property_is_nullable = node.is_nullable
    property_nullable_value = node.nullable_value
    property_is_default = node.is_default
    property_default_value = node.default_value
    property_is_unique = node.is_unique
    property_unique_value = node.unique_value
    property_is_read_only = node.is_read_only
    property_is_write_only = node.is_write_only
    property_is_read_write = node.is_read_write
    property_is_write_through = node.is_write_through
    property_is_write_back = node.is_write_back
    property_is_cacheable = node.is_cacheable
    property_is_volatile = node.is_volatile
    property_is_persistent = node.is_persistent
    property_is_shared = node.is_shared
    property_is_derived = node.is_derived
    property_derived_from = node.derived_from
    property_is_virtual = node.is_virtual
    property_virtual_from = node.virtual_from
    property_is_abstract = node.is_abstract
    property_is_deprecated = node.is_deprecated
    property_is_hidden = node.is_hidden
    property_is_internal = node.is_internal
    property_is_external = node.is_external
    property_is_system = node.is_system
    property_is_user = node.is_user
    property_is_diagnostic = node.is_diagnostic
    property_is_security = node.is_security
    property_is_calibration = node.is_calibration
    property_is_configuration = node.is_configuration
    property_is_event = node.is_event
    property_is_signal = node.is_signal
    property_is_service = node.is_service
    property_is_method = node.is_method
    property_is_function = node.is_function
    property_is_parameter = node.is_parameter
    property_is_return = node.is_return
    property_is_field","```python
def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    if not node:
        return None

    property_name = node.name
    property_type = datatype
    property_description = node.description
    property_unit = node.unit
    property_range = node.range
    property_offset = node.offset
    property_scale = node.scale
    property_is_array = node.is_array
    property_array_size = node.array_size
    property_is_multidimensional = node.is_multidimensional
    property_multidimensional_size = node.multidimensional_size
    property_is_bitfield = node.is_bitfield
    property_bitfield_size = node.bitfield_size
    property_bitfield_offset = node.bitfield_offset
    property_bitfield_mask = node.bitfield_mask
    property_is_enum = node.is_enum
    property_enum_values = node.enum_values
    property_is_constant = node.is_constant
    property_constant_value = node.constant_value
    property_is_optional = node.is_optional
    property_optional_value = node.optional_value
    property_is_nullable = node.is_nullable
    property_nullable_value = node.nullable_value
    property_is_default = node.is_default
    property_default_value = node.default_value
    property_is_unique = node.is_unique
    property_unique_value = node.unique_value
    property_is_read_only = node.is_read_only
    property_is_write_only = node.is_write_only
    property_is_read_write = node.is_read_write
    property_is_write_through = node.is_write_through
    property_is_write_back = node.is_write_back
    property_is_cacheable = node.is_cacheable
    property_is_volatile = node.is_volatile
    property_is_persistent = node.is_persistent
    property_is_shared = node.is_shared
    property_is_derived = node.is_derived
    property_derived_from = node.derived_from
    property_is_virtual = node.is_virtual
    property_virtual_from = node.virtual_from
    property_is_abstract = node.is_abstract
    property_is_deprecated = node.is_deprecated
    property_is_hidden = node.is_hidden
    property_is_internal = node.is_internal
    property_is_external = node.is_external
    property_is_system = node.is_system
    property_is_user = node.is_user
    property_is_diagnostic = node.is_diagnostic
    property_is_security = node.is_security
    property_is_calibration = node.is_calibration
    property_is_configuration = node.is_configuration
    property_is_event = node.is_event
    property_is_signal = node.is_signal
    property_is_service = node.is_service
    property_is_method = node.is_method
    property_is_function = node.is_function
    property_is_parameter = node.is_parameter
    property_is_return = node.is_return
    property_is_field",24.231614888033747,4.74986717349523,23.843259045306432,33.33333333333333,35.0
10,python,"def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    spec = None
    vspecs: list[VSpec] = []
    for s in specs:
        includes = [s.parent] + include_dirs
        vspecs.extend(get_vspecs(includes, s))
    pre = ""VSpecs""
    if identifier:
        pre += f"" ({identifier})""
    log.info(f""{pre} loaded, amount={len(vspecs)}"")
    for vspec in vspecs:
        log.debug(vspec)
        if spec is None:
            spec = vspec
        else:
            spec.update(vspec)
    if not spec:
        msg = f""Weird behavior. Could not load any spec: {specs}""
        log.error(msg)
        raise SpecException(msg)
    return spec","from pathlib import Path
from vspec.vspec import VSpec
from vspec.vspec import load_vspec_from_file
from vspec.vspec import merge_vspecs


def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    vspecs = []
    for spec_path in specs:
        vspecs.append(load_vspec_from_file(spec_path))
    merged_vspec = merge_vspecs(vspecs)
    merged_vspec.identifier = identifier
    return merged_vspec","from pathlib import Path
from vspec.vspec import VSpec
from vspec.vspec import load_vspec_from_file
from vspec.vspec import merge_vspecs


def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    vspecs = []
    for spec_path in specs:
        vspecs.append(load_vspec_from_file(spec_path, include_dirs))
    merged_vspec = merge_vspecs(vspecs)
    merged_vspec.identifier = identifier
    return merged_vspec",29.147789037096466,16.686134244976856,19.362386244494285,43.333333333333336,37.2093023255814
11,python,"def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for key, value in update.items():
        if isinstance(value, dict):
            if key in base and isinstance(base[key], dict):
                deep_update(base[key], value)
            else:
                base[key] = value
        else:
            base[key] = value","from typing import Any

def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for k, v in update.items():
        if isinstance(v, dict):
            base[k] = deep_update(base.get(k, {}), v)
        else:
            base[k] = v","from typing import Any

def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for k, v in update.items():
        if isinstance(v, dict):
            if k not in base:
                base[k] = {}
            base[k] = deep_update(base[k], v)
        else:
            base[k] = v",53.846702795407275,30.85361475730496,35.574863090990796,77.08333333333334,71.875
12,python,"def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return v
    pattern = r""^0x[0-9A-Fa-f]{8}$""
    assert bool(re.match(pattern, v)), f""'{v}' is not a valid 'constUID'""
    return v","def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return None
    if not isinstance(v, str):
        return None
    if len(v) != 8:
        return None
    try:
        int(v, 16)
    except ValueError:
        return None
    return v","def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return None
    if not isinstance(v, str):
        return None
    if len(v) != 8:
        return None
    try:
        int(v, 16)
    except ValueError:
        return None
    return v",50.55735832975432,40.37469867061998,51.8547346483973,40.0,70.0
13,python,"def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    model = VSSRaw(fqn=fqn, **data)
    try:
        model = resolve_vss_raw(model)
    except (ValidationError, ModelException):
        log.debug(f""'{fqn}', incomplete, initialized as '{model.__class__.__name__}'"")
        return model
    return model","def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    vss_raw = VSSRaw(data)
    if not vss_raw.resolve(fqn):
        return vss_raw
    return None","def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    vss_raw = VSSRaw(data)
    if not vss_raw.resolve(fqn):
        return vss_raw
    return None",44.11516152867524,29.55084986581822,32.7431295822161,47.5,66.66666666666666
