id,language,reference,generated,generated_rci,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score
2,python,"def is_datatype(cls, value: Any, datatype: str) -> bool:
    t = cls.get_type(datatype)
    if t is None:
        raise DatatypesException(f""Unsupported datatype: {datatype}"")
    return t[1](value)","from typing import Any

def is_datatype(cls, value: Any, datatype: str) -> bool:
    if datatype == ""int"":
        return isinstance(value, int)
    elif datatype == ""float"":
        return isinstance(value, float)
    elif datatype == ""str"":
        return isinstance(value, str)
    elif datatype == ""bool"":
        return isinstance(value, bool)
    elif datatype == ""list"":
        return isinstance(value, list)
    elif datatype == ""tuple"":
        return isinstance(value, tuple)
    elif datatype == ""dict"":
        return isinstance(value, dict)
    elif datatype == ""set"":
        return isinstance(value, set)
    return False","from typing import Any

def is_datatype(cls, value: Any, datatype: str) -> bool:
    if datatype == ""int"":
        return isinstance(value, int)
    elif datatype == ""float"":
        return isinstance(value, float)
    elif datatype == ""str"":
        return isinstance(value, str)
    elif datatype == ""bool"":
        return isinstance(value, bool)
    elif datatype == ""list"":
        return isinstance(value, list)
    elif datatype == ""tuple"":
        return isinstance(value, tuple)
    elif datatype == ""dict"":
        return isinstance(value, dict)
    elif datatype == ""set"":
        return isinstance(value, set)
    return False",37.196715333834334,9.88375820064514,35.826180057769115,23.076923076923077,80.0
3,python,"def is_xintx(value: Any, signed: bool, bits: int):
    values = [value]
    if isinstance(value, list):
        values = value

    for v in values:
        if not isinstance(v, int):
            return False
        if not signed and v < 0:
            return False
        max = 2**bits - 1
        min = 0
        if signed:
            max = 2 ** (bits - 1) - 1
            min = -(2 ** (bits - 1))
        if not (v <= max and v >= min):
            return False
    return True","from typing import Any

def is_xintx(value: Any, signed: bool, bits: int):
    if isinstance(value, int):
        if signed:
            min_val = -(2**(bits - 1))
            max_val = 2**(bits - 1) - 1
            return min_val <= value <= max_val
        else:
            max_val = 2**bits - 1
            return 0 <= value <= max_val
    elif isinstance(value, list):
        for val in value:
            if not is_xintx(val, signed, bits):
                return False
        return True
    else:
        return False","from typing import Any

def is_xintx(value: Any, signed: bool, bits: int):
    if isinstance(value, int):
        if signed:
            min_val = -(2**(bits - 1))
            max_val = 2**(bits - 1) - 1
            return min_val <= value <= max_val
        else:
            max_val = 2**bits - 1
            return 0 <= value <= max_val
    elif isinstance(value, list):
        for val in value:
            if not is_xintx(val, signed, bits):
                return False
        return True
    else:
        return False",37.13225060158478,21.7322244729645,22.592573729170432,55.55555555555556,48.64864864864865
4,python,"def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
        for t in cls.types:
            if datatype == t[0]:
                return t
        return None","from typing import Callable, Tuple, List, Optional

def get_type(cls, datatype: str) -> Optional[Tuple[str, Callable, List[str]]]:
    """"""Looks up a type definition tuple by its string name from a list of types""""""
    for type_name, type_func, type_args in cls.__dict__.values():
        if type_name == datatype:
            return type_name, type_func, type_args
    return None","from typing import Callable, Tuple, List, Optional

def get_type(cls, datatype: str) -> Optional[Tuple[str, Callable, List[str]]]:
    """"""Looks up a type definition tuple by its string name from a list of types""""""
    for type_name, type_func, type_args in cls.__dict__.items():
        if type_name == datatype:
            return type_name, type_func, type_args
    return None",39.53293696111702,9.98948921577455,23.563134049568937,51.85185185185185,72.72727272727273
5,python,"def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    if not fqn:
        return {}
    fqn_namespaced_datatypes = {}
    for t in dynamic_datatypes:
        if fqn.startswith(t):
            continue

        if fqn.startswith(""."".join(t.split(""."")[:-1])):
            fqn_namespaced_datatypes[(t.split(""."")[-1])] = t

    if fqn_namespaced_datatypes:
        log.debug(f""Namespaced datatypes, {fqn=}, {fqn_namespaced_datatypes=}"")
    return fqn_namespaced_datatypes","def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    """"""Finds all datatypes within the current namespace and any parent namespaces of a given FQN""""""
    from py4j.java_gateway import java_import

    java_import(gateway_client, ""org.eclipse.edc.spi.system.ServiceRegistry"")
    service_registry = gateway_client.entry_point.getServiceRegistry()
    return service_registry.getNamespacedDataTypes(fqn)","def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    """"""Finds all datatypes within the current namespace and any parent namespaces of a given FQN""""""
    from py4j.java_gateway import java_import

    java_import(gateway_client, ""org.eclipse.edc.spi.system.ServiceRegistry"")
    service_registry = gateway_client.entry_point.getServiceRegistry()
    return service_registry.getNamespacedDataTypes(fqn)",26.73658649089595,24.192715812998465,23.4365005209557,29.6875,29.629629629629626
7,python,"def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    is_array = False
    apigear_type = None
    if t.endswith(""[]""):
        is_array = True
        t = t[0:-2]

    if t in [""int8"", ""int16"", ""int32"", ""uint8"", ""uint16"", ""uint32""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT32.value)
    elif t in [""int64"", ""uint64""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT64.value)
    elif t == ""float"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT32.value)
    elif t == ""double"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT64.value)
    elif t == ""boolean"":
        apigear_type = ApiGearType(ApiGearBasicType.BOOL.value)
    elif t == ""string"":
        apigear_type = ApiGearType(ApiGearBasicType.STRING.value)
    else:
        apigear_type = ApiGearType(t.replace(""."", ""_""))

    if is_array and apigear_type is not None:
        apigear_type.is_array = True

    return apigear_type","import typing
from apigear.core import ApiGearType
def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    if t == ""string"":
        return ApiGearType.STRING
    elif t == ""integer"":
        return ApiGearType.INTEGER
    elif t == ""float"":
        return ApiGearType.FLOAT
    elif t == ""boolean"":
        return ApiGearType.BOOLEAN
    elif t == ""array"":
        return ApiGearType.ARRAY
    elif t == ""object"":
        return ApiGearType.OBJECT
    elif t == ""enum"":
        return ApiGearType.ENUM
    elif t == ""date"":
        return ApiGearType.DATE
    elif t == ""datetime"":
        return ApiGearType.DATETIME
    elif t == ""timestamp"":
        return ApiGearType.TIMESTAMP
    elif t == ""binary"":
        return ApiGearType.BINARY
    elif t == ""null"":
        return ApiGearType.NULL
    else:
        return None","import typing
from apigear.core import ApiGearType
def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    if t == ""string"":
        return ApiGearType.STRING
    elif t == ""integer"":
        return ApiGearType.INTEGER
    elif t == ""float"":
        return ApiGearType.FLOAT
    elif t == ""boolean"":
        return ApiGearType.BOOLEAN
    elif t == ""array"":
        return ApiGearType.ARRAY
    elif t == ""object"":
        return ApiGearType.OBJECT
    elif t == ""enum"":
        return ApiGearType.ENUM
    elif t == ""date"":
        return ApiGearType.DATE
    elif t == ""datetime"":
        return ApiGearType.DATETIME
    elif t == ""timestamp"":
        return ApiGearType.TIMESTAMP
    elif t == ""binary"":
        return ApiGearType.BINARY
    elif t == ""null"":
        return ApiGearType.NULL
    else:
        return None",19.231945109444617,13.902664650352772,14.903833326958555,30.08849557522124,18.0327868852459
8,python,"def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    apigear_type = get_apigear_datatype(datatype)
    data = node.get_vss_data()

    if apigear_type is None:
        log.warning(f""Datatype {datatype} of node {node.name} currently not supported"")
        return None

    property = ApiGearProperty(apigear_type)
    if data.description != """":
        property.description = data.description
    return property","```python
def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    """"""Generates an ApiGear property from a VSS (Vehicle Signal Specification) node""""""
    if not node:
        return None

    property_name = node.name
    property_type = datatype
    property_description = node.description
    property_unit = node.unit
    property_range = node.range
    property_offset = node.offset
    property_scale = node.scale
    property_is_array = node.is_array
    property_array_size = node.array_size
    property_is_multidimensional = node.is_multidimensional
    property_multidimensional_size = node.multidimensional_size
    property_is_bitfield = node.is_bitfield
    property_bitfield_size = node.bitfield_size
    property_bitfield_offset = node.bitfield_offset
    property_bitfield_mask = node.bitfield_mask
    property_is_enum = node.is_enum
    property_enum_values = node.enum_values
    property_is_constant = node.is_constant
    property_constant_value = node.constant_value
    property_is_optional = node.is_optional
    property_optional_value = node.optional_value
    property_is_nullable = node.is_nullable
    property_nullable_value = node.nullable_value
    property_is_signed = node.is_signed
    property_is_little_endian = node.is_little_endian
    property_is_big_endian = node.is_big_endian
    property_is_network_byte_order = node.is_network_byte_order
    property_is_native_byte_order = node.is_native_byte_order
    property_is_signed_integer = node.is_signed_integer
    property_is_unsigned_integer = node.is_unsigned_integer
    property_is_floating_point = node.is_floating_point
    property_is_complex = node.is_complex
    property_is_boolean = node.is_boolean
    property_is_string = node.is_string
    property_is_date = node.is_date
    property_is_datetime = node.is_datetime
    property_is_time = node.is_time
    property_is_timestamp = node.is_timestamp
    property_is_byte = node.is_byte
    property_is_word = node.is_word
    property_is_dword = node.is_dword
    property_is_qword = node.is_qword
    property_is_half = node.is_half
    property_is_single = node.is_single
    property_is_double = node.is_double
    property_is_bfloat16 = node.is_bfloat16
    property_is_bfloat32 = node.is_bfloat32
    property_is_bfloat64 = node.is_bfloat64
    property_is_decimal = node.is_decimal
    property_is_hex = node.is_hex
    property_is_octal = node.is_octal
    property_is_binary = node.is_binary
    property_is_base64 = node.is_base64
    property_is_json = node.is_","```python
def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    """"""Generates an ApiGear property from a VSS (Vehicle Signal Specification) node""""""
    if not node:
        return None

    property_name = node.name
    property_type = datatype
    property_description = node.description
    property_unit = node.unit
    property_range = node.range
    property_offset = node.offset
    property_scale = node.scale
    property_is_array = node.is_array
    property_array_size = node.array_size
    property_is_multidimensional = node.is_multidimensional
    property_multidimensional_size = node.multidimensional_size
    property_is_bitfield = node.is_bitfield
    property_bitfield_size = node.bitfield_size
    property_bitfield_offset = node.bitfield_offset
    property_bitfield_mask = node.bitfield_mask
    property_is_enum = node.is_enum
    property_enum_values = node.enum_values
    property_is_constant = node.is_constant
    property_constant_value = node.constant_value
    property_is_optional = node.is_optional
    property_optional_value = node.optional_value
    property_is_nullable = node.is_nullable
    property_nullable_value = node.nullable_value
    property_is_signed = node.is_signed
    property_is_little_endian = node.is_little_endian
    property_is_big_endian = node.is_big_endian
    property_is_network_byte_order = node.is_network_byte_order
    property_is_native_byte_order = node.is_native_byte_order
    property_is_signed_integer = node.is_signed_integer
    property_is_unsigned_integer = node.is_unsigned_integer
    property_is_floating_point = node.is_floating_point
    property_is_complex = node.is_complex
    property_is_boolean = node.is_boolean
    property_is_string = node.is_string
    property_is_date = node.is_date
    property_is_datetime = node.is_datetime
    property_is_time = node.is_time
    property_is_timestamp = node.is_timestamp
    property_is_byte = node.is_byte
    property_is_word = node.is_word
    property_is_dword = node.is_dword
    property_is_qword = node.is_qword
    property_is_half = node.is_half
    property_is_single = node.is_single
    property_is_double = node.is_double
    property_is_bfloat16 = node.is_bfloat16
    property_is_bfloat32 = node.is_bfloat32
    property_is_bfloat64 = node.is_bfloat64
    property_is_decimal = node.is_decimal
    property_is_hex = node.is_hex
    property_is_octal = node.is_octal
    property_is_binary = node.is_binary
    property_is_base64 = node.is_base64
    property_is_json = node.is_",24.301496990157833,4.869900008499154,24.002754618798853,33.33333333333333,35.0
10,python,"def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    spec = None
    vspecs: list[VSpec] = []
    for s in specs:
        includes = [s.parent] + include_dirs
        vspecs.extend(get_vspecs(includes, s))
    pre = ""VSpecs""
    if identifier:
        pre += f"" ({identifier})""
    log.info(f""{pre} loaded, amount={len(vspecs)}"")
    for vspec in vspecs:
        log.debug(vspec)
        if spec is None:
            spec = vspec
        else:
            spec.update(vspec)
    if not spec:
        msg = f""Weird behavior. Could not load any spec: {specs}""
        log.error(msg)
        raise SpecException(msg)
    return spec","from pathlib import Path
from vspec.vspec import VSpec
from vspec.vspec import load_vspec_from_file
from vspec.vspec import merge_vspecs


def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    """"""Loads and merges multiple VSpec files from specified paths into a single VSpec object""""""
    vspecs = []
    for spec_path in specs:
        vspecs.append(load_vspec_from_file(spec_path))
    merged_vspec = merge_vspecs(vspecs)
    if identifier:
        merged_vspec.identifier = identifier
    return merged_vspec","from pathlib import Path
from vspec.vspec import VSpec
from vspec.vspec import load_vspec_from_file
from vspec.vspec import merge_vspecs


def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    """"""Loads and merges multiple VSpec files from specified paths into a single VSpec object""""""
    vspecs = []
    for spec_path in specs:
        vspecs.append(load_vspec_from_file(spec_path, include_dirs=include_dirs))
    merged_vspec = merge_vspecs(vspecs)
    if identifier:
        merged_vspec.identifier = identifier
    return merged_vspec",28.679614287470756,19.370590055481234,20.360786991042605,37.77777777777778,37.2093023255814
11,python,"def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for key, value in update.items():
        if isinstance(value, dict):
            if key in base and isinstance(base[key], dict):
                deep_update(base[key], value)
            else:
                base[key] = value
        else:
            base[key] = value","from typing import Any

def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for key, value in update.items():
        if isinstance(value, dict) and key in base and isinstance(base[key], dict):
            deep_update(base[key], value)
        else:
            base[key] = value","from typing import Any

def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for key, value in update.items():
        if isinstance(value, dict) and key in base and isinstance(base[key], dict):
            deep_update(base[key], value)
        else:
            base[key] = value",79.04239358516084,76.65936070959262,77.01021363105075,81.25,81.25
12,python,"def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return v
    pattern = r""^0x[0-9A-Fa-f]{8}$""
    assert bool(re.match(pattern, v)), f""'{v}' is not a valid 'constUID'""
    return v","def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return None
    if not isinstance(v, str):
        return None
    if len(v) != 8:
        return None
    try:
        int(v, 16)
    except ValueError:
        return None
    return v","def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return None
    if not isinstance(v, str):
        return None
    if len(v) != 8:
        return None
    try:
        int(v, 16)
    except ValueError:
        return None
    return v",50.55735832975432,40.37469867061998,51.8547346483973,40.0,70.0
13,python,"def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    model = VSSRaw(fqn=fqn, **data)
    try:
        model = resolve_vss_raw(model)
    except (ValidationError, ModelException):
        log.debug(f""'{fqn}', incomplete, initialized as '{model.__class__.__name__}'"")
        return model
    return model","from typing import Any

from vss.raw import VSSRaw


def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    vss_raw = VSSRaw(data)
    if fqn is not None:
        vss_raw.resolve(fqn)
    return vss_raw","from typing import Any

from vss.raw import VSSRaw


def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    vss_raw = VSSRaw(data)
    if fqn:
        vss_raw.resolve(fqn)
    return vss_raw",44.03494885673426,31.006588705385834,30.96654005488453,47.5,66.66666666666666
