id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,"Raises an exception if the specified 'datatype' is unsupported, otherwise retrieves that type's validation function and returns the boolean result of calling it with the provided 'value'","Validates that the provided 'datatype' is supported, then returns true if the 'value' conforms to the specified 'datatype' using its associated validation function.","Validates that the provided 'datatype' is supported, then returns true if the 'value' conforms to the specified 'datatype' using its associated validation function.",9.61881435761692,50.98039215686274,24.489795918367346,23.52941176470588,70.18168568611145
3,python,"Validates that a given value, or each value in a list, is an integer that fits within the numerical range defined by a specified bit-width and signedness",Checks if a given value or list of values are within the specified range for a signed or unsigned integer of a given bit width.,Checks if a given value or list of values are valid signed or unsigned integers within a specified bit range.,6.726963575198689,41.666666666666664,21.73913043478261,37.5,80.42035698890686
4,python,"Returns the type definition tuple from a class-level list of types that matches the provided 'datatype' name, or returns None if no match is found","Retrieves a tuple containing the datatype name, a callable, and a list of subtypes from a predefined list of datatypes if the provided 'datatype' string matches a datatype name, otherwise returns None.","Searches a predefined list of datatypes and returns a tuple containing the datatype name, a callable, and a list of subtypes if a matching datatype name is found, otherwise returns None.",4.674499231292217,45.614035087719294,14.545454545454545,31.57894736842105,68.67793202400208
5,python,Returns a dictionary mapping the short name to the full FQN for all dynamic datatypes that exist in the same namespace as the provided FQN,"Identifies and returns a dictionary of namespaced datatypes from a list of dynamic datatypes, where the keys are the datatype names and the values are the fully qualified names, based on whether the input fully qualified name (fqn) starts with a prefix of any of the dynamic datatypes.","Identifies and returns a dictionary of namespaced datatypes from a list of dynamic datatypes, where the keys are the datatype names and the values are the fully qualified names, based on whether the input fully qualified name (fqn) starts with a prefix of any of the dynamic datatypes, excluding those that exactly match the fqn.",2.113706726725864,32.5,7.692307692307692,27.500000000000004,60.43750047683716
7,python,"Parses a type string to create an `ApiGearType` object, mapping common primitive types to their ApiGear equivalents, sanitizing custom type names by replacing dots with underscores, and setting an array flag based on a ""[]"" suffix","Converts a string representation of a data type (e.g., 'int32', 'string', 'double[]') into an ApiGearType object, handling array types and mapping common types to their corresponding ApiGearBasicType values.","Converts a string representation of a data type (e.g., 'int32', 'string', 'double[]') into an ApiGearType object, mapping common types to their corresponding ApiGearBasicType values and handling array types by setting the 'is_array' flag.",9.596136927307748,48.57142857142857,20.588235294117645,42.857142857142854,70.9656298160553
8,python,"Creates an `ApiGearProperty` by converting the VSS node's datatype to a supported ApiGear type and copying its description, returning `None` and logging a warning if the datatype is not supported","Retrieves the Apigear datatype for a given datatype string, then creates an ApigearProperty object with that datatype and optionally sets its description from the VSS node data if available, returning None if the datatype is unsupported.","Retrieves the Apigear datatype for a given datatype string, creates an ApigearProperty object with that datatype and optionally sets its description from the VSS node data, returning None if the datatype is unsupported.",10.622513110263315,56.25,29.032258064516125,40.625,73.26459288597107
10,python,"Loads and parses multiple VSpec files from specified paths, using a list of include directories, then merges them into a single composite VSpec object and returns it, raising an exception if no files are successfully loaded","Loads and merges VSpec objects from a list of specification files, optionally including specified include directories, and returns a single combined VSpec object, raising an exception if no specifications are loaded.","Loads and merges VSpec objects from a list of specification files, optionally including specified include directories, and returns a single combined VSpec object, raising a SpecException if no specifications are loaded.",10.698107609094228,68.65671641791045,24.615384615384613,53.7313432835821,83.20541977882385
11,python,"Recursively updates a 'base' dictionary with an 'update' dictionary, merging nested dictionaries for common keys and overwriting or adding all other key-value pairs","Recursively updates a dictionary 'base' with the contents of another dictionary 'update', merging nested dictionaries and overwriting non-dictionary values.","Recursively updates a dictionary 'base' with the contents of another dictionary 'update', merging nested dictionaries and overwriting non-dictionary values in place.",17.767151869436425,56.52173913043478,22.727272727272723,47.82608695652174,76.58833265304565
12,python,"Asserts that the input value, if not None, is a valid 'constUID' formatted as an 8-digit hexadecimal string prefixed with '0x', returning the value if the check passes","Validates that the input 'v' is a hexadecimal string matching the pattern '0x[0-9A-Fa-f]{8}' and returns the input if valid, otherwise raises an assertion error.","Validates that the input 'v' is a hexadecimal string matching the pattern '0x[0-9A-Fa-f]{8}' and returns the input if valid, otherwise raises an assertion error.",6.990006728332349,48.275862068965516,14.285714285714285,34.48275862068966,69.651198387146
13,python,"Initializes a VSSRaw model and attempts to resolve it, returning the successfully resolved model or the original unresolved model if resolution fails due to a validation or model error","Retrieves a VSSRaw object from a dictionary of data, optionally using a fully qualified name (fqn), attempts to resolve it, and returns the resolved object or the initialized object if resolution fails.","Retrieves a VSSRaw object from a dictionary of data, optionally using a fully qualified name (fqn), attempts to resolve it using `resolve_vss_raw`, and returns the resolved object or the initialized object if resolution fails.",9.624140399195792,46.15384615384615,22.222222222222225,40.0,72.58084416389465
14,python,"Asserts that each string in the input list is a valid datatype by checking against a master list, returning the original list if all values are valid","Validates that all datatypes in the input list 'values' are present in the 'datatypes' list, raising an assertion error if an invalid datatype is found, and returning the original list if all datatypes are valid.","Validates that all datatypes in the input list 'values' are valid, raising an assertion error if an invalid datatype is found, and returning the original list if all datatypes are valid.",23.96621968105552,58.620689655172406,35.71428571428571,51.724137931034484,76.7423152923584
15,python,"Traverses a VSSNode tree to generate a formatted string, displaying each node's name followed by the values of any specified attributes found on it","Generates a string representation of a VSSNode tree, including node names and specified attributes (if present), formatted with indentation to visually represent the tree structure.","Generates a string representation of a VSSNode tree, including node names and specified attributes (if present), formatted with indentation to visually represent the tree hierarchy.",7.232823449239034,48.0,12.5,24.0,77.32347249984741
16,python,"Recursively traverses up the parent hierarchy to find and return the first non-instance ancestor node and the traversal depth, raising an exception if the starting node is not a branch or if no root is found","Recursively traverses up the parent chain of a VSSNode until an instance root is found, returning the root node and the depth of the traversal, raising a NoInstanceRootException if no instance root exists.","Recursively traverses up the parent chain of a VSSNode until an instance root is found, returning the root node and the depth of the traversal, raising a NoInstanceRootException if the current node is not an instance or if no instance root exists.",19.767530912312306,65.82278481012659,36.36363636363637,50.63291139240506,77.05533504486084
17,python,Recursively calculates the depth of the first-found branch of children where each node is a `VSSDataBranch` with its `is_instance` flag set,"Recursively counts the depth of instance children within a VSSDataBranch object, returning 1 plus the depth of the first instance child found, or 0 if no instance children are found.","Recursively counts the depth of instance children within a VSSDataBranch object, returning 1 plus the depth of the first instance child found, or 0 if no instance children are found.",8.840994001530047,45.28301886792453,19.607843137254903,30.188679245283023,66.27306342124939
18,python,Returns a list of node IDs from an input list whose expected parent's name matches the provided `name`,Identifies and returns a list of node IDs from a given list that have a specified name as their expected parent.,Identifies and returns a list of node IDs from a given list whose expected parent is a specified name.,30.82627646062185,63.1578947368421,50.0,63.1578947368421,78.68265509605408
19,python,"Retrieves an attribute from an object, returning a specified default value if the attribute is missing or its value is `None`","Safely retrieves an attribute from an object by name, returning a default value if the attribute is not found or is None.","Safely retrieves an attribute from an object by name, returning a default value if the attribute is not found or is None.",41.383778045345196,79.06976744186046,58.536585365853654,79.06976744186046,86.23883724212646
