id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,"Raises an exception if the specified 'datatype' is unsupported, otherwise retrieves that type's validation function and returns the boolean result of calling it with the provided 'value'",Validates that a given value conforms to a specified datatype by retrieving the datatype's type object and applying it to the value.,Retrieves the type object for a specified datatype and returns true if the given value is an instance of that type.,2.0736288352473013,39.21568627450981,4.081632653061225,27.450980392156865,66.79515242576599
3,python,"Validates that a given value, or each value in a list, is an integer that fits within the numerical range defined by a specified bit-width and signedness",Checks if a given value or list of values are within the specified range for a signed or unsigned integer of a given bit width.,Checks if a given value or list of values are within the specified range for a signed or unsigned integer of a given bit width.,7.498840493966204,52.83018867924528,19.607843137254903,41.50943396226415,80.49222230911255
4,python,"Returns the type definition tuple from a class-level list of types that matches the provided 'datatype' name, or returns None if no match is found","Retrieves a tuple containing the type name, constructor, and list of subtypes for a given datatype from a predefined list of types within a class, or returns None if the datatype is not found.”","Retrieves a tuple containing the type name, constructor, and subtypes for a given datatype from a predefined list of types within a class, or returns None if the datatype is not found.”",15.780009027730161,59.999999999999986,27.58620689655172,43.33333333333333,73.76397252082825
5,python,Returns a dictionary mapping the short name to the full FQN for all dynamic datatypes that exist in the same namespace as the provided FQN,"Identifies and returns a dictionary of namespaced datatypes that match a given fully qualified name prefix, excluding the prefix itself.”","Identifies and returns a dictionary of namespaced datatypes whose names match a given fully qualified name prefix, excluding the prefix itself.”",4.725068679267516,31.11111111111111,13.953488372093023,26.66666666666666,65.10699391365051
7,python,"Parses a type string to create an `ApiGearType` object, mapping common primitive types to their ApiGear equivalents, sanitizing custom type names by replacing dots with underscores, and setting an array flag based on a ""[]"" suffix","Converts a string representation of a data type into an ApiGearType object, handling basic types, arrays, and custom types by mapping them to their corresponding ApiGearBasicType values or creating a new type based on the input string.”","Converts a string representation of a data type into an ApiGearType object, handling basic types, arrays, and custom types by mapping them to their corresponding ApiGearBasicType values or creating a new type based on the input string.”",4.188223738574734,47.22222222222223,11.428571428571429,30.555555555555554,68.83137822151184
8,python,"Creates an `ApiGearProperty` by converting the VSS node's datatype to a supported ApiGear type and copying its description, returning `None` and logging a warning if the datatype is not supported","Generates an ApiGearProperty object from a VSSNode and a specified datatype, populating the property's type and description if available.”","Generates an ApiGearProperty object from a VSSNode and a specified datatype, using the node's data to populate the property's type and description if available.”",2.994248662498826,47.05882352941176,8.16326530612245,31.372549019607842,64.80223536491394
10,python,"Loads and parses multiple VSpec files from specified paths, using a list of include directories, then merges them into a single composite VSpec object and returns it, raising an exception if no files are successfully loaded","Loads and merges a list of VSpec files and their included files, logging the process and raising an exception if no specifications are found.”","Loads and merges a list of VSpec files and their included files, logging the process and raising an exception if no specifications are found or if there are any errors during the process.”",14.454909051143666,53.333333333333336,27.586206896551722,43.333333333333336,74.75831508636475
11,python,"Recursively updates a 'base' dictionary with an 'update' dictionary, merging nested dictionaries for common keys and overwriting or adding all other key-value pairs","Recursively merges the contents of the 'update' dictionary into the 'base' dictionary, overwriting existing keys with values from 'update' and merging nested dictionaries.”","Recursively merges the contents of the 'update' dictionary into the 'base' dictionary, overwriting existing non-dictionary values with values from 'update' and recursively merging nested dictionaries.”",9.755684161213917,51.06382978723404,17.777777777777775,34.04255319148936,69.15271282196045
12,python,"Asserts that the input value, if not None, is a valid 'constUID' formatted as an 8-digit hexadecimal string prefixed with '0x', returning the value if the check passes","Validates that a given string is a valid constant UID (in the format '0xXXXXXXXX') and returns the string if valid, otherwise returns None.","Validates that a given string is a valid constant UID (in the format '0xXXXXXXXX') and returns the string if valid, otherwise returns None.",5.589436472762644,34.61538461538461,8.0,23.076923076923077,73.77023696899414
13,python,"Initializes a VSSRaw model and attempts to resolve it, returning the successfully resolved model or the original unresolved model if resolution fails due to a validation or model error","Creates a VSSRaw object from a dictionary, attempts to resolve it, and returns the object (either resolved or incomplete) after logging any validation or model errors.”","Creates a VSSRaw object from a dictionary, attempts to resolve it, and returns the object (either resolved or incomplete) after logging any validation or model errors.”",17.662903260733675,50.90909090909091,22.64150943396226,43.63636363636363,78.30787897109985
14,python,"Asserts that each string in the input list is a valid datatype by checking against a master list, returning the original list if all values are valid","Validates that all provided datatypes are present in a predefined list of valid datatypes, raising an assertion error if an invalid datatype is encountered.","Validates that all provided datatypes are present in a predefined list of valid datatypes, raising an assertion error if an invalid datatype is encountered and returning the original list if all datatypes are valid.",2.4360309478356825,39.21568627450981,0.0,19.607843137254903,67.8079605102539
15,python,"Traverses a VSSNode tree to generate a formatted string, displaying each node's name followed by the values of any specified attributes found on it","Generates a string representation of a VSSNode tree, recursively traversing the tree and formatting each node's name and specified attributes into a readable, indented structure.","Generates a string representation of a VSSNode tree, recursively traversing the tree and formatting each node's name and specified attributes into a readable, indented structure.",10.724314736012696,50.98039215686274,24.489795918367346,35.294117647058826,79.93137240409851
16,python,"Recursively traverses up the parent hierarchy to find and return the first non-instance ancestor node and the traversal depth, raising an exception if the starting node is not a branch or if no root is found","Recursively traverses up the VSS node tree until an instance root node is found, returning the root node and the depth of the traversal.”","Recursively traverses up the VSS node tree to find the instance root node, returning the root node and the depth of the traversal.”",12.181286058192208,55.73770491803279,27.11864406779661,32.786885245901644,73.22293519973755
17,python,Recursively calculates the depth of the first-found branch of children where each node is a `VSSDataBranch` with its `is_instance` flag set,"Recursively counts the depth of instance children within a VSSDataBranch node, returning 0 if no instance children are found.”","Recursively counts the depth of instance children within a VSSDataBranch node, returning 0 if no instance children are found or if the node itself is not an instance.”",6.741413136378529,47.61904761904761,15.0,38.0952380952381,69.16579604148865
18,python,Returns a list of node IDs from an input list whose expected parent's name matches the provided `name`,Identifies and returns a list of node IDs whose expected parent is a given name.”,Identifies and returns a list of node IDs whose expected parent is a given name.”,21.341038930353758,58.82352941176471,43.75000000000001,58.82352941176471,74.6976375579834
19,python,"Retrieves an attribute from an object, returning a specified default value if the attribute is missing or its value is `None`","Safely retrieves an attribute from an object, returning a default value if the attribute is not found or is None.”","Safely retrieves an attribute from an object, returning a default value if the attribute is not found.”",50.40199396572959,82.92682926829269,66.66666666666667,82.92682926829269,84.76105332374573
20,python,Generates a `proto3` file from a VSS tree by first writing import statements for complex data types and then converting each branch in the tree into a corresponding protobuf message,"Recursively traverses a VSS node tree, generating a protocol buffer definition file containing messages for each branch node, including necessary imports and optional fields based on specified flags.”","Recursively traverses a VSS node tree, generating a protocol buffer definition file containing messages for each branch node, including necessary imports and optional fields based on specified flags and handling data type dependencies.”",4.018258743085361,31.03448275862069,7.142857142857142,20.689655172413797,67.03301072120667
21,python,"Traverses a VSS tree to find all terminal instance branches, grouping their relative names into a dictionary where each key is the fully qualified name of the original branch they instantiate","Traverses a VSS node tree to identify and collect instance names under each instance root, returning a dictionary mapping instance root fully qualified names to a list of their child instance names.”","Traverses a VSS node tree to identify and collect instance names under each instance root, returning a dictionary mapping instance root fully qualified names to a list of their direct instance child names.”",7.391032245794819,44.44444444444444,16.39344262295082,38.095238095238095,71.51491641998291
22,python,Checks if a given VSSNode is a leaf by verifying its 'data' attribute is an instance of VSSDataDatatype,Checks if a given VSS node is a leaf node by verifying if its 'data' attribute is an instance of the VSSDataDatatype class.,Determines if a given VSS node is a leaf node by checking if its 'data' attribute is a VSSDataDatatype instance.,42.2938554232042,82.92682926829269,61.53846153846153,82.92682926829269,91.01009368896484
23,python,Returns `True` if the given `VSSNode`'s data is a `VSSDataBranch` and its `is_instance` attribute is `False`,Checks if a given VSS node represents a branch and is not an instance of a data type.”,"Checks if a given VSS node represents a branch and is not an instance of a data type, returning True if both conditions are met.”",1.9857325000847197,38.88888888888889,0.0,33.33333333333333,62.878960371017456
24,python,Returns True if the node's data is a VSSDataBranch and its 'is_instance' attribute is True,Checks if a VSSNode represents an instance of a VSSDataBranch by verifying that its data attribute is a VSSDataBranch and that the branch's 'is_instance' flag is set to True.,Checks if a VSSNode represents an instance of a VSSDataBranch by verifying that its data attribute is a VSSDataBranch and that the branch's 'is_instance' attribute is True.,13.072010980679707,58.33333333333333,21.73913043478261,41.666666666666664,73.32499027252197
25,python,"Calculates a 32-bit FNV-1 hash for a given byte string by iterating through each byte, multiplying the current hash by the FNV prime, and then performing a bitwise XOR with the byte",Calculates a 32-bit FNV-1a hash value for a given byte string using a fixed prime and bitwise operations.,Calculates a 32-bit FNV-1a hash value for a given byte string using a fixed prime and bitwise XOR operations.,18.4212428775086,55.55555555555556,34.61538461538461,51.85185185185185,76.73972845077515
28,java,"Inflates the `card_fragment` layout, finds and assigns the card's title and icon views, and returns the resulting root view","Inflates a layout (`card_fragment`) into a `View`, retrieves the `card_name` and `card_icon` views from the inflated layout, and returns the root `View`.","Inflates a layout (`card_fragment`) into a `View`, retrieves the `card_name` and `card_icon` views from the inflated layout, and returns the root `View`.",19.034486515909165,65.21739130434783,27.27272727272727,56.52173913043478,75.49623847007751
29,java,"Updates an `ImageButton`'s icon and click listener from a content object and makes it visible, or hides the button if the content is null","Updates the visibility and content of an `ImageButton` based on the provided `DescriptiveTextWithControlsView.Control` object, setting its icon and click listener if the control is not null, otherwise hiding the button.”","Updates the visibility and content of an `ImageButton` based on the provided `DescriptiveTextWithControlsView.Control` object, setting its icon and click listener if the control is not null, otherwise hiding the button.”",15.344612089354772,57.14285714285714,22.222222222222225,39.28571428571428,73.33723306655884
30,java,"Lazily inflates a `ViewStub` to create a descriptive text layout, caches references to its child views (title, subtitle, image), and returns the inflated layout","Lazily initializes and returns a `View` inflated from a `ViewStub`, retrieving its child views for title, subtitle, optional image, and 'tap for more' text elements.”","Lazily initializes and returns a `View` inflated from a `ViewStub`, retrieving its child views for title, subtitle, optional image, and 'tap for more' text elements, and caching them for later use.”",19.973527829403494,57.14285714285714,25.53191489361702,40.81632653061225,75.24828910827637
31,java,Updates the header view on the main UI thread by making its root view visible and setting the card's title and icon from the provided `CardHeader` object,Updates the visibility of the root view and the text/icon of the card title with the provided `CardHeader` data on the main thread.”,Updates the visibility of the root view and the text/icon of the card title with the provided `CardHeader` data on the main thread.”,20.90181206308033,61.53846153846153,27.999999999999996,46.15384615384615,78.40921878814697
32,java,"Lazily inflates a `ViewStub` to create and return the text block layout view, while also finding and caching references to its child text views on the first call","Lazily initializes and returns a `View` from a `ViewStub` within the root view, retrieving the `TextBlock` and `TapForMoreText` views from the inflated layout.”","Lazily initializes and returns a `View` from a `ViewStub` within the root view, retrieving the `TextBlock` and `TapForMoreText` views from the inflated layout.”",9.831781143765888,39.21568627450981,4.081632653061225,31.372549019607842,72.0745325088501
33,java,"Queries the `PackageManager` for a `MediaBrowserService` within a given package and returns a `ComponentName` for the first one found, or `null` if none exist","Queries the system for the default `MediaBrowserService` component name within a specified package, returning `null` if no service is found or if the service name is empty.”","Queries the system for the default `MediaBrowserService` component name within a specified package, returning `null` if no service is found.”",13.836903384315104,47.05882352941176,20.408163265306122,39.21568627450981,76.7859935760498
34,java,"Determines if a component should be added to a launchable list, returning `false` if its package is explicitly hidden or if it's a custom media component and launchable apps are also being shown, otherwise returning `true` for valid launchable or media service types","Determines whether a given component should be added to the launchables list based on a blacklist of package names, custom media component exclusions, and the component's application type.”","Determines whether a given component should be added to the launchables list based on a blacklist of package names, custom media component exclusions, and the component's application type, logging an error for invalid application types.”",10.153449901810308,41.0958904109589,16.901408450704224,35.61643835616439,67.59925484657288
35,java,"Sets the car's media source to a given component in browse mode and finishes the context if it's an Activity, catching and logging a `CarNotConnectedException` if the car service is unavailable","Selects a media source and finishes the activity, handling potential `CarNotConnectedException` by logging an error.”","Selects a media source and finishes the activity, handling potential `CarNotConnectedException` by logging an error and preventing activity termination.”",7.484372932996808,41.666666666666664,13.043478260869563,29.166666666666664,72.66703844070435
36,java,"Safely checks if a given activity is distraction optimized using the `CarPackageManager`, returning `false` and logging an error if the manager is null or a `CarNotConnectedException` is caught","Checks if a given activity within a specified package is distraction optimized using the `CarPackageManager`, handling potential `CarNotConnectedException` errors.","Determines if a given activity within a specified package is distraction optimized using the `CarPackageManager`, returning `false` if a `CarNotConnectedException` occurs.",31.847793149693643,55.319148936170215,40.0,51.06382978723404,79.55645322799683
38,java,"Retrieves a specific, resolvable map `Intent` from a configured list if it matches the system's default map app, otherwise falls back to a generic `Intent` for any map application","Retrieves a preferred `Intent` for launching a maps application, prioritizing those specified in `config_homeCardPreferredMapActivities` while falling back to the system default if no preferred activity is found or if the preferred activity is invalid.”","Retrieves a preferred `Intent` for launching a maps application, prioritizing those specified in `config_homeCardPreferredMapActivities` and returning the system default if no preferred activity is found or if the preferred activity is invalid.”",8.573133708989621,36.92307692307693,12.698412698412701,21.53846153846154,62.694984674453735
39,java,"Lazily initializes a set of `HomeCardModule`s by reflectively instantiating class names from a configuration array, and then uses a `FragmentTransaction` to add each module's card view to the UI layout","Lazily initializes a set of `HomeCardModule` instances by dynamically creating them via reflection from a list of class names, setting a `ViewModelProvider` for each, and then adding their corresponding `CardView` fragments to the fragment manager using a transaction.”","Lazily initializes a set of `HomeCardModule` instances by dynamically creating them via reflection from a list of class names, setting a `ViewModelProvider` for each, and then adding their corresponding `CardView` fragments to the fragment manager using a transaction.”",21.51697222102769,48.57142857142857,26.47058823529412,40.0,79.76070642471313
40,java,"Iterates through a list of appeared tasks and uses the `ActivityTaskManager` to remove any task that is in multi-window mode, logging it as a dangling task","Iterates through a list of `TaskAppearedInfo` objects, removes any tasks with a multi-window windowing mode from the `ActivityTaskManager` to clean up dangling tasks.",Iterates through a list of `TaskAppearedInfo` objects and removes any tasks with a multi-window windowing mode from the `ActivityTaskManager` to clean up dangling tasks.,27.508331679836942,58.82352941176471,28.571428571428577,39.21568627450981,80.50420880317688
41,java,Parses the mode from the current Intent and sets the title for both the Activity and the CarUi toolbar using the string resource ID defined in that mode,"Parses the application mode from the intent, sets the activity title, and updates the toolbar title accordingly.”",Parses the application mode from the intent and updates both the activity title and the toolbar title.”,7.971168576185485,57.77777777777777,23.25581395348837,53.333333333333336,73.80793690681458
42,java,"Lazily initializes and returns a `Chronometer` by finding it in the layout, while also finding and caching its associated separator view on the first call","Lazily initializes and returns a `Chronometer` and its associated separator view from a layout, retrieving them by their IDs if they haven't been previously obtained.”","Lazily initializes and returns a `Chronometer` and its associated separator view from a layout, retrieving them by their IDs if they haven't been previously obtained.”",33.66496864175109,50.98039215686274,32.6530612244898,43.13725490196078,77.53501534461975
43,java,"Lazily inflates a media layout from a `ViewStub`, finds and caches its title and subtitle views, initializes its media playback controls bar via a presenter, and returns the inflated view","Lazily initializes and returns a `View` inflated from a `ViewStub`, populating its `primary_text` and `secondary_text` views and initializing the presenter's controls action bar with the `media_playback_controls_bar` view.","Lazily initializes and returns a `View` inflated from a `ViewStub`, populating its `primary_text` and `secondary_text` views and initializing the presenter's controls action bar with the `media_playback_controls_bar` view.",13.285121864733965,63.49206349206349,19.672131147540988,41.269841269841265,71.34355902671814
44,java,"If a valid `Drawable` and card size are provided, this method scales the image to a square based on the card's largest dimension, blurs it, and sets the resulting bitmap as the animated, visible card background","Updates the card's background image by scaling a provided `Drawable` to a square, blurring it, and setting it as the background image with a transition animation if the card size is valid.","Updates the card's background image by scaling a provided `Drawable` to a square, blurring it, and setting it as the background image with a transition animation if the card size is valid and the image is not null.",10.220870182934608,57.14285714285714,20.58823529411765,28.57142857142857,74.38499927520752
45,java,Makes the media layout view visible and updates its title and subtitle with the provided text,Updates the visibility and text content of a media layout view with provided title and subtitle strings.”,Sets the visibility of a media layout view to visible and updates its title and subtitle text fields with the provided strings.”,14.747364570390475,72.72727272727272,25.80645161290323,42.42424242424242,79.05588150024414
46,java,"If the content's start time is positive, this method makes a chronometer and a separator visible, sets the chronometer's base time, and starts it; otherwise, it hides both views","Conditionally displays a chronometer and separator based on the start time of a descriptive text view, updating the chronometer's base and starting it if a start time is provided.","Conditionally displays a chronometer and separator based on the start time of a descriptive text view, updating the chronometer's base and starting it if a start time is provided, otherwise hiding both.",10.667247713156787,55.73770491803278,23.728813559322038,32.78688524590164,69.17866468429565
47,java,Registers a member callback to the provided `Call` object after verifying it is not null,Registers a callback to a given `Call` object to receive updates related to the call's lifecycle.,"Registers a callback to a given `Call` object to receive updates related to the call's lifecycle, handling null calls gracefully.",18.45895819969781,43.74999999999999,26.666666666666668,37.50000000000001,72.95743823051453
48,java,"Handles the removal of a call by clearing the current call and card content, notifying the presenter of the model update, and unregistering its callback from the call object for cleanup","Removes the current call, clears associated data, notifies the presenter of the update, and unregisters the callback for the removed call.”","Removes the current call, clears associated data, notifies the presenter of the update, and unregisters the callback for the removed call if a call was provided.”",14.360876833280878,53.84615384615385,24.0,46.15384615384615,77.55424380302429
49,java,"Formats a phone number to create a new `DescriptiveTextWithControlsView` with call details and controls, then notifies the presenter that the model has been updated","Formats a phone number, creates a `DescriptiveTextWithControlsView` with the formatted number and other UI elements, and then notifies the presenter that the model has been updated.”","Formats a phone number, creates a `DescriptiveTextWithControlsView` with the formatted number and associated UI elements, and then notifies the presenter that the model has been updated.”",44.558016104772264,71.99999999999999,54.16666666666667,71.99999999999999,85.75674891471863
50,java,"Initializes mute, end call, and dialpad buttons by assigning each an icon and a click listener to toggle mute status, disconnect the current call, and delegate to an onClick handler, respectively","Initializes three `DescriptiveTextWithControlsView.Control` objects representing mute, end call, and dialpad actions, each configured with an icon and a corresponding action to be performed when clicked.”","Initializes three `DescriptiveTextWithControlsView.Control` objects representing mute, end call, and dialpad actions, each configured with an icon and a corresponding action to be performed when clicked, using the `InCallService` and `CurrentCall` objects.”",24.067311926373414,42.10526315789473,25.454545454545453,42.10526315789473,66.41013026237488
53,cpp,"When a new listener is added, this callback immediately notifies it with an `AVAILABLE` status if the D-Bus connection is already active",Notifies a listener with `AvailabilityStatus::AVAILABLE` if the D-Bus connection is currently connected.,"Notifies a listener with `AvailabilityStatus::AVAILABLE` if the D-Bus connection is currently connected, ignoring the provided subscription.",17.549026080628433,59.45945945945946,28.57142857142857,54.05405405405405,75.25771856307983
54,cpp,"Atomically registers a given thread to be joined later by adding it to a list, but only if its associated connection is active and the thread is not already present in the list","Registers a thread to be joined upon exit for a given D-Bus connection, ensuring the thread is added to a list of threads to be joined if the connection is already tracked.”","Registers a thread to be joined upon exit for a given D-Bus connection, adding it to a list of threads to be joined if the connection is already being tracked.”",15.069228960836636,54.54545454545454,31.25,39.39393939393939,66.18711352348328
56,cpp,A callback function that handles the removal of a D-Bus watch by stopping its monitoring and disassociating the high-level wrapper object from the underlying `libdbus` watch,Handles the removal of a D-Bus watch by stopping its monitoring if it's ready and clearing its associated data from the underlying D-Bus library watch object”,"Handles the removal of a D-Bus watch by stopping its monitoring if it's ready and clearing its associated data from the underlying D-Bus library watch object, ensuring proper cleanup and preventing further notifications.”",38.201968925871874,63.15789473684211,47.27272727272727,59.64912280701754,77.04601883888245
57,cpp,"Handles the toggling of a D-Bus watch by creating a C++ wrapper object for it on first use, and then starting or stopping its monitoring based on its readiness status",Handles D-Bus watch events by either initializing a `DBusWatch` object and starting its monitoring or stopping the watch and removing its associated data if it's already initialized and no longer ready to be watched.”,"Handles D-Bus watch events by either initializing a `DBusWatch` object and starting its monitoring or stopping the watch and removing its associated data if it's already initialized and no longer ready to be watched, using a `WatchContext` to manage dependencies.”",4.149070930703816,47.76119402985074,12.307692307692307,35.82089552238806,65.89550375938416
