id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,"Raises an exception if the specified 'datatype' is unsupported, otherwise retrieves that type's validation function and returns the boolean result of calling it with the provided 'value'",Validates that a given value conforms to a specified datatype by retrieving the datatype's type object and applying it to the value.,Retrieves the type object for a specified datatype and returns true if the given value is an instance of that type.,4.676647748805178,57.14285714285715,17.02127659574468,28.571428571428577,72.26539254188538
3,python,"Validates that a given value, or each value in a list, is an integer that fits within the numerical range defined by a specified bit-width and signedness",Checks if a given value or list of values are within the specified range for a signed or unsigned integer of a given bit width.,Checks if a given value or list of values are within the specified range for a signed or unsigned integer of a given bit width.,7.498840493966204,52.83018867924528,19.607843137254903,41.50943396226415,80.4922342300415
4,python,"Returns the type definition tuple from a class-level list of types that matches the provided 'datatype' name, or returns None if no match is found","Retrieves a tuple containing the type name, constructor, and list of subtypes for a given datatype from a predefined list of types within a class, or returns None if the datatype is not found.”","Retrieves a tuple containing the type name, constructor, and subtypes for a given datatype from a predefined list of types within a class, or returns None if the datatype is not found.”",16.669883238594206,62.06896551724138,28.57142857142857,44.827586206896555,73.98840188980103
5,python,Returns a dictionary mapping the short name to the full FQN for all dynamic datatypes that exist in the same namespace as the provided FQN,"Identifies and returns a dictionary of namespaced datatypes that match a given fully qualified name prefix, excluding the prefix itself.”","Identifies and returns a dictionary of namespaced datatypes whose names match a given fully qualified name prefix, excluding the prefix itself.”",3.7951516771231115,26.08695652173913,9.09090909090909,21.73913043478261,65.03110527992249
7,python,"Parses a type string to create an `ApiGearType` object, mapping common primitive types to their ApiGear equivalents, sanitizing custom type names by replacing dots with underscores, and setting an array flag based on a ""[]"" suffix","Converts a string representation of a data type into an ApiGearType object, handling basic types, arrays, and custom types by mapping them to their corresponding ApiGearBasicType values or creating a new type based on the input string.”","Converts a string representation of a data type into an ApiGearType object, handling basic types, arrays, and custom types by mapping them to their corresponding ApiGearBasicType values or creating a new type based on the input string.”",4.188223738574734,47.22222222222223,11.428571428571429,30.555555555555554,68.83139610290527
8,python,"Creates an `ApiGearProperty` by converting the VSS node's datatype to a supported ApiGear type and copying its description, returning `None` and logging a warning if the datatype is not supported","Generates an ApiGearProperty object from a VSSNode and a specified datatype, populating the property's type and description if available.”","Generates an ApiGearProperty object from a VSSNode and a specified datatype, using the node's data to populate the property's type and description if available.”",3.415453530891848,52.63157894736842,10.90909090909091,35.08771929824561,63.95619511604309
10,python,"Loads and parses multiple VSpec files from specified paths, using a list of include directories, then merges them into a single composite VSpec object and returns it, raising an exception if no files are successfully loaded","Loads and merges a list of VSpec files and their included files, logging the process and raising an exception if no specifications are found.”","Loads and merges a list of VSpec files and their included files, logging the process and raising an exception if no specifications are found or if there are any errors during the process.”",15.324106673237486,46.3768115942029,23.880597014925375,37.68115942028986,72.1517026424408
11,python,"Recursively updates a 'base' dictionary with an 'update' dictionary, merging nested dictionaries for common keys and overwriting or adding all other key-value pairs","Recursively merges the contents of the 'update' dictionary into the 'base' dictionary, overwriting existing keys with values from 'update' and merging nested dictionaries.”","Recursively merges the contents of the 'update' dictionary into the 'base' dictionary, overwriting existing non-dictionary values with values from 'update' and recursively merging nested dictionaries.”",8.839374326825924,43.99999999999999,16.666666666666664,32.0,67.00367331504822
12,python,"Asserts that the input value, if not None, is a valid 'constUID' formatted as an 8-digit hexadecimal string prefixed with '0x', returning the value if the check passes","Validates that a given string is a valid constant UID (in the format '0xXXXXXXXX') and returns the string if valid, otherwise returns None.","Validates that a given string is a valid constant UID (in the format '0xXXXXXXXX') and returns the string if valid, otherwise returns None.",5.589436472762644,34.61538461538461,8.0,23.076923076923077,73.77023696899414
13,python,"Initializes a VSSRaw model and attempts to resolve it, returning the successfully resolved model or the original unresolved model if resolution fails due to a validation or model error","Creates a VSSRaw object from a dictionary, attempts to resolve it, and returns the object (either resolved or incomplete) after logging any validation or model errors.”","Creates a VSSRaw object from a dictionary, attempts to resolve it, and returns the object (either resolved or incomplete) after logging any validation or model errors.”",17.662903260733675,50.90909090909091,22.64150943396226,43.63636363636363,78.30787897109985
