id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,Validates if a value conforms to a specified data type.,Checks if a value matches a specified data type.,53.8772222047036,72.72727272727272,60.0,72.72727272727272,90.05343317985535
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,Checks if a value or list of values are within the range of a signed or unsigned integer with a specified number of bits.,Checks if a value or list of values are within the range of a signed or unsigned integer with a specified number of bits.,31.839277688719697,55.81395348837209,39.02439024390244,55.81395348837209,85.94964146614075
4,python,Looks up a type definition tuple by its string name from a list of types,"Retrieves a tuple containing type information (name, constructor, and subtypes) for a given datatype string, or None if not found.","Retrieves type information (name, constructor, and subtypes) for a given datatype string from a predefined list, or None if not found.",2.2608914449138346,34.285714285714285,0.0,22.857142857142858,65.1156485080719
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,Retrieves a dictionary of namespaced datatypes based on a fully qualified name prefix.,Extracts namespaced datatypes from a fully qualified name prefix.,3.479789360876994,21.428571428571427,0.0,14.285714285714288,62.28748559951782
7,python,Converts a string-based data type definition into an ApiGearType object,"Maps a string representation of a data type to an ApiGearType object, handling arrays and basic types.","Converts a string representation of a data type to an ApiGearType object, handling arrays and basic types.",9.917720727091444,50.0,30.76923076923077,50.0,81.43191933631897
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,"Generates an ApiGearProperty object from a VSSNode and its datatype, handling unsupported datatypes.”","Generates an ApiGearProperty object from a VSSNode and its datatype, returning None if the datatype is unsupported.”",6.917184228205474,33.333333333333336,18.18181818181818,33.333333333333336,68.54826807975769
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,"Loads and merges VSpec objects from specified files and directories, optionally identifying the loaded specs.","Loads and merges VSpec objects from specified files and directories, optionally identifying the loaded specs and raising an exception if no specs are found.",11.64394847706997,48.275862068965516,22.222222222222225,41.379310344827594,78.97900342941284
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively updates a dictionary with another dictionary, merging nested dictionaries.”","Recursively updates a dictionary with another dictionary, merging nested dictionaries and overwriting non-dictionary values.”",49.73567356124545,85.71428571428572,63.1578947368421,85.71428571428572,87.05369830131531
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,"Validates if a given string matches the format of a constant UID (e.g., '0xXXXXXXXX').","Validates if a given string matches the format of a constant UID (e.g., '0xXXXXXXXX').",4.968018039415939,37.03703703703704,8.0,22.222222222222225,61.577922105789185
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","Retrieves a VSSRaw object from a dictionary, resolving it and handling potential validation errors.","Retrieves and resolves a VSSRaw object from a dictionary, logging incomplete instances.",3.21858262703621,13.79310344827586,0.0,6.89655172413793,69.66022253036499
