id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,Validates if a value conforms to a specified data type.,Checks if a value matches a specified data type.,14.530346490115708,47.61904761904762,21.05263157894737,47.61904761904762,85.42665839195251
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,Checks if a value or list of values are within the range of a signed or unsigned integer with a specified number of bits.,Checks if a value or list of values are within the range of a signed or unsigned integer with a specified number of bits.,31.839277688719697,55.81395348837209,39.02439024390244,55.81395348837209,85.94962954521179
4,python,Looks up a type definition tuple by its string name from a list of types,"Retrieves a tuple containing type information (name, constructor, and subtypes) for a given datatype string, or None if not found.","Retrieves type information (name, constructor, and subtypes) for a given datatype string from a predefined list, or None if not found.",3.796469564911484,38.88888888888889,5.88235294117647,27.77777777777778,67.20187067985535
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,Retrieves a dictionary of namespaced datatypes based on a fully qualified name prefix.,Extracts namespaced datatypes from a fully qualified name prefix.,3.0266181377145767,16.666666666666668,0.0,16.666666666666668,62.92397379875183
7,python,Converts a string-based data type definition into an ApiGearType object,"Maps a string representation of a data type to an ApiGearType object, handling arrays and basic types.","Converts a string representation of a data type to an ApiGearType object, handling arrays and basic types.",11.076007888812258,57.14285714285714,38.46153846153847,57.14285714285714,82.52005577087402
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,"Generates an ApiGearProperty object from a VSSNode and its datatype, handling unsupported datatypes.”","Generates an ApiGearProperty object from a VSSNode and its datatype, returning None if the datatype is unsupported.”",5.415315253510896,28.57142857142857,15.384615384615385,28.57142857142857,67.33688712120056
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,"Loads and merges VSpec objects from specified files and directories, optionally identifying the loaded specs.","Loads and merges VSpec objects from specified files and directories, optionally identifying the loaded specs and raising an exception if no specs are found.",7.355026065679767,36.84210526315789,16.666666666666668,31.57894736842105,73.20217490196228
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively updates a dictionary with another dictionary, merging nested dictionaries.”","Recursively updates a dictionary with another dictionary, merging nested dictionaries and overwriting non-dictionary values.”",37.709297891717654,76.92307692307692,50.0,69.23076923076923,80.78178763389587
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,"Validates if a given string matches the format of a constant UID (e.g., '0xXXXXXXXX').","Validates if a given string matches the format of a constant UID (e.g., '0xXXXXXXXX').",4.968018039415939,37.03703703703704,8.0,22.222222222222225,61.577922105789185
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","Retrieves a VSSRaw object from a dictionary, resolving it and handling potential validation errors.","Retrieves and resolves a VSSRaw object from a dictionary, logging incomplete instances.",3.2399023551226187,14.814814814814813,0.0,14.814814814814813,72.18824028968811
