id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,Checks if a value conforms to a specified datatype”,Validates if a value matches a specified datatype”,43.742343691381734,76.1904761904762,52.63157894736842,66.66666666666666,87.26144433021545
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,Checks if a value or list of values are within the range of a signed or unsigned integer with a specified number of bits”,Checks if a value or list of values are within the range of a signed or unsigned integer with a specified number of bits”,32.59889346257789,55.81395348837209,39.02439024390244,55.81395348837209,84.32559370994568
4,python,Looks up a type definition tuple by its string name from a list of types,Retrieves a type definition from a list of types based on a given datatype string.”,Looks up a type definition in a list of types based on a given datatype string.”,29.48993986902436,60.0,42.857142857142854,53.333333333333336,77.3127019405365
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,Identifies and returns a dictionary of namespaced datatypes matching a given fully qualified name prefix.”,Identifies and returns a dictionary of namespaced datatypes that start with a given fully qualified name prefix.”,5.751391809950023,33.33333333333333,7.142857142857142,26.666666666666668,64.04803395271301
7,python,Converts a string-based data type definition into an ApiGearType object,"Maps a string representation of a data type to its corresponding ApiGearType, handling arrays and basic types.”","Converts a string representation of a data type to an ApiGearType, handling arrays and basic types.”",4.553719184146073,35.714285714285715,15.384615384615385,35.714285714285715,74.0696668624878
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,Generates an ApiGear property object from a VSS node and its associated datatype”,Creates an ApiGear property object based on a VSS node's datatype and data description”,28.917849332325716,66.66666666666667,45.45454545454545,66.66666666666667,77.69922614097595
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,Loads and merges multiple specification files and their include dependencies into a single VSpec object”,"Loads and merges multiple specification files and their include dependencies into a single VSpec object, logging details about the process.",33.88714363186177,68.9655172413793,51.85185185185186,68.9655172413793,83.8580071926117
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively updates a dictionary with another dictionary, merging nested dictionaries.”","Recursively merges a dictionary into another, updating nested dictionaries.”",49.73567356124545,85.71428571428572,63.1578947368421,85.71428571428572,87.05369830131531
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,"Validates that a given string conforms to the 'constUID' format (e.g., '0x12345678') and returns the input if valid.","Validates that a given string conforms to the 'constUID' format (e.g., '0x12345678') and returns the input if valid, or None if it is None.",2.252278368576829,25.80645161290323,0.0,19.35483870967742,58.323633670806885
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","Creates and resolves a VSSRaw object, handling potential validation or model errors”","Creates and resolves a VSSRaw object, returning it even if validation or model resolution fails”",3.468317761317914,22.222222222222225,0.0,22.222222222222225,71.25096321105957
14,python,Validates that a list of strings are all known datatypes,Validates a list of datatypes against a predefined set of allowed datatypes”,Validates that a list of datatypes contains only allowed values”,14.323145079400492,45.45454545454545,20.0,45.45454545454545,64.92137312889099
15,python,"Renders a VSS tree into a string, displaying specified attributes for each node","Generates a string representation of a VSS tree, including specified attributes for each node.”","Generates a formatted string representation of a VSS tree, including specified attributes for each node.”",32.22538601891173,74.07407407407408,55.99999999999999,59.25925925925927,85.81863045692444
16,python,Finds the root of a VSS instance by recursively traversing up the parent hierarchy,"Traverses up the VSS tree to find the root instance node, raising an exception if no instance root is found.”","Traverses up the VSS tree to find the root instance node, incrementing depth along the way.”",5.154337627145953,35.29411764705882,12.5,17.64705882352941,69.40825581550598
17,python,Counts the depth of a chain of instance branches,Recursively counts the depth of instance children within a VSS data branch.”,Recursively counts the depth of instance children within a VSS data branch.”,13.292417883329383,57.14285714285715,42.10526315789474,47.61904761904762,70.78924775123596
18,python,Finds all child node IDs that belong to a specific parent name,Finds the IDs of all nodes whose expected parent is a given name”,Finds the IDs of all nodes whose expected parent is a given name”,4.6192151051305474,48.00000000000001,0.0,32.0,79.93607521057129
19,python,"Gets an attribute, returning a default value if the attribute is missing or its value is None","Safely retrieves an attribute from an object, returning a default value if the attribute is missing.”","Safely retrieves an attribute from an object, returning a default value if the attribute is not found.”",51.84341074271373,66.66666666666667,58.06451612903225,66.66666666666667,78.79169583320618
20,python,Generates a Protobuf schema from a Vehicle Signal Specification (VSS) tree,"Generates a protocol buffer definition from a VSS tree, including imports and message structures.”","Generates a protocol buffer definition from a VSS tree, including imports and message structures for data branches.”",7.158561577277536,47.99999999999999,26.08695652173913,47.99999999999999,70.75011730194092
21,python,Groups all leaf VSS branch instances by the fully qualified name of their original branch definition,Collects the fully qualified names of all instance nodes under each instance root node in a VSS tree”,Extracts the names of all instance nodes grouped by their instance root nodes in a VSS tree”,9.507244120026236,35.294117647058826,12.5,23.52941176470588,68.90653967857361
22,python,Determines if a VSS node is a leaf based on its data type,Checks if a VSS node is a leaf node based on its data type”,Checks if a VSS node represents a leaf node by examining its data type”,61.62607099729587,88.8888888888889,80.0,88.8888888888889,87.96269297599792
23,python,Checks if a VSS node is a branch that is not an instance,Checks if a VSS node represents a branch and is not an instance”,Checks if a VSS node is a branch and not an instance of a data type”,42.50281413416977,84.61538461538461,66.66666666666666,84.61538461538461,89.04913663864136
