id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,Checks if a value conforms to a specified datatype”,Validates if a value matches a specified datatype”,23.206041459353084,70.0,33.33333333333333,60.0,85.32611727714539
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,Checks if a value or list of values are within the range of a signed or unsigned integer with a specified number of bits”,Checks if a value or list of values are within the range of a signed or unsigned integer with a specified number of bits”,32.59889346257789,55.81395348837209,39.02439024390244,55.81395348837209,84.32559370994568
4,python,Looks up a type definition tuple by its string name from a list of types,Retrieves a type definition from a list of types based on a given datatype string.”,Looks up a type definition in a list of types based on a given datatype string.”,34.57913759237496,64.51612903225806,48.275862068965516,58.06451612903225,79.72050309181213
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,Identifies and returns a dictionary of namespaced datatypes matching a given fully qualified name prefix.”,Identifies and returns a dictionary of namespaced datatypes that start with a given fully qualified name prefix.”,5.0912128230977505,31.25,6.666666666666667,25.0,64.36984539031982
7,python,Converts a string-based data type definition into an ApiGearType object,"Maps a string representation of a data type to its corresponding ApiGearType, handling arrays and basic types.”","Converts a string representation of a data type to an ApiGearType, handling arrays and basic types.”",7.012887580040736,51.85185185185185,32.0,51.85185185185185,80.92439770698547
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,Generates an ApiGear property object from a VSS node and its associated datatype”,Creates an ApiGear property object based on a VSS node's datatype and data description”,13.292417883329383,46.15384615384615,25.0,46.15384615384615,74.17570352554321
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,Loads and merges multiple specification files and their include dependencies into a single VSpec object”,"Loads and merges multiple specification files and their include dependencies into a single VSpec object, logging details about the process.",27.809355999594505,58.823529411764696,43.75,58.823529411764696,80.65606355667114
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively updates a dictionary with another dictionary, merging nested dictionaries.”","Recursively merges a dictionary into another, updating nested dictionaries.”",12.192091596713041,60.0,22.222222222222225,60.0,82.4148952960968
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,"Validates that a given string conforms to the 'constUID' format (e.g., '0x12345678') and returns the input if valid.","Validates that a given string conforms to the 'constUID' format (e.g., '0x12345678') and returns the input if valid, or None if it is None.",1.8154533256373546,27.027027027027028,0.0,21.62162162162162,56.23030066490173
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","Creates and resolves a VSSRaw object, handling potential validation or model errors”","Creates and resolves a VSSRaw object, returning it even if validation or model resolution fails”",6.150343144231885,26.666666666666668,0.0,26.666666666666668,73.88166785240173
14,python,Validates that a list of strings are all known datatypes,Validates a list of datatypes against a predefined set of allowed datatypes”,Validates that a list of datatypes contains only allowed values”,41.11336169005198,60.0,44.44444444444444,60.0,74.88617300987244
15,python,"Renders a VSS tree into a string, displaying specified attributes for each node","Generates a string representation of a VSS tree, including specified attributes for each node.”","Generates a formatted string representation of a VSS tree, including specified attributes for each node.”",29.11892337378931,71.42857142857142,46.15384615384615,57.14285714285715,85.1101815700531
16,python,Finds the root of a VSS instance by recursively traversing up the parent hierarchy,"Traverses up the VSS tree to find the root instance node, raising an exception if no instance root is found.”","Traverses up the VSS tree to find the root instance node, incrementing depth along the way.”",6.336859268415405,40.0,14.285714285714288,26.666666666666668,71.94991111755371
17,python,Counts the depth of a chain of instance branches,Recursively counts the depth of instance children within a VSS data branch.”,Recursively counts the depth of instance children within a VSS data branch.”,13.292417883329383,57.14285714285715,42.10526315789474,47.61904761904762,70.78924775123596
18,python,Finds all child node IDs that belong to a specific parent name,Finds the IDs of all nodes whose expected parent is a given name”,Finds the IDs of all nodes whose expected parent is a given name”,4.6192151051305474,48.00000000000001,0.0,32.0,79.93607521057129
19,python,"Gets an attribute, returning a default value if the attribute is missing or its value is None","Safely retrieves an attribute from an object, returning a default value if the attribute is missing.”","Safely retrieves an attribute from an object, returning a default value if the attribute is not found.”",43.48553979929486,58.82352941176471,50.0,58.82352941176471,77.50016450881958
20,python,Generates a Protobuf schema from a Vehicle Signal Specification (VSS) tree,"Generates a protocol buffer definition from a VSS tree, including imports and message structures.”","Generates a protocol buffer definition from a VSS tree, including imports and message structures for data branches.”",5.993031480537873,42.857142857142854,23.076923076923077,42.857142857142854,67.91222095489502
21,python,Groups all leaf VSS branch instances by the fully qualified name of their original branch definition,Collects the fully qualified names of all instance nodes under each instance root node in a VSS tree”,Extracts the names of all instance nodes grouped by their instance root nodes in a VSS tree”,3.5792807886387674,36.36363636363636,0.0,18.18181818181818,69.00506019592285
22,python,Determines if a VSS node is a leaf based on its data type,Checks if a VSS node is a leaf node based on its data type”,Checks if a VSS node represents a leaf node by examining its data type”,24.022110864391543,66.66666666666666,48.00000000000001,66.66666666666666,86.2370252609253
23,python,Checks if a VSS node is a branch that is not an instance,Checks if a VSS node represents a branch and is not an instance”,Checks if a VSS node is a branch and not an instance of a data type”,53.07074109851435,75.86206896551724,66.66666666666666,75.86206896551724,86.43271923065186
24,python,Checks if a VSS node represents a branch instance,Checks if a VSS node represents an instance of a VSS branch”,Checks if a VSS node is an instance of a VSS branch data type”,29.89950354998137,69.56521739130434,38.0952380952381,60.86956521739131,78.4900426864624
25,python,FNV-1 32-bit hashing algorithm for a byte sequence,Calculates a 32-bit FNV-1a hash value for a given byte string”,Computes a 32-bit FNV-1a hash value for a given byte string.,13.912311644176565,52.17391304347826,19.04761904761905,43.47826086956522,79.7798752784729
28,java,Inflates a card fragment's layout and initializes its view components,Inflates a card fragment layout and initializes its title and icon views”,Inflates a card fragment layout and initializes its title and icon views.,27.968424579665367,69.56521739130434,57.14285714285713,69.56521739130434,85.72794795036316
29,java,"Sets a button's icon and click listener to make it visible, or hides it if no content is provided",Updates the visibility and content of a control bar button based on a descriptive text with controls object”,Updates the visibility and content of a control bar button based on a descriptive text with controls object,2.5292817518388535,21.05263157894737,0.0,10.526315789473685,63.17265033721924
30,java,Lazily inflates and initializes a descriptive text layout view on first access,Lazily initializes and returns a view containing descriptive text elements and an optional image”,"Lazily initializes and returns a view containing descriptive text elements, an optional image, and a tap-for-more indicator”",5.538003944406129,45.16129032258065,6.896551724137931,32.25806451612903,72.57809042930603
31,java,Updates and displays a card header view with a new title and icon,Updates the header view with the card title and icon on the main thread”,Updates the header view's title and icon on the main thread”,13.215955651112742,48.00000000000001,26.08695652173913,48.00000000000001,79.52094078063965
32,java,Lazily inflates and returns a text block layout view from a ViewStub,Lazily initializes and returns a text block layout view with associated text and tap-for-more elements”,Lazily initializes and returns a text block layout view containing a text element and a tap-for-more element”,37.08163623065083,58.06451612903226,41.37931034482759,58.06451612903226,73.86803030967712
33,java,Gets the media browser service component from a given package,Retrieves the default media browsing service component name for a given package name.,"Retrieves the default media browsing service component name for a given package name, or null if none is found.",9.246523455174716,48.275862068965516,22.22222222222222,48.275862068965516,75.444895029068
34,java,Determines if an app component should be launchable by filtering against a hide list and de-duplicating media services,"Determines whether a component should be added to the launchables list based on app hiding, custom media components, and component type.","Determines whether a component should be added to the launchables list based on app hiding, custom media components, and component type.",7.707532488755378,45.0,10.526315789473685,30.0,77.34943628311157
35,java,Sets the media source and finishes the current activity,"Selects a media source and finishes the activity if it is one, handling potential connection errors.”","Selects a media source and finishes the activity if it is one, handling potential connection errors.",21.042990347620457,48.00000000000001,34.78260869565218,48.00000000000001,70.809006690979
36,java,"Safely checks if a given activity is distraction-optimized, handling potential connection errors","Checks if a given activity in a package is distraction optimized using the CarPackageManager, handling potential CarNotConnectedException.","Determines if an activity is distraction optimized by querying the CarPackageManager, handling CarNotConnectedException.",7.859438681510603,46.15384615384615,25.0,46.15384615384615,71.8142569065094
38,java,"Retrieves a specific, configured Intent for the default maps app, falling back to a generic one","Retrieves a preferred maps intent from configuration, falling back to the default if no preferred activity is found or valid.”","Retrieves a preferred maps intent from configuration, prioritizing user-specified apps and falling back to the default if none are found or valid.”",8.77491027594595,46.15384615384615,21.62162162162162,30.769230769230766,64.38766121864319
39,java,Dynamically instantiates and displays home card modules defined in a configuration resource,Dynamically initializes and adds home card modules to the fragment transaction based on configured class names”,"Dynamically initializes and adds home card modules to the fragment transaction based on configured class names, logging initialization times for debugging”",7.305267243289862,30.303030303030305,12.903225806451612,30.303030303030305,74.77616667747498
40,java,Removes dangling tasks that are in multi-window mode,Removes dangling multi-window tasks from the activity task manager.”,Removes dangling multi-window tasks from the activity task manager to prevent resource leaks.”,6.250381527944883,43.47826086956522,19.04761904761905,34.78260869565217,77.77491807937622
41,java,Updates the mode from the intent and sets the UI title accordingly,Parses the app mode from the intent and updates the title of the activity and toolbar”,Parses the app mode from the intent and updates the activity and toolbar titles”,28.917849332325716,61.53846153846153,41.666666666666664,53.84615384615385,80.79864978790283
42,java,Lazily initializes and returns the Chronometer view on first access,Lazily initializes and returns a chronometer view and its separator from a layout”,Lazily initializes and returns a chronometer view and its separator from a layout”,20.448007360218387,52.17391304347826,38.0952380952381,52.17391304347826,75.22606253623962
43,java,Blurs and scales an image to set as a card's visible background,"Lazily initializes and returns the media layout view, including its title, subtitle, and control bar.”","Lazily initializes and returns the media layout view, setting up its title, subtitle, and control bar.”",1.8160849415439309,6.896551724137931,0.0,6.896551724137931,60.28066873550415
44,java,Blurs and scales an image to set as a card's visible background,"Updates the card's background image with a blurred version of the provided drawable, scaled to the card's dimensions.","Updates the card's background image with a blurred version of the provided drawable, scaled to the card's maximum dimension.",2.7156804039319287,35.294117647058826,6.25,23.52941176470588,71.33325338363647
45,java,Makes the media view visible and sets its title and subtitle,Updates the visibility and text content of a media layout view with a given title and subtitle.”,Updates the visibility and text content of a media layout view with a given title and subtitle.”,9.313775329024091,50.0,15.384615384615385,42.857142857142854,71.93700671195984
46,java,"Starts and shows a chronometer if a start time is positive; otherwise, hides it",Updates the visibility and state of a chronometer to display audio duration based on a start time.”,Updates the visibility and state of a chronometer to display audio duration if a start time is available.”,21.31456897111116,50.0,33.333333333333336,50.0,65.18037915229797
47,java,Registers a callback on a newly added call,Registers a callback to receive updates for a given call object.,Registers a callback to receive updates for a given call.,15.851165692617155,55.55555555555556,25.0,55.55555555555556,78.83084416389465
48,java,Resets state and unregisters the callback when a call is removed,"Clears call-related data, updates the presenter, and unregisters a callback when a call is removed.","Clears call-related data, updates the presenter, and unregisters a callback upon call removal.",6.43716525407242,47.99999999999999,8.695652173913043,32.0,78.9116382598877
