id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,"Raises an exception if the specified 'datatype' is unsupported, otherwise retrieves that type's validation function and returns the boolean result of calling it with the provided 'value'",Checks if a given value conforms to a specified datatype by retrieving the corresponding type object and applying it to the value.,Validates if a value matches a specified datatype by retrieving the type object associated with the datatype and checking if the value is an instance of that type.,4.686621581836457,50.0,14.814814814814813,25.0,64.51553106307983
3,python,"Validates that a given value, or each value in a list, is an integer that fits within the numerical range defined by a specified bit-width and signedness",Checks if a given integer or list of integers falls within a specified range based on the number of bits and whether it is signed.,"Validates if an integer or a list of integers is within a specified range, considering the number of bits and whether the value is signed.",5.613562721161655,52.83018867924528,11.76470588235294,33.9622641509434,79.02498841285706
4,python,"Returns the type definition tuple from a class-level list of types that matches the provided 'datatype' name, or returns None if no match is found","Retrieves a type definition (name, constructor, and attributes) from a class's types dictionary based on a given datatype string, or returns None if no match is found.","Retrieves a type definition (name, constructor, and attributes) from a class's types dictionary based on a given datatype string, returning None if no match is found.",19.500507550993703,52.83018867924528,31.372549019607842,49.056603773584904,77.60774493217468
5,python,Returns a dictionary mapping the short name to the full FQN for all dynamic datatypes that exist in the same namespace as the provided FQN,"Identifies and returns a dictionary of fully qualified namespaced datatypes that are prefixes of the input fully qualified name, excluding the exact match.","Identifies and returns a dictionary of fully qualified namespaced datatypes that are prefixes of the input fully qualified name, excluding the exact match and any intermediate names.",4.1858747270392405,30.769230769230766,12.000000000000002,26.923076923076923,66.00494384765625
7,python,"Parses a type string to create an `ApiGearType` object, mapping common primitive types to their ApiGear equivalents, sanitizing custom type names by replacing dots with underscores, and setting an array flag based on a ""[]"" suffix","Converts a string representation of a data type (e.g., 'int32', 'string[]') to an `ApiGearType` object, handling basic types, floating-point types, booleans, strings, and arrays.","Converts a string representation of a data type (e.g., 'int32', 'string[]') to an `ApiGearType` object, mapping common types to their corresponding `ApiGearBasicType` and handling arrays.",21.795717829569732,45.90163934426229,23.728813559322035,42.622950819672134,71.06801867485046
8,python,"Creates an `ApiGearProperty` by converting the VSS node's datatype to a supported ApiGear type and copying its description, returning `None` and logging a warning if the datatype is not supported","Generates an ApiGearProperty object from a VSSNode, mapping its datatype to an ApiGear datatype and optionally setting the property description.","Generates an ApiGearProperty object from a VSSNode, mapping its datatype to an ApiGear datatype and optionally setting the property description if available.",3.1769943353285752,45.283018867924525,7.8431372549019605,30.18867924528302,71.322101354599
10,python,"Loads and parses multiple VSpec files from specified paths, using a list of include directories, then merges them into a single composite VSpec object and returns it, raising an exception if no files are successfully loaded","Loads and merges multiple VSpec files from specified paths, optionally using an identifier, and returns a single combined VSpec object after logging the process and handling potential errors.","Loads and merges multiple VSpec files from specified paths and include directories, optionally using an identifier, and returns a single combined VSpec object after logging the process and handling potential errors.",20.390733185310626,56.71641791044777,30.769230769230766,44.776119402985074,79.75162863731384
11,python,"Recursively updates a 'base' dictionary with an 'update' dictionary, merging nested dictionaries for common keys and overwriting or adding all other key-value pairs","Recursively updates a dictionary with another dictionary, merging nested dictionaries while overwriting non-dictionary values.","Recursively updates a dictionary with another dictionary, merging nested dictionaries and overwriting non-dictionary values in place.",22.91354635647891,53.658536585365844,35.8974358974359,53.658536585365844,73.71227741241455
12,python,"Asserts that the input value, if not None, is a valid 'constUID' formatted as an 8-digit hexadecimal string prefixed with '0x', returning the value if the check passes","Validates if a given string is a valid constant UID (hexadecimal format with '0x' prefix and 8 characters) and returns the string if valid, otherwise returns None.","Validates if a given string is a valid constant UID (hexadecimal format with '0x' prefix and 8 hexadecimal characters) and returns the string if valid, otherwise returns None.",6.682350003723728,42.10526315789473,10.909090909090908,31.578947368421055,75.42681097984314
13,python,"Initializes a VSSRaw model and attempts to resolve it, returning the successfully resolved model or the original unresolved model if resolution fails due to a validation or model error","Creates a VSSRaw object from input data, attempts to resolve it using `resolve_vss_raw`, and returns the resolved object or the original if resolution fails, logging a debug message in case of failure.","Creates a VSSRaw object from input data, attempts to resolve it using `resolve_vss_raw`, and returns the resolved object or the original if resolution fails, logging a debug message if resolution is incomplete.",11.929171672601013,50.793650793650805,26.229508196721312,47.61904761904761,74.71756935119629
14,python,"Asserts that each string in the input list is a valid datatype by checking against a master list, returning the original list if all values are valid","Validates a list of datatypes against a predefined set of allowed datatypes, raising an assertion error if any invalid datatypes are found.","Verifies that a list of datatypes contains only valid datatypes by comparing them against a predefined set, raising an assertion error for any invalid entries.",3.7826218645062446,26.923076923076923,4.0,23.076923076923077,70.67349553108215
15,python,"Traverses a VSSNode tree to generate a formatted string, displaying each node's name followed by the values of any specified attributes found on it","Generates a string representation of a tree structure, including node names and specified attributes, by traversing the tree and formatting each node's information into lines.","Generates a string representation of a tree structure, including node names and specified attributes, by traversing the tree and formatting each node's information into lines.",4.970745472800839,47.05882352941176,12.244897959183673,19.607843137254903,75.19464492797852
16,python,"Recursively traverses up the parent hierarchy to find and return the first non-instance ancestor node and the traversal depth, raising an exception if the starting node is not a branch or if no root is found","Recursively traverses up the tree to find the root instance of a VSSNode, raising an exception if no instance root exists or if the current node is not an instance.","Recursively traverses up the tree to find the root instance of a VSSNode, incrementing the depth with each level, and raising an exception if no instance root exists or if the current node is not an instance.",19.035778476657203,64.86486486486487,33.33333333333333,48.64864864864865,75.71267485618591
17,python,Recursively calculates the depth of the first-found branch of children where each node is a `VSSDataBranch` with its `is_instance` flag set,Recursively counts the depth of instance children within a VSSDataBranch tree structure.,"Recursively counts the depth of instance children within a VSSDataBranch tree structure, returning 1 if an instance child is found and recursively counting its descendants.",6.980361417366381,45.83333333333333,13.043478260869565,33.33333333333333,66.66958928108215
18,python,Returns a list of node IDs from an input list whose expected parent's name matches the provided `name`,Identifies child node IDs within a list by filtering for those whose expected parent matches a specified name.,Identifies child node IDs within a list by filtering for those whose expected parent matches a specified name.,7.149471789396511,48.64864864864865,22.857142857142858,43.24324324324324,73.11978340148926
19,python,"Retrieves an attribute from an object, returning a specified default value if the attribute is missing or its value is `None`","Safely retrieves an attribute from an object, returning a default value if the attribute is not found or is None.","Retrieves an object's attribute by name, returning a specified default value if the attribute is missing or None.",50.833590069258854,80.0,63.1578947368421,75.00000000000001,89.2627477645874
20,python,Generates a `proto3` file from a VSS tree by first writing import statements for complex data types and then converting each branch in the tree into a corresponding protobuf message,"Generates a protocol buffer definition file from a VSS signal tree by traversing the tree, extracting data types, writing imports, and creating messages for each branch node.","Generates a protocol buffer definition file from a VSS signal tree by traversing the tree, extracting data types, writing imports, and creating messages for each branch node, optionally including static UIDs and optional fields.",10.834381375292095,53.125,25.80645161290323,40.625,73.26547503471375
21,python,"Traverses a VSS tree to find all terminal instance branches, grouping their relative names into a dictionary where each key is the fully qualified name of the original branch they instantiate",Extracts a dictionary mapping instance root fully qualified names to lists of their direct instance names by traversing a VSS tree and filtering for instance branches without further instance children.,Extracts a dictionary mapping instance root fully qualified names to lists of their direct instance names by traversing a VSS tree and filtering for instance branches without further instance children.,7.8424470722906685,42.62295081967213,16.949152542372882,16.39344262295082,68.422532081604
22,python,Checks if a given VSSNode is a leaf by verifying its 'data' attribute is an instance of VSSDataDatatype,Checks if a given VSSNode represents a leaf node by verifying if its data attribute is an instance of the VSSDataDatatype class.,Determines if a VSSNode is a leaf node by checking if its data attribute is of type VSSDataDatatype.,18.951629567590746,72.22222222222221,41.17647058823529,72.22222222222221,86.78968548774719
23,python,Returns `True` if the given `VSSNode`'s data is a `VSSDataBranch` and its `is_instance` attribute is `False`,Determines if a VSSNode represents a branch with a non-instance data type.,Determines if a VSSNode represents a branch where the data is not an instance.,2.8269916357545335,43.75000000000001,6.666666666666667,31.250000000000007,63.3922815322876
24,python,Returns True if the node's data is a VSSDataBranch and its 'is_instance' attribute is True,Checks if a VSSNode represents an instance of a VSSDataBranch by verifying if its data is a VSSDataBranch and if that branch is marked as an instance.,Determines if a VSSNode represents a VSSDataBranch instance by checking if its data is a VSSDataBranch and if the branch's 'is_instance' attribute is True.,32.84179828941148,65.11627906976743,43.90243902439025,51.162790697674424,75.54203867912292
25,python,"Calculates a 32-bit FNV-1 hash for a given byte string by iterating through each byte, multiplying the current hash by the FNV prime, and then performing a bitwise XOR with the byte",Calculates a 32-bit FNV-1a hash value for a given byte string by iteratively multiplying by a prime and XORing with each byte.,"Calculates a 32-bit FNV-1a hash value for a given byte string by iteratively multiplying by a prime and XORing with each byte, ensuring the result remains within the 32-bit range.",29.087358098810014,65.67164179104478,33.84615384615385,53.73134328358209,78.69865894317627
28,java,"Inflates the `card_fragment` layout, finds and assigns the card's title and icon views, and returns the resulting root view","Inflates a layout file to create a view for a card-like fragment, retrieving references to the title and icon elements within the layout.","Inflates a layout file to create a view for a card-like fragment, obtaining references to the title and icon elements within the layout for later use.",6.71647205235486,41.66666666666667,8.695652173913043,33.33333333333333,70.88214755058289
29,java,"Updates an `ImageButton`'s icon and click listener from a content object and makes it visible, or hides the button if the content is null","Updates the visibility and content of an ImageButton based on the presence and properties of a DescriptiveTextWithControlsView control, setting its icon and click listener if present.","Updates an ImageButton's visibility, icon, and click listener based on a DescriptiveTextWithControlsView control, displaying it if the control exists and setting its properties accordingly.",8.359764098433711,52.0,29.166666666666668,48.0,69.15585994720459
30,java,"Lazily inflates a `ViewStub` to create a descriptive text layout, caches references to its child views (title, subtitle, image), and returns the inflated layout","Lazily inflates and caches a ViewStub to obtain a layout containing descriptive text elements (title, subtitle, optional image, and tap-for-more text) for reuse, ensuring efficient view creation.","Lazily inflates and caches a ViewStub to obtain a layout containing descriptive text elements (title, subtitle, optional image, and tap-for-more text) for reuse, optimizing view creation by avoiding redundant inflation.",15.17249576563017,50.0,22.22222222222222,42.857142857142854,75.74196457862854
31,java,Updates the header view on the main UI thread by making its root view visible and setting the card's title and icon from the provided `CardHeader` object,Updates the header view of a card by setting the title and icon on the main thread using the provided card header data.,Updates the card header view's title and icon on the main thread using the provided card header data.,9.853904035386455,63.82978723404255,40.0,42.5531914893617,78.65535020828247
32,java,"Lazily inflates a `ViewStub` to create and return the text block layout view, while also finding and caching references to its child text views on the first call","Retrieves a View representing a text block layout, inflating it from a ViewStub if it doesn't already exist and caching it for future use.","Retrieves or inflates a View representing a text block layout, caching it for future use and obtaining references to its child views.",13.001380755996093,52.0,25.0,44.0,74.17494654655457
33,java,"Queries the `PackageManager` for a `MediaBrowserService` within a given package and returns a `ComponentName` for the first one found, or `null` if none exist",Retrieves the default MediaBrowserService component name for a given package by querying the package manager for services matching the MediaBrowserService interface.,Retrieves the default MediaBrowserService component name for a given package by querying the package manager for services that implement the MediaBrowserService interface.,5.612051812232298,34.78260869565217,13.636363636363635,30.434782608695656,66.89876914024353
