id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,"Raises an exception if the specified 'datatype' is unsupported, otherwise retrieves that type's validation function and returns the boolean result of calling it with the provided 'value'",Validates if a given value conforms to a specified datatype by retrieving the corresponding type object and applying it to the value.”,"Checks if a value matches a specified datatype by retrieving the type object and applying it to the value, raising an exception if the datatype is unsupported.”",10.991514729498917,50.90909090909091,22.641509433962266,29.09090909090909,70.71466445922852
3,python,"Validates that a given value, or each value in a list, is an integer that fits within the numerical range defined by a specified bit-width and signedness",Validates if a given integer or list of integers falls within a specified range based on whether it is signed and the number of bits.”,"Checks if an integer or a list of integers is within a specified range, considering whether it's signed and the number of bits.”",5.409655943412062,46.15384615384615,12.0,30.769230769230766,76.40745043754578
4,python,"Returns the type definition tuple from a class-level list of types that matches the provided 'datatype' name, or returns None if no match is found","Retrieves a type definition (name, conversion function, and validation list) from a class's `types` attribute based on a given datatype string.”","Retrieves a type definition (name, conversion function, and validation list) from a class's `types` attribute based on a given datatype string, or returns `None` if no match is found.”",15.138597421779316,60.71428571428571,37.03703703703704,53.57142857142857,74.61430430412292
5,python,Returns a dictionary mapping the short name to the full FQN for all dynamic datatypes that exist in the same namespace as the provided FQN,"Identifies and returns a dictionary of namespaced datatypes that match a given fully qualified name (FQN) prefix, excluding the FQN itself.”","Identifies and returns a dictionary of namespaced datatypes that match a given fully qualified name (FQN) prefix, excluding the FQN itself and any datatypes that start with the FQN.”",3.770678435743331,37.03703703703704,11.538461538461538,37.03703703703704,63.62670063972473
7,python,"Parses a type string to create an `ApiGearType` object, mapping common primitive types to their ApiGear equivalents, sanitizing custom type names by replacing dots with underscores, and setting an array flag based on a ""[]"" suffix","Converts a string representation of a data type to an `ApiGearType` object, handling basic types, floating-point types, booleans, strings, and arrays.”","Converts a string representation of a data type to an `ApiGearType` object, handling basic types, floating-point types, booleans, strings, and array types.”",12.993611661359969,37.93103448275862,7.142857142857142,31.03448275862069,67.2541856765747
8,python,"Creates an `ApiGearProperty` by converting the VSS node's datatype to a supported ApiGear type and copying its description, returning `None` and logging a warning if the datatype is not supported","Generates an `ApiGearProperty` object from a `VSSNode`'s data and a specified datatype, populating its type and description if available.”","Creates an `ApiGearProperty` object from a `VSSNode`'s data and a specified datatype, setting its type and description if provided.”",13.870451780777936,50.98039215686274,12.244897959183673,35.29411764705882,68.9932107925415
10,python,"Loads and parses multiple VSpec files from specified paths, using a list of include directories, then merges them into a single composite VSpec object and returns it, raising an exception if no files are successfully loaded","Loads and merges multiple VSpec files, potentially with specified include directories and an identifier, into a single VSpec object, logging the process and raising an exception if no specs are loaded.”","Loads and merges multiple VSpec files, potentially with specified include directories and an identifier, into a single VSpec object, logging the process and raising an exception if no specs are loaded or if there are any errors during loading.”",17.044905731413866,58.666666666666664,30.136986301369863,55.99999999999999,79.0156900882721
11,python,"Recursively updates a 'base' dictionary with an 'update' dictionary, merging nested dictionaries for common keys and overwriting or adding all other key-value pairs","Recursively updates a dictionary `base` with the contents of another dictionary `update`, merging nested dictionaries while overwriting non-dictionary values.”","Recursively updates a dictionary `base` with the contents of another dictionary `update`, merging nested dictionaries and overwriting non-dictionary values.”",15.663915411954296,59.09090909090908,23.809523809523807,50.0,76.34091377258301
12,python,"Asserts that the input value, if not None, is a valid 'constUID' formatted as an 8-digit hexadecimal string prefixed with '0x', returning the value if the check passes","Validates if a given string `v` is a valid constant UID (hexadecimal string starting with '0x' and containing 8 hexadecimal characters) and returns the string if valid, otherwise returns None.”","Validates if a given string `v` is a valid constant UID (hexadecimal string starting with '0x' and containing 8 hexadecimal characters) and returns the string if valid, otherwise returns None.”",6.364005413961753,40.67796610169491,14.035087719298248,33.898305084745765,73.00352454185486
13,python,"Initializes a VSSRaw model and attempts to resolve it, returning the successfully resolved model or the original unresolved model if resolution fails due to a validation or model error","Creates a `VSSRaw` object from input data, attempts to resolve it using `resolve_vss_raw`, and returns the resolved object or the original if resolution fails.”","Creates a `VSSRaw` object from input data, attempts to resolve it using `resolve_vss_raw`, and returns the resolved object or the original if resolution fails, logging a debug message in case of failure.”",10.741279167735048,50.793650793650805,26.229508196721312,47.61904761904761,73.08460474014282
14,python,"Asserts that each string in the input list is a valid datatype by checking against a master list, returning the original list if all values are valid","Validates a list of datatypes against a predefined set of allowed datatypes, raising an assertion error if an invalid datatype is encountered.”","Validates a list of datatypes against a predefined set of allowed datatypes, raising an assertion error if an invalid datatype is encountered.”",3.7784112039641315,28.57142857142857,4.25531914893617,16.3265306122449,64.35303092002869
15,python,"Traverses a VSSNode tree to generate a formatted string, displaying each node's name followed by the values of any specified attributes found on it","Generates a string representation of a tree structure, including node names and specified attributes, by traversing the tree and formatting each node's information.”","Generates a string representation of a tree structure, including node names and specified attributes, by traversing the tree and formatting each node's information into a human-readable format.”",4.464476787351278,44.44444444444445,11.538461538461538,18.51851851851852,72.67209887504578
16,python,"Recursively traverses up the parent hierarchy to find and return the first non-instance ancestor node and the traversal depth, raising an exception if the starting node is not a branch or if no root is found","Recursively traverses up the tree to find the root instance of a VSSNode, raising an exception if no instance root exists.”","Recursively traverses up the tree to find the root instance of a VSSNode, returning the root node and its depth, or raising an exception if no instance root exists.”",17.797193551644586,60.60606060606061,28.125000000000007,51.515151515151516,74.79714751243591
17,python,Recursively calculates the depth of the first-found branch of children where each node is a `VSSDataBranch` with its `is_instance` flag set,Recursively counts the depth of instance children within a VSSDataBranch tree structure.”,Recursively counts the depth of instance children within a VSSDataBranch tree structure by traversing its children and summing the depths of any instance children found.”,7.148683682281811,49.999999999999986,13.043478260869565,37.49999999999999,67.61772632598877
18,python,Returns a list of node IDs from an input list whose expected parent's name matches the provided `name`,Identifies the IDs of child nodes within a list by filtering for nodes whose expected parent matches a specified name.”,Identifies the IDs of child nodes within a list by filtering for nodes whose expected parent matches a specified name.”,5.983278752571241,51.28205128205129,16.216216216216214,35.8974358974359,70.9076464176178
19,python,"Retrieves an attribute from an object, returning a specified default value if the attribute is missing or its value is `None`","Safely retrieves an attribute from an object, returning a default value if the attribute is not found or is None.”","Retrieves an attribute from an object, returning a default value if the attribute is missing or None.”",62.14980899331497,89.47368421052632,77.77777777777777,89.47368421052632,89.8301899433136
20,python,Generates a `proto3` file from a VSS tree by first writing import statements for complex data types and then converting each branch in the tree into a corresponding protobuf message,"Generates a Protocol Buffer definition from a VSS signal tree by traversing the tree, extracting data types, writing imports, and creating messages for each branch.”","Generates a Protocol Buffer definition from a VSS signal tree by traversing the tree, extracting data types, writing imports, and creating messages for each branch.”",8.986359307003518,58.18181818181818,26.415094339622648,43.63636363636364,73.48400950431824
21,python,"Traverses a VSS tree to find all terminal instance branches, grouping their relative names into a dictionary where each key is the fully qualified name of the original branch they instantiate",Extracts a dictionary mapping instance root fully qualified names to lists of their direct instance names by traversing a VSS tree and filtering for instance branches without further instance children.”,Extracts a dictionary mapping instance root fully qualified names to lists of their direct instance names by traversing a VSS tree and filtering for instance branches without further instance children.”,7.833630975156555,42.62295081967213,16.949152542372882,16.39344262295082,67.32945442199707
22,python,Checks if a given VSSNode is a leaf by verifying its 'data' attribute is an instance of VSSDataDatatype,Checks if a given node in a VSS tree is a leaf node by verifying if its data is of the VSSDataDatatype type.”,Determines if a given node in a VSS tree is a leaf node by checking if its data attribute is an instance of the VSSDataDatatype class.”,21.84971203531727,68.18181818181817,47.61904761904762,68.18181818181817,83.51938128471375
