id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,Checks if a value matches a specified datatype.,Validates if a value conforms to a given datatype.,15.12263738306194,60.0,22.22222222222222,50.0,87.36501336097717
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,Checks if a value or list of values are within the range of a signed or unsigned integer with a specified number of bits.,Checks if a value or list of values are within the range of a signed or unsigned integer with a specified bit width.,31.839277688719697,55.81395348837209,39.02439024390244,55.81395348837209,85.94962358474731
4,python,Looks up a type definition tuple by its string name from a list of types,Retrieves a type definition from a class's types list based on a given datatype string.,Finds a type definition within a class's types list matching a specified datatype string.,12.874330508144837,51.61290322580646,20.689655172413797,38.70967741935484,77.82309651374817
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,Returns a dictionary of namespaced datatypes matching a given fully qualified name prefix.,Returns a dictionary of namespaced datatypes that are prefixes of a given fully qualified name.,6.2886892772573475,28.571428571428577,7.692307692307692,21.428571428571427,64.70393538475037
7,python,Converts a string-based data type definition into an ApiGearType object,"Maps a string representation of a data type to an ApiGearType enum, handling arrays and basic types.","Converts a string representation of a data type to an ApiGearType enum, handling arrays and basic types.",6.054506513220935,42.857142857142854,23.076923076923077,42.857142857142854,79.80496883392334
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,"Creates an ApiGearProperty object from a VSSNode, using the provided datatype and node description.","Generates an ApiGearProperty object from a VSSNode and datatype, populating the description if available.",5.816635421147515,32.0,8.695652173913043,32.0,74.62210655212402
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,"Loads and merges multiple VSpec files, combining their contents into a single VSpec object.","Loads and merges multiple VSpec files, combining their contents into a single VSpec object and logging the process.",53.07074109851435,78.57142857142857,69.23076923076923,78.57142857142857,89.8352324962616
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively updates a dictionary with another dictionary, merging nested dictionaries.","Recursively updates a dictionary with another dictionary, merging nested dictionaries and overwriting non-dictionary values.",54.52469119630863,85.71428571428572,63.1578947368421,85.71428571428572,90.10640382766724
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,Validates if a given string is a hexadecimal constant UID in the format '0xXXXXXXXX'.,Validates if a given string matches the format of a hexadecimal constant UID (0xXXXXXXXX).,7.188959550044094,53.84615384615385,8.333333333333334,38.46153846153846,66.61645174026489
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","Creates and resolves a VSSRaw object, handling potential validation or model errors.","Creates and resolves a VSSRaw object, returning it or an incomplete version if errors occur.",3.4815016528590457,22.222222222222225,0.0,22.222222222222225,71.82902097702026
14,python,Validates that a list of strings are all known datatypes,Validates that a list of datatypes are all valid datatypes.,Checks if a list of datatypes contains only valid datatypes.,41.72261448611505,80.00000000000001,55.55555555555556,80.00000000000001,78.03596258163452
15,python,"Renders a VSS tree into a string, displaying specified attributes for each node",Renders a tree structure with specified attributes as string representations.,"Renders a tree structure, displaying node names and specified attributes as strings.",8.93094818591774,52.17391304347826,19.04761904761905,43.47826086956522,80.06249666213989
16,python,Finds the root of a VSS instance by recursively traversing up the parent hierarchy,Traverses up the tree to find the root of an instance data branch.,Recursively traverses the tree to find the root of an instance data branch.,13.912311644176565,44.44444444444445,24.000000000000004,29.629629629629633,73.58543276786804
17,python,Counts the depth of a chain of instance branches,Recursively counts the depth of instance children within a VSSDataBranch.,Recursively counts the depth of instance children within a VSSDataBranch.,17.542198478193427,63.1578947368421,47.05882352941176,52.63157894736842,70.8672821521759
18,python,Finds all child node IDs that belong to a specific parent name,Finds the IDs of all nodes whose expected parent is a given name.,Returns a list of node IDs that have a specified name as their expected parent.,4.44458779458587,48.00000000000001,0.0,32.0,80.9019684791565
19,python,"Gets an attribute, returning a default value if the attribute is missing or its value is None","Safely retrieves an attribute from an object, returning a default value if the attribute is missing.","Safely retrieves an attribute from an object, returning a default value if the attribute is not found.",54.9995519064483,66.66666666666667,58.06451612903225,66.66666666666667,81.93355202674866
20,python,Generates a Protobuf schema from a Vehicle Signal Specification (VSS) tree,"Generates a .proto file from a VSS signal tree, including necessary imports and message definitions.","Generates a .proto file from a VSS signal tree, including necessary imports and message definitions for serialization.",6.722636787666482,53.846153846153854,16.666666666666664,46.15384615384615,71.40361070632935
21,python,Groups all leaf VSS branch instances by the fully qualified name of their original branch definition,Collects instance names under each instance root node within a VSS tree.,Extracts a dictionary mapping instance root fully qualified names to lists of their direct instance child names.,2.452471008337642,7.142857142857144,0.0,7.142857142857144,67.03072190284729
22,python,Determines if a VSS node is a leaf based on its data type,Checks if a VSS node is a leaf node containing data.,Checks if a VSS node is a leaf node containing data.,49.05378138718246,66.66666666666667,54.54545454545454,66.66666666666667,83.26525688171387
23,python,Checks if a VSS node is a branch that is not an instance,Checks if a VSS node represents a branch with non-instance data.,Checks if a VSS node represents a branch with non-instance data.,33.547449414165136,64.0,43.47826086956522,64.0,82.50166773796082
24,python,Checks if a VSS node represents a branch instance,Checks if a VSS node represents an instance of a VSS branch.,Checks if a VSS node's data is a VSS branch instance.,42.11813371894876,85.71428571428571,52.63157894736842,76.1904761904762,86.9325339794159
25,python,FNV-1 32-bit hashing algorithm for a byte sequence,Calculates a 32-bit FNV-1a hash value for a given byte string.,Computes a 32-bit FNV-1a hash of a byte string.,13.912311644176565,52.17391304347826,19.04761904761905,43.47826086956522,79.08336520195007
28,java,Inflates a card fragment's layout and initializes its view components,Inflates a layout to create a view for a card-like fragment.,Inflates a layout to create a view for a card fragment.,8.054496384843702,52.17391304347826,19.04761904761905,34.78260869565217,74.75974559783936
29,java,"Sets a button's icon and click listener to make it visible, or hides it if no content is provided",Updates the visibility and content of an ImageButton based on a DescriptiveTextWithControlsView object.,Updates an ImageButton's icon and click listener based on a DescriptiveTextWithControlsView object.,2.4347130516557893,18.181818181818183,0.0,12.121212121212123,63.61739635467529
30,java,Lazily inflates and initializes a descriptive text layout view on first access,"Retrieves or inflates a view containing descriptive text elements (title, subtitle, optional image, tap-for-more text).","Retrieves or inflates a view containing descriptive text elements (title, subtitle, optional image, tap-for-more text) from a ViewStub.",4.5672118332822365,34.48275862068966,7.4074074074074066,27.586206896551722,63.57404589653015
31,java,Updates and displays a card header view with a new title and icon,Updates the header view of a card with the provided card title and icon.,Updates the card header view with the card title and icon on the main thread.,15.310245441182436,66.66666666666666,32.0,51.85185185185186,79.8304796218872
32,java,Lazily inflates and returns a text block layout view from a ViewStub,Retrieves or inflates a text block layout view from a ViewStub.,"Retrieves a text block layout view, inflating it if necessary.",63.15552371794033,78.26086956521738,66.66666666666666,78.26086956521738,84.71594452857971
33,java,Gets the media browser service component from a given package,Retrieves the default media browsing service component name for a given package.,Retrieves the default media browsing service component name for a given package.,15.727800941615358,63.63636363636365,30.0,63.63636363636365,84.34966206550598
