id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,Checks if a value matches a specified datatype.,Validates if a value conforms to a given datatype.,54.088044192555245,76.1904761904762,63.1578947368421,76.1904761904762,90.34631252288818
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,Checks if a value or list of values are within the range of a signed or unsigned integer with a specified number of bits.,Checks if a value or list of values are within the range of a signed or unsigned integer with a specified bit width.,33.25778988272398,66.66666666666666,50.0,66.66666666666666,87.43164539337158
4,python,Looks up a type definition tuple by its string name from a list of types,Retrieves a type definition from a class's types list based on a given datatype string.,Finds a type definition within a class's types list matching a specified datatype string.,12.090340630072072,46.666666666666664,14.285714285714285,33.33333333333333,75.6824791431427
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,Returns a dictionary of namespaced datatypes matching a given fully qualified name prefix.,Returns a dictionary of namespaced datatypes that are prefixes of a given fully qualified name.,9.78237574896145,26.666666666666668,14.285714285714285,26.666666666666668,65.06024599075317
7,python,Converts a string-based data type definition into an ApiGearType object,"Maps a string representation of a data type to an ApiGearType enum, handling arrays and basic types.","Converts a string representation of a data type to an ApiGearType enum, handling arrays and basic types.",7.012887580040736,50.0,30.76923076923077,50.0,81.54231309890747
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,"Creates an ApiGearProperty object from a VSSNode, using the provided datatype and node description.","Generates an ApiGearProperty object from a VSSNode and datatype, populating the description if available.",6.917184228205474,32.0,17.391304347826086,32.0,70.47491669654846
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,"Loads and merges multiple VSpec files, combining their contents into a single VSpec object.","Loads and merges multiple VSpec files, combining their contents into a single VSpec object and logging the process.",41.5479455663524,68.75000000000001,59.999999999999986,68.75000000000001,85.66941022872925
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively updates a dictionary with another dictionary, merging nested dictionaries.","Recursively updates a dictionary with another dictionary, merging nested dictionaries and overwriting non-dictionary values.",40.325042950627804,76.92307692307692,50.0,69.23076923076923,82.69322514533997
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,Validates if a given string is a hexadecimal constant UID in the format '0xXXXXXXXX'.,Validates if a given string matches the format of a hexadecimal constant UID (0xXXXXXXXX).,3.846187513024874,46.15384615384615,0.0,30.769230769230766,66.4199948310852
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","Creates and resolves a VSSRaw object, handling potential validation or model errors.","Creates and resolves a VSSRaw object, returning it or an incomplete version if errors occur.",5.439330544349823,20.000000000000004,0.0,20.000000000000004,78.41375470161438
