id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,Check if a value matches a specified datatype”,Validate if a value conforms to a given datatype”,14.166675290415533,60.0,22.22222222222222,50.0,81.96966052055359
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,Check if a value or list of values are within a specified range for a signed or unsigned integer type.,Check if a value or list of values are within a specified range for a signed or unsigned integer type.,34.68941568986593,61.53846153846154,43.24324324324324,51.28205128205129,82.5532078742981
4,python,Looks up a type definition tuple by its string name from a list of types,Retrieve type information based on a given datatype string”,"Find type information (name, callable, and attributes) for a given datatype string”",2.910967817713898,25.0,0.0,16.666666666666668,69.3263053894043
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,Finds namespaced datatypes matching a given fully qualified name prefix.”,Identifies namespaced datatypes based on a given fully qualified name prefix.”,6.272848091762075,32.0,8.695652173913043,32.0,65.41781425476074
7,python,Converts a string-based data type definition into an ApiGearType object,Convert a string representation of a data type to an ApiGearType object”,"Convert a string representation of a data type to an ApiGearType object, handling arrays”",10.127993013562818,60.86956521739131,38.0952380952381,60.86956521739131,88.53408694267273
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,Create an API Gear property from a VSS node and datatype”,"Create an API Gear property from a VSS node and datatype, handling unsupported datatypes”",21.648693746244412,54.54545454545454,30.0,54.54545454545454,68.01562309265137
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,Load and merge VSpec objects from specified files and directories.,"Load and merge VSpec objects from specified files and directories, handling potential errors.",7.175377580688497,41.666666666666664,9.090909090909092,33.33333333333333,80.33942580223083
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively update a dictionary with another dictionary, merging nested dictionaries”","Recursively merge a dictionary into another, updating nested dictionaries”",23.021036988792517,76.1904761904762,42.10526315789474,76.1904761904762,86.83115839958191
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,Validate a constant UID string format.,Validate a constant UID string format.,4.635551866221845,33.33333333333333,12.500000000000004,33.33333333333333,66.21727347373962
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","Create and resolve a VSSRaw object, handling potential validation errors.”","Create and resolve a VSSRaw object, returning it even if validation fails.”",5.832991944906044,24.0,8.695652173913043,24.0,68.31020712852478
14,python,Validates that a list of strings are all known datatypes,Validate a list of datatypes against a predefined set of allowed datatypes”,Validate a list of datatypes against a predefined set of allowed datatypes,13.545994273378144,36.36363636363636,20.0,36.36363636363636,64.34799432754517
15,python,"Renders a VSS tree into a string, displaying specified attributes for each node",Render a tree structure with specified attributes as string representations”,"Render a tree structure, displaying node names and specified attributes”",7.073666451977357,43.47826086956522,9.523809523809526,34.78260869565217,75.53354501724243
16,python,Finds the root of a VSS instance by recursively traversing up the parent hierarchy,Traverse up the tree to find the instance root node.”,Find the root node of an instance in a tree structure.”,7.20914034876181,41.666666666666664,9.090909090909092,16.666666666666664,69.94704604148865
17,python,Counts the depth of a chain of instance branches,Recursively count the depth of instance children in a VSSDataBranch tree”,Recursively count the depth of instance children within a VSSDataBranch tree”,17.542198478193427,50.0,33.33333333333333,40.0,69.5729911327362
18,python,Finds all child node IDs that belong to a specific parent name,Find children node IDs based on their expected parent”,Find children node IDs whose expected parent matches a given name”,6.832422719599956,28.571428571428577,10.526315789473685,28.571428571428577,72.05485701560974
19,python,"Gets an attribute, returning a default value if the attribute is missing or its value is None","Safely retrieve an attribute from an object, returning a default value if it doesn't exist.”","Safely retrieve an attribute from an object, returning a default value if the attribute is missing.”",29.75928234249098,42.42424242424242,32.25806451612903,42.42424242424242,76.0661244392395
20,python,Generates a Protobuf schema from a Vehicle Signal Specification (VSS) tree,Generate a protocol buffer definition from a VSS signal tree”,Generate a protocol buffer definition from a VSS signal tree.,7.39343948260436,57.14285714285713,10.526315789473685,47.61904761904761,74.12667274475098
21,python,Groups all leaf VSS branch instances by the fully qualified name of their original branch definition,Collect instances of VSSDataBranch nodes under a given root node.,Extract instance names of VSSDataBranch nodes from a VSS tree.,2.828945803162801,15.384615384615385,0.0,15.384615384615385,65.83700180053711
