id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,This function checks if a given value conforms to a specified datatype using a provided class's type mapping.,This function validates if a value matches a specified datatype by using a class's type mapping to perform the validation.,8.896962872669691,60.60606060606061,19.354838709677416,48.48484848484849,74.52395558357239
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,"This function checks if a given integer or list of integers falls within a specified range, considering whether it's signed or unsigned.","This function validates if an integer or a list of integers is within a specified range, accounting for signed or unsigned representation and bit width.",5.166045454134253,59.09090909090909,14.285714285714288,40.90909090909091,83.10028314590454
4,python,Looks up a type definition tuple by its string name from a list of types,"This function retrieves a type definition (name, constructor, and attributes) from a class's type list based on a given datatype string.","This function searches a class's type list for a matching datatype and returns its definition (name, constructor, and attributes).",2.5590823010528183,40.0,0.0,22.857142857142858,67.72766709327698
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,This function identifies and returns a dictionary of namespaced datatypes matching a given fully qualified name (FQN).,This function identifies and returns a dictionary of namespaced datatypes that are prefixes of a given fully qualified name (FQN).,7.289334177359764,34.285714285714285,12.121212121212121,28.571428571428577,67.71377921104431
7,python,Converts a string-based data type definition into an ApiGearType object,"This function maps a string representation of a data type (e.g., ""int32"", ""string"", ""double[]"") to an `ApiGearType` object, handling basic types and arrays.","This function maps a string representation of a data type (e.g., ""int32"", ""string"", ""double[]"") to an `ApiGearType` object, handling basic types and array indicators.",2.1904167208616503,38.88888888888889,23.52941176470588,38.88888888888889,70.07866501808167
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,"Generates an `ApiGearProperty` object from a `VSSNode` and a datatype, populating its type and description if available.","Generates an `ApiGearProperty` object from a `VSSNode` and a datatype, returning `None` if the datatype is unsupported.",4.260146736441797,28.57142857142857,15.384615384615385,28.57142857142857,65.17825722694397
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,"This function loads and merges multiple VSpec files, handling include directories and logging the process.","This function loads and merges multiple VSpec files, resolving includes and logging the process.",22.894156860669913,42.857142857142854,38.46153846153847,42.857142857142854,75.82626342773438
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively updates a dictionary with another dictionary, merging nested dictionaries.","Recursively merges a dictionary into another, updating nested dictionaries.",12.320255516768906,60.0,22.222222222222225,60.0,84.070485830307
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,This function validates if a given string is a valid hexadecimal constant UID (format: 0x followed by 8 hexadecimal characters).,This function validates if a given string conforms to the format of a constant UID (0x followed by 8 hexadecimal characters).,4.303846266589084,36.36363636363637,6.451612903225806,24.242424242424246,65.77134132385254
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","This function creates and attempts to resolve a `VSSRaw` model from input data, handling potential validation or model resolution errors by returning an incomplete model.","This function creates a `VSSRaw` model from input data and attempts to resolve it, returning an incomplete model if resolution fails.",12.409597120849801,44.44444444444444,17.64705882352941,33.33333333333333,78.07123064994812
14,python,Validates that a list of strings are all known datatypes,"This function validates a list of datatypes against a predefined set of valid datatypes, raising an assertion error if an invalid datatype is found.","This function validates a list of datatypes, raising an assertion error if any are invalid.",9.672649511413097,48.0,17.391304347826086,40.0,64.4877016544342
15,python,"Renders a VSS tree into a string, displaying specified attributes for each node","This function renders a tree structure (VSSNode) into a string representation, including specified attributes of each node.","This function generates a string representation of a tree structure (VSSNode), displaying each node's name and specified attributes.",6.621586415997686,56.25,20.0,31.25,81.70296549797058
16,python,Finds the root of a VSS instance by recursively traversing up the parent hierarchy,"Recursively traverses up the VSS tree to find the root instance node, handling cases where the current node is not an instance or has no parent.","Recursively traverses up the VSS tree to find the root instance node, raising an exception if no root is found.",5.406502668979586,41.17647058823529,12.5,17.64705882352941,74.09620881080627
17,python,Counts the depth of a chain of instance branches,Recursively counts the depth of instance children within a VSSDataBranch hierarchy.,Recursively counts the depth of instance children within a VSSDataBranch.,17.542198478193427,63.1578947368421,47.05882352941176,52.63157894736842,70.86728811264038
18,python,Finds all child node IDs that belong to a specific parent name,This function identifies node IDs that have a specified name as their expected parent.,This function returns a list of node IDs whose expected parent is a given name.,6.150343144231885,37.03703703703704,8.0,29.629629629629626,73.0475127696991
19,python,"Gets an attribute, returning a default value if the attribute is missing or its value is None","Safely retrieves an attribute from an object, returning a default value if the attribute is missing.","Safely retrieves an attribute from an object, returning a default value if the attribute is not found.",45.98036015897535,58.82352941176471,50.0,58.82352941176471,79.91119027137756
20,python,Generates a Protobuf schema from a Vehicle Signal Specification (VSS) tree,This code traverses a VSS signal tree to generate a Protobuf definition file containing messages representing the signals and their data types.,"This code generates a Protobuf definition file from a VSS signal tree, defining messages for each signal and its data type.",5.154337627145953,50.0,20.0,43.74999999999999,68.29611659049988
21,python,Groups all leaf VSS branch instances by the fully qualified name of their original branch definition,This function extracts instance names from a VSS tree structure and groups them by their root instance.,"This function identifies and groups instance names within a VSS tree, returning a dictionary mapping root instance fully qualified names to lists of their child instance names.",3.848169719653079,27.906976744186046,9.75609756097561,27.906976744186046,66.80928468704224
22,python,Determines if a VSS node is a leaf based on its data type,Checks if a VSS node is a leaf node containing data.,Checks if a VSS node represents a leaf node with data.,24.107473040766184,58.333333333333336,36.36363636363636,58.333333333333336,80.17166256904602
23,python,Checks if a VSS node is a branch that is not an instance,Checks if a VSS node represents a branch with non-instance data.,Checks if a VSS node is a branch and its data is not an instance.,60.260809785571396,85.71428571428571,76.92307692307692,85.71428571428571,87.33085989952087
24,python,Checks if a VSS node represents a branch instance,Checks if a VSS node represents an instance of a VSS branch.,Checks if a VSS node's data is a VSS branch instance.,26.20251007173262,76.1904761904762,52.63157894736842,76.1904761904762,84.66633558273315
25,python,FNV-1 32-bit hashing algorithm for a byte sequence,This function calculates a 32-bit FNV-1a hash value for a given byte string.,This function computes a 32-bit FNV-1a hash of a byte string.,13.292417883329383,43.47826086956522,19.04761904761905,34.78260869565217,80.25685548782349
28,java,Inflates a card fragment's layout and initializes its view components,"This code inflates a layout for a card-like fragment, finding its title and icon views.",This code inflates a layout for a card fragment and initializes its title and icon views.,11.203754340102181,59.25925925925925,40.0,51.85185185185185,81.2278151512146
29,java,"Sets a button's icon and click listener to make it visible, or hides it if no content is provided",Updates the visibility and properties of an ImageButton based on the content of a DescriptiveTextWithControlsView.,"Updates an ImageButton's icon, click listener, and visibility based on a DescriptiveTextWithControlsView's content.",5.210240079528285,40.0,12.121212121212121,28.571428571428577,67.39206314086914
30,java,Lazily inflates and initializes a descriptive text layout view on first access,"This method lazily initializes and returns a view containing descriptive text elements (title, subtitle, optional image, and ""tap for more"" text) if it hasn't been initialized already.","This method lazily initializes and returns a view containing descriptive text elements (title, subtitle, optional image, and ""tap for more"" text) from a ViewStub if it hasn't been initialized already.",2.5507996539511826,32.558139534883715,4.878048780487805,23.25581395348837,62.811899185180664
31,java,Updates and displays a card header view with a new title and icon,"Updates the card header view's visibility, title, and icon on the main thread.",Updates the card header view's title and icon on the main thread.,15.133218633429316,53.84615384615385,33.33333333333333,53.84615384615385,83.17229151725769
32,java,Lazily inflates and returns a text block layout view from a ViewStub,"This method lazily initializes and returns a `View` representing a text block layout, inflating it from a `ViewStub` if it doesn't already exist.","This method lazily initializes and returns a `View` representing a text block layout, inflating it from a `ViewStub` and retrieving its child views if it doesn't already exist.",10.98380012584577,53.65853658536586,35.8974358974359,48.78048780487806,72.0027506351471
33,java,Gets the media browser service component from a given package,This code retrieves the default media browsing service component name for a given package name using the PackageManager.,This code retrieves the default media browsing service component name for a given package name using the PackageManager.,10.307386760781874,50.0,23.076923076923077,50.0,78.14050912857056
34,java,Determines if an app component should be launchable by filtering against a hide list and de-duplicating media services,"This method determines whether a component should be added to the launchables list based on its package name, type, and custom media component status.","This method determines whether a component should be added to the launchables list based on its package name, type, and whether it's a custom media component.",5.91972080937367,34.78260869565217,9.090909090909092,30.434782608695656,71.09756469726562
35,java,Sets the media source and finishes the current activity,This method selects a media source and finishes the activity if it's running.,This method sets a media source and closes the current activity if it is one.,15.310245441182444,58.333333333333336,36.36363636363637,58.333333333333336,81.54482841491699
36,java,"Safely checks if a given activity is distraction-optimized, handling potential connection errors",Checks if a specified activity within an application is optimized for distraction-free operation in a vehicle.,"Checks if a specified activity within an application is optimized for distraction-free operation in a vehicle, handling potential connection errors.",19.80316235382626,64.70588235294117,31.25,58.823529411764696,84.3964695930481
38,java,"Retrieves a specific, configured Intent for the default maps app, falling back to a generic one","This method retrieves the preferred map application intent, prioritizing user-configured preferences over the system default.","This method retrieves the preferred map application intent, prioritizing user-configured preferences or the system default if no preferred app is found.",2.328734903585348,31.57894736842105,0.0,26.31578947368421,59.23694372177124
39,java,Dynamically instantiates and displays home card modules defined in a configuration resource,"This method dynamically instantiates and adds `HomeCardModule` instances based on configured class names, then replaces fragments in the UI with their corresponding card views.","This method dynamically instantiates `HomeCardModule` instances from configured class names, adds them to a set, and then replaces fragments in the UI with their corresponding card views.",1.7345617945636578,30.769230769230766,5.405405405405405,20.51282051282051,66.83369874954224
