test_name,language,corpus_codebleu,corpus_ngram_match_score,corpus_weighted_ngram_match_score,corpus_syntax_match_score,corpus_dataflow_match_score
adapted_12b_extended-auto-long-three,python,35.21,17.01,30.55,43.46,49.80
adapted_12b_extended-auto-long-three,java,39.32,9.54,35.96,51.92,59.86
adapted_12b_extended-auto-long-three,cpp,39.00,3.22,21.97,55.44,75.38
adapted_12b_extended-auto-long-three,c,48.40,38.38,46.94,49.59,58.68
adapted_12b_extended-auto-long-three,average,40.48,17.04,33.86,50.10,60.93
adapted_12b_extended-auto-long-three-rci,python,34.63,13.52,30.48,43.56,50.99
adapted_12b_extended-auto-long-three-rci,java,38.54,9.06,34.21,50.12,60.77
adapted_12b_extended-auto-long-three-rci,cpp,39.61,3.37,22.35,56.11,76.62
adapted_12b_extended-auto-long-three-rci,c,48.57,39.07,46.94,49.59,58.68
adapted_12b_extended-auto-long-three-rci,average,40.34,16.25,33.50,49.85,61.76
