test_name,language,corpus_codebleu,corpus_ngram_match_score,corpus_weighted_ngram_match_score,corpus_syntax_match_score,corpus_dataflow_match_score
adapted_12b_extended-auto-short-three,python,33.83,12.64,28.26,42.66,51.78
adapted_12b_extended-auto-short-three,java,28.79,4.98,27.97,37.98,44.22
adapted_12b_extended-auto-short-three,cpp,38.78,2.87,21.83,53.52,76.92
adapted_12b_extended-auto-short-three,c,39.08,14.99,40.10,44.62,56.62
adapted_12b_extended-auto-short-three,average,35.12,8.87,29.54,44.70,57.39
adapted_12b_extended-auto-short-three-rci,python,34.53,9.53,28.33,43.56,56.72
adapted_12b_extended-auto-short-three-rci,java,25.77,4.16,20.71,27.16,51.02
adapted_12b_extended-auto-short-three-rci,cpp,38.67,3.01,21.81,52.93,76.92
adapted_12b_extended-auto-short-three-rci,c,39.32,13.52,40.24,44.83,58.68
adapted_12b_extended-auto-short-three-rci,average,34.57,7.56,27.77,42.12,60.83
