test_name,language,corpus_codebleu,corpus_ngram_match_score,corpus_weighted_ngram_match_score,corpus_syntax_match_score,corpus_dataflow_match_score
adapted_12b_extended-auto-long-one,average,37.64,10.32,31.97,51.38,56.89
adapted_12b_extended-auto-long-one-rci,average,34.60,9.49,25.71,43.85,59.33
adapted_12b_extended-auto-long-three,average,40.48,17.04,33.86,50.10,60.93
adapted_12b_extended-auto-long-three-rci,average,40.34,16.25,33.50,49.85,61.76
adapted_12b_extended-auto-short-one,average,35.47,7.95,28.77,45.28,59.87
adapted_12b_extended-auto-short-one-rci,average,34.23,7.90,26.02,41.99,61.02
adapted_12b_extended-auto-short-three,average,35.12,8.87,29.54,44.70,57.39
adapted_12b_extended-auto-short-three-rci,average,34.57,7.56,27.77,42.12,60.83
adapted_12b_extended-xl-long-one,average,35.34,6.67,26.76,45.86,62.05
adapted_12b_extended-xl-long-one-rci,average,35.14,6.85,27.10,45.63,60.98
adapted_12b_extended-xl-long-three,average,35.08,7.85,27.15,45.72,59.61
adapted_12b_extended-xl-long-three-rci,average,34.68,6.77,27.31,45.51,59.14
adapted_12b_extended-xl-short-one,average,31.61,6.73,23.72,40.83,55.15
adapted_12b_extended-xl-short-one-rci,average,31.60,7.25,23.80,40.04,55.31
adapted_12b_extended-xl-short-three,average,31.50,7.08,24.20,40.06,54.67
adapted_12b_extended-xl-short-three-rci,average,31.12,7.36,24.08,39.91,53.14
adapted_12b_extended-long-zero,average,35.39,15.99,26.71,44.97,53.90
adapted_12b_extended-long-zero-rci,average,35.75,15.91,26.77,44.79,55.52
adapted_12b_extended-short-zero,average,27.58,13.31,22.04,36.21,38.78
adapted_12b_extended-short-zero-rci,average,27.97,14.51,21.96,36.46,38.96
