test_name,language,corpus_codebleu,corpus_ngram_match_score,corpus_weighted_ngram_match_score,corpus_syntax_match_score,corpus_dataflow_match_score
adapted_12b_extended-long-zero,python,34.15,20.32,25.60,43.26,47.43
adapted_12b_extended-long-zero,java,35.55,15.93,29.07,44.83,52.38
adapted_12b_extended-long-zero,cpp,37.08,4.10,23.48,53.35,67.38
adapted_12b_extended-long-zero,c,34.79,23.62,28.70,38.44,48.40
adapted_12b_extended-long-zero,average,35.39,15.99,26.71,44.97,53.90
adapted_12b_extended-long-zero-rci,python,35.15,20.39,26.55,43.86,49.80
adapted_12b_extended-long-zero-rci,java,35.09,15.48,28.16,44.11,52.61
adapted_12b_extended-long-zero-rci,cpp,37.21,4.17,23.61,52.76,68.31
adapted_12b_extended-long-zero-rci,c,35.55,23.61,28.77,38.44,51.37
adapted_12b_extended-long-zero-rci,average,35.75,15.91,26.77,44.79,55.52
