test_name,bleu_score,corpus_rouge1,corpus_rouge2,corpus_rougeL,corpus_bertscore_f1
adapted_12b_extended-auto-long-one,20.26,53.51,25.78,43.37,74.57
adapted_12b_extended-auto-long-one-rci,20.91,54.15,26.80,44.45,74.89
adapted_12b_extended-auto-long-three,18.78,52.22,24.32,41.96,73.13
adapted_12b_extended-auto-long-three-rci,18.70,52.01,24.59,42.08,73.00
adapted_12b_extended-auto-short-one,14.08,50.26,26.15,43.66,75.48
adapted_12b_extended-auto-short-one-rci,13.38,49.11,25.48,42.77,75.08
adapted_12b_extended-auto-short-three,16.00,51.14,27.35,44.73,74.61
adapted_12b_extended-auto-short-three-rci,15.86,50.79,27.44,44.52,74.74
adapted_12b_extended-xl-long-one,10.72,47.07,18.95,37.28,72.13
adapted_12b_extended-xl-long-one-rci,12.07,48.54,20.24,38.60,72.75
adapted_12b_extended-xl-long-three,10.98,46.52,18.90,36.92,70.95
adapted_12b_extended-xl-long-three-rci,11.99,47.93,19.53,37.52,71.21
adapted_12b_extended-xl-short-one,12.65,46.93,22.08,41.64,75.28
adapted_12b_extended-xl-short-one-rci,12.65,47.05,22.44,41.15,75.40
adapted_12b_extended-xl-short-three,11.26,43.93,20.48,39.08,73.02
adapted_12b_extended-xl-short-three-rci,11.82,44.09,20.40,38.76,72.84
adapted_12b_extended-long-zero,12.22,45.74,18.40,35.71,70.83
adapted_12b_extended-long-zero-rci,13.24,46.41,19.39,36.21,71.04
adapted_12b_extended-short-zero,9.63,44.86,20.63,39.52,73.87
adapted_12b_extended-short-zero-rci,9.03,45.66,21.02,39.40,74.17
