id,language,reference,generated,generated_rci,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score
2,python,"def is_datatype(cls, value: Any, datatype: str) -> bool:
    t = cls.get_type(datatype)
    if t is None:
        raise DatatypesException(f""Unsupported datatype: {datatype}"")
    return t[1](value)","def is_datatype(cls, value: Any, datatype: str) -> bool:
    value_type = cls.get_type(value)
    if not value_type:
        raise DatatypesException(f""Not a valid type: '{value}'"")
    datatype_type = cls.get_type(datatype)
    if not datatype_type:
        raise DatatypesException(f""Not a valid type: '{datatype}'"")
    return value_type in datatype_type[2] or value_type == datatype","def is_datatype(cls, value: Any, datatype: str) -> bool:
    value_type = cls.get_type(value)
    if not value_type:
        raise DatatypesException(f""Not a valid type: '{value}'"")
    datatype_type = cls.get_type(datatype)
    if not datatype_type:
        raise DatatypesException(f""Not a valid type: '{datatype}'"")
    return value_type in datatype_type[2] or value_type == datatype",51.77901702519814,20.786721468392393,42.48319278624633,53.84615384615385,90.0
3,python,"def is_xintx(value: Any, signed: bool, bits: int):
    values = [value]
    if isinstance(value, list):
        values = value

    for v in values:
        if not isinstance(v, int):
            return False
        if not signed and v < 0:
            return False
        max = 2**bits - 1
        min = 0
        if signed:
            max = 2 ** (bits - 1) - 1
            min = -(2 ** (bits - 1))
        if not (v <= max and v >= min):
            return False
    return True","from typing import Any, List

def is_xintx(value: Any, signed: bool, bits: int):
    if isinstance(value, list):
        return all(is_xintx(v, signed, bits) for v in value)
    if isinstance(value, int):
        if signed:
            return -2 ** (bits - 1) <= value < 2 ** bits
        else:
            return 0 <= value < 2 ** bits
    return False","from typing import Any, List

def is_xintx(value: Any, signed: bool, bits: int):
    if isinstance(value, list):
        return all(is_xintx(v, signed, bits) for v in value)
    if isinstance(value, int):
        if signed:
            return -2 ** (bits - 1) <= value < 2 ** bits
        else:
            return 0 <= value < 2 ** bits
    return False",26.120959594158442,15.858713323008045,17.45395388245454,33.33333333333333,37.83783783783784
4,python,"def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
        for t in cls.types:
            if datatype == t[0]:
                return t
        return None","def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
    for type_def in cls.types:
        if type_def[0] == datatype:
            return type_def
    return None","def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
    for type_def in cls.types:
        if type_def[0] == datatype:
            return type_def
    return None",72.51558048642302,57.14392512385289,58.84432274776513,74.07407407407408,100.0
5,python,"def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    if not fqn:
        return {}
    fqn_namespaced_datatypes = {}
    for t in dynamic_datatypes:
        if fqn.startswith(t):
            continue

        if fqn.startswith(""."".join(t.split(""."")[:-1])):
            fqn_namespaced_datatypes[(t.split(""."")[-1])] = t

    if fqn_namespaced_datatypes:
        log.debug(f""Namespaced datatypes, {fqn=}, {fqn_namespaced_datatypes=}"")
    return fqn_namespaced_datatypes","def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    if fqn is None:
        fqn = get_fqn()
    fqn_parts = fqn.split(""."")
    fqn_namespaced_datatypes = {}
    for i in range(len(fqn_parts)):
        fqn_namespaced_datatypes.update(get_namespaced_datatypes(""."".join(fqn_parts[: i + 1])))
    return fqn_namespaced_datatypes","def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    if fqn is None:
        fqn = get_fqn()
    fqn_parts = fqn.split(""."")
    fqn_namespaced_datatypes = {}
    for i in range(len(fqn_parts)):
        fqn_namespaced_datatypes.update(get_namespaced_datatypes(""."".join(fqn_parts[: i + 1])))
    return fqn_namespaced_datatypes",40.39806733363196,34.776854384207894,34.91726680217182,43.75,48.148148148148145
7,python,"def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    is_array = False
    apigear_type = None
    if t.endswith(""[]""):
        is_array = True
        t = t[0:-2]

    if t in [""int8"", ""int16"", ""int32"", ""uint8"", ""uint16"", ""uint32""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT32.value)
    elif t in [""int64"", ""uint64""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT64.value)
    elif t == ""float"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT32.value)
    elif t == ""double"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT64.value)
    elif t == ""boolean"":
        apigear_type = ApiGearType(ApiGearBasicType.BOOL.value)
    elif t == ""string"":
        apigear_type = ApiGearType(ApiGearBasicType.STRING.value)
    else:
        apigear_type = ApiGearType(t.replace(""."", ""_""))

    if is_array and apigear_type is not None:
        apigear_type.is_array = True

    return apigear_type","```python
def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    if t == ""string"":
        return ApiGearType(t, ""string"", [
            ""string"",
            ""str"",
            ""text""
        ])
    elif t == ""integer"":
        return ApiGearType(t, ""integer"", [
            ""integer"",
            ""int"",
            ""number""
        ])
    elif t == ""float"":
        return ApiGearType(t, ""float"", [
            ""float"",
            ""number"",
            ""decimal""
        ])
    elif t == ""boolean"":
        return ApiGearType(t, ""boolean"", [
            ""boolean"",
            ""bool"",
            ""true"",
            ""false""
        ])
    elif t == ""array"":
        return ApiGearType(t, ""array"", [
            ""array"",
            ""list"",
            ""[]""
        ])
    elif t == ""object"":
        return ApiGearType(t, ""object"", [
            ""object"",
            ""dict"",
            ""{""
        ])
    elif t == ""null"":
        return ApiGearType(t, ""null"", [
            ""null"",
            ""None""
        ])
    elif t == ""date"":
        return ApiGearType(t, ""date"", [
            ""date"",
            ""datetime""
        ])
    elif t == ""datetime"":
        return ApiGearType(t, ""datetime"", [
            ""date"",
            ""datetime""
        ])
    elif t == ""time"":
        return ApiGearType(t, ""time"", [
            ""time""
        ])
    elif t == ""timestamp"":
        return ApiGearType(t, ""timestamp"", [
            ""timestamp""
        ])
    elif t == ""enum"":
        return ApiGearType(t, ""enum"", [
            ""enum""
        ])
    elif t == ""binary"":
        return ApiGearType(t, ""binary"", [
            ""binary"",
            ""bytes""
        ])
    elif t == ""json"":
        return ApiGearType(t, ""json"", [
            ""json""
        ])
    elif t == ""uri"":
        return ApiGearType(t, ""uri"", [
            ""uri"",
            ""url""
        ])
    elif t == ""email"":
        return ApiGearType(t, ""email"", [
            ""email""
        ])
    elif t == ""ipv4"":
        return ApiGearType(t, ""ipv4"", [
            ""ipv4""
        ])
    elif t == ""ipv6"":
        return ApiGearType(t, ""ipv6"", [
            ""ipv6""
        ])
    elif t == ""mac"":
        return ApiGearType(t, ""mac"", [
            ""mac""
        ])
    elif t == ""uuid"":
        return ApiGearType(t, ""uuid"", [
            ""uuid""
        ])
    elif t == ""regex"":
        return ApiGearType(t, ""regex"", [
            ""regex""
        ])
    elif t == ""cidr"":
        return ApiGearType(t, ""cidr"", [
            ""cidr""
        ])
    elif t == ""rgb"":
        return ApiGearType(t, ""rgb"", [
            ""rgb""
        ])
    elif t == ""rgba"":
        return ApiGear","```python
def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    if t == ""string"":
        return ApiGearType(t, ""string"", [
            ""string"",
            ""str"",
            ""text""
        ])
    elif t == ""integer"":
        return ApiGearType(t, ""integer"", [
            ""integer"",
            ""int"",
            ""number""
        ])
    elif t == ""float"":
        return ApiGearType(t, ""float"", [
            ""float"",
            ""number"",
            ""decimal""
        ])
    elif t == ""boolean"":
        return ApiGearType(t, ""boolean"", [
            ""boolean"",
            ""bool"",
            ""true"",
            ""false""
        ])
    elif t == ""array"":
        return ApiGearType(t, ""array"", [
            ""array"",
            ""list"",
            ""[]""
        ])
    elif t == ""object"":
        return ApiGearType(t, ""object"", [
            ""object"",
            ""dict"",
            ""{""
        ])
    elif t == ""null"":
        return ApiGearType(t, ""null"", [
            ""null"",
            ""None""
        ])
    elif t == ""date"":
        return ApiGearType(t, ""date"", [
            ""date"",
            ""datetime""
        ])
    elif t == ""datetime"":
        return ApiGearType(t, ""datetime"", [
            ""date"",
            ""datetime""
        ])
    elif t == ""time"":
        return ApiGearType(t, ""time"", [
            ""time""
        ])
    elif t == ""timestamp"":
        return ApiGearType(t, ""timestamp"", [
            ""timestamp""
        ])
    elif t == ""enum"":
        return ApiGearType(t, ""enum"", [
            ""enum""
        ])
    elif t == ""binary"":
        return ApiGearType(t, ""binary"", [
            ""binary"",
            ""bytes""
        ])
    elif t == ""json"":
        return ApiGearType(t, ""json"", [
            ""json""
        ])
    elif t == ""uri"":
        return ApiGearType(t, ""uri"", [
            ""uri"",
            ""url""
        ])
    elif t == ""email"":
        return ApiGearType(t, ""email"", [
            ""email""
        ])
    elif t == ""ipv4"":
        return ApiGearType(t, ""ipv4"", [
            ""ipv4""
        ])
    elif t == ""ipv6"":
        return ApiGearType(t, ""ipv6"", [
            ""ipv6""
        ])
    elif t == ""mac"":
        return ApiGearType(t, ""mac"", [
            ""mac""
        ])
    elif t == ""uuid"":
        return ApiGearType(t, ""uuid"", [
            ""uuid""
        ])
    elif t == ""regex"":
        return ApiGearType(t, ""regex"", [
            ""regex""
        ])
    elif t == ""cidr"":
        return ApiGearType(t, ""cidr"", [
            ""cidr""
        ])
    elif t == ""rgb"":
        return ApiGearType(t, ""rgb"", [
            ""rgb""
        ])
    elif t == ""rgba"":
        return ApiGear",20.09223590866914,4.460813637841844,14.541526195877214,31.858407079646017,29.508196721311474
8,python,"def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    apigear_type = get_apigear_datatype(datatype)
    data = node.get_vss_data()

    if apigear_type is None:
        log.warning(f""Datatype {datatype} of node {node.name} currently not supported"")
        return None

    property = ApiGearProperty(apigear_type)
    if data.description != """":
        property.description = data.description
    return property","```python
def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    if not isinstance(node, VSSNode):
        raise TypeError(""node must be a VSSNode"")
    if not isinstance(datatype, str):
        raise TypeError(""datatype must be a string"")

    if node.type == ""STRUCT"":
        return None

    if node.type == ""FIELD"":
        return ApiGearProperty(
            name=node.name,
            datatype=datatype,
            bit_position=node.bit_position,
            bit_length=node.bit_length,
            is_array=node.is_array,
            is_optional=node.is_optional,
            is_volatile=node.is_volatile,
            is_constant=node.is_constant,
            is_static=node.is_static,
            is_external=node.is_external,
            is_union=node.is_union,
            is_enum=node.is_enum,
            is_bitfield=node.is_bitfield,
            is_packed=node.is_packed,
            is_signed=node.is_signed,
            is_little_endian=node.is_little_endian,
            is_big_endian=node.is_big_endian,
            is_unsigned=node.is_unsigned,
            is_byte_order_msb=node.is_byte_order_msb,
            is_byte_order_lsb=node.is_byte_order_lsb,
            is_byte_order_native=node.is_byte_order_native,
            is_byte_order_unknown=node.is_byte_order_unknown,
            is_byte_order_little_endian=node.is_byte_order_little_endian,
            is_byte_order_big_endian=node.is_byte_order_big_endian,
            is_byte_order_network=node.is_byte_order_network,
            is_byte_order_cpu=node.is_byte_order_cpu,
            is_byte_order_be=node.is_byte_order_be,
            is_byte_order_le=node.is_byte_order_le,
            is_byte_order_unknown_endian=node.is_byte_order_unknown_endian,
            is_byte_order_unknown_cpu=node.is_byte_order_unknown_cpu,
            is_byte_order_unknown_network=node.is_byte_order_unknown_network,
            is_byte_order_unknown_be=node.is_byte_order_unknown_be,
            is_byte_order_unknown_le=node.is_byte_order_unknown_le,
            is_byte_order_unknown_network=node.is_byte_order_unknown_network,
            is_byte_order_unknown_cpu=node.is_byte_order_unknown_cpu,
            is_byte_order_unknown_be=node.is_byte_order_unknown_be,
            is_byte_order_unknown_le=node.is_byte_order_unknown_le,
            is_byte_order_unknown_network=node.is_byte_order_unknown_network,
            is_byte_order_unknown_cpu=node.is_byte_order_unknown_cpu,
            is_byte_","```python
def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    if not isinstance(node, VSSNode):
        raise TypeError(""node must be a VSSNode"")
    if not isinstance(datatype, str):
        raise TypeError(""datatype must be a string"")

    if node.type == ""STRUCT"":
        return None

    if node.type == ""FIELD"":
        return ApiGearProperty(
            name=node.name,
            datatype=datatype,
            bit_position=node.bit_position,
            bit_length=node.bit_length,
            is_array=node.is_array,
            is_optional=node.is_optional,
            is_volatile=node.is_volatile,
            is_constant=node.is_constant,
            is_static=node.is_static,
            is_external=node.is_external,
            is_union=node.is_union,
            is_enum=node.is_enum,
            is_bitfield=node.is_bitfield,
            is_packed=node.is_packed,
            is_signed=node.is_signed,
            is_little_endian=node.is_little_endian,
            is_big_endian=node.is_big_endian,
            is_unsigned=node.is_unsigned,
            is_byte_order_msb=node.is_byte_order_msb,
            is_byte_order_lsb=node.is_byte_order_lsb,
            is_byte_order_native=node.is_byte_order_native,
            is_byte_order_unknown=node.is_byte_order_unknown,
            is_byte_order_little_endian=node.is_byte_order_little_endian,
            is_byte_order_big_endian=node.is_byte_order_big_endian,
            is_byte_order_network=node.is_byte_order_network,
            is_byte_order_cpu=node.is_byte_order_cpu,
            is_byte_order_be=node.is_byte_order_be,
            is_byte_order_le=node.is_byte_order_le,
            is_byte_order_unknown_endian=node.is_byte_order_unknown_endian,
            is_byte_order_unknown_cpu=node.is_byte_order_unknown_cpu,
            is_byte_order_unknown_network=node.is_byte_order_unknown_network,
            is_byte_order_unknown_be=node.is_byte_order_unknown_be,
            is_byte_order_unknown_le=node.is_byte_order_unknown_le,
            is_byte_order_unknown_network=node.is_byte_order_unknown_network,
            is_byte_order_unknown_cpu=node.is_byte_order_unknown_cpu,
            is_byte_order_unknown_be=node.is_byte_order_unknown_be,
            is_byte_order_unknown_le=node.is_byte_order_unknown_le,
            is_byte_order_unknown_network=node.is_byte_order_unknown_network,
            is_byte_order_unknown_cpu=node.is_byte_order_unknown_cpu,
        )
    return",33.43442668677488,10.648269322992462,24.75610409077372,33.33333333333333,65.0
10,python,"def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    spec = None
    vspecs: list[VSpec] = []
    for s in specs:
        includes = [s.parent] + include_dirs
        vspecs.extend(get_vspecs(includes, s))
    pre = ""VSpecs""
    if identifier:
        pre += f"" ({identifier})""
    log.info(f""{pre} loaded, amount={len(vspecs)}"")
    for vspec in vspecs:
        log.debug(vspec)
        if spec is None:
            spec = vspec
        else:
            spec.update(vspec)
    if not spec:
        msg = f""Weird behavior. Could not load any spec: {specs}""
        log.error(msg)
        raise SpecException(msg)
    return spec","from pathlib import Path

from vspec.vspec import VSpec
from vspec.exceptions import VSpecException
from vspec.utils import load_vspec_from_file


def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    """"""Loads and merges multiple VSpec files from specified paths into a single VSpec object""""""
    vspec = VSpec(identifier)
    for path in include_dirs:
        vspec.include_dir(path)
    for path in specs:
        try:
            vspec.load_from_file(path)
        except VSpecException as e:
            raise VSpecException(f""Failed to load VSpec from '{path}': {e}"")
    return vspec","from pathlib import Path

from vspec.vspec import VSpec
from vspec.exceptions import VSpecException
from vspec.utils import load_vspec_from_file


def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    """"""Loads and merges multiple VSpec files from specified paths into a single VSpec object""""""
    vspec = VSpec(identifier)
    for path in include_dirs:
        vspec.include_dir(path)
    for path in specs:
        try:
            load_vspec_from_file(vspec, path)
        except VSpecException as e:
            raise VSpecException(f""Failed to load VSpec from '{path}': {e}"")
    return vspec",30.791540136389784,18.52067122933568,19.7617683859909,50.0,34.883720930232556
11,python,"def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for key, value in update.items():
        if isinstance(value, dict):
            if key in base and isinstance(base[key], dict):
                deep_update(base[key], value)
            else:
                base[key] = value
        else:
            base[key] = value","def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for k, v in update.items():
        if isinstance(v, dict) and k in base and isinstance(base[k], dict):
            deep_update(base[k], v)
        else:
            base[k] = v","def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for k, v in update.items():
        if isinstance(v, dict) and k in base and isinstance(base[k], dict):
            deep_update(base[k], v)
        else:
            base[k] = v",61.09433177212898,35.2397286283442,37.262598460171745,81.25,90.625
12,python,"def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return v
    pattern = r""^0x[0-9A-Fa-f]{8}$""
    assert bool(re.match(pattern, v)), f""'{v}' is not a valid 'constUID'""
    return v","def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return None
    if not isinstance(v, str):
        raise ValueError(f""Expected a string, got {type(v)}"")
    if len(v) != 8:
        raise ValueError(f""Expected a 32-bit hexadecimal string, got '{v}'"")
    try:
        int(v, 16)
    except ValueError:
        raise ValueError(f""Expected a 32-bit hexadecimal string, got '{v}'"")
    return v","def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return None
    if not isinstance(v, str):
        raise ValueError(f""Expected a string, got {type(v)}"")
    if len(v) != 8:
        raise ValueError(f""Expected a 32-bit hexadecimal string, got '{v}'"")
    if not all(c in '0123456789abcdefABCDEF' for c in v):
        raise ValueError(f""Expected a 32-bit hexadecimal string, got '{v}'"")
    return v",55.082424981537685,26.169024367454586,52.16067555869613,52.0,90.0
13,python,"def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    model = VSSRaw(fqn=fqn, **data)
    try:
        model = resolve_vss_raw(model)
    except (ValidationError, ModelException):
        log.debug(f""'{fqn}', incomplete, initialized as '{model.__class__.__name__}'"")
        return model
    return model","def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    vss_raw = VSSRaw(data)
    if not vss_raw.resolve(fqn):
        return vss_raw
    return None","def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    vss_raw = VSSRaw(data)
    if not vss_raw.resolve(fqn):
        return vss_raw
    return None",44.11516152867524,29.55084986581822,32.7431295822161,47.5,66.66666666666666
