id,language,reference,generated,generated_rci,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score
2,python,"def is_datatype(cls, value: Any, datatype: str) -> bool:
    t = cls.get_type(datatype)
    if t is None:
        raise DatatypesException(f""Unsupported datatype: {datatype}"")
    return t[1](value)","from typing import Any

def is_datatype(cls, value: Any, datatype: str) -> bool:
    if datatype == ""int"":
        return isinstance(value, int)
    elif datatype == ""float"":
        return isinstance(value, float)
    elif datatype == ""str"":
        return isinstance(value, str)
    elif datatype == ""bool"":
        return isinstance(value, bool)
    elif datatype == ""list"":
        return isinstance(value, list)
    elif datatype == ""dict"":
        return isinstance(value, dict)
    elif datatype == ""tuple"":
        return isinstance(value, tuple)
    elif datatype == ""set"":
        return isinstance(value, set)
    else:
        raise ValueError(""Unsupported datatype"")","from typing import Any

def is_datatype(cls, value: Any, datatype: str) -> bool:
    if datatype == ""int"":
        return isinstance(value, int)
    elif datatype == ""float"":
        return isinstance(value, float)
    elif datatype == ""str"":
        return isinstance(value, str)
    elif datatype == ""bool"":
        return isinstance(value, bool)
    elif datatype == ""list"":
        return isinstance(value, list)
    elif datatype == ""dict"":
        return isinstance(value, dict)
    elif datatype == ""tuple"":
        return isinstance(value, tuple)
    elif datatype == ""set"":
        return isinstance(value, set)
    else:
        raise ValueError(""Unsupported datatype"")",37.65499699406495,9.834867222003856,37.70819767733287,23.076923076923077,80.0
3,python,"def is_xintx(value: Any, signed: bool, bits: int):
    values = [value]
    if isinstance(value, list):
        values = value

    for v in values:
        if not isinstance(v, int):
            return False
        if not signed and v < 0:
            return False
        max = 2**bits - 1
        min = 0
        if signed:
            max = 2 ** (bits - 1) - 1
            min = -(2 ** (bits - 1))
        if not (v <= max and v >= min):
            return False
    return True","from typing import Any

def is_xintx(value: Any, signed: bool, bits: int):
    if isinstance(value, list):
        return all(is_xintx(x, signed, bits) for x in value)
    elif isinstance(value, int):
        if signed:
            return -2**(bits - 1) <= value < 2**(bits - 1)
        else:
            return 0 <= value < 2**bits
    else:
        return False","from typing import Any

def is_xintx(value: Any, signed: bool, bits: int):
    if isinstance(value, list):
        return all(is_xintx(x, signed, bits) for x in value)
    elif isinstance(value, int):
        if signed:
            return -2**(bits - 1) <= value < 2**(bits - 1)
        else:
            return 0 <= value < 2**bits
    else:
        return False",25.154844897503377,11.47683003884319,13.20947361809438,38.095238095238095,37.83783783783784
4,python,"def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
        for t in cls.types:
            if datatype == t[0]:
                return t
        return None","def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
    for type_def in cls.__dict__.get(""_types"", []):
        if type_def[0] == datatype:
            return type_def
    return None","def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
    for type_def in getattr(cls, ""_types"", []):
        if type_def[0] == datatype:
            return type_def
    return None",62.91007368150975,50.16993910962959,54.669008815062604,74.07407407407408,72.72727272727273
5,python,"def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    if not fqn:
        return {}
    fqn_namespaced_datatypes = {}
    for t in dynamic_datatypes:
        if fqn.startswith(t):
            continue

        if fqn.startswith(""."".join(t.split(""."")[:-1])):
            fqn_namespaced_datatypes[(t.split(""."")[-1])] = t

    if fqn_namespaced_datatypes:
        log.debug(f""Namespaced datatypes, {fqn=}, {fqn_namespaced_datatypes=}"")
    return fqn_namespaced_datatypes","def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    fqn_namespaced_datatypes = {}
    if fqn is None:
        return fqn_namespaced_datatypes
    fqn_namespaced_datatypes[fqn] = fqn
    return fqn_namespaced_datatypes","def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    fqn_namespaced_datatypes = {}
    if fqn is None:
        return fqn_namespaced_datatypes
    fqn_namespaced_datatypes[fqn] = fqn
    return fqn_namespaced_datatypes",27.780765013912127,26.820376125792823,29.09435059652237,21.875,33.33333333333333
7,python,"def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    is_array = False
    apigear_type = None
    if t.endswith(""[]""):
        is_array = True
        t = t[0:-2]

    if t in [""int8"", ""int16"", ""int32"", ""uint8"", ""uint16"", ""uint32""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT32.value)
    elif t in [""int64"", ""uint64""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT64.value)
    elif t == ""float"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT32.value)
    elif t == ""double"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT64.value)
    elif t == ""boolean"":
        apigear_type = ApiGearType(ApiGearBasicType.BOOL.value)
    elif t == ""string"":
        apigear_type = ApiGearType(ApiGearBasicType.STRING.value)
    else:
        apigear_type = ApiGearType(t.replace(""."", ""_""))

    if is_array and apigear_type is not None:
        apigear_type.is_array = True

    return apigear_type","```python
import typing

from apigear.core.types import ApiGearType


def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    if t == ""int"":
        return ApiGearType.INTEGER
    elif t == ""float"":
        return ApiGearType.DOUBLE
    elif t == ""bool"":
        return ApiGearType.BOOLEAN
    elif t == ""string"":
        return ApiGearType.STRING
    elif t == ""bytes"":
        return ApiGearType.BYTES
    elif t == ""date"":
        return ApiGearType.DATE
    elif t == ""datetime"":
        return ApiGearType.DATETIME
    elif t == ""time"":
        return ApiGearType.TIME
    elif t == ""uint8"":
        return ApiGearType.UINT8
    elif t == ""uint16"":
        return ApiGearType.UINT16
    elif t == ""uint32"":
        return ApiGearType.UINT32
    elif t == ""uint64"":
        return ApiGearType.UINT64
    elif t == ""int8"":
        return ApiGearType.INT8
    elif t == ""int16"":
        return ApiGearType.INT16
    elif t == ""int32"":
        return ApiGearType.INT32
    elif t == ""int64"":
        return ApiGearType.INT64
    elif t == ""enum"":
        return ApiGearType.ENUM
    elif t == ""void"":
        return ApiGearType.VOID
    elif t == ""any"":
        return ApiGearType.ANY
    elif t == ""object"":
        return ApiGearType.OBJECT
    elif t == ""map"":
        return ApiGearType.MAP
    elif t == ""array"":
        return ApiGearType.ARRAY
    elif t.endswith(""[]""):
        t = t[:-2]
        if t == ""int"":
            return ApiGearType.INTEGER_ARRAY
        elif t == ""float"":
            return ApiGearType.DOUBLE_ARRAY
        elif t == ""bool"":
            return ApiGearType.BOOLEAN_ARRAY
        elif t == ""string"":
            return ApiGearType.STRING_ARRAY
        elif t == ""bytes"":
            return ApiGearType.BYTES_ARRAY
        elif t == ""date"":
            return ApiGearType.DATE_ARRAY
        elif t == ""datetime"":
            return ApiGearType.DATETIME_ARRAY
        elif t == ""time"":
            return ApiGearType.TIME_ARRAY
        elif t == ""uint8"":
            return ApiGearType.UINT8_ARRAY
        elif t == ""uint16"":
            return ApiGearType.UINT16_ARRAY
        elif t == ""uint32"":
            return ApiGearType.UINT32_ARRAY
        elif t == ""uint64"":
            return ApiGearType.UINT64_ARRAY
        elif t == ""int8"":
            return ApiGearType.INT8_ARRAY
        elif t == ""int16"":
            return ApiGearType.INT16_ARRAY
        elif t == ""int32"":
            return ApiGearType.INT32_ARRAY
        elif t == ""int64"":
            return ApiGearType.INT64_ARRAY
        elif t == ""enum"":
            return ApiGearType.ENUM_ARRAY
        elif t == ""void"":
            return ApiGearType.VOID_ARRAY
        elif t == ","```python
import typing

from apigear.core.types import ApiGearType


def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    if t == ""int"":
        return ApiGearType.INTEGER
    elif t == ""float"":
        return ApiGearType.DOUBLE
    elif t == ""bool"":
        return ApiGearType.BOOLEAN
    elif t == ""string"":
        return ApiGearType.STRING
    elif t == ""bytes"":
        return ApiGearType.BYTES
    elif t == ""date"":
        return ApiGearType.DATE
    elif t == ""datetime"":
        return ApiGearType.DATETIME
    elif t == ""time"":
        return ApiGearType.TIME
    elif t == ""uint8"":
        return ApiGearType.UINT8
    elif t == ""uint16"":
        return ApiGearType.UINT16
    elif t == ""uint32"":
        return ApiGearType.UINT32
    elif t == ""uint64"":
        return ApiGearType.UINT64
    elif t == ""int8"":
        return ApiGearType.INT8
    elif t == ""int16"":
        return ApiGearType.INT16
    elif t == ""int32"":
        return ApiGearType.INT32
    elif t == ""int64"":
        return ApiGearType.INT64
    elif t == ""enum"":
        return ApiGearType.ENUM
    elif t == ""void"":
        return ApiGearType.VOID
    elif t == ""any"":
        return ApiGearType.ANY
    elif t == ""object"":
        return ApiGearType.OBJECT
    elif t == ""map"":
        return ApiGearType.MAP
    elif t == ""array"":
        return ApiGearType.ARRAY
    elif t.endswith(""[]""):
        t = t[:-2]
        if t == ""int"":
            return ApiGearType.INTEGER_ARRAY
        elif t == ""float"":
            return ApiGearType.DOUBLE_ARRAY
        elif t == ""bool"":
            return ApiGearType.BOOLEAN_ARRAY
        elif t == ""string"":
            return ApiGearType.STRING_ARRAY
        elif t == ""bytes"":
            return ApiGearType.BYTES_ARRAY
        elif t == ""date"":
            return ApiGearType.DATE_ARRAY
        elif t == ""datetime"":
            return ApiGearType.DATETIME_ARRAY
        elif t == ""time"":
            return ApiGearType.TIME_ARRAY
        elif t == ""uint8"":
            return ApiGearType.UINT8_ARRAY
        elif t == ""uint16"":
            return ApiGearType.UINT16_ARRAY
        elif t == ""uint32"":
            return ApiGearType.UINT32_ARRAY
        elif t == ""uint64"":
            return ApiGearType.UINT64_ARRAY
        elif t == ""int8"":
            return ApiGearType.INT8_ARRAY
        elif t == ""int16"":
            return ApiGearType.INT16_ARRAY
        elif t == ""int32"":
            return ApiGearType.INT32_ARRAY
        elif t == ""int64"":
            return ApiGearType.INT64_ARRAY
        elif t == ""enum"":
            return ApiGearType.ENUM_ARRAY
        elif t == ""void"":
            return ApiGearType.VOID_ARRAY
        elif t == ",17.429658927478297,4.426096496253066,14.516389496555822,32.743362831858406,18.0327868852459
8,python,"def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    apigear_type = get_apigear_datatype(datatype)
    data = node.get_vss_data()

    if apigear_type is None:
        log.warning(f""Datatype {datatype} of node {node.name} currently not supported"")
        return None

    property = ApiGearProperty(apigear_type)
    if data.description != """":
        property.description = data.description
    return property","```python
def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    if datatype == ""int"":
        api_type = AG_INT_TYPE
    elif datatype == ""float"":
        api_type = AG_FLOAT_TYPE
    elif datatype == ""bool"":
        api_type = AG_BOOL_TYPE
    elif datatype == ""string"":
        api_type = AG_STRING_TYPE
    elif datatype == ""uint8"":
        api_type = AG_UINT8_TYPE
    elif datatype == ""uint16"":
        api_type = AG_UINT16_TYPE
    elif datatype == ""uint32"":
        api_type = AG_UINT32_TYPE
    elif datatype == ""uint64"":
        api_type = AG_UINT64_TYPE
    elif datatype == ""int8"":
        api_type = AG_INT8_TYPE
    elif datatype == ""int16"":
        api_type = AG_INT16_TYPE
    elif datatype == ""int32"":
        api_type = AG_INT32_TYPE
    elif datatype == ""int64"":
        api_type = AG_INT64_TYPE
    elif datatype == ""byte"":
        api_type = AG_BYTE_TYPE
    elif datatype == ""uint"":
        api_type = AG_UINT_TYPE
    elif datatype == ""int"":
        api_type = AG_INT_TYPE
    elif datatype == ""struct"":
        api_type = AG_STRUCT_TYPE
    elif datatype == ""array"":
        api_type = AG_ARRAY_TYPE
    elif datatype == ""enum"":
        api_type = AG_ENUM_TYPE
    elif datatype == ""bitfield"":
        api_type = AG_BITFIELD_TYPE
    elif datatype == ""uint8_t"":
        api_type = AG_UINT8_TYPE
    elif datatype == ""uint16_t"":
        api_type = AG_UINT16_TYPE
    elif datatype == ""uint32_t"":
        api_type = AG_UINT32_TYPE
    elif datatype == ""uint64_t"":
        api_type = AG_UINT64_TYPE
    elif datatype == ""int8_t"":
        api_type = AG_INT8_TYPE
    elif datatype == ""int16_t"":
        api_type = AG_INT16_TYPE
    elif datatype == ""int32_t"":
        api_type = AG_INT32_TYPE
    elif datatype == ""int64_t"":
        api_type = AG_INT64_TYPE
    elif datatype == ""byte_t"":
        api_type = AG_BYTE_TYPE
    elif datatype == ""uint_t"":
        api_type = AG_UINT_TYPE
    elif datatype == ""int_t"":
        api_type = AG_INT_TYPE
    elif datatype == ""struct_t"":
        api_type = AG_STRUCT_TYPE
    elif datatype == ""array_t"":
        api_type = AG_ARRAY_TYPE
    elif datatype == ""enum_t"":
        api_type = AG_ENUM_TYPE
    elif datatype == ""bitfield_t"":
        api_type = AG_BITFIELD_TYPE
    elif datatype == ""uint8"":
        api_type = AG_UINT8_TYPE
    elif datatype == ""uint16"":
        api_type = AG_","```python
def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    if datatype == ""int"":
        api_type = AG_INT_TYPE
    elif datatype == ""float"":
        api_type = AG_FLOAT_TYPE
    elif datatype == ""bool"":
        api_type = AG_BOOL_TYPE
    elif datatype == ""string"":
        api_type = AG_STRING_TYPE
    elif datatype == ""uint8"":
        api_type = AG_UINT8_TYPE
    elif datatype == ""uint16"":
        api_type = AG_UINT16_TYPE
    elif datatype == ""uint32"":
        api_type = AG_UINT32_TYPE
    elif datatype == ""uint64"":
        api_type = AG_UINT64_TYPE
    elif datatype == ""int8"":
        api_type = AG_INT8_TYPE
    elif datatype == ""int16"":
        api_type = AG_INT16_TYPE
    elif datatype == ""int32"":
        api_type = AG_INT32_TYPE
    elif datatype == ""int64"":
        api_type = AG_INT64_TYPE
    elif datatype == ""byte"":
        api_type = AG_BYTE_TYPE
    elif datatype == ""uint"":
        api_type = AG_UINT_TYPE
    elif datatype == ""int"":
        api_type = AG_INT_TYPE
    elif datatype == ""struct"":
        api_type = AG_STRUCT_TYPE
    elif datatype == ""array"":
        api_type = AG_ARRAY_TYPE
    elif datatype == ""enum"":
        api_type = AG_ENUM_TYPE
    elif datatype == ""bitfield"":
        api_type = AG_BITFIELD_TYPE
    elif datatype == ""uint8_t"":
        api_type = AG_UINT8_TYPE
    elif datatype == ""uint16_t"":
        api_type = AG_UINT16_TYPE
    elif datatype == ""uint32_t"":
        api_type = AG_UINT32_TYPE
    elif datatype == ""uint64_t"":
        api_type = AG_UINT64_TYPE
    elif datatype == ""int8_t"":
        api_type = AG_INT8_TYPE
    elif datatype == ""int16_t"":
        api_type = AG_INT16_TYPE
    elif datatype == ""int32_t"":
        api_type = AG_INT32_TYPE
    elif datatype == ""int64_t"":
        api_type = AG_INT64_TYPE
    elif datatype == ""byte_t"":
        api_type = AG_BYTE_TYPE
    elif datatype == ""uint_t"":
        api_type = AG_UINT_TYPE
    elif datatype == ""int_t"":
        api_type = AG_INT_TYPE
    elif datatype == ""struct_t"":
        api_type = AG_STRUCT_TYPE
    elif datatype == ""array_t"":
        api_type = AG_ARRAY_TYPE
    elif datatype == ""enum_t"":
        api_type = AG_ENUM_TYPE
    elif datatype == ""bitfield_t"":
        api_type = AG_BITFIELD_TYPE
    elif datatype == ""uint8"":
        api_type = AG_UINT8_TYPE
    elif datatype == ""uint16"":
        api_type = AG_",17.82168130146272,3.1791652344222903,20.329782193650818,17.77777777777778,30.0
10,python,"def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    spec = None
    vspecs: list[VSpec] = []
    for s in specs:
        includes = [s.parent] + include_dirs
        vspecs.extend(get_vspecs(includes, s))
    pre = ""VSpecs""
    if identifier:
        pre += f"" ({identifier})""
    log.info(f""{pre} loaded, amount={len(vspecs)}"")
    for vspec in vspecs:
        log.debug(vspec)
        if spec is None:
            spec = vspec
        else:
            spec.update(vspec)
    if not spec:
        msg = f""Weird behavior. Could not load any spec: {specs}""
        log.error(msg)
        raise SpecException(msg)
    return spec","from pathlib import Path
from typing import List, Optional

from vspec.vspec import VSpec
from vspec.vspec_parser import VSpecParser
from vspec.vspec_loader import VSpecLoader


def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    """"""Loads and parses multiple VSpec files from specified paths, using a list of include directories,
    then merges them into a single composite VSpec object and returns it, raising an exception if no
    files are successfully loaded""""""
    loader = VSpecLoader(include_dirs)
    loaded_specs = []
    for spec_path in specs:
        try:
            loaded_specs.append(loader.load_vspec(spec_path))
        except Exception as e:
            raise ValueError(f""Failed to load VSpec file {spec_path}: {e}"")
    if not loaded_specs:
        raise ValueError(""No VSpec files were successfully loaded"")
    return VSpec.merge(loaded_specs, identifier)","from pathlib import Path
from typing import List, Optional

from vspec.vspec import VSpec
from vspec.vspec_parser import VSpecParser
from vspec.vspec_loader import VSpecLoader


def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    """"""Loads and parses multiple VSpec files from specified paths, using a list of include directories,
    then merges them into a single composite VSpec object and returns it, raising an exception if no
    files are successfully loaded""""""
    loader = VSpecLoader(include_dirs)
    loaded_specs = []
    for spec_path in specs:
        try:
            loaded_specs.append(loader.load_vspec(spec_path))
        except Exception as e:
            raise ValueError(f""Failed to load VSpec file {spec_path}: {e}"")
    if not loaded_specs:
        raise ValueError(""No VSpec files were successfully loaded"")
    return VSpec.merge(loaded_specs, identifier)",29.909726430721022,14.030793697837984,21.73214303279805,46.666666666666664,37.2093023255814
11,python,"def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for key, value in update.items():
        if isinstance(value, dict):
            if key in base and isinstance(base[key], dict):
                deep_update(base[key], value)
            else:
                base[key] = value
        else:
            base[key] = value","def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for k, v in update.items():
        if isinstance(v, dict) and k in base and isinstance(base[k], dict):
            deep_update(base[k], v)
        else:
            base[k] = v","def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for k, v in update.items():
        if isinstance(v, dict) and k in base and isinstance(base[k], dict):
            deep_update(base[k], v)
        else:
            base[k] = v",61.09433177212898,35.2397286283442,37.262598460171745,81.25,90.625
12,python,"def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return v
    pattern = r""^0x[0-9A-Fa-f]{8}$""
    assert bool(re.match(pattern, v)), f""'{v}' is not a valid 'constUID'""
    return v","def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return None
    if isinstance(v, str) and len(v) == 10 and v.startswith(""0x"") and all(c in ""0123456789abcdef"" for c in v[2:]):
        return v
    return None","def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return None
    if isinstance(v, str) and len(v) == 10 and v.startswith(""0x"") and all(c in ""0123456789abcdef"" for c in v[2:]):
        return v
    return None",53.00979747473712,39.801862783019985,50.2373271159285,52.0,70.0
13,python,"def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    model = VSSRaw(fqn=fqn, **data)
    try:
        model = resolve_vss_raw(model)
    except (ValidationError, ModelException):
        log.debug(f""'{fqn}', incomplete, initialized as '{model.__class__.__name__}'"")
        return model
    return model","def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    vss_raw = VSSRaw(data)
    if vss_raw.resolve(fqn):
        return vss_raw
    return VSSRaw(data)","def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    vss_raw = VSSRaw(data)
    if vss_raw.resolve(fqn):
        return vss_raw
    return VSSRaw(data)",43.94601754375477,28.874273926136336,32.7431295822161,47.5,66.66666666666666
14,python,"def check_valid_datatypes(cls, values: list[str]) -> list[str]:
    datatypes = get_all_datatypes()
    for value in values:
        assert value in datatypes, f""Invalid datatype: '{value}'""
    return values","def check_valid_datatypes(cls, values: list[str]) -> list[str]:
    valid_datatypes = [""int"", ""float"", ""str"", ""bool""]
    for value in values:
        if value not in valid_datatypes:
            raise ValueError(f""Invalid datatype: {value}"")
    return values","def check_valid_datatypes(cls, values: list[str]) -> list[str]:
    valid_datatypes = [""int"", ""float"", ""str"", ""bool""]
    for value in values:
        if value not in valid_datatypes:
            raise ValueError(f""Invalid datatype: {value}"")
    return values",47.270146323358716,30.096870722978437,38.150381237123135,54.166666666666664,66.66666666666666
15,python,"def get_rendered_tree(tree: VSSNode, attributes: tuple[str]) -> str:
    tree_content_lines = []
    for pre, fill, node in RenderTree(tree):
        tree_content_lines.append(""%s%s"" % (pre, node.name))
        for attribute in attributes:
            content = getattr(node.data, attribute, None)
            if content is None:
                continue
            if isinstance(content, str):
                tree_content_lines.append(""%s%s='%s'"" % (fill, attribute, content))
            else:
                tree_content_lines.append(""%s%s=%s"" % (fill, attribute, content))
    return ""\n"".join(tree_content_lines)","def get_rendered_tree(tree: VSSNode, attributes: tuple[str]) -> str:
    def render_node(node: VSSNode, indent: int) -> str:
        rendered = ""  "" * indent + node.name + ""\n""
        for attr in attributes:
            if hasattr(node, attr):
                rendered += ""  "" * (indent + 1) + f""{attr}: {getattr(node, attr)}\n""
        for child in node.children:
            rendered += render_node(child, indent + 1)
        return rendered

    return render_node(tree, 0)","def get_rendered_tree(tree: VSSNode, attributes: tuple[str]) -> str:
    def render_node(node: VSSNode, indent: int) -> str:
        rendered = ""  "" * indent + node.name + ""\n""
        for attr in attributes:
            if hasattr(node, attr):
                rendered += ""  "" * (indent + 1) + f""{attr}: {getattr(node, attr)}\n""
        for child in node.children:
            rendered += render_node(child, indent + 1)
        return rendered

    return render_node(tree, 0)",24.862253356908727,11.983713904037705,15.683923005378581,32.30769230769231,39.473684210526315
16,python,"def get_instance_root(self, depth: int = 0) -> tuple[VSSNode, int]:
    if not isinstance(self.data, VSSDataBranch):
        raise NoInstanceRootException()

    if not self.data.is_instance:
        return self, depth

    if self.parent is None:
        raise NoInstanceRootException()

    return self.parent.get_instance_root(depth + 1)","def get_instance_root(self, depth: int = 0) -> tuple[VSSNode, int]:
    if not self.is_branch:
        raise ValueError(""Starting node is not a branch"")
    if self.parent is None:
        return self, depth
    else:
        return self.parent.get_instance_root(depth + 1)","def get_instance_root(self, depth: int = 0) -> tuple[VSSNode, int]:
    if not self.is_branch:
        raise ValueError(""Starting node is not a branch"")
    if self.parent is None:
        return self, depth
    else:
        return self.parent.get_instance_root(depth + 1)",56.24781443193558,53.19774228122346,53.63562070967674,55.00000000000001,63.1578947368421
17,python,"def count_instance_children_depth(self) -> int:
    for child in self.children:
        if isinstance(child.data, VSSDataBranch):
            if child.data.is_instance:
                return 1 + child.count_instance_children_depth()
    return 0","def count_instance_children_depth(self) -> int:
    if not self.children:
        return 0
    for child in self.children:
        if isinstance(child, VSSDataBranch) and child.is_instance:
            return 1 + count_instance_children_depth(child)
    return 0","def count_instance_children_depth(self) -> int:
    if not self.children:
        return 0
    for child in self.children:
        if isinstance(child, VSSDataBranch) and child.is_instance:
            return 1 + count_instance_children_depth(child)
    return 0",47.76287801690429,32.077142814517714,42.825300930118075,30.434782608695656,85.71428571428571
18,python,"def find_children_ids(node_ids: list[str], name: str) -> list[str]:
    ids = []
    for i in node_ids:
        if get_expected_parent(i) == name:
            ids.append(i)
    return ids","def find_children_ids(node_ids: list[str], name: str) -> list[str]:
    children_ids = []
    for node_id in node_ids:
        if node_id.split('_')[1] == name:
            children_ids.append(node_id)
    return children_ids","def find_children_ids(node_ids: list[str], name: str) -> list[str]:
    children_ids = []
    for node_id in node_ids:
        parts = node_id.split('_')
        if len(parts) > 1 and parts[1] == name:
            children_ids.append(node_id)
    return children_ids",65.24065932875062,43.03767738122004,44.591626600449125,73.33333333333333,100.0
19,python,"def getattr_nn(o: object, name: str, default: Any | None = None) -> Any:
    result = getattr(o, name, default)
    if result is None and default is not None:
        result = default
    return result","def getattr_nn(o: object, name: str, default: Any | None = None) -> Any:
    try:
        return getattr(o, name)
    except AttributeError:
        return default","def getattr_nn(o: object, name: str, default: Any | None = None) -> Any:
    try:
        value = getattr(o, name)
        if value is None:
            return default
        return value
    except AttributeError:
        return default",42.338134767853695,36.67473999422677,37.67779907718803,41.66666666666667,53.333333333333336
