id,language,reference,generated,generated_rci,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score
2,python,"def is_datatype(cls, value: Any, datatype: str) -> bool:
    t = cls.get_type(datatype)
    if t is None:
        raise DatatypesException(f""Unsupported datatype: {datatype}"")
    return t[1](value)","from typing import Any

def is_datatype(cls, value: Any, datatype: str) -> bool:
    if datatype == ""int"":
        return isinstance(value, int)
    elif datatype == ""float"":
        return isinstance(value, float)
    elif datatype == ""str"":
        return isinstance(value, str)
    elif datatype == ""bool"":
        return isinstance(value, bool)
    elif datatype == ""list"":
        return isinstance(value, list)
    elif datatype == ""tuple"":
        return isinstance(value, tuple)
    elif datatype == ""dict"":
        return isinstance(value, dict)
    elif datatype == ""set"":
        return isinstance(value, set)
    else:
        return False","from typing import Any

def is_datatype(cls, value: Any, datatype: str) -> bool:
    if datatype == ""int"":
        return isinstance(value, int)
    elif datatype == ""float"":
        return isinstance(value, float)
    elif datatype == ""str"":
        return isinstance(value, str)
    elif datatype == ""bool"":
        return isinstance(value, bool)
    elif datatype == ""list"":
        return isinstance(value, list)
    elif datatype == ""tuple"":
        return isinstance(value, tuple)
    elif datatype == ""dict"":
        return isinstance(value, dict)
    elif datatype == ""set"":
        return isinstance(value, set)
    else:
        return False",37.1611529750151,9.74150876536819,35.826180057769115,23.076923076923077,80.0
3,python,"def is_xintx(value: Any, signed: bool, bits: int):
    values = [value]
    if isinstance(value, list):
        values = value

    for v in values:
        if not isinstance(v, int):
            return False
        if not signed and v < 0:
            return False
        max = 2**bits - 1
        min = 0
        if signed:
            max = 2 ** (bits - 1) - 1
            min = -(2 ** (bits - 1))
        if not (v <= max and v >= min):
            return False
    return True","from typing import Any

def is_xintx(value: Any, signed: bool, bits: int):
    if isinstance(value, list):
        return all(is_xintx(v, signed, bits) for v in value)
    if isinstance(value, int):
        if signed:
            return -2**(bits - 1) <= value < 2**(bits - 1)
        else:
            return 0 <= value < 2**bits
    return False","from typing import Any

def is_xintx(value: Any, signed: bool, bits: int):
    if isinstance(value, list):
        return all(is_xintx(v, signed, bits) for v in value)
    if isinstance(value, int):
        if signed:
            return -2**(bits - 1) <= value < 2**(bits - 1)
        else:
            return 0 <= value < 2**bits
    return False",24.573236563619353,12.502003821380308,14.619771261925921,33.33333333333333,37.83783783783784
4,python,"def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
        for t in cls.types:
            if datatype == t[0]:
                return t
        return None","def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
    for type_name, type_func, type_args in cls.__dict__.get(""_types"", []):
        if type_name == datatype:
            return type_name, type_func, type_args
    return None","def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
    for type_name, type_func, type_args in cls.__dict__.get(""_types"", []):
        if type_name == datatype:
            return type_name, type_func, type_args
    return None",58.1606984531609,42.283549307345275,54.669008815062604,62.96296296296296,72.72727272727273
5,python,"def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    if not fqn:
        return {}
    fqn_namespaced_datatypes = {}
    for t in dynamic_datatypes:
        if fqn.startswith(t):
            continue

        if fqn.startswith(""."".join(t.split(""."")[:-1])):
            fqn_namespaced_datatypes[(t.split(""."")[-1])] = t

    if fqn_namespaced_datatypes:
        log.debug(f""Namespaced datatypes, {fqn=}, {fqn_namespaced_datatypes=}"")
    return fqn_namespaced_datatypes","```python
def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    """"""Finds all datatypes within the current namespace and any parent namespaces of a given FQN""""""
    if fqn is None:
        fqn = get_fqn()
    fqn_parts = fqn.split(""."")
    fqn_parts.pop()
    fqn_parts.reverse()
    fqn_parts.pop()
    fqn_parts.reverse()
    fqn_parts_str = ""."".join(fqn_parts)
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_","```python
def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    """"""Finds all datatypes within the current namespace and any parent namespaces of a given FQN""""""
    if fqn is None:
        fqn = get_fqn()
    fqn_parts = fqn.split(""."")
    fqn_parts.pop()
    fqn_parts.reverse()
    fqn_parts.pop()
    fqn_parts.reverse()
    fqn_parts_str = ""."".join(fqn_parts)
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_parts_str.replace(""::"", ""."")
    fqn_parts_str = fqn_",26.423669566681298,5.339531187008065,23.676906338976373,35.9375,40.74074074074074
7,python,"def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    is_array = False
    apigear_type = None
    if t.endswith(""[]""):
        is_array = True
        t = t[0:-2]

    if t in [""int8"", ""int16"", ""int32"", ""uint8"", ""uint16"", ""uint32""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT32.value)
    elif t in [""int64"", ""uint64""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT64.value)
    elif t == ""float"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT32.value)
    elif t == ""double"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT64.value)
    elif t == ""boolean"":
        apigear_type = ApiGearType(ApiGearBasicType.BOOL.value)
    elif t == ""string"":
        apigear_type = ApiGearType(ApiGearBasicType.STRING.value)
    else:
        apigear_type = ApiGearType(t.replace(""."", ""_""))

    if is_array and apigear_type is not None:
        apigear_type.is_array = True

    return apigear_type","import typing
from dataclasses import dataclass, field
from enum import Enum

class ApiGearType(Enum):
    STRING = ""string""
    INTEGER = ""integer""
    FLOAT = ""float""
    BOOLEAN = ""boolean""
    ARRAY = ""array""
    OBJECT = ""object""
    ANY = ""any""

@dataclass(frozen=True)
class ApiGearType:
    type: str
    items: typing.Optional[ApiGearType] = field(default=None)
    properties: typing.Optional[typing.Dict[str, ApiGearType]] = field(default=None)

def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    if t == ""string"":
        return ApiGearType.STRING
    elif t == ""integer"":
        return ApiGearType.INTEGER
    elif t == ""float"":
        return ApiGearType.FLOAT
    elif t == ""boolean"":
        return ApiGearType.BOOLEAN
    elif t == ""array"":
        return ApiGearType.ARRAY
    elif t == ""object"":
        return ApiGearType.OBJECT
    elif t == ""any"":
        return ApiGearType.ANY
    else:
        return None","import typing
from dataclasses import dataclass, field
from enum import Enum

class ApiGearType(Enum):
    STRING = ""string""
    INTEGER = ""integer""
    FLOAT = ""float""
    BOOLEAN = ""boolean""
    ARRAY = ""array""
    OBJECT = ""object""
    ANY = ""any""

@dataclass(frozen=True)
class ApiGearType:
    type: str
    items: typing.Optional[ApiGearType] = field(default=None)
    properties: typing.Optional[typing.Dict[str, ApiGearType]] = field(default=None)

def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    if t == ""string"":
        return ApiGearType.STRING
    elif t == ""integer"":
        return ApiGearType.INTEGER
    elif t == ""float"":
        return ApiGearType.FLOAT
    elif t == ""boolean"":
        return ApiGearType.BOOLEAN
    elif t == ""array"":
        return ApiGearType.ARRAY
    elif t == ""object"":
        return ApiGearType.OBJECT
    elif t == ""any"":
        return ApiGearType.ANY
    else:
        return None",20.373405490956976,13.052073090099817,15.402233626375688,30.08849557522124,22.950819672131146
8,python,"def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    apigear_type = get_apigear_datatype(datatype)
    data = node.get_vss_data()

    if apigear_type is None:
        log.warning(f""Datatype {datatype} of node {node.name} currently not supported"")
        return None

    property = ApiGearProperty(apigear_type)
    if data.description != """":
        property.description = data.description
    return property","```python
def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    """"""Generates an ApiGear property from a VSS (Vehicle Signal Specification) node""""""
    if node.type == ""SIGNAL"":
        return ApiGearProperty(
            name=node.name,
            datatype=datatype,
            bit_length=node.bit_length,
            is_array=node.is_array,
            is_multidimensional=node.is_multidimensional,
            is_signed=node.is_signed,
            is_little_endian=node.is_little_endian,
            is_unsigned=node.is_unsigned,
            is_constant=node.is_constant,
            is_volatile=node.is_volatile,
            is_static=node.is_static,
            is_external=node.is_external,
            is_internal=node.is_internal,
            is_constant_value_known=node.is_constant_value_known,
            is_constant_value_valid=node.is_constant_value_valid,
            is_constant_value_valid_range=node.is_constant_value_valid_range,
            is_constant_value_valid_range_min=node.is_constant_value_valid_range_min,
            is_constant_value_valid_range_max=node.is_constant_value_valid_range_max,
            is_constant_value_valid_range_min_inclusive=node.is_constant_value_valid_range_min_inclusive,
            is_constant_value_valid_range_max_inclusive=node.is_constant_value_valid_range_max_inclusive,
            is_constant_value_valid_range_min_exclusive=node.is_constant_value_valid_range_min_exclusive,
            is_constant_value_valid_range_max_exclusive=node.is_constant_value_valid_range_max_exclusive,
            is_constant_value_valid_range_min_exclusive_min=node.is_constant_value_valid_range_min_exclusive_min,
            is_constant_value_valid_range_min_exclusive_max=node.is_constant_value_valid_range_min_exclusive_max,
            is_constant_value_valid_range_max_exclusive_min=node.is_constant_value_valid_range_max_exclusive_min,
            is_constant_value_valid_range_max_exclusive_max=node.is_constant_value_valid_range_max_exclusive_max,
            is_constant_value_valid_range_min_inclusive_min=node.is_constant_value_valid_range_min_inclusive_min,
            is_constant_value_valid_range_min_inclusive_max=node.is_constant_value_valid_range_min_inclusive_max,
            is_constant_value_valid_range_max_inclusive_min=node.is_constant_value_valid_range_max_inclusive_min,
            is_constant_value_valid_range_max_inclusive_max=node.is_constant_value_valid_range_max_inclusive_max,
            is_constant_value_valid_range_min_exclusive_min_inclusive=node.is_constant_value_valid_range_min_exclusive_min_inclusive,
            is_constant_value_valid_","```python
def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    """"""Generates an ApiGear property from a VSS (Vehicle Signal Specification) node""""""
    if node.type == ""SIGNAL"":
        return ApiGearProperty(
            name=node.name,
            datatype=datatype,
            bit_length=node.bit_length,
            is_array=node.is_array,
            is_multidimensional=node.is_multidimensional,
            is_signed=node.is_signed,
            is_little_endian=node.is_little_endian,
            is_unsigned=node.is_unsigned,
            is_constant=node.is_constant,
            is_volatile=node.is_volatile,
            is_static=node.is_static,
            is_external=node.is_external,
            is_internal=node.is_internal,
            is_constant_value_known=node.is_constant_value_known,
            is_constant_value_valid=node.is_constant_value_valid,
            is_constant_value_valid_range=node.is_constant_value_valid_range,
            is_constant_value_valid_range_min=node.is_constant_value_valid_range_min,
            is_constant_value_valid_range_max=node.is_constant_value_valid_range_max,
            is_constant_value_valid_range_min_inclusive=node.is_constant_value_valid_range_min_inclusive,
            is_constant_value_valid_range_max_inclusive=node.is_constant_value_valid_range_max_inclusive,
            is_constant_value_valid_range_min_exclusive=node.is_constant_value_valid_range_min_exclusive,
            is_constant_value_valid_range_max_exclusive=node.is_constant_value_valid_range_max_exclusive,
            is_constant_value_valid_range_min_exclusive_min=node.is_constant_value_valid_range_min_exclusive_min,
            is_constant_value_valid_range_min_exclusive_max=node.is_constant_value_valid_range_min_exclusive_max,
            is_constant_value_valid_range_max_exclusive_min=node.is_constant_value_valid_range_max_exclusive_min,
            is_constant_value_valid_range_max_exclusive_max=node.is_constant_value_valid_range_max_exclusive_max,
            is_constant_value_valid_range_min_inclusive_min=node.is_constant_value_valid_range_min_inclusive_min,
            is_constant_value_valid_range_min_inclusive_max=node.is_constant_value_valid_range_min_inclusive_max,
            is_constant_value_valid_range_max_inclusive_min=node.is_constant_value_valid_range_max_inclusive_min,
            is_constant_value_valid_range_max_inclusive_max=node.is_constant_value_valid_range_max_inclusive_max,
            is_constant_value_valid_range_min_exclusive_min_inclusive=node.is_constant_value_valid_range_min_exclusive_min_inclusive,
            is_constant_value_valid_",32.68724097707548,13.860995064642365,20.77685773254845,31.11111111111111,65.0
10,python,"def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    spec = None
    vspecs: list[VSpec] = []
    for s in specs:
        includes = [s.parent] + include_dirs
        vspecs.extend(get_vspecs(includes, s))
    pre = ""VSpecs""
    if identifier:
        pre += f"" ({identifier})""
    log.info(f""{pre} loaded, amount={len(vspecs)}"")
    for vspec in vspecs:
        log.debug(vspec)
        if spec is None:
            spec = vspec
        else:
            spec.update(vspec)
    if not spec:
        msg = f""Weird behavior. Could not load any spec: {specs}""
        log.error(msg)
        raise SpecException(msg)
    return spec","from pathlib import Path
from vspec.vspec import VSpec
from vspec.vspec_loader import VSpecLoader


def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    loader = VSpecLoader(include_dirs)
    vspec = VSpec(identifier)
    for spec in specs:
        vspec.load(spec, loader)
    return vspec","from pathlib import Path
from vspec.vspec import VSpec
from vspec.vspec_loader import VSpecLoader


def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    loader = VSpecLoader(include_dirs)
    vspec = VSpec(identifier)
    for spec in specs:
        vspec.load(spec, loader)
    return vspec",25.710600759763135,14.116088041937648,18.39039768445339,37.77777777777778,32.55813953488372
11,python,"def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for key, value in update.items():
        if isinstance(value, dict):
            if key in base and isinstance(base[key], dict):
                deep_update(base[key], value)
            else:
                base[key] = value
        else:
            base[key] = value","from typing import Any

def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for k, v in update.items():
        if isinstance(v, dict):
            base[k] = deep_update(base.get(k, {}), v)
        else:
            base[k] = v","from typing import Any

def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for k, v in update.items():
        if isinstance(v, dict):
            if k not in base:
                base[k] = {}
            base[k] = deep_update(base[k], v)
        else:
            base[k] = v",53.846702795407275,30.85361475730496,35.574863090990796,77.08333333333334,71.875
12,python,"def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return v
    pattern = r""^0x[0-9A-Fa-f]{8}$""
    assert bool(re.match(pattern, v)), f""'{v}' is not a valid 'constUID'""
    return v","def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return None
    if not isinstance(v, str):
        return None
    if len(v) != 8:
        return None
    try:
        int(v, 16)
    except ValueError:
        return None
    return v","def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return None
    if not isinstance(v, str):
        return None
    if len(v) != 8:
        return None
    try:
        int(v, 16)
    except ValueError:
        return None
    return v",50.55735832975432,40.37469867061998,51.8547346483973,40.0,70.0
13,python,"def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    model = VSSRaw(fqn=fqn, **data)
    try:
        model = resolve_vss_raw(model)
    except (ValidationError, ModelException):
        log.debug(f""'{fqn}', incomplete, initialized as '{model.__class__.__name__}'"")
        return model
    return model","from typing import Any

from vss.raw_model import VSSRaw


def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    return VSSRaw(data, fqn)","from typing import Any

from vss.raw_model import VSSRaw


def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    return VSSRaw(data, fqn)",36.7365584401092,28.874252485219507,30.57198127521727,27.500000000000004,60.0
