id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,Checks if a value matches a specified datatype”,Checks if a value is of a specified datatype”,14.166675290415533,60.0,22.22222222222222,50.0,82.70342350006104
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,Checks if a value or list of values is a signed or unsigned integer within a specified bit range”,Checks if a value or list of values is a signed or unsigned integer within a specified bit range”,52.891281824158646,73.68421052631578,61.111111111111114,73.68421052631578,86.01710796356201
4,python,Looks up a type definition tuple by its string name from a list of types,Retrieves a type definition from a list of types based on a given datatype string”,Retrieves a type definition from a list of types based on a given datatype string”,32.90385879986622,60.0,42.857142857142854,53.333333333333336,76.91945433616638
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,Identifies and returns a dictionary of namespaced datatypes that match a given fully qualified name prefix”,"Identifies and returns a dictionary of namespaced datatypes that match a given fully qualified name prefix, or an empty dictionary if no match is found”",6.150343144231885,32.25806451612903,6.89655172413793,25.80645161290323,63.461196422576904
7,python,Converts a string-based data type definition into an ApiGearType object,"Converts a string representation of a data type to an ApiGearType object, handling basic types and arrays”","Converts a string representation of a data type to an ApiGearType object, handling basic types and arrays”",11.750296943620288,57.14285714285714,38.46153846153847,57.14285714285714,82.29679465293884
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,Generates an ApiGearProperty object from a VSS node and its datatype”,"Creates an ApiGearProperty object from a VSS node and its datatype, including its description if available”",15.307938151800226,54.54545454545454,30.0,54.54545454545454,74.31823015213013
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,Loads and merges multiple VSpec files and their include dependencies into a single VSpec object”,Loads and merges multiple VSpec files and their include dependencies into a single VSpec object”,49.2027451538551,75.86206896551724,66.66666666666666,75.86206896551724,89.48692679405212
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively merges a dictionary into another, updating nested dictionaries”","Recursively merges a dictionary into another, updating nested dictionaries”",10.753659580649467,60.0,22.222222222222225,60.0,83.16261768341064
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,"Validates that a given string matches the format of a constant UID (e.g., '0x12345678') and returns the string if valid, otherwise None”","Validates that a given string matches the format of a constant UID (e.g., '0x12345678') and returns the string if valid, otherwise raises an assertion error”",3.5198870526684183,28.57142857142857,6.060606060606061,22.857142857142854,56.625401973724365
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","Creates and resolves a VSSRaw object, handling potential validation or model errors”","Creates and resolves a VSSRaw object, returning it even if validation or model resolution fails”",3.468317761317914,22.222222222222225,0.0,22.222222222222225,71.25095725059509
14,python,Validates that a list of strings are all known datatypes,Validates that a list of strings contains only valid data types”,Validates that a list of strings contains only valid data types”,46.17366309441026,57.14285714285713,52.63157894736842,57.14285714285713,77.94185280799866
15,python,"Renders a VSS tree into a string, displaying specified attributes for each node","Generates a string representation of a VSS tree, including specified attributes for each node”","Generates a string representation of a VSS tree, including specified attributes for each node”",27.22589423069702,74.07407407407408,55.99999999999999,59.25925925925927,86.13831996917725
16,python,Finds the root of a VSS instance by recursively traversing up the parent hierarchy,Recursively traverses up the VSS tree to find the root instance node”,"Recursively traverses up the VSS tree to find the root instance node, returning the node and its depth”",8.972971553870872,53.84615384615385,16.666666666666668,23.076923076923077,78.16795110702515
