id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,"Raises an exception if the specified 'datatype' is unsupported, otherwise retrieves that type's validation function and returns the boolean result of calling it with the provided 'value'",Checks if a given value conforms to a specified datatype by retrieving the corresponding type object and applying it to the value.,Validates if a value matches a specified datatype by retrieving its type object and checking if the value is an instance of that type.,2.0736288352473013,36.00000000000001,4.166666666666666,32.0,67.84453392028809
3,python,"Validates that a given value, or each value in a list, is an integer that fits within the numerical range defined by a specified bit-width and signedness","Checks if a given integer or list of integers falls within a specified range, considering whether it is signed or unsigned and the number of bits.","Checks if a given integer or list of integers falls within a specified range, considering whether it is signed or unsigned and the number of bits.",4.893296535965433,44.44444444444445,7.692307692307692,29.629629629629633,77.62070894241333
4,python,"Returns the type definition tuple from a class-level list of types that matches the provided 'datatype' name, or returns None if no match is found","Retrieves a type definition (name, constructor, and allowed values) from a class's types attribute based on a given datatype string, or returns None if no match is found.","Retrieves a type definition (name, constructor, and allowed values) from a class's `types` attribute based on a given datatype string, or returns None if no match is found.",28.0903516770926,58.18181818181819,37.73584905660378,54.54545454545454,76.43493413925171
5,python,Returns a dictionary mapping the short name to the full FQN for all dynamic datatypes that exist in the same namespace as the provided FQN,"Identifies and returns a dictionary of namespaced datatypes that match a given fully qualified name (FQN) prefix, excluding the exact FQN itself.","Identifies and returns a dictionary of namespaced datatypes that match a given fully qualified name (FQN) prefix, excluding the exact FQN itself and any datatypes that exactly match the FQN.",4.858971931642977,38.297872340425535,13.333333333333334,29.787234042553195,68.98718476295471
7,python,"Parses a type string to create an `ApiGearType` object, mapping common primitive types to their ApiGear equivalents, sanitizing custom type names by replacing dots with underscores, and setting an array flag based on a ""[]"" suffix","Converts a string representation of a data type (e.g., 'int32', 'string', 'double[]') to an ApiGearType object, handling basic types, floating-point types, booleans, strings, and arrays.","Converts a string representation of a data type (e.g., 'int32', 'string', 'double[]') to an ApiGearType object, handling basic types, floating-point types, booleans, strings, and arrays, while also replacing '.' with '_' in the type name.",3.6271081543387558,32.25806451612903,6.666666666666667,29.03225806451613,63.36418390274048
8,python,"Creates an `ApiGearProperty` by converting the VSS node's datatype to a supported ApiGear type and copying its description, returning `None` and logging a warning if the datatype is not supported","Generates an `ApiGearProperty` object from a `VSSNode` and a specified datatype, populating its type and description if available.","Generates an `ApiGearProperty` object from a `VSSNode` and a specified datatype, populating its type and description if available, or returning `None` if the datatype is unsupported.",10.007672733331644,44.89795918367347,8.51063829787234,28.57142857142857,68.90816688537598
10,python,"Loads and parses multiple VSpec files from specified paths, using a list of include directories, then merges them into a single composite VSpec object and returns it, raising an exception if no files are successfully loaded","Loads and merges multiple VSpec files from specified paths, optionally applying an identifier, and returns a single combined VSpec object after logging the process and handling potential errors.","Loads and merges multiple VSpec files from specified paths, optionally applying an identifier, and returns a single combined VSpec object after logging the process and raising an exception if no specs are loaded.",20.299712418943034,50.0,29.03225806451613,40.62500000000001,76.864093542099
11,python,"Recursively updates a 'base' dictionary with an 'update' dictionary, merging nested dictionaries for common keys and overwriting or adding all other key-value pairs","Recursively updates a dictionary by merging the contents of another dictionary, handling nested dictionaries by recursively calling itself to update nested structures.","Recursively updates a dictionary by merging the contents of another dictionary, handling nested dictionaries by recursively calling itself to update nested structures and overwriting non-dictionary values.",9.165852474742525,39.13043478260869,13.636363636363635,30.434782608695656,65.31791090965271
12,python,"Asserts that the input value, if not None, is a valid 'constUID' formatted as an 8-digit hexadecimal string prefixed with '0x', returning the value if the check passes","Validates if a given string is a valid hexadecimal constant UID (format: 0x followed by 8 hexadecimal characters) and returns the string if valid, otherwise returns None.","Validates if a given string is a valid hexadecimal constant UID (format: 0x followed by 8 hexadecimal characters) and returns the string if valid, otherwise returns None.",5.7912023191300195,39.285714285714285,7.407407407407408,28.57142857142857,73.24125170707703
13,python,"Initializes a VSSRaw model and attempts to resolve it, returning the successfully resolved model or the original unresolved model if resolution fails due to a validation or model error","Creates a VSSRaw object from input data, attempts to resolve it using `resolve_vss_raw`, and returns the resolved object or the original if resolution fails.","Creates a VSSRaw object from input data, attempts to resolve it using `resolve_vss_raw`, and returns the resolved object or the original if resolution fails, logging a debug message in case of failure.",15.110567441923346,54.54545454545454,30.188679245283023,50.90909090909091,75.83273649215698
14,python,"Asserts that each string in the input list is a valid datatype by checking against a master list, returning the original list if all values are valid","Validates a list of datatypes against a predefined set of allowed datatypes, raising an assertion error if any invalid datatypes are found.","Validates a list of datatypes against a predefined set of allowed datatypes, raising an assertion error if any invalid datatypes are found and returning the validated list.",3.6431272114063575,24.489795918367346,4.25531914893617,20.408163265306122,66.2443995475769
15,python,"Traverses a VSSNode tree to generate a formatted string, displaying each node's name followed by the values of any specified attributes found on it","Generates a string representation of a VSSNode tree structure, including specified attributes, by traversing the tree and formatting each node's name and attribute values into a hierarchical string format.","Generates a string representation of a VSSNode tree structure, including specified attributes, by traversing the tree and formatting each node's name and attribute values into a hierarchical string format.",9.65511797283228,54.54545454545454,22.641509433962266,29.09090909090909,78.70180606842041
16,python,"Recursively traverses up the parent hierarchy to find and return the first non-instance ancestor node and the traversal depth, raising an exception if the starting node is not a branch or if no root is found","Recursively traverses up the tree to find the root node of an instance, returning the root node and its depth from the current node.","Recursively traverses up the tree to find the root node of an instance, raising an exception if no instance root exists and returning the root node and its depth from the current node.",9.518684099700154,52.459016393442624,16.94915254237288,42.62295081967213,71.37560248374939
17,python,Recursively calculates the depth of the first-found branch of children where each node is a `VSSDataBranch` with its `is_instance` flag set,Recursively counts the depth of instance children within a VSSDataBranch tree structure by traversing the children and incrementing the count if an instance child is found.,Recursively counts the depth of instance children within a VSSDataBranch tree structure by traversing the children and incrementing the count if an instance child is found.,6.980361417366381,44.89795918367348,12.76595744680851,32.6530612244898,68.5701310634613
18,python,Returns a list of node IDs from an input list whose expected parent's name matches the provided `name`,Identifies child node IDs within a list by filtering for those whose expected parent matches a specified name.,Identifies child node IDs within a list by filtering for those whose expected parent matches a specified name.,7.149471789396511,48.64864864864865,22.857142857142858,43.24324324324324,73.11978340148926
19,python,"Retrieves an attribute from an object, returning a specified default value if the attribute is missing or its value is `None`","Retrieves an attribute from an object, returning a default value if the attribute is not found or is None.","Retrieves an attribute from an object, returning a default value if the attribute is not found or is None.",54.935343579186565,85.00000000000001,68.42105263157895,85.00000000000001,89.94359970092773
20,python,Generates a `proto3` file from a VSS tree by first writing import statements for complex data types and then converting each branch in the tree into a corresponding protobuf message,"Generates a Protocol Buffer definition file from a VSS signal tree by recursively traversing the tree and writing message definitions for each branch node, including optional fields if specified.","Generates a Protocol Buffer definition file from a VSS signal tree by recursively traversing the tree and writing message definitions for each branch node, optionally including optional fields.",12.706992123391613,54.23728813559322,24.561403508771928,40.67796610169491,72.93321490287781
21,python,"Traverses a VSS tree to find all terminal instance branches, grouping their relative names into a dictionary where each key is the fully qualified name of the original branch they instantiate",Extracts a dictionary mapping instance root fully qualified names to lists of their child instance names by traversing the VSS tree and filtering for instance branches.,Extracts a dictionary mapping instance root fully qualified names to lists of their child instance names by traversing the VSS tree and filtering for instance branches with no further instance children.,5.208124344106905,45.614035087719294,14.545454545454545,21.052631578947366,68.86371970176697
22,python,Checks if a given VSSNode is a leaf by verifying its 'data' attribute is an instance of VSSDataDatatype,Checks if a given VSSNode is a leaf node by verifying if its data attribute is an instance of the VSSDataDatatype class.,Determines if a VSSNode is a leaf node by checking if its data attribute is an instance of the VSSDataDatatype class.,49.58984232412301,90.0,73.68421052631578,90.0,91.32847189903259
23,python,Returns `True` if the given `VSSNode`'s data is a `VSSDataBranch` and its `is_instance` attribute is `False`,Checks if a VSSNode represents a branch with a non-instance VSSDataBranch data type.,Checks if a VSSNode represents a branch with a non-instance VSSDataBranch data type.,1.4545232292184198,37.5,0.0,25.0,67.96552538871765
24,python,Returns True if the node's data is a VSSDataBranch and its 'is_instance' attribute is True,Checks if a VSSNode represents an instance of a VSSDataBranch by verifying if its data attribute is a VSSDataBranch and if that branch's is_instance attribute is True.,Determines if a VSSNode represents an instance of a VSSDataBranch by checking if its data attribute is a VSSDataBranch and if that branch's is_instance attribute is True.,12.58521745707327,56.52173913043479,31.818181818181817,47.82608695652174,72.69054055213928
25,python,"Calculates a 32-bit FNV-1 hash for a given byte string by iterating through each byte, multiplying the current hash by the FNV prime, and then performing a bitwise XOR with the byte",Calculates a 32-bit FNV-1a hash value for a given byte string by iteratively multiplying the hash by a prime and XORing it with each byte of the input.,"Calculates a 32-bit FNV-1a hash value for a given byte string by iteratively multiplying the hash by a prime and XORing it with each byte of the input, ensuring the result remains within 32 bits.",28.621147384590124,71.875,41.935483870967744,62.5,83.39585661888123
28,java,"Inflates the `card_fragment` layout, finds and assigns the card's title and icon views, and returns the resulting root view","Inflates a layout for a card-like fragment, retrieving references to its title and icon views.","Inflates a layout for a card-like fragment, retrieving references to its title and icon views to be used for displaying card data.",10.635046321006934,43.24324324324324,17.142857142857142,37.83783783783783,72.72531986236572
29,java,"Updates an `ImageButton`'s icon and click listener from a content object and makes it visible, or hides the button if the content is null",Updates the visibility and content of an ImageButton based on the presence and properties of a DescriptiveTextWithControlsView.Control object.,Updates an ImageButton's visibility and content (icon and click listener) based on whether a corresponding DescriptiveTextWithControlsView.Control object is present.,2.3140424951648724,45.45454545454545,4.761904761904763,27.27272727272727,63.489627838134766
30,java,"Lazily inflates a `ViewStub` to create a descriptive text layout, caches references to its child views (title, subtitle, image), and returns the inflated layout","Lazily initializes and returns a ViewStub-inflated layout containing descriptive text elements (title, subtitle, optional image, and tap-for-more text) for reuse.","Lazily initializes and returns a ViewStub-inflated layout containing descriptive text elements (title, subtitle, optional image, and tap-for-more text) for reuse, caching the inflated view for subsequent calls.",16.25175345331071,51.06382978723404,26.66666666666666,38.297872340425535,75.93015432357788
31,java,Updates the header view on the main UI thread by making its root view visible and setting the card's title and icon from the provided `CardHeader` object,Updates the UI elements of a card header view by setting the card title and icon within the main thread of the application.,Updates the UI elements of a card header view by setting the card title and icon on the main thread.,9.357931203171603,62.745098039215684,28.57142857142857,47.05882352941176,80.67314028739929
32,java,"Lazily inflates a `ViewStub` to create and return the text block layout view, while also finding and caching references to its child text views on the first call","Retrieves a ViewStub inflated layout for displaying text blocks, caching it for reuse and obtaining references to its child views.","Retrieves or lazily inflates a ViewStub layout for displaying text blocks, caching the inflated view and obtaining references to its child views.",9.452807342803517,45.833333333333336,17.391304347826086,37.5,72.6589024066925
33,java,"Queries the `PackageManager` for a `MediaBrowserService` within a given package and returns a `ComponentName` for the first one found, or `null` if none exist",Retrieves the default MediaBrowserService component name for a given package by querying the PackageManager for services matching the MediaBrowserService interface.,"Retrieves the default MediaBrowserService component name for a given package by querying the PackageManager for services matching the MediaBrowserService interface, returning null if no service is found.",5.5602755914164135,40.909090909090914,23.809523809523807,31.818181818181824,67.59588718414307
34,java,"Determines if a component should be added to a launchable list, returning `false` if its package is explicitly hidden or if it's a custom media component and launchable apps are also being shown, otherwise returning `true` for valid launchable or media service types","Determines whether a component should be added to the launchables list based on its package name, app type, and custom media component status.","Determines whether a component should be added to the launchables list based on its package name, app type, and whether it's a custom media component.",11.16679692853116,41.791044776119406,24.615384615384617,38.80597014925373,70.09082436561584
35,java,"Sets the car's media source to a given component in browse mode and finishes the context if it's an Activity, catching and logging a `CarNotConnectedException` if the car service is unavailable","Selects a media source and finishes the current activity, handling potential CarNotConnectedException errors.","Selects a media source and finishes the current activity, handling potential CarNotConnectedException errors and logging them.",3.8981001650406286,34.78260869565217,13.636363636363635,30.434782608695656,71.67373299598694
36,java,"Safely checks if a given activity is distraction optimized using the `CarPackageManager`, returning `false` and logging an error if the manager is null or a `CarNotConnectedException` is caught","Checks if a given activity within a specified package is optimized for distraction by querying the CarPackageManager, handling potential CarNotConnectedException.","Checks if a given activity within a specified package is optimized for distraction by querying the CarPackageManager, handling potential CarNotConnectedException and logging errors.",7.881305706064925,50.0,21.73913043478261,41.666666666666664,74.3983507156372
38,java,"Retrieves a specific, resolvable map `Intent` from a configured list if it matches the system's default map app, otherwise falls back to a generic `Intent` for any map application","Retrieves the preferred intent for launching maps, prioritizing user-defined preferences from a resource array while falling back to the default maps activity if no preferred activity is found or valid.","Retrieves the preferred intent for launching maps, prioritizing user-defined preferences from a resource array, and returning the default maps activity if no preferred activity is found or valid.",3.7563163732304425,32.78688524590164,10.169491525423728,19.672131147540984,63.36056590080261
39,java,"Lazily initializes a set of `HomeCardModule`s by reflectively instantiating class names from a configuration array, and then uses a `FragmentTransaction` to add each module's card view to the UI layout","Initializes and displays HomeCardModule fragments by dynamically creating instances of classes specified in a resource array, adding them to a set, and replacing corresponding resource IDs with their views in the fragment manager.","Initializes and displays HomeCardModule fragments by dynamically creating instances of classes specified in a resource array, adding them to a set, and replacing corresponding resource IDs with their views in the fragment manager.",4.132997453651697,33.84615384615385,3.1746031746031744,21.538461538461537,65.87439775466919
40,java,"Iterates through a list of appeared tasks and uses the `ActivityTaskManager` to remove any task that is in multi-window mode, logging it as a dangling task",Removes dangling tasks with multi-window mode from the ActivityTaskManager by iterating through a list of TaskAppearedInfo objects and removing tasks that have a windowing mode of WINDOWING_MODE_MULTI_WINDOW.,Removes dangling multi-window tasks from the ActivityTaskManager by iterating through a list of TaskAppearedInfo objects and removing tasks with a windowing mode of WINDOWING_MODE_MULTI_WINDOW.,9.831781143765888,48.275862068965516,21.428571428571427,27.586206896551722,63.777124881744385
41,java,Parses the mode from the current Intent and sets the title for both the Activity and the CarUi toolbar using the string resource ID defined in that mode,"Parses the application mode from the intent, sets the activity title, and updates the toolbar title accordingly.",Parses the application mode from the intent and updates the activity and toolbar titles based on the parsed mode.,7.8616122844937735,57.77777777777777,23.25581395348837,53.333333333333336,75.8660614490509
42,java,"Lazily initializes and returns a `Chronometer` by finding it in the layout, while also finding and caching its associated separator view on the first call","Retrieves a Chronometer view from the layout, initializing it if it's null, and returns it along with a separator view.","Retrieves a Chronometer view from the layout, initializing it if it's null, and returns it along with a separator view for display.",7.924934897376681,39.130434782608695,18.18181818181818,30.434782608695656,70.50529718399048
43,java,"Lazily inflates a media layout from a `ViewStub`, finds and caches its title and subtitle views, initializes its media playback controls bar via a presenter, and returns the inflated view","Retrieves or inflates a view containing media playback controls and title/subtitle text, initializing the controls action bar with the presenter.","Retrieves or inflates a view containing media playback controls and title/subtitle text, initializing the controls action bar with the presenter and caching the view for reuse.",5.9130527315932335,47.05882352941176,12.244897959183673,35.29411764705882,72.36902117729187
44,java,"If a valid `Drawable` and card size are provided, this method scales the image to a square based on the card's largest dimension, blurs it, and sets the resulting bitmap as the animated, visible card background","Updates the card's background image by scaling a provided drawable to a maximum dimension, blurring it, and setting it as the card's background image with a visual transition.","Updates the card's background image by scaling a provided drawable to a maximum dimension, blurring it, and setting it as the card's background image.",6.161534583240816,47.76119402985074,15.384615384615385,32.83582089552239,70.31227350234985
