id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,Checks if a value is of a specified datatype.,Validates if a value conforms to a given datatype.,15.20797122409784,57.14285714285715,21.05263157894737,47.61904761904762,85.5933666229248
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,Checks if a value or list of values are within the range of a signed or unsigned integer with a specified number of bits.,Checks if a value or list of values are within the range of a signed or unsigned integer with a specified number of bits.,31.839277688719697,55.81395348837209,39.02439024390244,55.81395348837209,85.94962954521179
4,python,Looks up a type definition tuple by its string name from a list of types,"Returns a tuple containing the type, its corresponding callable, and a list of valid values for a given datatype.","Returns a tuple containing the type, its corresponding callable, and a list of valid values for a given datatype, or None if not found.",7.946357815712818,41.17647058823529,12.5,35.294117647058826,65.33317565917969
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,Returns a dictionary of namespaced datatypes matching a given fully qualified name.,"Returns a dictionary of namespaced datatypes matching a given fully qualified name, or an empty dictionary if no match is found.",6.299392144493405,29.629629629629626,8.0,22.222222222222225,64.23771977424622
7,python,Converts a string-based data type definition into an ApiGearType object,"Converts a string representation of a data type to an ApiGearType object, handling arrays and basic types.","Converts a string representation of a data type to an ApiGearType object, handling arrays and basic types.",11.076007888812258,57.14285714285714,38.46153846153847,57.14285714285714,82.52004384994507
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,Creates an ApiGearProperty object from a VSSNode and a datatype.,"Creates an ApiGearProperty object from a VSSNode and a datatype, populating its description if available.",6.9161417925511355,28.571428571428566,10.526315789473685,28.571428571428566,77.37102508544922
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,"“Loads and merges VSpec objects from specified files and directories, logging details and raising an exception if no specs are found.”","“Loads and merges VSpec objects from specified files and directories, logging details and raising an exception if no specs are found.”",4.92467473444436,40.0,18.181818181818183,34.285714285714285,73.61874580383301
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively updates a dictionary with another dictionary, merging nested dictionaries.","Recursively updates a dictionary with another dictionary, merging nested dictionaries.",54.52469119630863,85.71428571428572,63.1578947368421,85.71428571428572,90.10640382766724
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,Validates if a given string matches the 'constUID' format (0x followed by 8 hexadecimal characters).,Validates if a given string matches the 'constUID' format (0x followed by 8 hexadecimal characters).,3.3613183938332405,37.03703703703704,0.0,29.629629629629626,67.47950315475464
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","Creates and resolves a VSSRaw object, handling potential validation or model errors.","Creates and resolves a VSSRaw object, returning it or an incomplete version if errors occur.",3.4815016528590457,22.222222222222225,0.0,22.222222222222225,71.82902097702026
14,python,Validates that a list of strings are all known datatypes,Validates that a list of datatypes are all valid datatypes.,Validates that a list of datatypes contains only valid datatypes.,41.72261448611505,80.00000000000001,55.55555555555556,80.00000000000001,78.035968542099
15,python,"Renders a VSS tree into a string, displaying specified attributes for each node",“Generates a string representation of a VSSNode tree with specified attributes.”,"“Generates a string representation of a VSSNode tree, including specified attributes.”",8.953363688807181,49.999999999999986,18.18181818181818,33.333333333333336,78.72269749641418
