id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,Check if a value is of a specified datatype”,Check if a value matches a specified datatype”,14.166675290415533,60.0,22.22222222222222,50.0,81.96966052055359
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,Check if a value or list of values is within a specified range for a given number of bits and signedness”,Check if a value or list of values is within a specified range for a given number of bits and signedness”,39.537383933343605,70.0,52.63157894736842,65.00000000000001,84.84247326850891
4,python,Looks up a type definition tuple by its string name from a list of types,Retrieve type information based on a given datatype string”,"Retrieve type information (type, callable, and list of strings) based on a given datatype string”",4.814971807094068,33.33333333333333,7.142857142857142,20.000000000000004,66.45516753196716
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,Return a dictionary of namespaced datatypes matching a given fully qualified name”,Return a dictionary of namespaced datatypes matching a given fully qualified name”,6.272848091762075,29.629629629629626,8.0,22.222222222222225,62.807416915893555
7,python,Converts a string-based data type definition into an ApiGearType object,Convert a string representation of a data type to an ApiGearType object”,Convert a string representation of a data type to an ApiGearType object”,10.127993013562818,60.86956521739131,38.0952380952381,60.86956521739131,88.53408694267273
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,Create an API Gear property from a VSS node and datatype”,Create an API Gear property from a VSS node and datatype”,21.648693746244412,54.54545454545454,30.0,54.54545454545454,68.01562309265137
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,Load and merge multiple VSpec files into a single VSpec object”,"Load and merge multiple VSpec files into a single VSpec object, logging details and raising an exception if no specs are loaded”",21.233470585998827,50.000000000000014,35.294117647058826,50.000000000000014,75.57004690170288
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively update a dictionary with another dictionary, merging nested dictionaries”","Recursively update a dictionary with another dictionary, merging nested dictionaries”",23.021036988792517,76.1904761904762,42.10526315789474,76.1904761904762,86.83115839958191
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,Validate a string as a hexadecimal constant UID”,Validate a string as a hexadecimal constant UID”,3.442409372343047,50.0,0.0,30.0,67.6843523979187
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","Create and resolve a VSSRaw object, handling potential validation or model errors”","Create and resolve a VSSRaw object, returning it or an incomplete version if errors occur”",7.3140318268287645,26.666666666666668,7.142857142857142,26.666666666666668,74.56291913986206
14,python,Validates that a list of strings are all known datatypes,Validate a list of datatypes against a predefined set of valid datatypes”,Validate a list of datatypes against a predefined set of valid datatypes”,13.545994273378144,36.36363636363636,20.0,36.36363636363636,63.85490894317627
15,python,"Renders a VSS tree into a string, displaying specified attributes for each node",Render a VSSNode tree with specified attributes as a string”,"Render a VSSNode tree to a string, including specified attributes”",12.630268049376259,52.17391304347826,19.04761904761905,52.17391304347826,80.46426177024841
16,python,Finds the root of a VSS instance by recursively traversing up the parent hierarchy,Find the root of an instance tree in a VSS data structure”,Traverse up the tree to find the root of an instance in a VSS data structure”,13.834368456410946,53.333333333333336,28.571428571428577,33.33333333333333,76.00302696228027
17,python,Counts the depth of a chain of instance branches,Recursively count the depth of instance children in a VSSDataTree”,Recursively count the depth of instance children in a VSSDataTree”,19.64073254502565,52.63157894736842,35.294117647058826,42.10526315789474,68.90067458152771
18,python,Finds all child node IDs that belong to a specific parent name,Find child node IDs given a parent node name”,Find child node IDs given a parent node name”,14.448814886766836,57.14285714285715,21.05263157894737,57.14285714285715,76.90615653991699
19,python,"Gets an attribute, returning a default value if the attribute is missing or its value is None","Safely retrieve an attribute from an object, returning a default value if it doesn't exist”","Safely retrieve an attribute from an object, returning a default value if it doesn't exist”",29.90529929255731,42.42424242424242,32.25806451612903,42.42424242424242,77.02048420906067
20,python,Generates a Protobuf schema from a Vehicle Signal Specification (VSS) tree,Generate a protobuf definition from a VSS signal tree”,Generate a protobuf definition from a VSS signal tree”,7.270717733704594,70.0,22.222222222222225,60.0,78.95304560661316
21,python,Groups all leaf VSS branch instances by the fully qualified name of their original branch definition,Collect instances of VSSDataBranch nodes and their names under their respective root nodes”,Collect instances of VSSDataBranch nodes and their names under their respective root nodes”,3.227633361592567,20.689655172413794,0.0,20.689655172413794,66.66452884674072
22,python,Determines if a VSS node is a leaf based on its data type,Check if a node is a leaf node in a VSS tree”,Check if a node is a leaf node in a VSS tree”,25.490549227474283,55.99999999999999,43.47826086956522,48.00000000000001,76.48866772651672
23,python,Checks if a VSS node is a branch that is not an instance,Check if a VSS node represents a branch with non-instance data”,Check if a VSS node represents a branch with non-instance data”,23.26303536297059,55.99999999999999,34.78260869565217,55.99999999999999,77.75136232376099
24,python,Checks if a VSS node represents a branch instance,Check if a VSS node is an instance of a VSS branch”,Check if a VSS node represents an instance of a VSS branch”,34.48444257953326,76.1904761904762,42.10526315789474,66.66666666666666,81.91809058189392
25,python,FNV-1 32-bit hashing algorithm for a byte sequence,Compute the FNV-1a 32-bit hash of a byte string”,Compute the FNV-1a 32-bit hash of a byte string”,17.542198478193427,47.61904761904761,21.05263157894737,47.61904761904761,80.65991401672363
28,java,Inflates a card fragment's layout and initializes its view components,Inflate a layout and find view elements for a card fragment”,Inflate a layout and find view elements for a card fragment”,11.208466750961147,54.54545454545454,30.0,36.36363636363637,76.43453478813171
29,java,"Sets a button's icon and click listener to make it visible, or hides it if no content is provided",Update the visibility and content of an ImageButton based on a DescriptiveTextWithControlsView object”,Update an ImageButton's visibility and content based on a DescriptiveTextWithControlsView object”,2.1763171075118732,25.0,0.0,18.749999999999996,60.90575456619263
30,java,Lazily inflates and initializes a descriptive text layout view on first access,"Retrieve a descriptive text-only layout view from a root view, caching it for reuse.”","Retrieve a descriptive text-only layout view from a root view, lazily initializing and caching it for reuse.”",5.7259987315337755,46.666666666666664,21.428571428571427,33.333333333333336,71.60630226135254
31,java,Updates and displays a card header view with a new title and icon,Updates the card header view with the provided card title and icon.”,Updates the card header view with the provided card title and icon on the main thread.”,20.105373454060025,55.172413793103445,37.03703703703704,55.172413793103445,77.0111620426178
32,java,Lazily inflates and returns a text block layout view from a ViewStub,Retrieve or inflate a text block layout view”,Retrieve or inflate a text block layout view”,20.96902555852457,50.0,44.44444444444444,50.0,74.27629232406616
33,java,Gets the media browser service component from a given package,Retrieve the media browser service component name for a given package”,Retrieve the media browser service component name for a given package”,40.35278637463989,76.1904761904762,63.1578947368421,76.1904761904762,83.8549256324768
34,java,Determines if an app component should be launchable by filtering against a hide list and de-duplicating media services,Determine if a component should be added to the launchables list based on app type and configuration”,"Determine if a component should be added to the launchables list based on app type, configuration, and custom media components”",8.461633959345022,46.15384615384615,10.81081081081081,35.8974358974359,75.56951642036438
35,java,Sets the media source and finishes the current activity,Selects a media source and finishes the activity if it is an activity”,Selects a media source and finishes the activity if it is an activity”,30.266437266858635,54.545454545454554,40.0,54.545454545454554,74.30793642997742
36,java,"Safely checks if a given activity is distraction-optimized, handling potential connection errors",Check if an activity is distraction optimized”,Check if an activity is distraction optimized”,6.168585410281235,50.0,33.33333333333333,50.0,74.30055737495422
38,java,"Retrieves a specific, configured Intent for the default maps app, falling back to a generic one",Retrieve the preferred map activity intent from resources or use the default one”,"Retrieve the preferred map activity intent, falling back to the default if none is found”",16.067667710982956,38.70967741935484,20.689655172413797,25.80645161290323,64.01869654655457
