id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,This function checks if a given value matches a specified datatype using a provided class's type checker.,This function validates if a value conforms to a specified datatype using a class's type checking mechanism.,29.28298013714698,66.66666666666667,42.857142857142854,60.0,80.26949763298035
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,"This function checks if a given value or list of values are within a specified range for a given number of bits, considering whether the value is signed or unsigned.","This function validates if a given integer value or list of integers falls within a specified range, considering whether it's signed or unsigned, and based on a given bit width.",10.513772970315914,52.000000000000014,25.0,40.0,80.80295920372009
4,python,Looks up a type definition tuple by its string name from a list of types,"This function retrieves a type definition (name, constructor, and arguments) from a class's `types` attribute based on a given datatype string.","This function retrieves a type definition (name, constructor, and arguments) from a class's `types` attribute based on a given datatype string, or returns `None` if not found.",5.24544714107019,37.2093023255814,14.634146341463417,32.55813953488372,64.5377516746521
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,This function identifies and returns a dictionary of namespaced datatypes that match a given fully qualified name (FQN) prefix.,This function identifies and returns a dictionary of namespaced datatypes whose names match a given fully qualified name (FQN) prefix.,4.334264033674369,34.285714285714285,6.0606060606060606,28.571428571428577,65.09485840797424
7,python,Converts a string-based data type definition into an ApiGearType object,"The function converts a string representation of a data type (e.g., ""int32"", ""string"", ""double[]"") into an `ApiGearType` object, handling basic types and arrays.","The function converts a string representation of a data type (e.g., ""int32"", ""string"", ""double[]"") into an `ApiGearType` object, handling basic types and arrays.",2.772484415906604,51.42857142857142,36.36363636363637,51.42857142857142,70.58906555175781
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,"This function generates an `ApiGearProperty` object from a `VSSNode` and a datatype, populating it with the node's description if available.","This function generates an `ApiGearProperty` object from a `VSSNode` and a datatype, returning `None` if the datatype is unsupported.",3.0717490052419594,26.666666666666668,14.285714285714285,26.666666666666668,63.937896490097046
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,"This function loads and merges multiple VSpec files, handling include directories and logging the process.","This function loads and merges multiple VSpec files, handling include directories and logging the process, returning a single merged VSpec object.",18.879521773374403,57.14285714285714,42.42424242424242,57.14285714285714,82.54014849662781
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively updates a dictionary with another dictionary, merging nested dictionaries.","Recursively merges a dictionary into another, updating nested dictionaries.",12.320255516768906,60.0,22.222222222222225,60.0,84.070485830307
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,"This function validates if a given string is a valid hexadecimal constant UID (e.g., ""0x12345678"") and returns the string if valid, otherwise returns None.","This function validates if a given string is a valid hexadecimal constant UID (e.g., ""0x12345678"") and returns the string if valid, otherwise raises an assertion error.",2.9000744656730446,35.8974358974359,5.405405405405405,30.769230769230766,58.38179588317871
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","This function creates and attempts to resolve a `VSSRaw` object from a dictionary, returning it even if resolution fails.","This function creates a `VSSRaw` object from a dictionary and attempts to resolve it, returning the object even if resolution fails.",14.100024578768863,38.88888888888889,23.52941176470588,33.33333333333333,77.03816890716553
14,python,Validates that a list of strings are all known datatypes,"This function validates a list of datatypes against a predefined set of valid datatypes, raising an assertion error if an invalid datatype is found.","This function validates a list of datatypes, raising an assertion error if any are invalid.",9.672649511413097,48.0,17.391304347826086,40.0,64.48770761489868
15,python,"Renders a VSS tree into a string, displaying specified attributes for each node",The function recursively traverses a tree structure and generates a string representation of the tree nodes and their specified attributes.,The function recursively traverses a tree structure and generates a string representation of each node and its specified attributes.,7.12695567709093,50.0,20.0,37.49999999999999,78.49164605140686
16,python,Finds the root of a VSS instance by recursively traversing up the parent hierarchy,"Recursively traverses up the VSS tree to find the root instance node, returning the node and its depth.",Recursively traverses up the VSS tree to find the root instance node.,8.953363688807181,53.84615384615385,16.666666666666668,23.076923076923077,80.41158318519592
17,python,Counts the depth of a chain of instance branches,Recursively counts the depth of instance children within a VSSDataBranch tree.,Recursively counts the depth of instance children within a VSSDataBranch tree.,15.851165692617155,60.0,44.44444444444445,50.0,73.50845336914062
18,python,Finds all child node IDs that belong to a specific parent name,This function identifies and returns a list of node IDs whose expected parent is a given name.,This function identifies and returns a list of node IDs that have a specified name as their expected parent.,8.475426399505569,38.70967741935484,13.793103448275861,32.25806451612903,76.09246969223022
19,python,"Gets an attribute, returning a default value if the attribute is missing or its value is None","Safely retrieves an attribute from an object, returning a default value if the attribute is missing.","Safely retrieves an attribute from an object, returning a default value if the attribute is not found.",45.98036015897535,58.82352941176471,50.0,58.82352941176471,79.91119027137756
20,python,Generates a Protobuf schema from a Vehicle Signal Specification (VSS) tree,"This function generates a protobuf definition from a VSS signal tree, including imports and message structures.","This function generates a protobuf definition from a VSS signal tree, including imports and message structures for each branch.",4.5672118332822365,53.333333333333336,21.428571428571427,46.666666666666664,71.08249068260193
21,python,Groups all leaf VSS branch instances by the fully qualified name of their original branch definition,"This function extracts and organizes instance names from a VSS tree structure, grouping them by their root instance.","This function extracts instance names from a VSS tree, grouping them by their root instance's fully qualified name.",8.475426399505569,34.285714285714285,12.12121212121212,28.57142857142857,74.8841941356659
22,python,Determines if a VSS node is a leaf based on its data type,Checks if a VSS node is a leaf node containing data.,Checks if a VSS node is a leaf node containing data.,49.05378138718246,66.66666666666667,54.54545454545454,66.66666666666667,83.26525688171387
23,python,Checks if a VSS node is a branch that is not an instance,The function checks if a VSS node represents a branch with a non-instance data type.,The function checks if a VSS node represents a branch with a non-instance data type.,18.20705281109213,55.172413793103445,37.03703703703704,55.172413793103445,81.15646839141846
24,python,Checks if a VSS node represents a branch instance,Checks if a VSS node represents an instance of a VSS branch.,Checks if a VSS node's data is an instance of a VSS branch.,20.448007360218387,69.56521739130434,38.0952380952381,60.86956521739131,83.78944396972656
