test_name,language,corpus_codebleu,corpus_ngram_match_score,corpus_weighted_ngram_match_score,corpus_syntax_match_score,corpus_dataflow_match_score
adapted_12b_extended-auto-long-three,python,38.41,26.24,30.96,44.46,51.98
adapted_12b_extended-auto-long-three,java,42.56,32.28,33.74,52.52,51.70
adapted_12b_extended-auto-long-three,cpp,37.94,19.93,20.85,53.77,57.23
adapted_12b_extended-auto-long-three,c,49.99,45.51,46.75,51.52,56.16
adapted_12b_extended-auto-long-three,average,42.22,30.99,33.07,50.57,54.27
adapted_12b_extended-auto-long-three-rci,python,38.51,25.62,31.10,44.96,52.37
adapted_12b_extended-auto-long-three-rci,java,42.90,32.47,33.87,52.40,52.83
adapted_12b_extended-auto-long-three-rci,cpp,37.57,20.21,21.10,53.27,55.69
adapted_12b_extended-auto-long-three-rci,c,49.99,45.51,46.75,51.52,56.16
adapted_12b_extended-auto-long-three-rci,average,42.24,30.95,33.21,50.54,54.27
