test_name,language,corpus_codebleu,corpus_ngram_match_score,corpus_weighted_ngram_match_score,corpus_syntax_match_score,corpus_dataflow_match_score
adapted_12b_extended-auto-long-one,average,40.52,27.18,31.30,48.71,54.88
adapted_12b_extended-auto-long-one-rci,average,40.62,27.15,31.40,48.88,55.04
adapted_12b_extended-auto-long-three,average,42.22,30.99,33.07,50.57,54.27
adapted_12b_extended-auto-long-three-rci,average,42.24,30.95,33.21,50.54,54.27
adapted_12b_extended-auto-short-one,average,35.66,22.66,28.03,43.33,48.62
adapted_12b_extended-auto-short-one-rci,average,35.64,22.40,28.10,43.39,48.66
adapted_12b_extended-auto-short-three,average,37.13,24.97,29.58,44.26,49.69
adapted_12b_extended-auto-short-three-rci,average,37.27,24.80,29.66,44.44,50.18
adapted_12b_extended-xl-long-one,average,36.17,23.76,26.47,44.67,49.78
adapted_12b_extended-xl-long-one-rci,average,36.38,23.73,26.65,44.87,50.28
adapted_12b_extended-xl-long-three,average,36.16,22.33,26.11,44.37,51.83
adapted_12b_extended-xl-long-three-rci,average,36.26,22.27,26.13,44.44,52.21
adapted_12b_extended-xl-short-one,average,31.38,19.92,23.32,38.60,43.69
adapted_12b_extended-xl-short-one-rci,average,31.47,20.17,23.34,38.58,43.79
adapted_12b_extended-xl-short-three,average,30.28,18.58,23.25,38.36,40.92
adapted_12b_extended-xl-short-three-rci,average,30.02,17.97,23.10,38.29,40.72
adapted_12b_extended-long-zero,average,36.21,22.93,25.46,44.44,52.00
adapted_12b_extended-long-zero-rci,average,36.65,23.13,25.94,44.88,52.64
adapted_12b_extended-short-zero,average,26.01,17.57,21.57,34.37,30.51
adapted_12b_extended-short-zero-rci,average,26.34,17.65,21.89,34.87,30.94
