test_name,language,corpus_codebleu,corpus_ngram_match_score,corpus_weighted_ngram_match_score,corpus_syntax_match_score,corpus_dataflow_match_score
adapted_12b_extended-xl-long-three,python,35.48,21.40,27.15,42.96,50.40
adapted_12b_extended-xl-long-three,java,39.70,27.65,28.99,46.15,56.01
adapted_12b_extended-xl-long-three,cpp,32.76,13.16,19.95,49.33,48.62
adapted_12b_extended-xl-long-three,c,36.70,27.12,28.35,39.05,52.28
adapted_12b_extended-xl-long-three,average,36.16,22.33,26.11,44.37,51.83
adapted_12b_extended-xl-long-three-rci,python,35.74,21.21,27.22,43.16,51.38
adapted_12b_extended-xl-long-three-rci,java,39.70,27.65,28.99,46.15,56.01
adapted_12b_extended-xl-long-three-rci,cpp,32.86,13.12,19.97,49.41,48.92
adapted_12b_extended-xl-long-three-rci,c,36.76,27.12,28.35,39.05,52.51
adapted_12b_extended-xl-long-three-rci,average,36.26,22.27,26.13,44.44,52.21
