test_name,language,corpus_codebleu,corpus_ngram_match_score,corpus_weighted_ngram_match_score,corpus_syntax_match_score,corpus_dataflow_match_score
adapted_12b_extended-xl-short-one,python,32.70,18.15,26.63,40.56,45.45
adapted_12b_extended-xl-short-one,java,29.34,21.57,24.37,34.01,37.41
adapted_12b_extended-xl-short-one,cpp,33.39,18.84,19.83,47.49,47.38
adapted_12b_extended-xl-short-one,c,30.10,21.11,22.43,32.35,44.52
adapted_12b_extended-xl-short-one,average,31.38,19.92,23.32,38.60,43.69
adapted_12b_extended-xl-short-one-rci,python,32.98,18.02,26.80,40.66,46.44
adapted_12b_extended-xl-short-one-rci,java,29.61,22.69,24.28,34.50,36.96
adapted_12b_extended-xl-short-one-rci,cpp,32.95,18.82,19.82,46.40,46.77
adapted_12b_extended-xl-short-one-rci,c,30.32,21.12,22.44,32.76,44.98
adapted_12b_extended-xl-short-one-rci,average,31.47,20.17,23.34,38.58,43.79
