test_name,bleu_score,corpus_rouge1,corpus_rouge2,corpus_rougeL,corpus_bertscore_f1
adapted_12b_extended-auto-long-one,20.46,53.31,26.61,43.15,74.42
adapted_12b_extended-auto-long-one-rci,20.07,54.20,27.42,43.86,74.73
adapted_12b_extended-auto-long-three,19.19,52.03,24.90,41.78,73.46
adapted_12b_extended-auto-long-three-rci,19.63,52.17,25.71,42.36,73.62
adapted_12b_extended-auto-short-one,14.25,51.45,25.89,44.33,76.35
adapted_12b_extended-auto-short-one-rci,13.32,49.70,25.08,42.76,75.62
adapted_12b_extended-auto-short-three,15.10,51.72,27.80,45.20,74.92
adapted_12b_extended-auto-short-three-rci,13.87,49.50,25.84,43.27,74.77
adapted_12b_extended-xl-long-one,10.66,48.33,19.72,37.66,72.35
adapted_12b_extended-xl-long-one-rci,11.10,49.02,19.42,37.54,72.37
adapted_12b_extended-xl-long-three,10.84,47.77,19.22,37.36,71.36
adapted_12b_extended-xl-long-three-rci,11.58,48.90,19.99,38.03,71.86
adapted_12b_extended-xl-short-one,12.62,48.21,21.85,41.09,76.00
adapted_12b_extended-xl-short-one-rci,12.28,47.53,21.63,40.74,75.71
adapted_12b_extended-xl-short-three,11.88,42.76,19.30,37.76,73.82
adapted_12b_extended-xl-short-three-rci,12.75,42.92,19.39,37.51,73.97
adapted_12b_extended-long-zero,12.93,47.38,20.14,37.82,72.16
adapted_12b_extended-long-zero-rci,12.96,47.40,19.57,37.30,72.14
adapted_12b_extended-short-zero,8.91,44.22,19.84,38.75,73.65
adapted_12b_extended-short-zero-rci,8.97,44.74,20.11,38.86,73.71
