id,language,reference,generated,generated_rci,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score
2,python,"def is_datatype(cls, value: Any, datatype: str) -> bool:
    t = cls.get_type(datatype)
    if t is None:
        raise DatatypesException(f""Unsupported datatype: {datatype}"")
    return t[1](value)","def is_datatype(cls, value: Any, datatype: str) -> bool:
    if datatype not in cls.datatypes:
        raise DatatypesException(f""Unsupported datatype: '{datatype}'"")
    return cls.datatypes[datatype](value)","def is_datatype(cls, value: Any, datatype: str) -> bool:
    if datatype not in cls.datatypes:
        raise DatatypesException(f""Unsupported datatype: '{datatype}'"")
    return cls.datatypes[datatype](value)",48.04335482846044,41.22868806605697,42.48319278624633,38.46153846153847,70.0
3,python,"def is_xintx(value: Any, signed: bool, bits: int):
    values = [value]
    if isinstance(value, list):
        values = value

    for v in values:
        if not isinstance(v, int):
            return False
        if not signed and v < 0:
            return False
        max = 2**bits - 1
        min = 0
        if signed:
            max = 2 ** (bits - 1) - 1
            min = -(2 ** (bits - 1))
        if not (v <= max and v >= min):
            return False
    return True","def is_xintx(value: Any, signed: bool, bits: int):
    if isinstance(value, list):
        for item in value:
            if not is_xintx(item, signed, bits):
                return False
        return True
    elif isinstance(value, int):
        if signed:
            if value < -(2 ** (bits - 1)) or value > 2 ** (bits - 1) - 1:
                return False
        else:
            if value < 0 or value > 2 ** bits - 1:
                return False
        return True
    else:
        return False","def is_xintx(value: Any, signed: bool, bits: int):
    if isinstance(value, list):
        for item in value:
            if not is_xintx(item, signed, bits):
                return False
        return True
    elif isinstance(value, int):
        if signed:
            if value < -(2 ** (bits - 1)) or value > 2 ** (bits - 1) - 1:
                return False
        else:
            if value < 0 or value > 2 ** bits - 1:
                return False
        return True
    else:
        return False",33.9577968787164,27.152360715037567,28.627346748348,47.61904761904761,32.432432432432435
4,python,"def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
        for t in cls.types:
            if datatype == t[0]:
                return t
        return None","def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
    for type_def in cls.types:
        if type_def[0] == datatype:
            return type_def
    return None","def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
    for type_def in cls.types:
        if type_def[0] == datatype:
            return type_def
    return None",72.51558048642302,57.14392512385289,58.84432274776513,74.07407407407408,100.0
5,python,"def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    if not fqn:
        return {}
    fqn_namespaced_datatypes = {}
    for t in dynamic_datatypes:
        if fqn.startswith(t):
            continue

        if fqn.startswith(""."".join(t.split(""."")[:-1])):
            fqn_namespaced_datatypes[(t.split(""."")[-1])] = t

    if fqn_namespaced_datatypes:
        log.debug(f""Namespaced datatypes, {fqn=}, {fqn_namespaced_datatypes=}"")
    return fqn_namespaced_datatypes","def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    if fqn is None:
        return {}

    fqn_parts = fqn.split(""."")
    namespace = ""."".join(fqn_parts[:-1])
    datatype_names = [
        datatype.name for datatype in get_datatypes_by_fqn(namespace)
    ]
    return {
        datatype_name: datatype.get_fqn() for datatype_name in datatype_names
    }","def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    if fqn is None:
        return {}

    fqn_parts = fqn.split(""."")
    namespace = ""."".join(fqn_parts[:-1])
    datatype_names = [
        datatype.name for datatype in get_datatypes_by_fqn(namespace)
    ]
    return {
        datatype_name: datatype.get_fqn()
        for datatype_name in datatype_names
    }",34.86918836609996,28.393696896258657,30.874723234807856,46.875,33.33333333333333
7,python,"def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    is_array = False
    apigear_type = None
    if t.endswith(""[]""):
        is_array = True
        t = t[0:-2]

    if t in [""int8"", ""int16"", ""int32"", ""uint8"", ""uint16"", ""uint32""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT32.value)
    elif t in [""int64"", ""uint64""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT64.value)
    elif t == ""float"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT32.value)
    elif t == ""double"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT64.value)
    elif t == ""boolean"":
        apigear_type = ApiGearType(ApiGearBasicType.BOOL.value)
    elif t == ""string"":
        apigear_type = ApiGearType(ApiGearBasicType.STRING.value)
    else:
        apigear_type = ApiGearType(t.replace(""."", ""_""))

    if is_array and apigear_type is not None:
        apigear_type.is_array = True

    return apigear_type","def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    if t == ""string"":
        return ApiGearType(t, ""string"")
    elif t == ""integer"":
        return ApiGearType(t, ""integer"")
    elif t == ""boolean"":
        return ApiGearType(t, ""boolean"")
    elif t == ""float"":
        return ApiGearType(t, ""float"")
    elif t == ""date"":
        return ApiGearType(t, ""date"")
    elif t == ""datetime"":
        return ApiGearType(t, ""datetime"")
    elif t == ""time"":
        return ApiGearType(t, ""time"")
    elif t == ""array"":
        return ApiGearType(t, ""array"")
    elif t == ""object"":
        return ApiGearType(t, ""object"")
    elif t == ""enum"":
        return ApiGearType(t, ""enum"")
    elif t == ""any"":
        return ApiGearType(t, ""any"")
    elif t == ""null"":
        return ApiGearType(t, ""null"")
    elif t.endswith(""[]""):
        return ApiGearType(t[:-2], ""array"")
    elif ""."" in t:
        return ApiGearType(t.replace(""."", ""_""), ""object"")
    else:
        return ApiGearType(t, ""string"")","def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    if t == ""string"":
        return ApiGearType(t, ""string"")
    elif t == ""integer"":
        return ApiGearType(t, ""integer"")
    elif t == ""boolean"":
        return ApiGearType(t, ""boolean"")
    elif t == ""float"":
        return ApiGearType(t, ""float"")
    elif t == ""date"":
        return ApiGearType(t, ""date"")
    elif t == ""datetime"":
        return ApiGearType(t, ""datetime"")
    elif t == ""time"":
        return ApiGearType(t, ""time"")
    elif t == ""array"":
        return ApiGearType(t, ""array"")
    elif t == ""object"":
        return ApiGearType(t, ""object"")
    elif t == ""enum"":
        return ApiGearType(t, ""enum"")
    elif t == ""any"":
        return ApiGearType(t, ""any"")
    elif t == ""null"":
        return ApiGearType(t, ""null"")
    elif t.endswith(""[]""):
        return ApiGearType(t[:-2], ""array"")
    elif ""."" in t:
        return ApiGearType(t.replace(""."", ""_""), ""object"")
    else:
        return ApiGearType(t, ""string"")",22.619376371903485,11.437105040600228,15.018929389419048,34.51327433628318,29.508196721311474
8,python,"def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    apigear_type = get_apigear_datatype(datatype)
    data = node.get_vss_data()

    if apigear_type is None:
        log.warning(f""Datatype {datatype} of node {node.name} currently not supported"")
        return None

    property = ApiGearProperty(apigear_type)
    if data.description != """":
        property.description = data.description
    return property","def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    if datatype == ""string"":
        api_gear_type = ""string""
    elif datatype == ""integer"":
        api_gear_type = ""integer""
    elif datatype == ""boolean"":
        api_gear_type = ""boolean""
    elif datatype == ""float"":
        api_gear_type = ""float""
    elif datatype == ""array"":
        api_gear_type = ""array""
    elif datatype == ""object"":
        api_gear_type = ""object""
    elif datatype == ""enum"":
        api_gear_type = ""enum""
    else:
        logging.warning(f""Unsupported datatype: {datatype}"")
        return None

    return ApiGearProperty(
        name=node.name,
        description=node.description,
        type=api_gear_type,
    )","def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    if datatype == ""string"":
        api_gear_type = ""string""
    elif datatype == ""integer"":
        api_gear_type = ""integer""
    elif datatype == ""boolean"":
        api_gear_type = ""boolean""
    elif datatype == ""float"":
        api_gear_type = ""float""
    elif datatype == ""array"":
        api_gear_type = ""array""
    elif datatype == ""object"":
        api_gear_type = ""object""
    elif datatype == ""enum"":
        api_gear_type = ""enum""
    else:
        logging.warning(f""Unsupported datatype: {datatype}"")
        return None

    return ApiGearProperty(
        name=node.name,
        description=node.description,
        type=api_gear_type,
    )",30.062226576576467,13.072313927666098,23.843259045306432,33.33333333333333,50.0
10,python,"def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    spec = None
    vspecs: list[VSpec] = []
    for s in specs:
        includes = [s.parent] + include_dirs
        vspecs.extend(get_vspecs(includes, s))
    pre = ""VSpecs""
    if identifier:
        pre += f"" ({identifier})""
    log.info(f""{pre} loaded, amount={len(vspecs)}"")
    for vspec in vspecs:
        log.debug(vspec)
        if spec is None:
            spec = vspec
        else:
            spec.update(vspec)
    if not spec:
        msg = f""Weird behavior. Could not load any spec: {specs}""
        log.error(msg)
        raise SpecException(msg)
    return spec","def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    vspecs = []
    for spec in specs:
        vspecs.append(VSpec(spec, identifier))

    if not vspecs:
        raise ValueError(""No VSpec files specified"")

    return VSpec.merge(vspecs, include_dirs)","def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    vspecs = []
    for spec in specs:
        vspecs.append(VSpec(spec, identifier))

    if not vspecs:
        raise ValueError(""No VSpec files specified"")

    return VSpec.merge(vspecs, include_dirs)",25.882998520564517,13.034757904684668,21.272429976022995,36.666666666666664,32.55813953488372
11,python,"def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for key, value in update.items():
        if isinstance(value, dict):
            if key in base and isinstance(base[key], dict):
                deep_update(base[key], value)
            else:
                base[key] = value
        else:
            base[key] = value","def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for key, value in update.items():
        if isinstance(value, dict) and key in base and isinstance(base[key], dict):
            deep_update(base[key], value)
        else:
            base[key] = value","def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for key, value in update.items():
        if isinstance(value, dict) and key in base and isinstance(base[key], dict):
            deep_update(base[key], value)
        else:
            base[key] = value",81.35131094692399,76.52003015664523,77.01021363105075,81.25,90.625
12,python,"def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return v
    pattern = r""^0x[0-9A-Fa-f]{8}$""
    assert bool(re.match(pattern, v)), f""'{v}' is not a valid 'constUID'""
    return v","def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is not None:
        if not isinstance(v, str):
            raise ValueError(f""Expected string, got {type(v)}"")
        if not re.match(r""^0x[0-9a-fA-F]{8}$"", v):
            raise ValueError(f""Expected '0x' prefixed 8-digit hexadecimal string, got '{v}'"")
    return v","def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is not None:
        if not isinstance(v, str):
            raise ValueError(f""Expected string, got {type(v)}"")
        if not re.match(r""^0x[0-9a-fA-F]{8}$"", v):
            raise ValueError(f""Expected '0x' prefixed 8-digit hexadecimal string, got '{v}'"")
    return v",53.795963325122486,33.935503988012144,45.248349312477814,56.00000000000001,80.0
13,python,"def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    model = VSSRaw(fqn=fqn, **data)
    try:
        model = resolve_vss_raw(model)
    except (ValidationError, ModelException):
        log.debug(f""'{fqn}', incomplete, initialized as '{model.__class__.__name__}'"")
        return model
    return model","def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    vss_raw = VSSRaw(data, fqn)
    if vss_raw.resolve():
        return vss_raw
    return VSSRaw(data, fqn)","def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    vss_raw = VSSRaw(data, fqn)
    if not vss_raw.resolve():
        return VSSRaw(data, fqn)
    return vss_raw",43.532505604211266,30.55355950129564,32.7431295822161,37.5,73.33333333333333
