id,language,reference,generated,generated_rci,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score
2,python,"def is_datatype(cls, value: Any, datatype: str) -> bool:
    t = cls.get_type(datatype)
    if t is None:
        raise DatatypesException(f""Unsupported datatype: {datatype}"")
    return t[1](value)","def is_datatype(cls, value: Any, datatype: str) -> bool:
    if datatype == ""string"":
        return isinstance(value, str)
    elif datatype == ""integer"":
        return isinstance(value, int)
    elif datatype == ""float"":
        return isinstance(value, float)
    elif datatype == ""boolean"":
        return isinstance(value, bool)
    elif datatype == ""list"":
        return isinstance(value, list)
    elif datatype == ""dict"":
        return isinstance(value, dict)
    elif datatype == ""tuple"":
        return isinstance(value, tuple)
    elif datatype == ""set"":
        return isinstance(value, set)
    elif datatype == ""bytes"":
        return isinstance(value, bytes)
    elif datatype == ""bytearray"":
        return isinstance(value, bytearray)
    elif datatype == ""None"":
        return value is None
    else:
        return False","def is_datatype(cls, value: Any, datatype: str) -> bool:
    if datatype == ""string"":
        return isinstance(value, str)
    elif datatype == ""integer"":
        return isinstance(value, int)
    elif datatype == ""float"":
        return isinstance(value, float)
    elif datatype == ""boolean"":
        return isinstance(value, bool)
    elif datatype == ""list"":
        return isinstance(value, list)
    elif datatype == ""dict"":
        return isinstance(value, dict)
    elif datatype == ""tuple"":
        return isinstance(value, tuple)
    elif datatype == ""set"":
        return isinstance(value, set)
    elif datatype == ""bytes"":
        return isinstance(value, bytes)
    elif datatype == ""bytearray"":
        return isinstance(value, bytearray)
    elif datatype == ""None"":
        return value is None
    else:
        return False",35.6387544830872,7.923743331939,37.70819767733287,26.923076923076923,70.0
3,python,"def is_xintx(value: Any, signed: bool, bits: int):
    values = [value]
    if isinstance(value, list):
        values = value

    for v in values:
        if not isinstance(v, int):
            return False
        if not signed and v < 0:
            return False
        max = 2**bits - 1
        min = 0
        if signed:
            max = 2 ** (bits - 1) - 1
            min = -(2 ** (bits - 1))
        if not (v <= max and v >= min):
            return False
    return True","def is_xintx(value: Any, signed: bool, bits: int):
    if isinstance(value, list):
        for v in value:
            if not is_xintx(v, signed, bits):
                return False
        return True
    if isinstance(value, int):
        if signed:
            if value < -(2 ** (bits - 1)) or value > 2 ** (bits - 1) - 1:
                return False
        else:
            if value < 0 or value > 2 ** bits - 1:
                return False
        return True
    return False","def is_xintx(value: Any, signed: bool, bits: int):
    if isinstance(value, list):
        for v in value:
            if not is_xintx(v, signed, bits):
                return False
        return True
    if isinstance(value, int):
        if signed:
            if value < -(2 ** (bits - 1)) or value > 2 ** (bits - 1) - 1:
                return False
        else:
            if value < 0 or value > 2 ** bits - 1:
                return False
        return True
    return False",35.873057361260464,28.28709695287386,29.74824703528255,47.61904761904761,37.83783783783784
4,python,"def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
        for t in cls.types:
            if datatype == t[0]:
                return t
        return None","def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
    for type_def in cls.type_definitions:
        if type_def[0] == datatype:
            return type_def
    return None","def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
    for type_def in cls.type_definitions:
        if type_def[0] == datatype:
            return type_def
    return None",70.34186997887033,52.624397026344624,54.669008815062604,74.07407407407408,100.0
5,python,"def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    if not fqn:
        return {}
    fqn_namespaced_datatypes = {}
    for t in dynamic_datatypes:
        if fqn.startswith(t):
            continue

        if fqn.startswith(""."".join(t.split(""."")[:-1])):
            fqn_namespaced_datatypes[(t.split(""."")[-1])] = t

    if fqn_namespaced_datatypes:
        log.debug(f""Namespaced datatypes, {fqn=}, {fqn_namespaced_datatypes=}"")
    return fqn_namespaced_datatypes","def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    if fqn is None:
        fqn = get_current_fqn()

    fqn_parts = fqn.split(""."")
    fqn_namespaced_datatypes = {}
    for i in range(len(fqn_parts)):
        fqn_namespaced_datatypes[""."".join(fqn_parts[: i + 1])] = get_datatypes_by_fqn(""."".join(fqn_parts[: i + 1]))

    return fqn_namespaced_datatypes","def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    if fqn is None:
        fqn = get_current_fqn()

    fqn_parts = fqn.split(""."")
    fqn_namespaced_datatypes = {}
    for i in range(len(fqn_parts)):
        fqn_namespaced_datatypes[""."".join(fqn_parts[: i + 1])] = get_datatypes_by_fqn(""."".join(fqn_parts[: i + 1]))

    return fqn_namespaced_datatypes",40.43317043812294,34.91726680217181,34.91726680217182,43.75,48.148148148148145
7,python,"def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    is_array = False
    apigear_type = None
    if t.endswith(""[]""):
        is_array = True
        t = t[0:-2]

    if t in [""int8"", ""int16"", ""int32"", ""uint8"", ""uint16"", ""uint32""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT32.value)
    elif t in [""int64"", ""uint64""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT64.value)
    elif t == ""float"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT32.value)
    elif t == ""double"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT64.value)
    elif t == ""boolean"":
        apigear_type = ApiGearType(ApiGearBasicType.BOOL.value)
    elif t == ""string"":
        apigear_type = ApiGearType(ApiGearBasicType.STRING.value)
    else:
        apigear_type = ApiGearType(t.replace(""."", ""_""))

    if is_array and apigear_type is not None:
        apigear_type.is_array = True

    return apigear_type","```python
def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    if t == ""string"":
        return ApiGearType.STRING
    elif t == ""integer"":
        return ApiGearType.INTEGER
    elif t == ""float"":
        return ApiGearType.FLOAT
    elif t == ""boolean"":
        return ApiGearType.BOOLEAN
    elif t == ""array"":
        return ApiGearType.ARRAY
    elif t == ""object"":
        return ApiGearType.OBJECT
    elif t == ""enum"":
        return ApiGearType.ENUM
    elif t == ""date"":
        return ApiGearType.DATE
    elif t == ""datetime"":
        return ApiGearType.DATETIME
    elif t == ""timestamp"":
        return ApiGearType.TIMESTAMP
    elif t == ""binary"":
        return ApiGearType.BINARY
    elif t == ""json"":
        return ApiGearType.JSON
    elif t == ""any"":
        return ApiGearType.ANY
    elif t == ""null"":
        return ApiGearType.NULL
    elif t == ""void"":
        return ApiGearType.VOID
    elif t == ""byte"":
        return ApiGearType.BYTE
    elif t == ""short"":
        return ApiGearType.SHORT
    elif t == ""long"":
        return ApiGearType.LONG
    elif t == ""longlong"":
        return ApiGearType.LONG_LONG
    elif t == ""unsignedbyte"":
        return ApiGearType.UNSIGNED_BYTE
    elif t == ""unsignedshort"":
        return ApiGearType.UNSIGNED_SHORT
    elif t == ""unsignedlong"":
        return ApiGearType.UNSIGNED_LONG
    elif t == ""unsignedlonglong"":
        return ApiGearType.UNSIGNED_LONG_LONG
    elif t == ""double"":
        return ApiGearType.DOUBLE
    elif t == ""decimal"":
        return ApiGearType.DECIMAL
    elif t == ""uuid"":
        return ApiGearType.UUID
    elif t == ""email"":
        return ApiGearType.EMAIL
    elif t == ""ipv4"":
        return ApiGearType.IPV4
    elif t == ""ipv6"":
        return ApiGearType.IPV6
    elif t == ""uri"":
        return ApiGearType.URI
    elif t == ""url"":
        return ApiGearType.URL
    elif t == ""regex"":
        return ApiGearType.REGEX
    elif t == ""base64"":
        return ApiGearType.BASE64
    elif t == ""hex"":
        return ApiGearType.HEX
    elif t == ""mac"":
        return ApiGearType.MAC
    elif t == ""guid"":
        return ApiGearType.GUID
    elif t == ""time"":
        return ApiGearType.TIME
    elif t == ""date_time"":
        return ApiGearType.DATE_TIME
    elif t == ""date_time_tz"":
        return ApiGearType.DATE_TIME_TZ
    elif t == ""date_time_tz_utc"":
        return ApiGearType.DATE_TIME_TZ_UTC
    elif t == ""date_time_tz_utc_offset"":
        return ApiGearType.DATE_TIME_TZ_UTC_OFFSET
    elif t == ""date_time_tz_utc_offset_seconds"":
        return ApiGearType.DATE_TIME_TZ_UTC_OFFSET_SECONDS
    elif t == ""date_time_tz_utc_","```python
def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    if t == ""string"":
        return ApiGearType.STRING
    elif t == ""integer"":
        return ApiGearType.INTEGER
    elif t == ""float"":
        return ApiGearType.FLOAT
    elif t == ""boolean"":
        return ApiGearType.BOOLEAN
    elif t == ""array"":
        return ApiGearType.ARRAY
    elif t == ""object"":
        return ApiGearType.OBJECT
    elif t == ""enum"":
        return ApiGearType.ENUM
    elif t == ""date"":
        return ApiGearType.DATE
    elif t == ""datetime"":
        return ApiGearType.DATETIME
    elif t == ""timestamp"":
        return ApiGearType.TIMESTAMP
    elif t == ""binary"":
        return ApiGearType.BINARY
    elif t == ""json"":
        return ApiGearType.JSON
    elif t == ""any"":
        return ApiGearType.ANY
    elif t == ""null"":
        return ApiGearType.NULL
    elif t == ""void"":
        return ApiGearType.VOID
    elif t == ""byte"":
        return ApiGearType.BYTE
    elif t == ""short"":
        return ApiGearType.SHORT
    elif t == ""long"":
        return ApiGearType.LONG
    elif t == ""longlong"":
        return ApiGearType.LONG_LONG
    elif t == ""unsignedbyte"":
        return ApiGearType.UNSIGNED_BYTE
    elif t == ""unsignedshort"":
        return ApiGearType.UNSIGNED_SHORT
    elif t == ""unsignedlong"":
        return ApiGearType.UNSIGNED_LONG
    elif t == ""unsignedlonglong"":
        return ApiGearType.UNSIGNED_LONG_LONG
    elif t == ""double"":
        return ApiGearType.DOUBLE
    elif t == ""decimal"":
        return ApiGearType.DECIMAL
    elif t == ""uuid"":
        return ApiGearType.UUID
    elif t == ""email"":
        return ApiGearType.EMAIL
    elif t == ""ipv4"":
        return ApiGearType.IPV4
    elif t == ""ipv6"":
        return ApiGearType.IPV6
    elif t == ""uri"":
        return ApiGearType.URI
    elif t == ""url"":
        return ApiGearType.URL
    elif t == ""regex"":
        return ApiGearType.REGEX
    elif t == ""base64"":
        return ApiGearType.BASE64
    elif t == ""hex"":
        return ApiGearType.HEX
    elif t == ""mac"":
        return ApiGearType.MAC
    elif t == ""guid"":
        return ApiGearType.GUID
    elif t == ""time"":
        return ApiGearType.TIME
    elif t == ""date_time"":
        return ApiGearType.DATE_TIME
    elif t == ""date_time_tz"":
        return ApiGearType.DATE_TIME_TZ
    elif t == ""date_time_tz_utc"":
        return ApiGearType.DATE_TIME_TZ_UTC
    elif t == ""date_time_tz_utc_offset"":
        return ApiGearType.DATE_TIME_TZ_UTC_OFFSET
    elif t == ""date_time_tz_utc_offset_seconds"":
        return ApiGearType.DATE_TIME_TZ_UTC_OFFSET_SECONDS
    elif t == ""date_time_tz_utc_",20.136689120571422,4.908468542364539,16.041595643388433,30.08849557522124,29.508196721311474
8,python,"def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    apigear_type = get_apigear_datatype(datatype)
    data = node.get_vss_data()

    if apigear_type is None:
        log.warning(f""Datatype {datatype} of node {node.name} currently not supported"")
        return None

    property = ApiGearProperty(apigear_type)
    if data.description != """":
        property.description = data.description
    return property","```python
def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    if not node.is_property:
        return None

    if not node.datatype:
        node.datatype = datatype

    if not node.datatype:
        return None

    if node.datatype == ""string"":
        return ApiGearProperty(
            name=node.name,
            datatype=node.datatype,
            description=node.description,
            unit=node.unit,
            min_value=node.min_value,
            max_value=node.max_value,
            is_array=node.is_array,
            is_bitfield=node.is_bitfield,
            is_enum=node.is_enum,
            is_struct=node.is_struct,
            is_union=node.is_union,
            is_optional=node.is_optional,
            is_nullable=node.is_nullable,
            is_constant=node.is_constant,
            is_volatile=node.is_volatile,
            is_deprecated=node.is_deprecated,
            is_internal=node.is_internal,
            is_external=node.is_external,
            is_virtual=node.is_virtual,
            is_proxy=node.is_proxy,
            is_multiline=node.is_multiline,
            is_multivalue=node.is_multivalue,
            is_multidomain=node.is_multidomain,
            is_multilanguage=node.is_multilanguage,
            is_multichannel=node.is_multichannel,
            is_multimode=node.is_multimode,
            is_multirange=node.is_multirange,
            is_multistate=node.is_multistate,
            is_multivalue_range=node.is_multivalue_range,
            is_multivalue_state=node.is_multivalue_state,
            is_multivalue_enum=node.is_multivalue_enum,
            is_multivalue_bitfield=node.is_multivalue_bitfield,
            is_multivalue_struct=node.is_multivalue_struct,
            is_multivalue_union=node.is_multivalue_union,
            is_multivalue_optional=node.is_multivalue_optional,
            is_multivalue_nullable=node.is_multivalue_nullable,
            is_multivalue_constant=node.is_multivalue_constant,
            is_multivalue_volatile=node.is_multivalue_volatile,
            is_multivalue_deprecated=node.is_multivalue_deprecated,
            is_multivalue_internal=node.is_multivalue_internal,
            is_multivalue_external=node.is_multivalue_external,
            is_multivalue_virtual=node.is_multivalue_virtual,
            is_multivalue_proxy=node.is_multivalue_proxy,
            is_multivalue_multiline=node.is_multivalue_multiline,
            is_multivalue_multivalue=node.is_multivalue_multivalue,
            is_multivalue_multidomain=node.is_multival","```python
def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    if not node.is_property:
        return None

    if not node.datatype:
        node.datatype = datatype

    if not node.datatype:
        return None

    if node.datatype == ""string"":
        return ApiGearProperty(
            name=node.name,
            datatype=node.datatype,
            description=node.description,
            unit=node.unit,
            min_value=node.min_value,
            max_value=node.max_value,
            is_array=node.is_array,
            is_bitfield=node.is_bitfield,
            is_enum=node.is_enum,
            is_struct=node.is_struct,
            is_union=node.is_union,
            is_optional=node.is_optional,
            is_nullable=node.is_nullable,
            is_constant=node.is_constant,
            is_volatile=node.is_volatile,
            is_deprecated=node.is_deprecated,
            is_internal=node.is_internal,
            is_external=node.is_external,
            is_virtual=node.is_virtual,
            is_proxy=node.is_proxy,
            is_multiline=node.is_multiline,
            is_multivalue=node.is_multivalue,
            is_multidomain=node.is_multidomain,
            is_multilanguage=node.is_multilanguage,
            is_multichannel=node.is_multichannel,
            is_multimode=node.is_multimode,
            is_multirange=node.is_multirange,
            is_multistate=node.is_multistate,
            is_multivalue_range=node.is_multivalue_range,
            is_multivalue_state=node.is_multivalue_state,
            is_multivalue_enum=node.is_multivalue_enum,
            is_multivalue_bitfield=node.is_multivalue_bitfield,
            is_multivalue_struct=node.is_multivalue_struct,
            is_multivalue_union=node.is_multivalue_union,
            is_multivalue_optional=node.is_multivalue_optional,
            is_multivalue_nullable=node.is_multivalue_nullable,
            is_multivalue_constant=node.is_multivalue_constant,
            is_multivalue_volatile=node.is_multivalue_volatile,
            is_multivalue_deprecated=node.is_multivalue_deprecated,
            is_multivalue_internal=node.is_multivalue_internal,
            is_multivalue_external=node.is_multivalue_external,
            is_multivalue_virtual=node.is_multivalue_virtual,
            is_multivalue_proxy=node.is_multivalue_proxy,
            is_multivalue_multiline=node.is_multivalue_multiline,
            is_multivalue_multivalue=node.is_multivalue_multivalue,
            is_multivalue_multidomain=node.is_multivalue",33.69025763569091,11.528900731248413,24.898796478181893,33.33333333333333,65.0
10,python,"def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    spec = None
    vspecs: list[VSpec] = []
    for s in specs:
        includes = [s.parent] + include_dirs
        vspecs.extend(get_vspecs(includes, s))
    pre = ""VSpecs""
    if identifier:
        pre += f"" ({identifier})""
    log.info(f""{pre} loaded, amount={len(vspecs)}"")
    for vspec in vspecs:
        log.debug(vspec)
        if spec is None:
            spec = vspec
        else:
            spec.update(vspec)
    if not spec:
        msg = f""Weird behavior. Could not load any spec: {specs}""
        log.error(msg)
        raise SpecException(msg)
    return spec","def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    vspecs = []
    for spec in specs:
        vspecs.append(VSpec(spec, identifier))

    for vspec in vspecs:
        for include in vspec.includes:
            include_spec = include.resolve_path(include_dirs + [vspec.source.parent])
            vspecs.extend(load_vspec(include_dirs, [include_spec], include.prefix))

    return VSpec.merge(vspecs)","def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    vspecs = []
    for spec in specs:
        vspecs.append(VSpec(spec, identifier))

    for vspec in vspecs:
        for include in vspec.includes:
            include_spec = include.resolve_path(include_dirs + [vspec.source.parent])
            vspecs.extend(load_vspec(include_dirs, [include_spec], include.prefix))

    return VSpec.merge(vspecs)",33.83782627010382,17.748289009022695,23.106892040384842,43.333333333333336,51.162790697674424
11,python,"def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for key, value in update.items():
        if isinstance(value, dict):
            if key in base and isinstance(base[key], dict):
                deep_update(base[key], value)
            else:
                base[key] = value
        else:
            base[key] = value","def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for k, v in update.items():
        if isinstance(v, dict):
            base[k] = deep_update(base.get(k, {}), v)
        else:
            base[k] = v","def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for k, v in update.items():
        if isinstance(v, dict):
            if k not in base:
                base[k] = v
            else:
                base[k] = deep_update(base[k], v)
        else:
            base[k] = v",58.6257784043943,34.13986626409397,35.77991402014988,77.08333333333334,87.5
12,python,"def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return v
    pattern = r""^0x[0-9A-Fa-f]{8}$""
    assert bool(re.match(pattern, v)), f""'{v}' is not a valid 'constUID'""
    return v","def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return None

    if not isinstance(v, str):
        raise ValueError(f""constUID must be a string, got {type(v)}"")

    if len(v) != 8:
        raise ValueError(f""constUID must be 8 characters long, got {len(v)}"")

    try:
        int(v, 16)
    except ValueError:
        raise ValueError(f""constUID must be a hexadecimal string, got {v}"")

    return v","def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return None

    if not isinstance(v, str):
        raise ValueError(f""constUID must be a string, got {type(v)}"")

    if len(v) != 8:
        raise ValueError(f""constUID must be 8 characters long, got {len(v)}"")

    try:
        int(v, 16)
    except ValueError:
        raise ValueError(f""constUID must be a hexadecimal string, got {v}"")

    return v",50.58242498153768,26.169024367454586,52.16067555869613,44.0,80.0
13,python,"def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    model = VSSRaw(fqn=fqn, **data)
    try:
        model = resolve_vss_raw(model)
    except (ValidationError, ModelException):
        log.debug(f""'{fqn}', incomplete, initialized as '{model.__class__.__name__}'"")
        return model
    return model","def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    vss_raw = VSSRaw(data, fqn)
    if not vss_raw.resolve():
        return vss_raw
    return vss_raw.resolved","def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    vss_raw = VSSRaw(data, fqn)
    if not vss_raw.resolve():
        return vss_raw
    return vss_raw.resolved",43.42053530321968,30.10567829732929,32.7431295822161,37.5,73.33333333333333
