id,language,reference,generated,generated_rci,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score
2,python,"def is_datatype(cls, value: Any, datatype: str) -> bool:
    t = cls.get_type(datatype)
    if t is None:
        raise DatatypesException(f""Unsupported datatype: {datatype}"")
    return t[1](value)","from typing import Any

def is_datatype(cls, value: Any, datatype: str) -> bool:
    if datatype == ""int"":
        return isinstance(value, int)
    elif datatype == ""float"":
        return isinstance(value, float)
    elif datatype == ""str"":
        return isinstance(value, str)
    elif datatype == ""bool"":
        return isinstance(value, bool)
    elif datatype == ""list"":
        return isinstance(value, list)
    elif datatype == ""tuple"":
        return isinstance(value, tuple)
    elif datatype == ""dict"":
        return isinstance(value, dict)
    elif datatype == ""set"":
        return isinstance(value, set)
    else:
        raise ValueError(""Unsupported datatype"")","from typing import Any

def is_datatype(cls, value: Any, datatype: str) -> bool:
    if datatype == ""int"":
        return isinstance(value, int)
    elif datatype == ""float"":
        return isinstance(value, float)
    elif datatype == ""str"":
        return isinstance(value, str)
    elif datatype == ""bool"":
        return isinstance(value, bool)
    elif datatype == ""list"":
        return isinstance(value, list)
    elif datatype == ""tuple"":
        return isinstance(value, tuple)
    elif datatype == ""dict"":
        return isinstance(value, dict)
    elif datatype == ""set"":
        return isinstance(value, set)
    else:
        raise ValueError(""Unsupported datatype"")",37.65499699406495,9.834867222003856,37.70819767733287,23.076923076923077,80.0
3,python,"def is_xintx(value: Any, signed: bool, bits: int):
    values = [value]
    if isinstance(value, list):
        values = value

    for v in values:
        if not isinstance(v, int):
            return False
        if not signed and v < 0:
            return False
        max = 2**bits - 1
        min = 0
        if signed:
            max = 2 ** (bits - 1) - 1
            min = -(2 ** (bits - 1))
        if not (v <= max and v >= min):
            return False
    return True","from typing import Any, List

def is_xintx(value: Any, signed: bool, bits: int):
    if isinstance(value, list):
        return all(is_xintx(x, signed, bits) for x in value)
    if not isinstance(value, int):
        return False
    if signed:
        min_val = -(2**(bits-1))
        max_val = 2**(bits-1) - 1
    else:
        min_val = 0
        max_val = 2**bits - 1
    return min_val <= value <= max_val","from typing import Any, List

def is_xintx(value: Any, signed: bool, bits: int):
    if isinstance(value, list):
        return all(is_xintx(x, signed, bits) for x in value)
    if not isinstance(value, int):
        return False
    if signed:
        min_val = -(2**(bits-1))
        max_val = 2**(bits-1) - 1
    else:
        min_val = 0
        max_val = 2**bits - 1
    return min_val <= value <= max_val",36.605031516255565,18.074813649762895,19.379203449150403,60.317460317460316,48.64864864864865
4,python,"def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
        for t in cls.types:
            if datatype == t[0]:
                return t
        return None","def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
    for type_def in cls.__dataclass_fields__:
        if type_def == datatype:
            return cls.__dataclass_fields__[type_def]
    return None","def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
    for type_def in cls.__dataclass_fields__:
        if type_def == datatype:
            return cls.__dataclass_fields__[type_def]
    return None",67.56409220109255,52.624397026344624,54.669008815062604,62.96296296296296,100.0
5,python,"def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    if not fqn:
        return {}
    fqn_namespaced_datatypes = {}
    for t in dynamic_datatypes:
        if fqn.startswith(t):
            continue

        if fqn.startswith(""."".join(t.split(""."")[:-1])):
            fqn_namespaced_datatypes[(t.split(""."")[-1])] = t

    if fqn_namespaced_datatypes:
        log.debug(f""Namespaced datatypes, {fqn=}, {fqn_namespaced_datatypes=}"")
    return fqn_namespaced_datatypes","```python
def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    fqn_namespaced_datatypes = {
        ""int"": ""int"",
        ""float"": ""float"",
        ""bool"": ""bool"",
        ""str"": ""str"",
        ""bytes"": ""bytes"",
        ""list"": ""list"",
        ""tuple"": ""tuple"",
        ""dict"": ""dict"",
        ""set"": ""set"",
        ""frozenset"": ""frozenset"",
        ""None"": ""None"",
        ""Any"": ""Any"",
        ""Union"": ""Union"",
        ""Literal"": ""Literal"",
        ""Optional"": ""Optional"",
        ""Sequence"": ""Sequence"",
        ""Mapping"": ""Mapping"",
        ""Iterable"": ""Iterable"",
        ""Iterator"": ""Iterator"",
        ""Generator"": ""Generator"",
        ""Coroutine"": ""Coroutine"",
        ""AsyncIterator"": ""AsyncIterator"",
        ""AsyncGenerator"": ""AsyncGenerator"",
        ""Awaitable"": ""Awaitable"",
        ""Callable"": ""Callable"",
        ""TypeVar"": ""TypeVar"",
        ""Generic"": ""Generic"",
        ""Type"": ""Type"",
        ""TypeAlias"": ""TypeAlias"",
        ""TypedDict"": ""TypedDict"",
        ""TypedDictMeta"": ""TypedDictMeta"",
        ""TypedDictMetaV2"": ""TypedDictMetaV2"",
        ""TypedDictMetaV3"": ""TypedDictMetaV3"",
        ""TypedDictMetaV4"": ""TypedDictMetaV4"",
        ""TypedDictMetaV5"": ""TypedDictMetaV5"",
        ""TypedDictMetaV6"": ""TypedDictMetaV6"",
        ""TypedDictMetaV7"": ""TypedDictMetaV7"",
        ""TypedDictMetaV8"": ""TypedDictMetaV8"",
        ""TypedDictMetaV9"": ""TypedDictMetaV9"",
        ""TypedDictMetaV10"": ""TypedDictMetaV10"",
        ""TypedDictMetaV11"": ""TypedDictMetaV11"",
        ""TypedDictMetaV12"": ""TypedDictMetaV12"",
        ""TypedDictMetaV13"": ""TypedDictMetaV13"",
        ""TypedDictMetaV14"": ""TypedDictMetaV14"",
        ""TypedDictMetaV15"": ""TypedDictMetaV15"",
        ""TypedDictMetaV16"": ""TypedDictMetaV16"",
        ""TypedDictMetaV17"": ""TypedDictMetaV17"",
        ""TypedDictMetaV18"": ""TypedDictMetaV18"",
        ""TypedDictMetaV19"": ""TypedDictMetaV19"",
        ""TypedDictMetaV20"": ""TypedDictMetaV20"",
        ""TypedDictMetaV21"": ""TypedDictMetaV21"",
        ""TypedDictMetaV22"": ""TypedDictMetaV22"",
        ""TypedDictMetaV23"": ""TypedDictMetaV23"",
        ""TypedDictMetaV24"": ""TypedDictMetaV24"",
        ""TypedDictMetaV25"": ""TypedDictMetaV25"",
        ""TypedDictMetaV26"": ""TypedDictMetaV26"",
        ""TypedDictMetaV27"": ""TypedDictMetaV27"",
        ""TypedDictMetaV28"": ""TypedDictMetaV28"",
        ""TypedDictMetaV29"": ""TypedDictMetaV29","```python
def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    fqn_namespaced_datatypes = {
        ""int"": ""int"",
        ""float"": ""float"",
        ""bool"": ""bool"",
        ""str"": ""str"",
        ""bytes"": ""bytes"",
        ""list"": ""list"",
        ""tuple"": ""tuple"",
        ""dict"": ""dict"",
        ""set"": ""set"",
        ""frozenset"": ""frozenset"",
        ""None"": ""None"",
        ""Any"": ""Any"",
        ""Union"": ""Union"",
        ""Literal"": ""Literal"",
        ""Optional"": ""Optional"",
        ""Sequence"": ""Sequence"",
        ""Mapping"": ""Mapping"",
        ""Iterable"": ""Iterable"",
        ""Iterator"": ""Iterator"",
        ""Generator"": ""Generator"",
        ""Coroutine"": ""Coroutine"",
        ""AsyncIterator"": ""AsyncIterator"",
        ""AsyncGenerator"": ""AsyncGenerator"",
        ""Awaitable"": ""Awaitable"",
        ""Callable"": ""Callable"",
        ""TypeVar"": ""TypeVar"",
        ""Generic"": ""Generic"",
        ""Type"": ""Type"",
        ""TypeAlias"": ""TypeAlias"",
        ""TypedDict"": ""TypedDict"",
        ""TypedDictMeta"": ""TypedDictMeta"",
        ""TypedDictMetaV2"": ""TypedDictMetaV2"",
        ""TypedDictMetaV3"": ""TypedDictMetaV3"",
        ""TypedDictMetaV4"": ""TypedDictMetaV4"",
        ""TypedDictMetaV5"": ""TypedDictMetaV5"",
        ""TypedDictMetaV6"": ""TypedDictMetaV6"",
        ""TypedDictMetaV7"": ""TypedDictMetaV7"",
        ""TypedDictMetaV8"": ""TypedDictMetaV8"",
        ""TypedDictMetaV9"": ""TypedDictMetaV9"",
        ""TypedDictMetaV10"": ""TypedDictMetaV10"",
        ""TypedDictMetaV11"": ""TypedDictMetaV11"",
        ""TypedDictMetaV12"": ""TypedDictMetaV12"",
        ""TypedDictMetaV13"": ""TypedDictMetaV13"",
        ""TypedDictMetaV14"": ""TypedDictMetaV14"",
        ""TypedDictMetaV15"": ""TypedDictMetaV15"",
        ""TypedDictMetaV16"": ""TypedDictMetaV16"",
        ""TypedDictMetaV17"": ""TypedDictMetaV17"",
        ""TypedDictMetaV18"": ""TypedDictMetaV18"",
        ""TypedDictMetaV19"": ""TypedDictMetaV19"",
        ""TypedDictMetaV20"": ""TypedDictMetaV20"",
        ""TypedDictMetaV21"": ""TypedDictMetaV21"",
        ""TypedDictMetaV22"": ""TypedDictMetaV22"",
        ""TypedDictMetaV23"": ""TypedDictMetaV23"",
        ""TypedDictMetaV24"": ""TypedDictMetaV24"",
        ""TypedDictMetaV25"": ""TypedDictMetaV25"",
        ""TypedDictMetaV26"": ""TypedDictMetaV26"",
        ""TypedDictMetaV27"": ""TypedDictMetaV27"",
        ""TypedDictMetaV28"": ""TypedDictMetaV28"",
        ""TypedDictMetaV29"": ""TypedDictMetaV29",14.947303100763387,6.938214877826448,22.98988641411599,18.75,11.11111111111111
7,python,"def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    is_array = False
    apigear_type = None
    if t.endswith(""[]""):
        is_array = True
        t = t[0:-2]

    if t in [""int8"", ""int16"", ""int32"", ""uint8"", ""uint16"", ""uint32""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT32.value)
    elif t in [""int64"", ""uint64""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT64.value)
    elif t == ""float"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT32.value)
    elif t == ""double"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT64.value)
    elif t == ""boolean"":
        apigear_type = ApiGearType(ApiGearBasicType.BOOL.value)
    elif t == ""string"":
        apigear_type = ApiGearType(ApiGearBasicType.STRING.value)
    else:
        apigear_type = ApiGearType(t.replace(""."", ""_""))

    if is_array and apigear_type is not None:
        apigear_type.is_array = True

    return apigear_type","def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    if t == ""string"":
        return ApiGearType(name=""string"", array=False)
    elif t == ""integer"":
        return ApiGearType(name=""integer"", array=False)
    elif t == ""float"":
        return ApiGearType(name=""float"", array=False)
    elif t == ""boolean"":
        return ApiGearType(name=""boolean"", array=False)
    elif t == ""date"":
        return ApiGearType(name=""date"", array=False)
    elif t == ""datetime"":
        return ApiGearType(name=""datetime"", array=False)
    elif t == ""time"":
        return ApiGearType(name=""time"", array=False)
    elif t == ""byte"":
        return ApiGearType(name=""byte"", array=False)
    elif t == ""binary"":
        return ApiGearType(name=""binary"", array=False)
    elif t == ""json"":
        return ApiGearType(name=""json"", array=False)
    elif t == ""object"":
        return ApiGearType(name=""object"", array=False)
    elif t == ""array"":
        return ApiGearType(name=""array"", array=True)
    elif t.endswith(""[]""):
        t = t[:-2]
        return ApiGearType(name=t.replace(""."", ""_""), array=True)
    elif ""."" in t:
        return ApiGearType(name=t.replace(""."", ""_""), array=False)
    else:
        return ApiGearType(name=t, array=False)","def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    if t == ""string"":
        return ApiGearType(name=""string"", array=False)
    elif t == ""integer"":
        return ApiGearType(name=""integer"", array=False)
    elif t == ""float"":
        return ApiGearType(name=""float"", array=False)
    elif t == ""boolean"":
        return ApiGearType(name=""boolean"", array=False)
    elif t == ""date"":
        return ApiGearType(name=""date"", array=False)
    elif t == ""datetime"":
        return ApiGearType(name=""datetime"", array=False)
    elif t == ""time"":
        return ApiGearType(name=""time"", array=False)
    elif t == ""byte"":
        return ApiGearType(name=""byte"", array=False)
    elif t == ""binary"":
        return ApiGearType(name=""binary"", array=False)
    elif t == ""json"":
        return ApiGearType(name=""json"", array=False)
    elif t == ""object"":
        return ApiGearType(name=""object"", array=False)
    elif t == ""array"":
        return ApiGearType(name=""array"", array=True)
    elif t.endswith(""[]""):
        t = t[:-2]
        return ApiGearType(name=t.replace(""."", ""_""), array=True)
    elif ""."" in t:
        return ApiGearType(name=t.replace(""."", ""_""), array=False)
    else:
        return ApiGearType(name=t, array=False)",23.017462716048712,11.173950901186226,15.23508464311888,34.51327433628318,31.147540983606557
8,python,"def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    apigear_type = get_apigear_datatype(datatype)
    data = node.get_vss_data()

    if apigear_type is None:
        log.warning(f""Datatype {datatype} of node {node.name} currently not supported"")
        return None

    property = ApiGearProperty(apigear_type)
    if data.description != """":
        property.description = data.description
    return property","def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    if datatype == ""string"":
        return ApiGearProperty(
            name=node.name,
            datatype=ApiGearType.STRING,
            description=node.description,
        )
    elif datatype == ""integer"":
        return ApiGearProperty(
            name=node.name,
            datatype=ApiGearType.INTEGER,
            description=node.description,
        )
    elif datatype == ""float"":
        return ApiGearProperty(
            name=node.name,
            datatype=ApiGearType.FLOAT,
            description=node.description,
        )
    elif datatype == ""boolean"":
        return ApiGearProperty(
            name=node.name,
            datatype=ApiGearType.BOOLEAN,
            description=node.description,
        )
    elif datatype == ""array"":
        return ApiGearProperty(
            name=node.name,
            datatype=ApiGearType.ARRAY,
            description=node.description,
        )
    elif datatype == ""object"":
        return ApiGearProperty(
            name=node.name,
            datatype=ApiGearType.OBJECT,
            description=node.description,
        )
    else:
        logging.warning(f""Unsupported datatype: {datatype}"")
        return None","def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    if datatype == ""string"":
        return ApiGearProperty(
            name=node.name,
            datatype=ApiGearType.STRING,
            description=node.description,
        )
    elif datatype == ""integer"":
        return ApiGearProperty(
            name=node.name,
            datatype=ApiGearType.INTEGER,
            description=node.description,
        )
    elif datatype == ""float"":
        return ApiGearProperty(
            name=node.name,
            datatype=ApiGearType.FLOAT,
            description=node.description,
        )
    elif datatype == ""boolean"":
        return ApiGearProperty(
            name=node.name,
            datatype=ApiGearType.BOOLEAN,
            description=node.description,
        )
    elif datatype == ""array"":
        return ApiGearProperty(
            name=node.name,
            datatype=ApiGearType.ARRAY,
            description=node.description,
        )
    elif datatype == ""object"":
        return ApiGearProperty(
            name=node.name,
            datatype=ApiGearType.OBJECT,
            description=node.description,
        )
    else:
        logging.warning(f""Unsupported datatype: {datatype}"")
        return None",28.224211063347397,11.39256993166595,23.17094098839031,33.33333333333333,45.0
10,python,"def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    spec = None
    vspecs: list[VSpec] = []
    for s in specs:
        includes = [s.parent] + include_dirs
        vspecs.extend(get_vspecs(includes, s))
    pre = ""VSpecs""
    if identifier:
        pre += f"" ({identifier})""
    log.info(f""{pre} loaded, amount={len(vspecs)}"")
    for vspec in vspecs:
        log.debug(vspec)
        if spec is None:
            spec = vspec
        else:
            spec.update(vspec)
    if not spec:
        msg = f""Weird behavior. Could not load any spec: {specs}""
        log.error(msg)
        raise SpecException(msg)
    return spec","from pathlib import Path
from vspec.vspec import VSpec
from vspec.parser import parse_vspec
from vspec.exceptions import VSpecError

def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    """"""Loads and parses multiple VSpec files from specified paths, using a list of include directories, then merges them into a single composite VSpec object and returns it, raising an exception if no files are successfully loaded""""""
    vspecs = []
    for spec in specs:
        try:
            vspecs.append(parse_vspec(spec, include_dirs))
        except VSpecError as e:
            raise VSpecError(f""Failed to load {spec}: {e}"")
    if not vspecs:
        raise VSpecError(""No VSpec files loaded"")
    return VSpec.merge(vspecs, identifier)","from pathlib import Path
from vspec.vspec import VSpec
from vspec.parser import parse_vspec
from vspec.exceptions import VSpecError

def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    """"""Loads and parses multiple VSpec files from specified paths, using a list of include directories, then merges them into a single composite VSpec object and returns it, raising an exception if no files are successfully loaded""""""
    vspecs = []
    for spec in specs:
        try:
            vspecs.append(parse_vspec(spec, include_dirs))
        except VSpecError as e:
            raise VSpecError(f""Failed to load {spec}: {e}"")
    if not vspecs:
        raise VSpecError(""No VSpec files loaded"")
    return VSpec.merge(vspecs, identifier)",28.712134911278863,15.818570486912556,21.82066683262151,40.0,37.2093023255814
11,python,"def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for key, value in update.items():
        if isinstance(value, dict):
            if key in base and isinstance(base[key], dict):
                deep_update(base[key], value)
            else:
                base[key] = value
        else:
            base[key] = value","def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for k, v in update.items():
        if isinstance(v, dict) and k in base and isinstance(base[k], dict):
            deep_update(base[k], v)
        else:
            base[k] = v","def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for k, v in update.items():
        if isinstance(v, dict) and k in base and isinstance(base[k], dict):
            deep_update(base[k], v)
        else:
            base[k] = v",61.09433177212898,35.2397286283442,37.262598460171745,81.25,90.625
12,python,"def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return v
    pattern = r""^0x[0-9A-Fa-f]{8}$""
    assert bool(re.match(pattern, v)), f""'{v}' is not a valid 'constUID'""
    return v","def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is not None:
        if isinstance(v, str) and len(v) == 10 and v.startswith(""0x"") and v[2:].isdigit():
            return v
    return None","def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is not None:
        if isinstance(v, str) and len(v) == 10 and v.startswith(""0x"") and all(c in '0123456789abcdefABCDEF' for c in v[2:]):
            return v
    return None",53.50362680299459,45.30937217439823,46.705135037580135,52.0,70.0
13,python,"def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    model = VSSRaw(fqn=fqn, **data)
    try:
        model = resolve_vss_raw(model)
    except (ValidationError, ModelException):
        log.debug(f""'{fqn}', incomplete, initialized as '{model.__class__.__name__}'"")
        return model
    return model","def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    vss_raw = VSSRaw(data)
    if fqn is not None:
        vss_raw = vss_raw.resolve()
    return vss_raw","def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    vss_raw = VSSRaw(data)
    if fqn is not None:
        try:
            vss_raw = vss_raw.resolve()
        except Exception:
            pass
    return vss_raw",45.77190496790071,30.907717844375206,31.346568693894305,47.5,73.33333333333333
