id,language,reference,generated,generated_rci,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score
2,python,"def is_datatype(cls, value: Any, datatype: str) -> bool:
    t = cls.get_type(datatype)
    if t is None:
        raise DatatypesException(f""Unsupported datatype: {datatype}"")
    return t[1](value)","from typing import Any

def is_datatype(cls, value: Any, datatype: str) -> bool:
    if datatype == ""int"":
        return isinstance(value, int)
    elif datatype == ""float"":
        return isinstance(value, float)
    elif datatype == ""str"":
        return isinstance(value, str)
    elif datatype == ""bool"":
        return isinstance(value, bool)
    elif datatype == ""list"":
        return isinstance(value, list)
    elif datatype == ""tuple"":
        return isinstance(value, tuple)
    elif datatype == ""dict"":
        return isinstance(value, dict)
    elif datatype == ""set"":
        return isinstance(value, set)
    else:
        return False","from typing import Any

def is_datatype(cls, value: Any, datatype: str) -> bool:
    if datatype == ""int"":
        return isinstance(value, int)
    elif datatype == ""float"":
        return isinstance(value, float)
    elif datatype == ""str"":
        return isinstance(value, str)
    elif datatype == ""bool"":
        return isinstance(value, bool)
    elif datatype == ""list"":
        return isinstance(value, list)
    elif datatype == ""tuple"":
        return isinstance(value, tuple)
    elif datatype == ""dict"":
        return isinstance(value, dict)
    elif datatype == ""set"":
        return isinstance(value, set)
    else:
        return False",37.1611529750151,9.74150876536819,35.826180057769115,23.076923076923077,80.0
3,python,"def is_xintx(value: Any, signed: bool, bits: int):
    values = [value]
    if isinstance(value, list):
        values = value

    for v in values:
        if not isinstance(v, int):
            return False
        if not signed and v < 0:
            return False
        max = 2**bits - 1
        min = 0
        if signed:
            max = 2 ** (bits - 1) - 1
            min = -(2 ** (bits - 1))
        if not (v <= max and v >= min):
            return False
    return True","from typing import Any

def is_xintx(value: Any, signed: bool, bits: int):
    if isinstance(value, list):
        for v in value:
            if not is_xintx(v, signed, bits):
                return False
        return True
    elif isinstance(value, int):
        if signed:
            if value < -(2**(bits-1)) or value > 2**(bits-1)-1:
                return False
        else:
            if value < 0 or value > 2**bits-1:
                return False
        return True
    else:
        return False","from typing import Any

def is_xintx(value: Any, signed: bool, bits: int):
    if isinstance(value, list):
        for v in value:
            if not is_xintx(v, signed, bits):
                return False
        return True
    elif isinstance(value, int):
        if signed:
            if value < -(2**(bits-1)) or value > 2**(bits-1)-1:
                return False
        else:
            if value < 0 or value > 2**bits-1:
                return False
        return True
    else:
        return False",30.26505092292469,16.671973698980285,18.931344535833023,47.61904761904761,37.83783783783784
4,python,"def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
        for t in cls.types:
            if datatype == t[0]:
                return t
        return None","def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
    for type_name, type_func, type_args in cls.__dict__.items():
        if type_name == datatype:
            return type_name, type_func, type_args
    return None","def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
    for type_name, type_func, type_args in cls.__dict__.items():
        if type_name == datatype:
            return type_name, type_func, type_args
    return None",60.865774346132895,44.012943788324186,54.669008815062604,62.96296296296296,81.81818181818183
5,python,"def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    if not fqn:
        return {}
    fqn_namespaced_datatypes = {}
    for t in dynamic_datatypes:
        if fqn.startswith(t):
            continue

        if fqn.startswith(""."".join(t.split(""."")[:-1])):
            fqn_namespaced_datatypes[(t.split(""."")[-1])] = t

    if fqn_namespaced_datatypes:
        log.debug(f""Namespaced datatypes, {fqn=}, {fqn_namespaced_datatypes=}"")
    return fqn_namespaced_datatypes","```python
def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    if fqn is None:
        fqn = get_fqn()
    fqn_parts = fqn.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.","```python
def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    if fqn is None:
        fqn = get_fqn()
    fqn_parts = fqn.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.split(""."")
    fqn_parts.pop()
    fqn_parts = ""."".join(fqn_parts)
    fqn_parts = fqn_parts.",28.1792740321136,6.450015977840487,25.885135706169482,35.9375,44.44444444444444
7,python,"def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    is_array = False
    apigear_type = None
    if t.endswith(""[]""):
        is_array = True
        t = t[0:-2]

    if t in [""int8"", ""int16"", ""int32"", ""uint8"", ""uint16"", ""uint32""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT32.value)
    elif t in [""int64"", ""uint64""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT64.value)
    elif t == ""float"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT32.value)
    elif t == ""double"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT64.value)
    elif t == ""boolean"":
        apigear_type = ApiGearType(ApiGearBasicType.BOOL.value)
    elif t == ""string"":
        apigear_type = ApiGearType(ApiGearBasicType.STRING.value)
    else:
        apigear_type = ApiGearType(t.replace(""."", ""_""))

    if is_array and apigear_type is not None:
        apigear_type.is_array = True

    return apigear_type","```python
def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    if t == ""string"":
        return ApiGearType.STRING
    elif t == ""integer"":
        return ApiGearType.INTEGER
    elif t == ""float"":
        return ApiGearType.FLOAT
    elif t == ""boolean"":
        return ApiGearType.BOOLEAN
    elif t == ""array"":
        return ApiGearType.ARRAY
    elif t == ""object"":
        return ApiGearType.OBJECT
    elif t == ""enum"":
        return ApiGearType.ENUM
    elif t == ""date"":
        return ApiGearType.DATE
    elif t == ""datetime"":
        return ApiGearType.DATETIME
    elif t == ""timestamp"":
        return ApiGearType.TIMESTAMP
    elif t == ""binary"":
        return ApiGearType.BINARY
    elif t == ""json"":
        return ApiGearType.JSON
    elif t == ""uuid"":
        return ApiGearType.UUID
    elif t == ""email"":
        return ApiGearType.EMAIL
    elif t == ""url"":
        return ApiGearType.URL
    elif t == ""ip_address"":
        return ApiGearType.IP_ADDRESS
    elif t == ""ipv6_address"":
        return ApiGearType.IPV6_ADDRESS
    elif t == ""mac_address"":
        return ApiGearType.MAC_ADDRESS
    elif t == ""hex_color"":
        return ApiGearType.HEX_COLOR
    elif t == ""rgb_color"":
        return ApiGearType.RGB_COLOR
    elif t == ""rgba_color"":
        return ApiGearType.RGBA_COLOR
    elif t == ""byte"":
        return ApiGearType.BYTE
    elif t == ""int8"":
        return ApiGearType.INT8
    elif t == ""int16"":
        return ApiGearType.INT16
    elif t == ""int32"":
        return ApiGearType.INT32
    elif t == ""int64"":
        return ApiGearType.INT64
    elif t == ""uint8"":
        return ApiGearType.UINT8
    elif t == ""uint16"":
        return ApiGearType.UINT16
    elif t == ""uint32"":
        return ApiGearType.UINT32
    elif t == ""uint64"":
        return ApiGearType.UINT64
    elif t == ""decimal"":
        return ApiGearType.DECIMAL
    elif t == ""time"":
        return ApiGearType.TIME
    elif t == ""duration"":
        return ApiGearType.DURATION
    elif t == ""any"":
        return ApiGearType.ANY
    elif t == ""null"":
        return ApiGearType.NULL
    elif t == ""void"":
        return ApiGearType.VOID
    elif t == ""null_or_void"":
        return ApiGearType.NULL_OR_VOID
    elif t == ""any_or_null"":
        return ApiGearType.ANY_OR_NULL
    elif t == ""any_or_void"":
        return ApiGearType.ANY_OR_VOID
    elif t == ""any_or_null_or_void"":
        return ApiGearType.ANY_OR_NULL_OR_VOID
    elif t == ""any_or_null_or_void_or_string"":
        return ApiGearType.ANY_OR_NULL_OR_VOID_OR","```python
def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    if t == ""string"":
        return ApiGearType.STRING
    elif t == ""integer"":
        return ApiGearType.INTEGER
    elif t == ""float"":
        return ApiGearType.FLOAT
    elif t == ""boolean"":
        return ApiGearType.BOOLEAN
    elif t == ""array"":
        return ApiGearType.ARRAY
    elif t == ""object"":
        return ApiGearType.OBJECT
    elif t == ""enum"":
        return ApiGearType.ENUM
    elif t == ""date"":
        return ApiGearType.DATE
    elif t == ""datetime"":
        return ApiGearType.DATETIME
    elif t == ""timestamp"":
        return ApiGearType.TIMESTAMP
    elif t == ""binary"":
        return ApiGearType.BINARY
    elif t == ""json"":
        return ApiGearType.JSON
    elif t == ""uuid"":
        return ApiGearType.UUID
    elif t == ""email"":
        return ApiGearType.EMAIL
    elif t == ""url"":
        return ApiGearType.URL
    elif t == ""ip_address"":
        return ApiGearType.IP_ADDRESS
    elif t == ""ipv6_address"":
        return ApiGearType.IPV6_ADDRESS
    elif t == ""mac_address"":
        return ApiGearType.MAC_ADDRESS
    elif t == ""hex_color"":
        return ApiGearType.HEX_COLOR
    elif t == ""rgb_color"":
        return ApiGearType.RGB_COLOR
    elif t == ""rgba_color"":
        return ApiGearType.RGBA_COLOR
    elif t == ""byte"":
        return ApiGearType.BYTE
    elif t == ""int8"":
        return ApiGearType.INT8
    elif t == ""int16"":
        return ApiGearType.INT16
    elif t == ""int32"":
        return ApiGearType.INT32
    elif t == ""int64"":
        return ApiGearType.INT64
    elif t == ""uint8"":
        return ApiGearType.UINT8
    elif t == ""uint16"":
        return ApiGearType.UINT16
    elif t == ""uint32"":
        return ApiGearType.UINT32
    elif t == ""uint64"":
        return ApiGearType.UINT64
    elif t == ""decimal"":
        return ApiGearType.DECIMAL
    elif t == ""time"":
        return ApiGearType.TIME
    elif t == ""duration"":
        return ApiGearType.DURATION
    elif t == ""any"":
        return ApiGearType.ANY
    elif t == ""null"":
        return ApiGearType.NULL
    elif t == ""void"":
        return ApiGearType.VOID
    elif t == ""null_or_void"":
        return ApiGearType.NULL_OR_VOID
    elif t == ""any_or_null"":
        return ApiGearType.ANY_OR_NULL
    elif t == ""any_or_void"":
        return ApiGearType.ANY_OR_VOID
    elif t == ""any_or_null_or_void"":
        return ApiGearType.ANY_OR_NULL_OR_VOID
    elif t == ""any_or_null_or_void_or_string"":
        return ApiGearType.ANY_OR_NULL_OR_VOID_OR",19.685374009617618,4.60327754606054,14.541526195877214,30.08849557522124,29.508196721311474
8,python,"def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    apigear_type = get_apigear_datatype(datatype)
    data = node.get_vss_data()

    if apigear_type is None:
        log.warning(f""Datatype {datatype} of node {node.name} currently not supported"")
        return None

    property = ApiGearProperty(apigear_type)
    if data.description != """":
        property.description = data.description
    return property","```python
def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    if node.type == ""STRUCT"":
        return None
    elif node.type == ""ENUM"":
        return None
    elif node.type == ""ARRAY"":
        return None
    elif node.type == ""MAP"":
        return None
    elif node.type == ""SIGNAL"":
        return ApiGearProperty(
            name=node.name,
            datatype=datatype,
            description=node.description,
            unit=node.unit,
            min=node.min,
            max=node.max,
            range=node.range,
            bit_length=node.bit_length,
            byte_order=node.byte_order,
            endianness=node.endianness,
            offset=node.offset,
            scale=node.scale,
            physical_unit=node.physical_unit,
            physical_unit_multiplier=node.physical_unit_multiplier,
            physical_unit_offset=node.physical_unit_offset,
            is_bitfield=node.is_bitfield,
            bitfield_length=node.bitfield_length,
            bitfield_offset=node.bitfield_offset,
            bitfield_msb=node.bitfield_msb,
            bitfield_lsb=node.bitfield_lsb,
            bitfield_bit_order=node.bitfield_bit_order,
            bitfield_byte_order=node.bitfield_byte_order,
            bitfield_endianness=node.bitfield_endianness,
            bitfield_offset_bit=node.bitfield_offset_bit,
            bitfield_offset_byte=node.bitfield_offset_byte,
            bitfield_offset_word=node.bitfield_offset_word,
            bitfield_offset_dword=node.bitfield_offset_dword,
            bitfield_offset_qword=node.bitfield_offset_qword,
            bitfield_offset_bword=node.bitfield_offset_bword,
            bitfield_offset_quadword=node.bitfield_offset_quadword,
            bitfield_offset_xword=node.bitfield_offset_xword,
            bitfield_offset_yword=node.bitfield_offset_yword,
            bitfield_offset_zword=node.bitfield_offset_zword,
            bitfield_offset_aquadword=node.bitfield_offset_aquadword,
            bitfield_offset_bquadword=node.bitfield_offset_bquadword,
            bitfield_offset_cquadword=node.bitfield_offset_cquadword,
            bitfield_offset_dquadword=node.bitfield_offset_dquadword,
            bitfield_offset_equadword=node.bitfield_offset_equadword,
            bitfield_offset_fquadword=node.bitfield_offset_fquadword,
            bitfield_offset_gquadword=node.bitfield_offset_gquadword,
            bitfield_offset_hquadword=node.bitfield_offset_hquadword,
            bitfield_offset_iquadword=node.bitfield_offset_iquadword,
            bitfield_offset_jqword=node.bitfield_offset_jqword,
            bitfield_offset_kword=node.bitfield_offset_k","```python
def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    if node.type == ""STRUCT"":
        return None
    elif node.type == ""ENUM"":
        return None
    elif node.type == ""ARRAY"":
        return None
    elif node.type == ""MAP"":
        return None
    elif node.type == ""SIGNAL"":
        return ApiGearProperty(
            name=node.name,
            datatype=datatype,
            description=node.description,
            unit=node.unit,
            min=node.min,
            max=node.max,
            range=node.range,
            bit_length=node.bit_length,
            byte_order=node.byte_order,
            endianness=node.endianness,
            offset=node.offset,
            scale=node.scale,
            physical_unit=node.physical_unit,
            physical_unit_multiplier=node.physical_unit_multiplier,
            physical_unit_offset=node.physical_unit_offset,
            is_bitfield=node.is_bitfield,
            bitfield_length=node.bitfield_length,
            bitfield_offset=node.bitfield_offset,
            bitfield_msb=node.bitfield_msb,
            bitfield_lsb=node.bitfield_lsb,
            bitfield_bit_order=node.bitfield_bit_order,
            bitfield_byte_order=node.bitfield_byte_order,
            bitfield_endianness=node.bitfield_endianness,
            bitfield_offset_bit=node.bitfield_offset_bit,
            bitfield_offset_byte=node.bitfield_offset_byte,
            bitfield_offset_word=node.bitfield_offset_word,
            bitfield_offset_dword=node.bitfield_offset_dword,
            bitfield_offset_qword=node.bitfield_offset_qword,
            bitfield_offset_bword=node.bitfield_offset_bword,
            bitfield_offset_quadword=node.bitfield_offset_quadword,
            bitfield_offset_xword=node.bitfield_offset_xword,
            bitfield_offset_yword=node.bitfield_offset_yword,
            bitfield_offset_zword=node.bitfield_offset_zword,
            bitfield_offset_aquadword=node.bitfield_offset_aquadword,
            bitfield_offset_bquadword=node.bitfield_offset_bquadword,
            bitfield_offset_cquadword=node.bitfield_offset_cquadword,
            bitfield_offset_dquadword=node.bitfield_offset_dquadword,
            bitfield_offset_equadword=node.bitfield_offset_equadword,
            bitfield_offset_fquadword=node.bitfield_offset_fquadword,
            bitfield_offset_gquadword=node.bitfield_offset_gquadword,
            bitfield_offset_hquadword=node.bitfield_offset_hquadword,
            bitfield_offset_iquadword=node.bitfield_offset_iquadword,
            bitfield_offset_jqword=node.bitfield_offset_jqword,
            bitfield_offset_kword=node.bitfield_offset_k",32.91344403442706,10.149501815984591,23.17094098839031,33.33333333333333,65.0
10,python,"def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    spec = None
    vspecs: list[VSpec] = []
    for s in specs:
        includes = [s.parent] + include_dirs
        vspecs.extend(get_vspecs(includes, s))
    pre = ""VSpecs""
    if identifier:
        pre += f"" ({identifier})""
    log.info(f""{pre} loaded, amount={len(vspecs)}"")
    for vspec in vspecs:
        log.debug(vspec)
        if spec is None:
            spec = vspec
        else:
            spec.update(vspec)
    if not spec:
        msg = f""Weird behavior. Could not load any spec: {specs}""
        log.error(msg)
        raise SpecException(msg)
    return spec","from pathlib import Path
from vspec.vspec import VSpec
from vspec.vspec_parser import VSpecParser

def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    """"""Loads and merges multiple VSpec files from specified paths into a single VSpec object""""""
    vspec = VSpec(identifier)
    for include_dir in include_dirs:
        vspec.add_include_dir(include_dir)
    for spec in specs:
        vspec.add_spec(spec)
    return vspec","from pathlib import Path
from vspec.vspec import VSpec
from vspec.vspec_parser import VSpecParser

def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    """"""Loads and merges multiple VSpec files from specified paths into a single VSpec object""""""
    vspec = VSpec(identifier)
    for include_dir in include_dirs:
        vspec.add_include_dir(include_dir)
    for spec in specs:
        vspec.add_spec(spec)
    return vspec",28.424546213980605,17.390532588613205,19.305068287981065,44.44444444444444,32.55813953488372
11,python,"def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for key, value in update.items():
        if isinstance(value, dict):
            if key in base and isinstance(base[key], dict):
                deep_update(base[key], value)
            else:
                base[key] = value
        else:
            base[key] = value","from typing import Any

def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for k, v in update.items():
        if isinstance(v, dict):
            base[k] = deep_update(base.get(k, {}), v)
        else:
            base[k] = v","from typing import Any

def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for k, v in update.items():
        if isinstance(v, dict):
            if k not in base:
                base[k] = {}
            base[k] = deep_update(base[k], v)
        else:
            base[k] = v",49.22226270225758,32.01690490237838,32.58047923998528,66.66666666666666,65.625
12,python,"def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return v
    pattern = r""^0x[0-9A-Fa-f]{8}$""
    assert bool(re.match(pattern, v)), f""'{v}' is not a valid 'constUID'""
    return v","def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return None
    if not isinstance(v, str):
        return None
    if len(v) != 8:
        return None
    try:
        int(v, 16)
    except ValueError:
        return None
    return v","def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return None
    if not isinstance(v, str):
        return None
    if len(v) != 8:
        return None
    try:
        int(v, 16)
    except ValueError:
        return None
    return v",50.55735832975432,40.37469867061998,51.8547346483973,40.0,70.0
13,python,"def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    model = VSSRaw(fqn=fqn, **data)
    try:
        model = resolve_vss_raw(model)
    except (ValidationError, ModelException):
        log.debug(f""'{fqn}', incomplete, initialized as '{model.__class__.__name__}'"")
        return model
    return model","def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    vss_raw = VSSRaw(data)
    if not vss_raw.resolve(fqn):
        return vss_raw
    return None","def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    vss_raw = VSSRaw(data)
    if not vss_raw.resolve(fqn):
        return vss_raw
    return None",44.11516152867524,29.55084986581822,32.7431295822161,47.5,66.66666666666666
