id,language,reference,generated,generated_rci,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score
2,python,"def is_datatype(cls, value: Any, datatype: str) -> bool:
    t = cls.get_type(datatype)
    if t is None:
        raise DatatypesException(f""Unsupported datatype: {datatype}"")
    return t[1](value)","from typing import Any

def is_datatype(cls, value: Any, datatype: str) -> bool:
    if datatype == ""int"":
        return isinstance(value, int)
    elif datatype == ""float"":
        return isinstance(value, float)
    elif datatype == ""str"":
        return isinstance(value, str)
    elif datatype == ""bool"":
        return isinstance(value, bool)
    elif datatype == ""list"":
        return isinstance(value, list)
    elif datatype == ""tuple"":
        return isinstance(value, tuple)
    elif datatype == ""dict"":
        return isinstance(value, dict)
    elif datatype == ""set"":
        return isinstance(value, set)
    else:
        return False","from typing import Any

def is_datatype(cls, value: Any, datatype: str) -> bool:
    if datatype == ""int"":
        return isinstance(value, int)
    elif datatype == ""float"":
        return isinstance(value, float)
    elif datatype == ""str"":
        return isinstance(value, str)
    elif datatype == ""bool"":
        return isinstance(value, bool)
    elif datatype == ""list"":
        return isinstance(value, list)
    elif datatype == ""tuple"":
        return isinstance(value, tuple)
    elif datatype == ""dict"":
        return isinstance(value, dict)
    elif datatype == ""set"":
        return isinstance(value, set)
    else:
        return False",37.1611529750151,9.74150876536819,35.826180057769115,23.076923076923077,80.0
3,python,"def is_xintx(value: Any, signed: bool, bits: int):
    values = [value]
    if isinstance(value, list):
        values = value

    for v in values:
        if not isinstance(v, int):
            return False
        if not signed and v < 0:
            return False
        max = 2**bits - 1
        min = 0
        if signed:
            max = 2 ** (bits - 1) - 1
            min = -(2 ** (bits - 1))
        if not (v <= max and v >= min):
            return False
    return True","from typing import Any

def is_xintx(value: Any, signed: bool, bits: int):
    """"""Checks if a value or list of values is a valid integer for a specified bit-width and signedness.""""""
    if isinstance(value, list):
        for v in value:
            if not is_xintx(v, signed, bits):
                return False
        return True
    elif isinstance(value, int):
        if signed:
            lower_bound = -(2**(bits - 1))
            upper_bound = 2**(bits - 1) - 1
        else:
            lower_bound = 0
            upper_bound = 2**bits - 1
        return lower_bound <= value <= upper_bound
    else:
        return False","from typing import Any

def is_xintx(value: Any, signed: bool, bits: int):
    """"""Checks if a value or list of values is a valid integer for a specified bit-width and signedness.""""""
    if isinstance(value, list):
        for v in value:
            if not is_xintx(v, signed, bits):
                return False
        return True
    elif isinstance(value, int):
        if signed:
            lower_bound = -(2**(bits - 1))
            upper_bound = 2**(bits - 1) - 1
        else:
            lower_bound = 0
            upper_bound = 2**bits - 1
        return lower_bound <= value <= upper_bound
    else:
        return False",40.76683807491458,22.431107984819377,25.14932882792345,58.730158730158735,56.75675675675676
4,python,"def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
        for t in cls.types:
            if datatype == t[0]:
                return t
        return None","def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
    for t in cls.__dict__.values():
        if isinstance(t, tuple) and t[0] == datatype:
            return t
    return None","def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
    for t in cls.__dict__.values():
        if isinstance(t, tuple) and t[0] == datatype:
            return t
    return None",71.83019945329406,60.52987576779449,70.89866615312582,74.07407407407408,81.81818181818183
5,python,"def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    if not fqn:
        return {}
    fqn_namespaced_datatypes = {}
    for t in dynamic_datatypes:
        if fqn.startswith(t):
            continue

        if fqn.startswith(""."".join(t.split(""."")[:-1])):
            fqn_namespaced_datatypes[(t.split(""."")[-1])] = t

    if fqn_namespaced_datatypes:
        log.debug(f""Namespaced datatypes, {fqn=}, {fqn_namespaced_datatypes=}"")
    return fqn_namespaced_datatypes","def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    """"""Finds all datatypes within the current namespace and any parent namespaces of a given FQN""""""
    datatypes = {}
    if fqn is None:
        fqn = get_fqn()
    fqn_parts = fqn.split(""."")
    for i in range(len(fqn_parts)):
        namespace = ""."".join(fqn_parts[:i+1])
        for datatype in get_datatypes_in_namespace(namespace):
            datatypes[datatype.fqn] = datatype.name
    return datatypes","def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    """"""Finds all datatypes within the current namespace and any parent namespaces of a given FQN""""""
    datatypes = {}
    if fqn is None:
        fqn = get_fqn()
    fqn_parts = fqn.split(""."")
    for i in range(len(fqn_parts)):
        namespace = ""."".join(fqn_parts[:i+1])
        for datatype in get_datatypes_in_namespace(namespace):
            datatypes[datatype.fqn] = datatype.name
    return datatypes",32.70471356979535,18.819082658803545,27.509030879637113,43.75,40.74074074074074
7,python,"def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    is_array = False
    apigear_type = None
    if t.endswith(""[]""):
        is_array = True
        t = t[0:-2]

    if t in [""int8"", ""int16"", ""int32"", ""uint8"", ""uint16"", ""uint32""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT32.value)
    elif t in [""int64"", ""uint64""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT64.value)
    elif t == ""float"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT32.value)
    elif t == ""double"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT64.value)
    elif t == ""boolean"":
        apigear_type = ApiGearType(ApiGearBasicType.BOOL.value)
    elif t == ""string"":
        apigear_type = ApiGearType(ApiGearBasicType.STRING.value)
    else:
        apigear_type = ApiGearType(t.replace(""."", ""_""))

    if is_array and apigear_type is not None:
        apigear_type.is_array = True

    return apigear_type","import typing

from apigear.core.datatype import ApiGearType

def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    if t == ""string"":
        return ApiGearType.STRING
    elif t == ""integer"":
        return ApiGearType.INTEGER
    elif t == ""float"":
        return ApiGearType.FLOAT
    elif t == ""boolean"":
        return ApiGearType.BOOLEAN
    elif t == ""array"":
        return ApiGearType.ARRAY
    elif t == ""object"":
        return ApiGearType.OBJECT
    elif t == ""enum"":
        return ApiGearType.ENUM
    elif t == ""date"":
        return ApiGearType.DATE
    elif t == ""datetime"":
        return ApiGearType.DATETIME
    elif t == ""timestamp"":
        return ApiGearType.TIMESTAMP
    elif t == ""binary"":
        return ApiGearType.BINARY
    elif t == ""json"":
        return ApiGearType.JSON
    elif t == ""uuid"":
        return ApiGearType.UUID
    elif t == ""null"":
        return ApiGearType.NULL
    else:
        return None","import typing

from apigear.core.datatype import ApiGearType

def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    if t == ""string"":
        return ApiGearType.STRING
    elif t == ""integer"":
        return ApiGearType.INTEGER
    elif t == ""float"":
        return ApiGearType.FLOAT
    elif t == ""boolean"":
        return ApiGearType.BOOLEAN
    elif t == ""array"":
        return ApiGearType.ARRAY
    elif t == ""object"":
        return ApiGearType.OBJECT
    elif t == ""enum"":
        return ApiGearType.ENUM
    elif t == ""date"":
        return ApiGearType.DATE
    elif t == ""datetime"":
        return ApiGearType.DATETIME
    elif t == ""timestamp"":
        return ApiGearType.TIMESTAMP
    elif t == ""binary"":
        return ApiGearType.BINARY
    elif t == ""json"":
        return ApiGearType.JSON
    elif t == ""uuid"":
        return ApiGearType.UUID
    elif t == ""null"":
        return ApiGearType.NULL
    else:
        return None",18.799675767692253,12.173587283343316,14.903833326958555,30.08849557522124,18.0327868852459
8,python,"def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    apigear_type = get_apigear_datatype(datatype)
    data = node.get_vss_data()

    if apigear_type is None:
        log.warning(f""Datatype {datatype} of node {node.name} currently not supported"")
        return None

    property = ApiGearProperty(apigear_type)
    if data.description != """":
        property.description = data.description
    return property","```python
def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    """"""Generates an ApiGear property from a VSS (Vehicle Signal Specification) node""""""
    if not node.is_property:
        return None

    if node.datatype is None:
        node.datatype = datatype

    if node.datatype == ""uint8"":
        return ApiGearProperty(
            name=node.name,
            datatype=DataType.UINT8,
            bit_length=8,
            byte_offset=node.byte_offset,
            bit_offset=node.bit_offset,
            is_array=node.is_array,
            array_length=node.array_length,
            is_multidomain=node.is_multidomain,
            multidomain_length=node.multidomain_length,
            is_little_endian=node.is_little_endian,
            is_signed=False,
            is_constant=node.is_constant,
            constant_value=node.constant_value,
            is_volatile=node.is_volatile,
            is_physical=node.is_physical,
            is_virtual=node.is_virtual,
            is_derived=node.is_derived,
            is_internal=node.is_internal,
            is_external=node.is_external,
            is_static=node.is_static,
            is_dynamic=node.is_dynamic,
            is_optional=node.is_optional,
            is_union=node.is_union,
            is_enum=node.is_enum,
            is_bitfield=node.is_bitfield,
            is_struct=node.is_struct,
            is_array_of_structs=node.is_array_of_structs,
            is_array_of_enums=node.is_array_of_enums,
            is_array_of_bitfields=node.is_array_of_bitfields,
            is_array_of_structs_of_enums=node.is_array_of_structs_of_enums,
            is_array_of_structs_of_bitfields=node.is_array_of_structs_of_bitfields,
            is_array_of_bitfields_of_enums=node.is_array_of_bitfields_of_enums,
            is_array_of_bitfields_of_structs=node.is_array_of_bitfields_of_structs,
            is_array_of_bitfields_of_structs_of_enums=node.is_array_of_bitfields_of_structs_of_enums,
            is_array_of_bitfields_of_structs_of_bitfields=node.is_array_of_bitfields_of_structs_of_bitfields,
            is_array_of_bitfields_of_bitfields_of_enums=node.is_array_of_bitfields_of_bitfields_of_enums,
            is_array_of_bitfields_of_bitfields_of_structs=node.is_array_of_bitfields_of_bitfields_of_structs,
            is_array_of_bitfields_of_bitfields_of_structs_of_enums=node.is_array_of_bitfields_of_bitfields_of_struct","```python
def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    """"""Generates an ApiGear property from a VSS (Vehicle Signal Specification) node""""""
    if not node.is_property:
        return None

    if node.datatype is None:
        node.datatype = datatype

    if node.datatype == ""uint8"":
        return ApiGearProperty(
            name=node.name,
            datatype=DataType.UINT8,
            bit_length=8,
            byte_offset=node.byte_offset,
            bit_offset=node.bit_offset,
            is_array=node.is_array,
            array_length=node.array_length,
            is_multidomain=node.is_multidomain,
            multidomain_length=node.multidomain_length,
            is_little_endian=node.is_little_endian,
            is_signed=False,
            is_constant=node.is_constant,
            constant_value=node.constant_value,
            is_volatile=node.is_volatile,
            is_physical=node.is_physical,
            is_virtual=node.is_virtual,
            is_derived=node.is_derived,
            is_internal=node.is_internal,
            is_external=node.is_external,
            is_static=node.is_static,
            is_dynamic=node.is_dynamic,
            is_optional=node.is_optional,
            is_union=node.is_union,
            is_enum=node.is_enum,
            is_bitfield=node.is_bitfield,
            is_struct=node.is_struct,
            is_array_of_structs=node.is_array_of_structs,
            is_array_of_enums=node.is_array_of_enums,
            is_array_of_bitfields=node.is_array_of_bitfields,
            is_array_of_structs_of_enums=node.is_array_of_structs_of_enums,
            is_array_of_structs_of_bitfields=node.is_array_of_structs_of_bitfields,
            is_array_of_bitfields_of_enums=node.is_array_of_bitfields_of_enums,
            is_array_of_bitfields_of_structs=node.is_array_of_bitfields_of_structs,
            is_array_of_bitfields_of_structs_of_enums=node.is_array_of_bitfields_of_structs_of_enums,
            is_array_of_bitfields_of_structs_of_bitfields=node.is_array_of_bitfields_of_structs_of_bitfields,
            is_array_of_bitfields_of_bitfields_of_enums=node.is_array_of_bitfields_of_bitfields_of_enums,
            is_array_of_bitfields_of_bitfields_of_structs=node.is_array_of_bitfields_of_bitfields_of_structs,
            is_array_of_bitfields_of_bitfields_of_structs_of_enums=node.is_array_of_bitfields_of_bitfields_of_struct",34.34443563341068,12.519915499136532,26.524493701172876,33.33333333333333,65.0
10,python,"def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    spec = None
    vspecs: list[VSpec] = []
    for s in specs:
        includes = [s.parent] + include_dirs
        vspecs.extend(get_vspecs(includes, s))
    pre = ""VSpecs""
    if identifier:
        pre += f"" ({identifier})""
    log.info(f""{pre} loaded, amount={len(vspecs)}"")
    for vspec in vspecs:
        log.debug(vspec)
        if spec is None:
            spec = vspec
        else:
            spec.update(vspec)
    if not spec:
        msg = f""Weird behavior. Could not load any spec: {specs}""
        log.error(msg)
        raise SpecException(msg)
    return spec","from pathlib import Path

from vspec.vspec import VSpec


def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    vspec = VSpec(identifier=identifier)
    for include_dir in include_dirs:
        vspec.load_includes(include_dir)
    for spec in specs:
        vspec.load_spec(spec)
    return vspec","from pathlib import Path

from vspec.vspec import VSpec


def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    vspec = VSpec(identifier=identifier)
    for include_dir in include_dirs:
        vspec.load_includes(include_dir)
    for spec in specs:
        vspec.load_spec(spec)
    return vspec",26.82603770691894,13.218720782588726,19.305068287981065,42.22222222222222,32.55813953488372
11,python,"def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for key, value in update.items():
        if isinstance(value, dict):
            if key in base and isinstance(base[key], dict):
                deep_update(base[key], value)
            else:
                base[key] = value
        else:
            base[key] = value","from typing import Any

def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for k, v in update.items():
        if isinstance(v, dict):
            base[k] = deep_update(base.get(k, {}), v)
        else:
            base[k] = v","from typing import Any

def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for k, v in update.items():
        if isinstance(v, dict):
            if k not in base:
                base[k] = {}
            base[k] = deep_update(base[k], v)
        else:
            base[k] = v",53.846702795407275,30.85361475730496,35.574863090990796,77.08333333333334,71.875
12,python,"def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return v
    pattern = r""^0x[0-9A-Fa-f]{8}$""
    assert bool(re.match(pattern, v)), f""'{v}' is not a valid 'constUID'""
    return v","def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return None
    if not isinstance(v, str):
        return None
    if len(v) != 8:
        return None
    try:
        int(v, 16)
    except ValueError:
        return None
    return v","def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return None
    if not isinstance(v, str):
        return None
    if len(v) != 8:
        return None
    try:
        int(v, 16)
    except ValueError:
        return None
    return v",50.55735832975432,40.37469867061998,51.8547346483973,40.0,70.0
13,python,"def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    model = VSSRaw(fqn=fqn, **data)
    try:
        model = resolve_vss_raw(model)
    except (ValidationError, ModelException):
        log.debug(f""'{fqn}', incomplete, initialized as '{model.__class__.__name__}'"")
        return model
    return model","from typing import Any

from vss.raw import VSSRaw


def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    return VSSRaw(data, fqn)","from typing import Any

from vss.raw import VSSRaw


def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    return VSSRaw(data, fqn)",36.7365584401092,28.874252485219507,30.57198127521727,27.500000000000004,60.0
