id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,"Raises an exception if the specified 'datatype' is unsupported, otherwise retrieves that type's validation function and returns the boolean result of calling it with the provided 'value'","Validates that the provided 'datatype' is supported, then returns true if the 'value' is an instance of the specified 'datatype' using its associated type constructor.","Validates that the provided 'datatype' is supported, then returns true if the 'value' is an instance of the specified 'datatype' using its associated type constructor.",9.200468434138067,52.83018867924528,19.607843137254903,26.41509433962264,70.85071802139282
3,python,"Validates that a given value, or each value in a list, is an integer that fits within the numerical range defined by a specified bit-width and signedness",Checks if a given value or list of values are within the specified range for a signed or unsigned integer of a given bit width.,"Checks if a given value or list of values are within the specified range for a signed or unsigned integer of a given bit width, returning `True` if all values are within the range and `False` otherwise.",7.498840493966204,52.83018867924528,19.607843137254903,41.50943396226415,80.49222230911255
4,python,"Returns the type definition tuple from a class-level list of types that matches the provided 'datatype' name, or returns None if no match is found","Retrieves a tuple containing the datatype name, a callable, and a list of subtypes from a predefined list of datatypes if the provided datatype name matches a known datatype, otherwise returns None.","Retrieves a tuple containing the datatype name, a callable, and a list of subtypes from a predefined list of datatypes if the provided datatype name matches a known datatype, otherwise returns None.",4.987824484125202,48.275862068965516,21.428571428571427,37.93103448275862,67.89453029632568
5,python,Returns a dictionary mapping the short name to the full FQN for all dynamic datatypes that exist in the same namespace as the provided FQN,"Identifies and returns a dictionary of namespaced datatypes from a list of predefined datatypes, where the keys are the last segment of the datatype name and the values are the full qualified names, based on whether the input fully qualified name (fqn) starts with a prefix of any of the predefined datatypes.","Identifies and returns a dictionary of namespaced datatypes from a list of predefined datatypes, where the keys are the last segment of the datatype name and the values are the full qualified names, based on whether the input fully qualified name (fqn) starts with a prefix of any of the predefined datatypes, excluding those that match the input fqn exactly.",2.2071954719992286,28.57142857142857,7.999999999999999,23.376623376623378,60.789406299591064
7,python,"Parses a type string to create an `ApiGearType` object, mapping common primitive types to their ApiGear equivalents, sanitizing custom type names by replacing dots with underscores, and setting an array flag based on a ""[]"" suffix","Converts a string representation of a data type (e.g., 'int32', 'string', 'double[]') into an ApiGearType object, handling basic types, floating-point types, booleans, strings, and arrays.","Converts a string representation of a data type (e.g., 'int32', 'string', 'double[]') into an ApiGearType object, handling basic types, floating-point types, booleans, strings, and array indicators.",3.5650834481646116,29.03225806451613,6.666666666666667,25.806451612903224,63.386428356170654
8,python,"Creates an `ApiGearProperty` by converting the VSS node's datatype to a supported ApiGear type and copying its description, returning `None` and logging a warning if the datatype is not supported","Generates an `ApiGearProperty` object from a `VSSNode` and a specified `datatype`, populating its `apigear_type` and `description` attributes if the `datatype` is supported and the node has a description.","Generates an `ApiGearProperty` object from a `VSSNode` and a specified `datatype`, populating its `apigear_type` and `description` attributes if the `datatype` is supported and the node has a description, returning `None` if the `datatype` is not supported.",8.960170089569873,60.00000000000001,20.689655172413797,40.0,67.82293319702148
10,python,"Loads and parses multiple VSpec files from specified paths, using a list of include directories, then merges them into a single composite VSpec object and returns it, raising an exception if no files are successfully loaded","Loads and merges multiple VSpec files from a list of paths, optionally including specified include directories, and returns a single combined VSpec object after logging the loaded specs and any errors.","Loads and merges multiple VSpec files from a list of paths, optionally including specified include directories, and returns a single combined VSpec object after logging the loaded specs and raising an exception if no specs are loaded.",15.319666127426741,62.686567164179095,30.769230769230766,47.76119402985074,81.15034103393555
11,python,"Recursively updates a 'base' dictionary with an 'update' dictionary, merging nested dictionaries for common keys and overwriting or adding all other key-value pairs","Recursively updates a base dictionary with values from an update dictionary, merging nested dictionaries and overwriting non-dictionary values.","Recursively updates a base dictionary with values from an update dictionary, merging nested dictionaries and overwriting non-dictionary values in place.",23.811989337799506,65.11627906976744,53.65853658536586,65.11627906976744,78.28948497772217
12,python,"Asserts that the input value, if not None, is a valid 'constUID' formatted as an 8-digit hexadecimal string prefixed with '0x', returning the value if the check passes","Validates that the input string 'v' is a valid 'constUID' by checking if it matches the hexadecimal pattern '0x[0-9A-Fa-f]{8}' and returns the input string if valid, otherwise raises an assertion error.","Validates that the input string 'v' is a valid 'constUID' by checking if it matches the hexadecimal pattern '0x[0-9A-Fa-f]{8}' and returns the input string if valid, otherwise raises an assertion error.",9.870646728504157,49.230769230769226,15.873015873015875,33.84615384615385,72.61343002319336
13,python,"Initializes a VSSRaw model and attempts to resolve it, returning the successfully resolved model or the original unresolved model if resolution fails due to a validation or model error","Creates a VSSRaw object from the provided data and fully resolves it using `resolve_vss_raw`, returning the resolved object or an incomplete version if resolution fails.","Creates a VSSRaw object from the provided data, attempts to fully resolve it using `resolve_vss_raw`, and returns the resolved object or an incomplete version if resolution fails, logging a debug message in the latter case.",9.188355573937164,46.42857142857143,14.814814814814817,39.285714285714285,73.89795780181885
14,python,"Asserts that each string in the input list is a valid datatype by checking against a master list, returning the original list if all values are valid","Validates that all datatypes in the input list 'values' are present in the 'datatypes' list, raising an assertion error if an invalid datatype is found, and returning the original list if all datatypes are valid.","Validates that all datatypes in the input list 'values' are present in the 'datatypes' list, raising an assertion error if an invalid datatype is found, and returning the original list if all datatypes are valid.",21.90665528084726,54.83870967741936,33.333333333333336,45.16129032258064,73.6233651638031
15,python,"Traverses a VSSNode tree to generate a formatted string, displaying each node's name followed by the values of any specified attributes found on it","Recursively traverses a VSSNode tree, extracting specified attributes from each node and formatting them into a string representation suitable for rendering as a tree structure.","Recursively traverses a VSSNode tree, extracting specified attributes from each node and formatting them into a string representation suitable for rendering as a tree structure with attribute values.",7.52421768074461,40.00000000000001,20.833333333333336,24.0,77.33374834060669
16,python,"Recursively traverses up the parent hierarchy to find and return the first non-instance ancestor node and the traversal depth, raising an exception if the starting node is not a branch or if no root is found","Recursively traverses up the parent chain of a VSSNode until an instance root is found, returning the root node and the depth of the traversal.","Recursively traverses up the parent chain of a VSSNode until an instance root is found, returning the root node and the depth of the traversal, raising an exception if no instance root is found.",17.195185087625518,58.06451612903226,30.0,35.48387096774193,75.21016001701355
17,python,Recursively calculates the depth of the first-found branch of children where each node is a `VSSDataBranch` with its `is_instance` flag set,"Recursively counts the depth of instance children within a VSSDataBranch object, returning 1 plus the depth of the deepest instance child.","Recursively counts the depth of instance children within a VSSDataBranch object, returning 1 plus the depth of the deepest instance child found.",10.893272947401533,45.454545454545446,19.04761904761905,36.36363636363636,69.53707337379456
18,python,Returns a list of node IDs from an input list whose expected parent's name matches the provided `name`,Returns a list of node IDs whose expected parent is the specified name.,Returns a list of node IDs whose expected parent is the specified name.,27.104761349415757,68.75,46.666666666666664,68.75,82.57341980934143
19,python,"Retrieves an attribute from an object, returning a specified default value if the attribute is missing or its value is `None`","Retrieves an attribute from an object by name, returning a default value if the attribute is not found or is None.","Retrieves an attribute from an object by name, returning a default value if the attribute is not found or is None.",46.342510515962914,80.95238095238095,60.0,80.95238095238095,88.68709802627563
20,python,Generates a `proto3` file from a VSS tree by first writing import statements for complex data types and then converting each branch in the tree into a corresponding protobuf message,"Traverses a VSS signal tree, extracts and writes protobuf imports based on data types, and generates protobuf messages for each branch node, including optional fields if specified.","Traverses a VSS signal tree, extracts and writes protobuf imports based on data types, and generates protobuf messages for each branch node, optionally including optional fields.",4.570761631036955,38.59649122807017,14.545454545454547,28.070175438596497,69.42609548568726
21,python,"Traverses a VSS tree to find all terminal instance branches, grouping their relative names into a dictionary where each key is the fully qualified name of the original branch they instantiate","Traverses a VSS tree to identify and collect the fully qualified names of all instance nodes (those with the 'is_instance' flag set) that are not themselves part of a larger instance, grouping them by their instance root node.","Traverses a VSS tree to identify and collect the names of all instance nodes (those with the 'is_instance' flag set) that are not themselves part of a larger instance, grouping them by their instance root node.",13.074366872641685,48.57142857142857,17.647058823529413,28.57142857142857,69.53998804092407
22,python,Checks if a given VSSNode is a leaf by verifying its 'data' attribute is an instance of VSSDataDatatype,"Returns true if the provided VSSNode's data attribute is an instance of the VSSDataDatatype class, otherwise returns false.","Returns true if the provided VSSNode's data attribute is a VSSDataDatatype instance, otherwise returns false.",19.49624907951976,48.64864864864865,28.571428571428577,48.64864864864865,76.85987949371338
23,python,Returns `True` if the given `VSSNode`'s data is a `VSSDataBranch` and its `is_instance` attribute is `False`,"Returns true if the given VSSNode's data is a VSSDataBranch and its 'is_instance' attribute is false, otherwise returns false.","Returns true if the given VSSNode's data is a VSSDataBranch and its 'is_instance' attribute is false, otherwise returns false.",10.663001890185773,92.3076923076923,91.89189189189189,92.3076923076923,85.49414873123169
24,python,Returns True if the node's data is a VSSDataBranch and its 'is_instance' attribute is True,Checks if a VSSNode's data is a VSSDataBranch and if that branch is marked as an instance.,Checks if a VSSNode's data is a VSSDataBranch and if that branch's 'is_instance' attribute is set to True.,21.86976686325118,51.42857142857144,30.303030303030305,51.42857142857144,72.42424488067627
25,python,"Calculates a 32-bit FNV-1 hash for a given byte string by iterating through each byte, multiplying the current hash by the FNV prime, and then performing a bitwise XOR with the byte",Calculates a 32-bit FNV-1a hash value for a given byte string using a prime number and XOR operation.,"Calculates a 32-bit FNV-1a hash value for a given byte string by iterating through each byte, XORing it with the hash, and multiplying the hash by a prime number.",18.4212428775086,55.55555555555556,30.76923076923077,51.85185185185185,76.90545916557312
