id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,Checks if a value is of a specified datatype.,Checks if a value conforms to a specified datatype.,45.482442469604216,76.1904761904762,52.63157894736842,66.66666666666666,89.58489298820496
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,Checks if a value or list of values is a signed or unsigned integer within a specified bit range.,Checks if a value or list of values is a signed or unsigned integer within a specified bit range.,50.9568718854327,73.68421052631578,61.111111111111114,73.68421052631578,90.04218578338623
4,python,Looks up a type definition tuple by its string name from a list of types,"Retrieves a tuple containing the datatype, a callable, and a list of subtypes for a given datatype string.",Retrieves datatype information (including subtypes) for a given datatype string.,3.149696072246702,16.0,0.0,16.0,67.53997206687927
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,Returns a dictionary of namespaced datatypes matching a given fully qualified name.,Returns a dictionary of namespaced datatypes that are prefixes of a given fully qualified name.,9.78237574896145,26.666666666666668,14.285714285714285,26.666666666666668,65.06025195121765
7,python,Converts a string-based data type definition into an ApiGearType object,"Converts a string representation of a data type to an ApiGearType object, handling arrays and basic types.","Converts a string representation of a data type to an ApiGearType object, handling arrays and basic types.",11.076007888812258,57.14285714285714,38.46153846153847,57.14285714285714,82.52005577087402
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,"Generates an ApiGearProperty object from a VSSNode and its datatype, handling unsupported datatypes.","Generates an ApiGearProperty object from a VSSNode and its datatype, returning None if the datatype is unsupported.",5.7259987315337755,28.57142857142857,15.384615384615385,28.57142857142857,67.33492612838745
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,"Loads and merges multiple VSpec files, logging information about the process and raising an exception if no specs are loaded.","Loads and merges multiple VSpec files, logging information and raising an exception if no specs are loaded.",24.941747177008256,38.70967741935484,34.48275862068966,38.70967741935484,72.34260439872742
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively updates a dictionary with another dictionary, merging nested dictionaries.","Recursively updates a dictionary with another dictionary, merging nested dictionaries and overwriting non-dictionary values.",40.325042950627804,76.92307692307692,50.0,69.23076923076923,82.69322514533997
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,"Validates if a given string matches the format of a constant UID (e.g., '0x12345678').","Validates if a given string matches the format of a constant UID (e.g., '0x12345678').",4.968018039415939,37.03703703703704,8.0,22.222222222222225,61.8719220161438
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","Creates and resolves a VSSRaw object from a dictionary, handling potential validation or model errors.","Creates and resolves a VSSRaw object from a dictionary, returning it or an incomplete version if validation or model resolution fails.",4.141141330484801,22.22222222222222,0.0,22.22222222222222,77.49058604240417
14,python,Validates that a list of strings are all known datatypes,Validates that a list of strings contains only valid data types.,Validates that a list of strings contains only valid data types.,41.72261448611506,57.14285714285713,52.63157894736842,57.14285714285713,79.31047081947327
15,python,"Renders a VSS tree into a string, displaying specified attributes for each node","Generates a string representation of a VSSNode tree, including specified attributes and their values.”","Generates a string representation of a VSSNode tree, including specified attributes and their values.”",7.439820585622744,44.44444444444445,16.0,29.629629629629633,79.3688416481018
16,python,Finds the root of a VSS instance by recursively traversing up the parent hierarchy,Recursively traverses up the VSS tree to find the root instance node.,"Recursively traverses up the VSS tree to find the root instance node, returning the node and its depth.",5.993031480537873,43.75000000000001,13.333333333333334,25.0,74.25990104675293
17,python,Counts the depth of a chain of instance branches,Recursively counts the depth of instance children within a VSSDataBranch.,Recursively counts the depth of instance children within a VSSDataBranch.,17.542198478193427,63.1578947368421,47.05882352941176,52.63157894736842,70.86728811264038
18,python,Finds all child node IDs that belong to a specific parent name,Finds the IDs of all nodes whose expected parent is a given name.,Finds the IDs of all nodes whose expected parent is a given name.,4.44458779458587,48.00000000000001,0.0,32.0,80.90196251869202
19,python,"Gets an attribute, returning a default value if the attribute is missing or its value is None","Safely retrieves an attribute from an object, returning a default value if the attribute is missing.","Safely retrieves an attribute from an object, returning a default value if the attribute is not found.",45.98036015897535,58.82352941176471,50.0,58.82352941176471,79.91119027137756
20,python,Generates a Protobuf schema from a Vehicle Signal Specification (VSS) tree,"Generates a .proto file from a VSS signal tree, including imports and message definitions.","Generates a .proto file from a VSS signal tree, including imports and message definitions for each branch.",5.993031480537873,50.0,15.384615384615385,42.857142857142854,68.8714861869812
21,python,Groups all leaf VSS branch instances by the fully qualified name of their original branch definition,Collects the names of all instances under each instance root node within a VSS tree.,Collects the names of all instances under each instance root node within a VSS tree.,3.657015913414383,32.25806451612903,0.0,12.903225806451616,67.42867827415466
22,python,Determines if a VSS node is a leaf based on its data type,Checks if a VSS node is a leaf node by verifying if its data is a VSSDataDatatype.,Checks if a VSS node is a leaf node by checking if its data is a VSSDataDatatype.,36.19174049405417,59.999999999999986,50.0,59.999999999999986,79.99439239501953
23,python,Checks if a VSS node is a branch that is not an instance,Checks if a VSS node represents a branch with no instance data.,Checks if a VSS node is a branch and does not contain instance data.,50.31747626530137,74.07407407407408,55.99999999999999,74.07407407407408,84.52324271202087
24,python,Checks if a VSS node represents a branch instance,Checks if a VSSNode represents an instance of a VSSDataBranch.,Checks if a VSSNode's data is an instance of a VSSDataBranch.,14.323145079400492,47.61904761904762,21.05263157894737,38.0952380952381,77.68611311912537
25,python,FNV-1 32-bit hashing algorithm for a byte sequence,Calculates a 32-bit FNV-1a hash value for a given byte string.,Calculates a 32-bit FNV-1a hash value for a given byte string.,13.912311644176565,52.17391304347826,19.04761904761905,43.47826086956522,79.0833592414856
28,java,Inflates a card fragment's layout and initializes its view components,Inflates a layout for a card fragment and initializes its title and icon views.,Inflates a card fragment layout and initializes its title and icon views.,27.968424579665367,69.56521739130434,57.14285714285713,69.56521739130434,85.72794795036316
29,java,"Sets a button's icon and click listener to make it visible, or hides it if no content is provided",Updates the visibility and content of a control bar button based on the provided descriptive text and controls.,Updates the visibility and content of a control bar button based on the provided descriptive text and controls.,2.7162118995714084,26.31578947368421,0.0,15.789473684210526,67.85264015197754
30,java,Lazily inflates and initializes a descriptive text layout view on first access,Lazily initializes and returns a view for displaying descriptive text-only content with optional image and tap-for-more functionality.,"Lazily initializes and returns a view for displaying descriptive text-only content, including optional image and tap-for-more functionality.",3.168429634207702,43.75,6.666666666666667,31.25,72.74182438850403
31,java,Updates and displays a card header view with a new title and icon,Updates the header view of a card with the provided title and icon.,Updates the card header view with the provided title and icon on the main thread.,22.894156860669913,57.14285714285715,38.46153846153846,57.14285714285715,80.81691265106201
32,java,Lazily inflates and returns a text block layout view from a ViewStub,Lazily initializes and returns a text block layout view with associated text and tap-for-more elements.,Lazily initializes and returns a text block layout view containing a text block and a tap-for-more element.,34.82352832757854,58.06451612903226,41.37931034482759,58.06451612903226,76.10049843788147
33,java,Gets the media browser service component from a given package,Retrieves the default media browsing service component name for a given package.,"Retrieves the default media browsing service component name for a given package, or null if none is found.",9.748124539759884,50.0,23.076923076923077,50.0,76.9530177116394
34,java,Determines if an app component should be launchable by filtering against a hide list and de-duplicating media services,"Determines whether a component should be added to launchables based on app type, custom media components, and apps to hide.","Determines whether a component should be added to launchables based on app type, custom media components, and apps to hide.",8.066974340737671,46.15384615384615,10.81081081081081,25.641025641025646,75.73388814926147
35,java,Sets the media source and finishes the current activity,"Sets the media source to browse mode and finishes the activity if it is one, handling potential connection errors.","Sets the media source to browse mode and finishes the activity if it is one, handling potential connection errors.",17.00107809840423,57.14285714285714,38.46153846153846,57.14285714285714,74.31744337081909
36,java,"Safely checks if a given activity is distraction-optimized, handling potential connection errors",Checks if a given activity within a package is distraction optimized on a connected car.,Determines if an activity is distraction optimized on a connected car using the CarPackageManager.,6.250381527944883,44.44444444444445,24.000000000000004,37.03703703703704,70.60941457748413
38,java,"Retrieves a specific, configured Intent for the default maps app, falling back to a generic one","Returns an intent to launch a preferred maps application, falling back to the default maps activity if no preferred app is found or valid.","Returns an intent to launch a preferred maps application, prioritizing user-defined preferences and falling back to the default maps activity if no preferred app is found or valid.",8.60132510739358,40.0,18.6046511627907,22.222222222222225,61.14351153373718
